날짜,제목,내용
2023.06.01.,"HD한국조선해양, 1.2조 규모 초대형 컨테이너선 5척 수주","HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조 2392억원 규모의 선박 5척을 수주했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만 5500TEU급 액화천연가스(LNG) 추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 밝혔다. 이번에 수주한 LNG 추진 초대형 컨테이너선은 길이 365m, 너비..."
2023.06.01.,"HD한국조선해양, 초대형 컨테이너선 5척 1조2천392억원에 수주","HD현대의 조선 중간 지주사인 HD한국조선해양은 최근 대만 선사 양밍해운과 1만5천500TEU(1TEU는 20피트 컨테이너 1대분)급 액화천연가스(LNG) 추진 초대형 컨테이너선 5척의 건조 계약을 맺었다고 1일 밝혔다. 수주 금액은 총 1조2천392억원이다. 이번에 수주한 선박은 길이 365ｍ, 너비 51ｍ, 높이 29...."
2023.06.01.,"HD한국조선해양, 초대형 컨-선 5척, 1조 2392억 원 수주",HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조 2392억 원 규모의 선박 5척을 수주하는데 성공했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만 5500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 1일 밝혔다. 이번에 수주한 LNG추진 초대형 컨테이너선은 길이 365m...
2023.06.01.,"HD한국조선해양, 1조2392억 규모 초대형 LNG 컨테이너선 '5척' 수주","누적 수주 금액 114억2,000만달러…연간 수주 목표 '72.6%' 잠정 달성 HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조2,392억원 규모의 선박 5척을 수주하는데 성공했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만5,500TEU급 액화천연가스(LNG) 추진 초대형 컨테이너선 5척에 대한 건조..."
2023.06.01.,"HD한국조선해양, 초대형 컨터네이선 5척 수주…1조 2392억원 규모","HD현대의 조선 중간 지주사인 HD한국조선해양은 최근 대만 선사 양밍해운과 1만 5500TEU급 LNG추진 초대형 컨테이너선 5척(총 1조 2392억원 규모)에 대한 건조 계약을 체결했다고 1일 밝혔다. 이번에 수주한 LNG추진 초대형 컨테이너선은 길이 365m, 너비 51m, 높이 29.85m 규모로, 울산 HD현대중공업에서..."
2023.06.01.,"HD한국조선해양, 1조2392억원 규모 초대형 컨테이너선 5척 수주","(사진=HD한국조선해양) HD한국조선해양은 최근 대만 선사 양밍해운과 1만5500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 1일 밝혔다. 계약 규모는 1조2392억원이다. 이번에 수주한 LNG추진 초대형 컨테이너선은 길이 365m, 너비 51m, 높이 29.85m 규모다. 울산 HD현대중공업에서 건조돼..."
2023.06.01.,"HD한국조선해양, 초대형 컨테이너선 5척 수주","HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조 2,392억 원 규모의 선박 5척을 수주하는데 성공했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만 5,500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 1일 밝혔다. 이번에 수주한 LNG추진 초대형 컨테이너선은 길이 365m..."
2023.06.01.,"HD한국조선해양, 초대형 컨선 5척 수주…1조2392억원 규모",/사진=HD한국조선해양 HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조2392억원 규모의 선박 5척을 수주하는 데 성공했다. HD한국조선해양은 1일 대만 선사 양밍해운과 1만5500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 밝혔다. 이번에 수주한 LNG추진 초대형...
2023.06.01.,"HD한국조선해양, 컨테이너선 5척 수주...1조 2392억원 규모",HD현대중공업이 건조한 1만1700TEU급 컨테이너선의 시운전 모습 [사진 HD한국조선해양] HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조2392억원 규모의 선박 5척을 수주하는데 성공했다. HD한국조선해양은 최근 대만 글로벌 선사 양밍해운과 1만5500TEU(1TEU는 20피트 컨테이너 1개)급 LNG추진...
2023.06.01.,"HD한국조선해양, 초대형 컨선 5척 1조 2,392억 원 수주","HD현대중공업이 건조한 1만1,700TEU급 컨테이너선의 시운전 모습 HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조 2,392억 원 규모의 선박 5척을 수주하는데 성공했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만 5,500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 1일..."
2023.06.02.,"한국조선해양, 1조 원대 초대형 컨테이너선 5척 수주",HD현대의 조선 중간 지주사인 HD한국조선해양이 최근 타이완 선사와 1만 5천 500TEU급 액화천연가스 추진 초대형 컨테이너선 5척의 건조 계약을 맺었다고 밝혔습니다. 수주 금액은 1조 2천 392억 원 입니다. 이번에 수주한 선박은 울산 HD현대중공업에서 건조해 2026년부터 순차적으로 선주사에 인도할...
2023.06.02.,글로벌 전역에 펼쳐진 HD현대의 '수소 공동전선',"2일 업계에 따르면, HD현대의 조선 중간 지주사인 HD한국조선해양은 독일 뒤셀도르프 소재의 HD유럽연구센터를 중심으로 유럽 현지 기술개발(R&D)에 5년간 1500만유로(약 220억원)를 투자한다. HD유럽연구센터를 거점으로 삼아, 현지 파트너와의 중장기 대형 프로젝트를 적극 발굴·추진한다는 계획이다...."
2023.06.02.,조선 ‘빅3’ 14兆 카타르 LNG선 협상 돌입…Q-Max 수주 후 과제는,"카타르에너지와 조선 빅3( HD한국조선해양, 한화오션, 삼성중공업)가 14조원 규모의 LNG선 수주를 두고 이달부터 실무협상에 돌입한다. 이번 협상에서는 일반적인 선형보다 큰 Q-Max에 대한 건조 논의도 이뤄지고 있다. 초대형선 건조에 나설 경우 조선소의 생산성이 떨어질 수밖에 없다...."
2023.06.02.,"'슈퍼사이클' 조선업계, 인력난 숨통 트인다···선박 정상건조 기대↑","HD한국조선해양과 한화오션, 삼성중공업 등의 곳간에는 3년치 일감이 넉넉히 쌓여있다. 아울러 LNG선을 중심으로 수주 랠리가 계속되며 각 조선소 도크에서는 쉴 틈 없이 선박건조가 이뤄지고 있다. 2일 업계에 따르면 한국조선해양은 올해 5월 기준 총 86척, 103억9000만달러를 수주해 연간 수주 목표치..."
2023.06.02.,[3초컷 키워드] HD한국조선해양·4월 온라인쇼핑·소상공인·전통시장 경기전...,"스카이데일리 김나윤기자 = ☞ HD한국조선해양, 초대형 컨테이너선 5척 수주… HD한국조선해양은 대만 선사 양밍해운과 1만5500TEU급 LNG추진 초대형 컨테이너 5척(1조2392억 원)에 대한 건조 계약을 체결. HD한국조선해양은 현재까지 총 93척 114억2달러를 수주, 연간 수주 목표 157억4000만 달러의 72...."
2023.06.02.,"HD현대, 조선 등 핵심사업 안정화로 자금조달 ‘순항’","아울러 HD한국조선해양(조선), HD현대사이트솔루션(건설기계), HD현대오일뱅크(정유화학)의 우수한 사업 포트폴리오가 지주사 경쟁력을 더욱 끌어올리고 있다고 평가하고 있다. 한국기업평가는 지난 2월 HD현대의 무보증사채에 대한 등급을 기존 ‘A-(긍정적)’에서 ‘A(안정적)’으로 상향하고, 신규..."
2023.06.02.,"[뉴투분석] HD현대중공업·삼성중공업·한화오션, '두 토끼'로 슈퍼사이클 이...","기자] HD현대중공업, 삼성중공업, 한화오션(옛 대우조선해양) 등 이른바 '조선 빅3'가 건조량 조절 능력과 고(高) 선가(선박 가격) 유지 전략에 힘입어... 전략은 조선업계 매출 확대를 이끌기는 했지만 신조선 공급과잉으로 선사들의 발주량 감소와 신조선 가격 상승 둔화를 야기시켰다. 이에 따라 한국..."
2023.06.02.,조선업계 실적개선 본격화…인력난도 소폭 개선,"HD한국조선해양 계열 조선 3사는 올해 114억2000만 달러(93척)의 수주 실적을 기록했다. 올해 연간 수주 목표인 157억4000만 달러의 73% 수준이다. 삼성중공업 역시 올해 27억 달러(7척)을 수주하면서, 연간 수주 목표(95억 달러)의 28%를 달성했다. 하반기에 모잠비크 물량, LNGC 물량 등의 추가 수주가 예상돼..."
2023.06.02.,"네팔 근로자 3000명, 韓 조선소 긴급투입…인력난 '단비' 될까","제작한 선체 블록을 삼성중공업 거제조선소로 가져와 최종 조립·건조한다. 조선업계 관계자는 ""수주 폭증으로 심각한 인력난을 겪고 있다""며 ""2023년 말까지 1만4000명의 노동자 부족을 겪을 것으로 예상된다""고 말했다. 한국 조선소는 인력난 지원을 위해 네팔인 3000명이 고용한다. (사진= HD한국조선해양)"
2023.06.03.,“저가수주 탈출”…숨고르는 조선업계,"3일 관련 업계에 따르면 HD한국조선해양이 올해 가장 많이 수주한 선종은 PC선으로, 선가 자체가 높은 선종이다. 이같이 가격대가 높은 선종을 수주하는 등 한국 조선업계 고질병으로 불리는 ‘제살깎기식 저가 수주’를 근절하겠다는 의도다. 최근 정기선 HD현대 사장은 앞으로 선박을 수주할 때 수익성을..."
2023.06.04.,"'K-조선' 양대산맥 한화-HD현대, 부산 벡스코서 맞붙는다",지난달에는 중순 캐나다 연방조달청과 해군 관계자가 한화오션 옥포조선소를 방문했다. 캐나다는 해상 방위력 강화를 위해 잠수함 도입을 검토하고 있는 것으로 알려졌다. HD현대중공업도 마찬가지다. HD현대중공업이 공개 예정인 함정은 개발 중인 차세대 한국형 구축함(KDDX)과 최초로 콘셉트가...
2023.06.04.,"HD현대중공업, 한국형 차세대구축함·항공모함 모형 첫 공개",HD현대의 조선 계열사인 HD현대중공업이 현재 개발 중인 차세대 함정 모형을 최초로 공개한다. HD현대중공업은 오는 7∼9일 부산 벡스코에서 열리는 '국제해양방위산업전(MADEX) 2023'에 참가한다고 4일 밝혔다. HD현대중공업은 이번 전시회에서 현재 개발 중인 차세대 한국형 구축함(KDDX)과 함께...
2023.06.04.,"HD현대중공업, 한국형 차세대구축함·항공모함 모형 첫 공개",HD현대의 조선 계열사인 HD현대중공업이 현재 개발 중인 차세대 함정 모형을 최초로 공개한다. HD현대중공업은 오는 7∼9일 부산 벡스코에서 열리는 '국제해양방위산업전(MADEX) 2023'에 참가한다고 4일 밝혔다. HD현대중공업은 이번 전시회에서 현재 개발 중인 차세대 한국형 구축함(KDDX)과 함께...
2023.06.04.,"“K-방산, 해양으로” 최첨단 신기술, ‘스마트 해군’ 이끈다 [비즈360]","한국형 경항공모함, 소해헬기, 무인수상정…신기술 향연 펼쳐진다 마덱스 전시장 한가운데에 부스를 차리는 HD현대중공업은 미래 전장의 ‘게임 체인저’가 될 첨단 함정을 대거 선보일 예정이다. 대한민국 최초로 통합전기추진체계를 적용한 한국형 이지스 구축함 KDDX과 AI(인공지능) 기반 해양 유무인..."
2023.06.04.,"조선 빅3, 친환경 선박 분야 ‘초격차 기술’ 확보 총력","4일 관련업계에 따르면 HD한국조선해양, 삼성중공업, 한화오션(옛 대우조선해양) 등 조선 빅3가 수소ㆍ암모니아 추진 선박 등 차세대 친환경 선박 개발을 본격화한다. 먼저 HD한국조선해양은 미국선급협회(ABS)와 드레스덴공대 등 14개 기관과 컨소시엄을 구성해 이달부터 대형 액화수소 화물창 기술 공동..."
2023.06.04.,"[따로 또 같이]② 김동관·정기선, 선도자로 경쟁자로…에너지·조선·우주 경...","■ 김동관·정기선, 친구에서 경쟁 구도 발단…한화오션 vs HD한국조선해양 최근 한화는 옛 대우조선해양 인수에 성공했다. 그리고 한화오션으로 사명을 변경했다. 이 과정에서 HD현대는 공정거래위원회에 우려의 시각을 전했다. 방산과 조선업을 한 회사가 하게 되면 관련 기업들이 독과점 피해를 입을 수..."
2023.06.04.,"HD현대중공업, MADEX 2023서 차세대 함정 모형 공개",HD현대중공업이 MADEX 2023에서 최초 공개한 차세대 함정들의 조감도 (제공=HD한국조선해양) ©열린뉴스통신ONA HD현대중공업은 오는 7일부터 9일까지 부산 벡스코에서 개최되는 국제해양방위산업전(MADEX 2023)에 참가해 연구개발 중인 차세대 함정의 모형을 최초로 공개한다고 4일 밝혔다. 이번 전시회에서...
2023.06.04.,차세대 한국형 구축함 콘셉트 부산에서 첫 공개,"HD현대중공업이 개발 중인 차세대 함정 모형들이 부산에서 처음 공개된다. HD현대중공업은 7일부터 9일까지 부산 벡스코에서 개최되는... MADEX 2023은 벡스코 제1전시장에서 개최되며 해군, 해병대, 부산시, 한국무역협회, 사단법인 대한민국해군협회, 부산조선해양기자재공업협동조합, 경연전람, 벡스코가..."
2023.06.05.,앞서가는 HD한국조선해양…한화오션 ‘맹추격’,"HD한국조선해양이 올해 수주 목표를 빠르게 채워나가는 가운데 한화오션 역시 본격적으로 수주 확대에 나설 것이란 진단이다. 전 세계 선박 발주량은 2021년 정점을 찍고 지난해부터 완만하게 감소하고 있으나, 이미 3년 치 이상의 일감을 보유하고 있는 국내 조선사들은 급할 게 없는 상황이다. 수익성..."
2023.06.05.,"HD한국조선해양, EU와 손잡고 수소화물창 개발",HD한국조선해양은 독일 드레스덴 공대 등 유럽 소재 14개 기관과 컨소시엄을 구성하고 이번 달부터 대형 액화수소 화물창 기술을 공동 개발한다고 밝혔습니다. 이번 프로젝트는 EU 즉 유럽연합의 최대 연구 혁신 사업인 '호라이즌 유럽' 프로그램에 선정된 데 따른 것으로 EU 집행위원회으로부터 4년동안 1...
2023.06.05.,"HD한국조선해양, 올해 수주 목표 74% 달성…삼성重·한화오션은","3사 가운데선 HD한국조선해양이 가장 앞서고 있으며 삼성중공업과 한화오션(옛 대우조선해양)이 그 뒤를 잇고 있다. 5일 조선업계에 따르면 HD한국조선해양 산하 조선 3사(HD현대중공업·현대미포조선·현대삼호중공업)는 현재까지 올해 총 93척, 114억2000만달러(약 15조1000억원)를 수주했다. 이는..."
2023.06.05.,"[동영상] HD한국조선해양, 조선주 시대 왔나? 52주 최고가",HD한국조선해양은 조선주 상승장 기대감에 52주 최고가를 기록했습니다. 한국조선해양은 최근 3년간 적자가 계속됐지만 올해엔 적자를 벗어날 것이라는 전망도 나오고 있습니다. HD한국조선해양의 주가는 6월 5일 전일보다 5000원(5.06%) 오른 10만3800원에 장을 마쳤습니다. 52주 최고가인 10만3800원으로...
2023.06.05.,"HD현대중공업 vs 한화오션, MADEX 2023서 방산 기술력 경쟁",HD현대중공업 차세대 한국형 구축함·한국형 항공모함 모형 공개 한화오션도 한국형구축함 ·합동화력함 등 최신기술 소개 세계적으로 우수한 방산... 지난 2020년 방위사업청의 KDDX 기본설계 사업자 선정 과정에서 현대중공업(현 HD현대중공업)이 대우조선해양(현 한화오션)의 개념설계 자료를 몰래...
