날짜,제목,내용
2023.06.01.,"HD현대오일뱅크, 11월 전기차 충전소 사업 본격화",HD현대오일뱅크는 HD현대일렉트릭의 자회사 HD현대플라스포를 통해 초급속 전기차 충전기 개발하고 있다고 밝혔다. HD현대일렉트릭도 전기차 충전기 제작 사업에 진출해 HD현대그룹사 내 시너지를 창출할 예정이다. 한편 HD현대오일뱅크는 이날 발간한 ESG 통합보고서를 통해 진행하고 있는 친환경...
2023.06.01.,"HD현대오일뱅크, 11월부터 전기차 충전 사업 본격화","회사는 전기차 충전 사업 진출을 위해 그룹 계열사인 HD현대일렉트릭의 자회사 HD현대플라스포를 통해 초급속 전기차 충전기를 개발 중이다. 전기차 충전 사업을 기반으로 HD현대일렉트릭은 전기차 충전기 제작 사업에 진출, 그룹사 내 친환경 사업 시너지를 창출한다는 목표다."
2023.06.02.,"피플&컴퍼니_김영기 HD현대일렉트릭 부사장 ""R&D 열정, 독립법인 출범 후 최고...","특히 김 부사장은 2020년부터 조석 사장(CEO)과 호흡을 맞춰 경영혁신 활동을 통한 상시 원가절감, 일하는 방식의 개선 등을 추진한 덕분에 회사의 분위기 반전을 이끌어 내면서 HD현대일렉트릭은 올해 1분기 독립법인 출범 이후 최고치의 영업이익률을 달성했다. ""이번 1분기 실적은 외형적인 성장뿐만 아니라..."
2023.06.02.,[마감시황] 美디폴트 우려 해소에 상승,"코스피에서는 DB(+29.86%), 동원금속(+17.16%), SJM(+14.51%), 에이프로젠(+11.69%), 디아이씨(+10.89%), HD현대일렉트릭(+9.62%), 송원산업(+8.7%), SKC(+8.57%), 삼부토건(+8.19%), 일진전기(+8.11%), 효성중공업(+8.08%), 이수스페셜티케미컬(+8.06%), 유진투자증권(+7.65%), SK아이이테크놀로지(+7.62%), 큐로(+7...."
2023.06.02.,"[이넷뉴스 브랜드평판] 두산에너빌리티, 전력설비 브랜드평판 1위···대한전...","전력설비 상장기업 브랜드평판 2023년 6월 빅데이터 분석 순위는 두산에너빌리티, 대한전선, 한국전력, 한전KPS, 이화전기, LS, 지투파워, LS ELECTRIC, 광명전기, 한전산업, 보성파워텍, 일진전기, HD현대일렉트릭, 비츠로테크, 효성중공업, 대원전선, LS전선아시아, 제룡전기, 가온전선..."
2023.06.02.,정유사 '너도나도' 전기차 충전사업 진출···수익성이 과제,"해당 충전소에는 그룹 계열사인 HD현대일렉트릭의 자회사 HD현대플라스포가 개발 중인 초급속 충전기가 탑재된다. 전기차 충전기는 충전속도에 따라 초급속과 급속, 완속으로 구분되는데, HD현대오일뱅크는 200킬로와트(kW)급 초급속 충전 네트워크를 구축한다는 방침이다. 탈탄소 요구와 더불어 전기차 전환..."
2023.06.02.,일진전기 주가 '활활'...영업이익 등 껑충 실적호전 지속 기대,올해 1분기 영업이익 171억원을 기록했다. 이는 전년대비 2배 가까이 뛰었다. 같은 시간 전기장비 관련주인 효성중공업 HD현대일렉트릭 제룡전기 대원전선 가온전선 일진홀딩스 비나텍 제룡산업 광명전기 보성파워텍 지투파워 등도 함께 오르고있다.
2023.06.04.,'HD현대중공업가족 초대작품展' 개막,이날 행사에는 HD현대중공업 상생·문화 부문장 최헌 전무 및 현대일렉트릭 김인태 기원을 비롯한 임직원 출품 작가 40여명이 참석해 80여점 상당의 작품을 소개하는 등 기념사진을 촬영했다. 전시는 다음달 9일까지 약 한달 간 열린다.
2023.06.04.,'HD현대중공업가족 초대작품전' 개막,'HD현대중공업가족 초대작품전'이 지난 2일 현대예술관 미술관 로비에서 개막됐다. 이날 행사에는 HD현대중공업 상생·문화 부문장 최 헌 전무와 현대일렉트릭 김인태 기원을 비롯한 임직원 출품 작가 40여명이 참석했다. 전시는 7월9일까지 열린다.
2023.06.05.,"현대예술관, 내달 9일까지 HD현대重가족 초대 작품전","이날 행사에는 HD현대중공업 상생·문화 부문장 최헌 전무와 현대일렉트릭 김인태 기원을 비롯해 초대전에 출품한 40여명의 임직원이 참석해 자기 작품을 소개하는 등의 시간을 가졌다. 한편 'HD현대중공업가족 초대 작품전'은 오는 7월9일까지 회화, 사진, 조각, 도예 등 작품 80여점을 전시한다. 문의 209..."
