날짜,제목,내용
2023.06.01.,"""벌써 올해 목표의 73%""…HD한국조선 '쾌속 순항'",1일 업계에 따르면 HD한국조선해양 산하 HD현대중공업은 최근 대만 선사 양밍해운과 1만5500TEU(1TEU=20피트 컨테이너)급 LNG 추진 초대형 컨테이너선 5척을 수주했다. 울산 조선소에서 건조해 2026년부터 차례대로 선주사에 인도할 계획이다. HD현대중공업은 이번 수주로 올해 누적 수주 40억1000만 달러...
2023.06.01.,"HD한국조선해양, 초대형 컨테이너선 5척 1조2392억원에 수주",HD현대중공업이 건조한 1만1700TEU급 컨테이너선의 시운전 모습. 사진=HD현대 HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조2392억 원 규모의 선박 5척을 수주했다. HD한국조선해양은 최근 대만 선사 양밍해운과 1만5500TEU급 LNG(액화천연가스) 추진 초대형 컨테이너선 5척에 대한 건조 계약을...
2023.06.01.,"HD현대중공업, 1조2392억 규모 컨테이너선 5척 수주[주목 e공시]",HD현대중공업은 1조2392억원 규모의 컨테이너선 5척 수주 계약을 체결했다고 1일 공시했다. 계약 상대는 대만 국적의 해운회사인 양밍해운(YANG MING MARINE TRANSPORT CORP)이다. 계약 금액은 1조2392억원으로 지난해 연결 기준 매출액의 13.7%에 해당한다. 계약 기간은 2027년 3월 31일까지다.
2023.06.01.,"""식사시간 10분 돈으로"" ""자녀 고교 입학 100만원"" 현대차 노조 요구안","다른 현대가인 HD현대중공업 노조도 임금협상안을 들고 회사 측과 만나고 있다. 현대중공업 노조 역시 기본급은 18만4900원 인상으로 현대차 노조 요구와 같다. 하지만 별도 요구안은 사뭇 다르다. 현대중공업 노조는 지역 비정규직과 취약계층, 지역주민 복지 등을 위한 사회연대기금 출연을 회사 측에..."
2023.06.01.,"원광대, 취업 연계 프로그램 운영…""조선중공업 기업 탐방""","지난해부터 시작된 이 프로그램은 조선업 현장에서 요구하는 맞춤형 교육과정을 통해 참여자들의 직무역량을 강화하고, HD현대중공업 생산기술직 등 관련 분야의 취업 연계를 돕기 위해 기획됐다. 이번 교육은 조선업 분야 직무탐색 특강, 조선중공업 특화 맞춤형 입사지원서 특강 및 1대 1 첨삭 컨설팅, 나만의..."
2023.06.01.,"현대삼호중공업 김상수 팀장, 정부포상 국무총리 표창 영예",HD현대 계열사인 현대삼호중공업 임직원이 정부포상 국무총리 표창의 영예를 안았다. 1일 현대삼호중공업에 따르면 신현대 사장은 1일 본사 조찬회장에서 열린 대외포상 전수식에서 고용노동부로부터 국무총리 표창을 받은 기계의장부 김상수 기계 1팀장을 격려했다. 김상수 팀장은 최근 고용노동부 주관...
2023.06.01.,"[종합] ""이틀만에 또""…HD한국조선, 하반기 선별수주 나선다","85m 규모로, 울산 HD현대중공업에서 건조돼 2026년부터 순차적으로 선주사에 인도될 예정이다.특히 이 선박에는 LNG 추진 엔진이 탑재돼, 강화된 국제해사기구(IMO)의 환경규제에 대응할 수 있다.영국의 조선·해운시황 분석기관 클락슨 리서치가 지난 3월 발간한 ‘클락슨 포캐스트 클럽’에 따르면..."
2023.06.01.,"메리츠증권 “HD현대중공업 올해 흑자전환, 수주 경쟁력도 부각""",HD현대중공업 주식 매수의견이 유지됐다. 전방위 수주 경쟁력이 부각되며 이익 개선 흐름이 더 빨라질 것으로 전망됐다. HD현대중공업의 전방위 수주 경쟁력이 부각되며 이익 개선 흐름이 더 빨라질 것으로 전망됐다. 사진은 현대미포조선이 건조한 석유화학제품운반선. <현대중공업그룹> 배기연...
2023.06.01.,"1.2조 수주에도, HD현대중공업 주가 '장중 약세'...왜?",1일 증시에서 HD현대중공업(이하 현대중공업) 주가가 대규모 수주 소식에도 장중 부진한 흐름을 보이고 있다. 신규 수주에 따른 실적 개선 기대는 이어지고 있지만 국제유가 하락 등 중장기 변수가 거론된다. 한국거래소에 따르면 오전 11시 10분 현재 현대중공업은 전일 대비 0.52% 하락한 11만5500원에...
2023.06.01.,"[K-조선 부활의 뱃고동②]HD한국조선해양, 벌써 수주 목표량 70%…자회사도 신...","이같은 압도적인 수주력은 현대삼호중공업·미포조선 등 HD한국조선해양 자회사들이 적극 이끌고 있다. 삼호중공업은 지난달 말 기준 53억달러를 수주, 올해 수주 목표액(26억달러)의 무려 203%를 달성했다. 특히 삼호중공업은 억단위의 수주를 따내며 무서운 저력을 보이고 있다. 지난 3월 말에는..."
2023.06.02.,"[공시] HD현대중공업, 1조2392억 규모 컨테이너선 5척 수주",HD현대중공업은 1조2392억원 규모의 컨테이너선 5척 수주 계약을 체결했다고 1일 공시했다. 계약 상대는 대만 국적의 해운회사인 양밍해운(YANG MING MARINE TRANSPORT CORP)이다. 계약 금액은 1조2392억원으로 지난해 연결 기준 매출액의 13.7%에 해당한다. 계약 기간은 2027년 3월...
