날짜,제목,내용
2023.06.01.,"[단독]HMM, 현대LNG해운 몸값 3000억대 제시…거래 성사 '안갯속'",국적 해운사 HMM이 현대LNG해운 본입찰에 참여한다. 인수 희망가는 3000억원대 초반으로 결정했다. 2014년 현대상선(현 HMM)으로부터 현대LNG해운을 인수한 최대주주 IMM프라이빗에쿼티(PE)와 IMM인베스트먼트(IMM 컨소시엄)는 투자 원금도 못 건질 위기에 처했다. 1일 투자은행(IB)업계에 따르면 HMM은 이날...
2023.06.01.,[Who Is ?] 김경배 HMM 대표이사 사장,김경배 HMM 대표이사 사장. ◆ 생애 김경배는 HMM 대표이사 사장이다. 해운업황 내리막에 대비해 HMM의 경쟁력 확보와 매각 전 기업가치 높이기에 힘쓰고 있다. 1964년 9월30일 서울에서 태어나 성남서고등학교와 연세대학교 경영학과를 졸업했다. 현대정공에 입사해 10년 동안 정주영 현대차그룹...
2023.06.01.,HMM ‘최신 선박’ 효과… 바다에 탄소 배출 적어,"국내 최대 해운사인 에이치엠엠(HMM)이 유럽과 미주 노선에서 탄소 배출을 가장 적게 한 선사로 선정됐다고 1일 밝혔다. ‘2022 클린 카고(Clean Cargo) 온실가스 배출 실적 보고서’를 보면, 에이치엠엠은 지난해 아시아-유럽 구간에서 탄소를 가장 적게 배출한 선사로 꼽혔다. 다른 나라 선사들의 평균..."
2023.06.01.,HMM、欧州·米州路線で炭素排出量「最優秀」評価,박수정 기자 psj2014@ajunews.com HMMが炭素低減の努力を認められ、グローバルエコ船会社に浮上している。 1日、「2022 Clean Cargo温室効果ガス排出実績報告書」によると、HMMは昨年、アジア-欧州区間で炭素を最も少なく排出した船会社に選ばれた。 グローバル船社の平均炭素排出量は、TEU...
2023.06.01.,"[공매도 TOP 10 종목] 코스피, SK하이닉스 공매도 1위…HMM-삼성전자-KT 등 순...","이어 HMM(34만9341주), 삼성전자(31만5193주), KT(22만6951주), 팬오션(21만1090주), 포스코인터내셔널(20만4648주), 두산에너빌리티(20만2751주), 대우건설(19만8135주), 미래에셋증권(19만70주), 후성(17만108주) 순으로 뒤를 이었다. KT, 팬오션, 후성은 10위권 밖에서 이날 10위권 안으로 기록했다. 공매도는..."
2023.06.01.,"[물류24시] 현대모비스, 인니 배터리 시스템 공장 착공 外","◆HMM, '아시아-유럽 탄소 배출 가장 적은 선사' 꼽혀 HMMDL 지난해 아시아-유럽 구간에서 탄소를 가장 적게 배출한 선사로 선정됐다. '2022 Clean Cargo 온실가스 배출 실적 보고서'에 따르면 글로벌 선사들의 평균 탄소 배출량이 TEU(6미터 길이 컨테이너 1개) 당 39.58g/km인 반면, HMM은 2/3 수준인 26.67g/km로 1위를..."
2023.06.01.,KOSPI 200 Closing Price List-3,"KOSPI 200 Closing Price List-3 LS 81,400 DN 700 HD HYUNDAI HEAVY IND USTRIES116 60 0 UP500 LOTTE CHEMICAL Corp 166,500 DN 400 S-Oil 72,100 DN 100 HMM 17,550 DN 200 HYUNDAI WIA 60,100 DN 1,300 HyundaiMipoDock 74,300 DN 300 LG Innotek 304,000 DN 3,000 KumhoPetrochem 126,800 DN..."
2023.06.01.,"SM상선, 그룹사 자금 지원 '급급'… 사외이사 반대했지만 속수무책",그룹사 자금 대여 외 ‘타법인 주식 취득’에 대한 사외이사 반대의견은 SM상선이 HMM 지분을 집중적으로 취득한 지난해 4월 28일~6월 10일 이후인 2022년 6월 23일 개최한 이사회에서 제기됐다. 당시 SM상선이 HMM 지분을 기존 0.49%에서 3.2%까지 늘리는 데 들인 자금은 총 4180억원이다. 친환경 선대 확보 등...
2023.06.01.,"덩치 빠르게 키우는 LX, 과도한 LG 의존도는 숙제",재계 관계자는 “LX그룹이 최근 경기침체로 저평가받는 기업을 인수할 가능성이 크다”며 “국적선사 HMM의 인수 후보자로 거론되고 지난해 LX세미콘이 시도했던 매그나칩 인수도 다시 시도할 수 있다는 얘기가 나온다”라고 말했다. LX그룹의 핵심 역할은 LX인터내셔널과 LX세미콘이 맡고 있다....
2023.06.01.,수출 8개월 연속 ↓…15개월째 무역적자,"유조선(이 사진은 기사와 관계없음)[HMM제공. 연합뉴스] 5월 수입액은 543억4000만달러로 작년 동월보다 14% 감소했다. 원유(-16.2%), 가스(-20.2%), 석탄(-35.1%)을 포함한 에너지 수입액이 20.6% 감소한 데 따른 영향이 컸다. 이로써 5월 무역수지는 21억달러 적자를 나타냈다. 국내 무역수지 추이. 자료: Bloomberg..."
