날짜,제목,내용
2023.06.01.,"""메리츠 잡자"" 1년 연구 끝에 나온 KB장기펫보험… 경쟁력은?","KB금융경영연구소가 발표한 '2021 한국반려동물보고서'에 따르면,반려동물을 키우는 가구는 약 604만 가구로 국내 10가구 중 3가구가 반려동물과 함께 살고 있다.반려동물을 키우는 인구는 약 1448만명으로 전체 인구의 28%에 달하는 것으로 추정된다. '반려동물은 가족의 일원이다'라는 말에 반려가구의 88.9..."
2023.06.01.,KB금융 '포스트 윤종규' 찾기 착수…후계구도에 눈길,KB금융그룹 차기 회장 선임 시기가 다가오면서 금융권의 시선이 쏠린다. 오는 11월 윤종규 회장의 임기 종료를 앞두고 차기 회장 선임 작업의 구체화가 이뤄질 전망이다. 3인 부회장과 1인 총괄부문장 체제로 '포스트 윤종규 시대'를 구축해 온 KB금융의 차기 회장은 오는 8~9월 윤곽이 드러날 것으로 보인다....
2023.06.01.,KB Pay 리브메이트 오늘의 퀴즈 정답 6월 1일,"KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트이다. 포인트리의 1P는 1원의 가치를 가지며, 다양한 방법으로 사용할 수 있다. 한편, 매일 오전 10시에 새로운 퀴즈가 찾아오는 '오늘의 퀴즈(리브메이트 오늘의 퀴즈)'는 'KB Pay' 앱을 이용해 참여할 수 있다. bnt뉴스 라이프팀..."
2023.06.01.,'젊은 국가' 인도네시아 넘보는 KB…1조 실탄 '디지털 리테일' DNA 심는다,"""KB부코핀은행은 단순히 국민은행의 해외 자회사가 아닌 KB금융그룹 글로벌 전략의 핵심입니다. KB부코핀은행은 KB의 '미운 오리새끼'에서 '황금알을 낳는 거위'가 될 것이며, KB금융그룹의 가장 성공적인 해외사업 사례가 될 것으로 확신합니다."" 이우열 KB부코핀 은행장의 영어 이름은 '미스터 리'가 아닌..."
2023.06.01.,"박정림 KB금융 회장 후보, '낙마'보다 더 큰 악재는? [마포나루]","/사진=KB증권 금융위원회가 라임펀드 사태 관련 제재 수위를 놓고 막판 고민 중인 것으로 알려지면서, 박정림 KB증권 사장이 윤종규 KB금융 회장을 이을 차기 회장 후보군에서 제외되는 것 아니냐는 전망이 나오고 있습니다. 여기에 박 사장은 최근 '만기 불일치 자산운용'과 '불법 자전거래' 혐의까지 받고 있는..."
2023.06.01.,[다시뛰는 K금융 캄보디아②] 프라삭 김현종 “KB캄보디아은행과 통합 후 ABA...,<비즈니스포스트> 김 부대표가 KB금융지주 글로벌사업본부장을 맡다가 캄보디아에 온 것도 프라삭과 KBC의 순조로운 합병을 진행하기 위해서다. 2021년부터 KBC 법인장을 1년 동안 지낸 뒤 프라삭으로 자리를 옮겨 현지인 대표와 손발을 맞추고 있다. 프라삭의 1만여 명 가까운 직원 가운데 한국인 직원은 채...
2023.06.01.,"[신탁방식 정비사업의 강자]KB부동산신탁, 여의도 1호 재건축 한양아파트 구원...","KB부동산신탁 관계자는 “신뢰를 바탕으로 토지등소유주분들과의 긴밀한 소통이 있어 가능했다”며 “우수한 재무안정성 및 KB금융그룹 네트워크를 바탕으로 믿고 맡길 수 있는 든든한 파트너로서 역할을 다하겠다”고 말했다. 한편, KB부동산신탁은 금융지주 신탁사 중 우수한 실적을 기록하면서..."
2023.06.01.,"KB손보 출범 8년…김기환 사장, ‘빅4’ 명예회복 과제",2015년 6월 LIG손보서 사명 변경 1위 목표로 KB금융 계열사 출범 총자산 15조원 늘어나 덩치 커져 메리츠에 밀려 업계 4위 위상 추락 [FETV=장기영 기자] KB손해보험이 이달 ‘KB’라는 새 간판을 달고 야심차게 출범한 지 8주년을 맞이한다. 출범 이후 총자산은 15조원 가까이 불어나 덩치를 키웠지만...
2023.06.01.,"KB 페이(KB Pay) 앱으로 통합된 '리브메이트', 6월 1일 자 '오늘의 퀴즈' 정답...","문제는 ""[삼일절]은 한민족이 일본의 식민통치에 항거하고, 독립선언서를 발표하여 한국의 독립의사를 세계 만방에 알린 날을 기념하는 국경일이다""의 O, X를 묻는 질문으로 정답은 'O'였다. 리브메이트는 KB금융그룹의 상품과 서비스 이용에 따라 쌓인 포인트를 가치 있게 활용할 수 있도록 돕는 서비스이다."
2023.06.01.,"[다시 뛰는 증권사] ⑥실적훈풍 KB증권, 박정림 대표 연임 성과로 답했다",이 과정에서 증권사 최초 여성 대표이사이자 KB금융지주 경영진 임기 전례를 깨고 3연임에 성공한 박정림 KB증권 대표의 역량이 돋보였다. KB금융그룹 계열사 대표는 통상적으로 '2+1(2년 첫 임기 후 1년 연임)' 임기 이상을 넘어서지 못했으나 박 대표는 달랐다. 박 대표는 금리인상과 증시 불황 등...
