날짜,제목,내용
2023.06.01.,"KT&G, 경찰대학과 글로벌 인재 양성 위한 MOU 체결",KT&G장학재단이 경찰대학 교육진흥재단과 지난 5월 31일 '글로벌 인재 양성을 위한 업무협약(MOU)'을 체결했다. 업무협약식은 안홍필 KT&G장학재단 사무국장과 김두연 경찰대학 교육진흥재단 이사장 등이 참석한 가운데 충청남도 아산시에 위치한 경찰대학교에서 진행됐다. 업무협약에 따라 KT&G장학재단은...
2023.06.01.,"KT&G ""글로벌 인재양성 든든한 후원자 역할 빛났다","〔중부매일 장중식 기자〕KT&G의 인재양성 프로젝트가 빛났다. 장학재단은 물론, 복지재단 설립 이후 글로벌 인재양성을 위해 든든한 조력자이자 후원역할을 톡톡이 한 결과다. KT&G장학재단은 지난달 31일 경찰대학 교육진흥재단과 '글로벌 인재 양성을 위한 업무협약(MOU)'을 체결했다. 이번 협약식에는..."
2023.06.01.,"IBK證 ""KT&G, 담배 원가 부담 당분간 지속…목표가↓""","IBK투자증권은 1일 KT&G에 대해 ""담배 원가 부담이 당분간 이어질 것으로 예상된다""면서도 ""하반기 릴 하이브리드 신제품 출시로 국내 전자담배 시장 지배력을 강화하는 한편 신규 진출 국가 확대 기대감이 유효하다""고 평가했다. 투자의견은 매수 유지, 목표주가는 10만원으로 낮췄다. 김태현 IBK투자증권..."
2023.06.01.,"KT&G, 수출 호조·주주환원책 주가 회복 나서나",KT&G의 해외 수출 호조와 주주환원책이 주가 흐름에 긍정적인 영향을 미칠 것이란 전망이 제기됐다. 특히 증권가에선 행동주의 펀드와 갈등을 빚었던 주주환원책 강화에 주목했다. 1일 한국거래소에 따르면 KT&G의 주가는 유가증권시장에서 전 거래일보다 0.72% 내린 8만3000원에 거래를 마쳤다. 회사의...
2023.06.01.,"KT&G, 출산·양육 장려…전폭적인 지원으로 일과 가정에 전념케","KT&G 임직원 가족의 모습/KT&G 정부가 돌봄 인프라 확충, 일·가정 양립 지원, 양육비 경감 등 5대 핵심과제를 발표하며 저출산 대응에 총력전을 예고한 가운데 다수의 기업이 사회적 변화에 발맞춰 출산·양육 장려 복지를 실시하고 있다. 이 가운데 다양한 프로그램과 전폭적인 지원으로 이목을 끄는 기업은..."
2023.06.01.,"[유통가 투데이] 요기요, 무료배달 구독 '요기패스X' 선봬 外","◇KT&G장학재단, 경찰대학 교육진흥재단과 글로벌 인재 양성 위한 MOU 체결 KT&G장학재단은 경찰대학 교육진흥재단과 5월 31일 ‘글로벌 인재 양성을 위한 업무협약’을 체결했다고 1일 밝혔다. 업무협약식에는 안홍필 KT&G장학재단 사무국장과 김두연 경찰대학 교육진흥재단 이사장 등이 참석했다...."
2023.06.01.,[유통산책] 맥도날드 '맥크리스피·맥스파이시 핫 앤 치즈' 출시 外,"◆KT&G장학재단, 경찰대학 교육진흥재단과 인재 양성에 맞손 KT&G장학재단이 경찰대학 교육진흥재단과 지난 5월31일 ‘글로벌 인재 양성을 위한 업무협약(MOU)’을 체결했다. 업무협약식은 안홍필 KT&G장학재단 사무국장과 김두연 경찰대학 교육진흥재단 이사장 등이 참석한 가운데 충청남도 아산시에 위치한..."
2023.06.01.,"가스공사, 유도훈 감독과 계약 해지…강혁 감독대행","2006-2007시즌 중반 안양 KT&G(현 KGC) 6대 감독으로 부임, 프로팀 감독 커리어를 시작한 유도훈 감독은 2009년 인천 전자랜드(현 가스공사) 코치로 부임해... KT&G 시절까지 포함한 감독 통산 전적은 805경기 403승 402패 승률 .501다. 역대 4호 800경기 및 400승을 달성했지만, 계약 만료까지 1년 남겨두고 가스공사를..."
2023.06.01.,KOSPI 200 Closing Price List-4,"1,700 PanOcean 4,725 UP 15 KT&G 83,000 DN 600 LG Display 15,920 UP 200 SAMSUNG CARD 30,000 DN 50 KT 30,600 DN 950 AMOREPACIFIC 104,900 UP 400 FOOSUNG 13,680 UP 10 SK Innovation 194,100 UP 5,000 POONGSAN 39,550 UP 350 KBFinancialGroup 46,800 DN 1,200 Hansae 15,800 DN 110 (MORE)"
2023.06.02.,충북 KT&G 상상유니브 '레트로 페스티벌' 성황,"KT&G 상상유니브 충북 운영사무국의 레트로 페스티벌 '푸른달 Retro Time Attack'이 지난 5월 31일 충북대학교 정문 중앙잔디광장 야외특설무대에서... KT&G 사회공헌 활동의 하나로 운영 중인 상상유니브는 2010년 대학생 문화예술 커뮤니티로 출발해 문화, 예술 중심의 다양한 영역에서 배움과 교류, 나눔의..."
2023.06.02.,"""KT&G, 하반기 NGP신제품 출시…주주 환원 확대 등 기대감 유효""","IBK투자증권은 2일 KT&G에 대해 2분기 실적은 시장 기대치에 부합할 전망이라고 전했다. 김태현 IBK투자증권 연구원은 ""KT&G의 2분기 연결기준 매출액은 전년 동기대비 2.6% 늘어난 1조4537억원, 영업이익은 5.0% 줄어든 3111억원으로 추정된다""며 ""지난 분기와 유사한 실적 흐름이 예상되는데, 기저효과로 건기식..."
