날짜,제목,내용
2023.06.01.,"[단독]KT, 오는 8일 ‘사외이사 최종후보 7명’ 공시한다",KT가 오는 8일 신규 사외이사 후보 7명의 명단과 지배구조 개선안(정관 개정안)을 공시한다. 1일 경향신문 취재 결과 박종욱 대표이사 직무대행 체제로 운영 중인 KT는 최근 비상경영위원회 논의 등을 거쳐 이같이 일정을 정했다. 또 사외이사 후보 명단 등을 공시한 뒤 그로부터 3주 뒤인 이달 29일쯤 임시...
2023.06.01.,"[단독]KT 일감몰아주기 하청업체 대표, 자녀들 ‘유령직원’ 올려 억대연봉","KT그룹의 일감몰아주기 의혹을 수사하고 있는 검찰이 하청업체 KDFS의 황욱정 대표 자녀들이 허위고용된 정황을 파악한 것으로 알려졌다. 검찰은 두 자녀가 회사 업무를 하지 않은 채 ‘억 대’ 연봉을 받아가며 회삿돈을 빼돌린 것 아닌지 의심하고 있다. 검찰은 남중수 전 KT 사장, 구현모 전 KT 대표 등이..."
2023.06.01.,"KT, 'CJ ENM+캐치온' 월정액 출시…""정가 대비 22% 저렴""",KT는 IPTV '지니 TV'에서 CJ ENM 콘텐츠와 캐치온 상품을 동시에 즐길 수 있는 'CJ ENM+캐치온' 월정액 상품을 단독 출시한다고 1일 밝혔다. CJ ENM... 가입은 지니 TV 채널 124번(캐치온1) 또는 채널 125번(캐치온2)에서 리모컨으로 신청하거나 KT 고객센터에서 하면 된다. KT는 CJ ENM+캐치온 월정액...
2023.06.01.,"KT엠모바일, 월 1만원대 52.5GB LTE 요금제 출시",KT(030200) 알뜰폰(MVNO) 계열사 KT엠모바일이 월 1만원대에 52.5GB 데이터를 제공하는 LTE 요금제 2종을 출시했다고 1일 밝혔다. 새 요금제는 △모두다 많이 2.5GB/250분 △모두다 많이 2.5GB/250분(안심차단) 2종으로 기본 제공 데이터 이외에 24개월간 매월 50GB를 추가 제공한다. 가격은 월 1만7800원이다....
2023.06.01.,"ESG평가원 ""KT, 주요 주주가 인정하는 인사로 CEO 선발해야""","""사외이사 선임도 주요 주주의 추천 필수"" KT의 신임 최고경영자(CEO)는 주요 주주가 인정하는 내부 인사 중에서 선발해야 한다는 의견이 나왔다. 한국ESG평가원은 1일 'KT의 거버넌스 개혁 작업에 관한 평가 보고서'에서 ""CEO 선임은 정상적인 후계자 승계 정책으로 푸는 게 정도이지만 그럴 수 없는..."
2023.06.01.,"KT, 비품 구매비용 편취 의혹...""현실성 떨어져"" 주장 제기",최근 KT와 KT텔레캅이 협력업체에 압력을 가해 안전비품 구매 비용을 편취했다는 의혹이 제기된 가운데 통상적인 비품 거래 절차상 이 같은 결과가 나오기가 힘들다는 주장이 제기됐다. 1일 법조계 및 업계에 따르면 KT 일감 몰아주기 의혹을 수사 중인 서울중앙지검 공정거래조사부는 지난 4월 KT 계열사와...
2023.06.01.,1일 광주 KT-KIA전·창원 두산-NC전 취소,1일 광주 KT-KIA전과 창원 두산-NC전이 취소됐다. KBO는 광주 KT-KIA전이 그라운드 사정으로 취소됐다고 밝혔다. KT를 이틀 연속 제압한 KIA는 오는 2일부터 사직구장에서 롯데와 주말 3연전을 치른다. 3연패의 늪에 빠진 KT는 안방으로 복귀해 두산과 맞붙는다. 창원 경기는 비로 미뤄졌다. NC는...
2023.06.01.,"KT알파, 3년 연속 플로깅 캠페인 진행…ESG 앞장",KT알파가 지난달 31일 서울 동작구에 위치한 본사 인근의 보라매공원에서 '보라매 쓰담쓰담'(쓰레기 담기) 플로깅 캠페인을 진행했다. 사진=KT알파 제공 KT알파가 서울 동작구에 위치한 본사 인근의 보라매공원에서 '보라매 쓰담쓰담'(쓰레기 담기) 플로깅 캠페인을 진행했다고 1일 밝혔다. 플로깅이란 조깅(산책)...
2023.06.01.,"NC 구창모·LG 이정용·kt 배제성 등 14명, 올겨울 상무 입대","KBO리그 각 구단에 따르면, 구창모, 김영규, 조민석, 오장한, 오태양, 박성재(이상 NC), 허윤동, 조민성(이상 삼성 라이온즈), 윤산흠, 박정현(이상 한화 이글스), 배제성(kt wiz), 김선우, 한승연(KIA 타이거즈), 이정용(LG 트윈스)은 1일 국군체육부대로부터 최종 합격했다는 통보를 받았다. 이들은 병역 혜택 등을..."
2023.06.01.,"HLE·KT “개막전 승리, 절대 양보 못 해”","올 시즌 개막전을 장식하는 한화생명e스포츠와 KT 롤스터는 나란히 마수걸이 승점을 획득해 팀이 상승세를 타기를 기대하고 있다. 1일 서울 종로구 LCK 아레나에서 2023 LCK 서머 시즌 미디어데이 행사가 진행됐다. LCK 10개 팀의 감독과 대표 선수가 참여해 서머 시즌에 임하는 포부를 밝힌 가운데, KT 최승민..."
