날짜,제목,내용
2023.06.01.,"배터리 관리까지 책임… LG엔솔, BaaS 사업 속도 높인다",LG에너지솔루션이 배터리 생애주기 전 과정에서 발생하는 데이터를 바탕으로 서비스를 제공하는 사업 모델인 BaaS 사업을 확대한다. 배터리 판매에 그치는 것이 아니라 사후 관리도 책임지겠다는 의지다. 1일 업계에 따르면 LG에너지솔루션은 최근 레드캡투어와 함께 '전기차 배터리 관리 사업 강화를...
2023.06.01.,"[브랜드평판] LG에너지솔루션, 전기제품 상장기업 6월...1위","한국기업평판연구소 빅데이터 분석결과...2위 삼성SDI, 3위 엘앤에프 순 2023년 6월 전기제품 상장기업 브랜드평판 빅데이터 분석결과 1위 LG에너지솔루션, 2위 삼성SDI, 3위 엘앤에프 순으로 분석됐다. 한국기업평판연구소는 전기제품 상장기업 43개 브랜드에 대해서 빅데이터 분석을..."
2023.06.01.,LG에너지솔루션(LG엔솔) 전례 없는 업황 '증권가 주가 전망' 주목,LG에너지솔루션(사진=LG에너지솔루션 로고) LG에너지솔루션(LG엔솔) 증권가 주가 전망에 관심이 쏠린다. 1일 오전 11시 50분 기준 LG에너지솔루션은 전 거래일 대비 1.5% 하락한 59만 ㅜ언에 거래되고 있다. SK증권은 최근 LG에너지솔루션에 대해 목표주가 68만 원과 '매수' 의견을 제시했다. LG에너지솔루션이...
2023.06.01.,"LG엔솔 스텔란티스 공장 건설중단 강수 둔 이유, 정부 지원금 '18조' 줄다리기",LG에너지솔루션과 스텔란티스가 캐나다 정부로부터 폭스바겐이 받은 보조금 이상의 재정지원을 받을 수 있다는 외신 보도가 나왔다. 사진은 김동명 LG에너지솔루션 자동차전지사업부장 부사장(오른쪽)과 마크 스튜어트 스텔란티스 최고운영책임자(COO)가 현지시각으로 2022년 3월23일 캐나다 온타리오주...
2023.06.01.,"[종합주가지수] 밀린 코스피, LG에너지솔루션·네이버 등 엇갈린 주가","삼성전자(-0.70%), LG에너지솔루션(-2.50%), LG화학(-0.87%) 등은 하락했지만, SK하이닉스(1.57%), 네이버(2.26%) 등은 상승했다. 업종별로는 제조업(-0.31%), 통신업(-1.69%) 등이 내리고 기계(0.27%), 화학(0.23%) 등이 올랐다. 코스닥지수는 전장보다 6.84p(0.80%) 오른 863.78로 마쳤다. 지수는 0.99p(0.12%) 내린 855.95에..."
2023.06.01.,[BBIG K-뉴딜] LG에너지솔루션 3.28% 올라 상승률 상위권,"이들 구성 종목 중 LG에너지솔루션은 전거래일 대비 3.28% 상승해 KRX BBIG K-뉴딜지수 구성 종목 중 주가상승률 1위를 기록했다. LG에너지솔루션 뒤를 이어 SK바이오사이언스, 삼성바이오로직스 종목도 각각 1.59%, 0.77%씩 상승해 상승률 상위권에 이름을 올렸다. 한편..."
2023.06.01.,"코스피, 기관 순매수도 상위 10종목(31일)...LG에너지솔루션-삼성전자우-LG화...","▲31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. © 연합뉴스. 31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. 반면, SK하이닉스, 삼성전자. KT를 집중 매도했다."
2023.06.01.,"코스피, 기관과 외인 매도에 하락 마감…네이버, SK하이닉스 상승 VS LG에너지...","시가총액 상위 10개 종목은 NAVER(2.26%), SK하이닉스(1.57%), 삼성전자우(0.85%), 삼성바이오로직스(0.51%)를 제외하고 하락 마감했다. LG에너지솔루션(-2.50%), 기아(-1.98%), 삼성SDI(-1.39%), 현대차(-1.25%), LG화학(-0.87%), 삼성전자(-0.70%)는 하락 마감했다."
2023.06.01.,삼성전자 · LG에너지솔루션 '하락 출발'...코스피 '장초반 약세',"LG에너지솔루션(-0.67%), 삼성바이오로직스(-0.64%), 현대차(-0.40%), 기아(-0.81%), 셀트리온(-0.35%) 등이 하락 거래 중이다. 앞서 지난달 31일(현지시간) 미국증시에서 다우존스(-0.41%), S&P500(-0.61%), 나스닥(-0.63%) 등 3대지수는 하락했다. 미국 국가부채한도 법안 표결을 눈앞에 두고 경계심리가..."
2023.06.02.,캐나다 투자 늘리는 K배터리… 포스코 웃는데 LG는 삐걱,포스코퓨처엠과 제너럴모터스(GM)의 합작 공장 사업은 순조롭게 진행되고 있으나 LG에너지솔루션이 완성차 업체 스텔란티스와 함께 짓는 공장은 보조금 문제로 제동이 걸렸다. 캐나다는 미국처럼 연방정부와 주(州)정부가 있고 사업을 하려면 양쪽 정부와 모두 합의가 이뤄져야 한다. 포스코퓨처엠은...
