날짜,제목,내용
2023.06.01.,"[기업] ""제습 성능 강화""...LG전자, 제습기 신제품 출시","LG전자가 제습 성능을 강화한 2023년형 제습기를 출시했습니다. 이번에 나온 제품은 냉매를 압축하는 실린더가 2개 설치돼 한 번에 더 많은 냉매를 압축할 수 있어 제습 성능이 우수하고 에너지 효율도 높다고 LG전자는 밝혔습니다. LG측은 또, 이번 제품은 LG 휘센 제습기 중 첫 번째 업(UP)가전으로 씽큐..."
2023.06.01.,삼전 안 부럽네…전장 업은 LG전자도 '껑충',삼성전자와 함께 국내 전자 양대 산맥인 LG전자 주가 상승세가 가파르다. 신성장 동력으로 육성 중인 LG전자의 전장사업부 가치가 현재의 2배 수준인 10조원에 이를 것이란 전망이 나오면서다. 1년 만에 시가총액도 20조원을 돌파했다. 1일 한국거래소에 따르면 LG전자는 오전 9시3분 현재 전...
2023.06.01.,"“LG가 부산엑스포 지지”…LG전자, 브라질서 부산엑스포 유치 홍보",LG전자(066570)가 브라질에서 ‘K-오페라’를 앞세워 ‘2030 부산세계박람회’ 유치 지원에 나섰다. 브라질 브라질리아 플리니오 마르코스 극장 앞에서 관람객들이 대형 LED TV화면에 나오는 부산세계박람회 유치 홍보영상을 보고 있는 모습. (사진=LG전자) LG전자와 ㈜LG는 브라질 현지시간 기준 지난달...
2023.06.01.,"LG전자, 브라질서 'K-오페라'로 부산엑스포 유치 지원","솔오페라단 공연 후원…경영진, 공연장 찾은 주요인사들에 지지 요청 LG전자가 브라질에서 'K-오페라'를 앞세워 '2030 부산세계박람회(엑스포)' 유치 지원에 나섰다. LG전자와 ㈜LG는 지난달 30일(현지시간) 브라질 브라질리아 플리니오 마르코스 극장에서 국내 대표 민간 오페라단 '솔오페라단'이 펼친 오페라..."
2023.06.01.,"삼성, 미국인이 사랑하는 브랜드 7위…LG전자는 18위","LG전자는 18위를 기록했다. 미국 경제 전문매체 CNBC는 31일(현지 시각) 미국 인터넷매체 악시오스와 여론조사기관 해리스폴이 매년 실행하는 ‘100대 브랜드’ 조사 결과를 인용해 이같이 전했다. 7위를 기록한 삼성은 지난해보다 순위가 1단계 내려갔다. 서비스 및 품질, 성장도 부문 점수는 각각 84.6점..."
2023.06.01.,"LG전자, 브라질서 '2030 부산엑스포' 유치 지원","LG전자(066570)가 브라질서 'K-오페라'를 앞세워 '2030 부산세계박람회(엑스포)' 유치 지원에 나섰다. LG전자와 ㈜LG는 브라질 현지시간 30일 국내 대표 민간 오페라단 '솔오페라단(Sol' Opera)'이 브라질리아 플리니오 마르코스 극장(Teatro Plinio Marcos)에서 펼친 오페라 춘향전 '춘향-사랑, 사랑 내..."
2023.06.01.,"LG전자, 2023년형 휘센 듀얼 인버터 제습기 출시",LG전자가 2023년형 '휘센 듀얼 인버터 제습기'를 출시한다. LG전자가 동급 최강의 제습 성능은 물론 오브제컬렉션 컬러로 디자인 감각을 더한 2023년형 '휘센 듀얼 인버터 제습기'를 1일 출시한다. 신제품은 휘센 제습기만의 차별화된 핵심부품 '듀얼 인버터 컴프레서'를 탑재해 강력한 제습 성능을 갖췄다....
2023.06.01.,"LG전자, 브라질서 ‘K-오페라’ 후원하며 ‘2030 부산세계박람회’ 유치 지원",LG전자와 ㈜LG가 브라질에서 ‘K-오페라’를 앞세워 ‘2030 부산세계박람회’ 유치 지원에 나섰다고 1일 밝혔다. 국내 대표 민간 오페라단 ‘솔오페라단(Sol' Opera)’이 30일(현지시간) 브라질리아 플리니오 마르코스 극장(Teatro Plinio Marcos)에서 펼친 오페라 춘향전을 후원했다. 부산에서 창단한...
2023.06.02.,"UNIST-LG전자, 산학협력센터 설립…공동 연구 박차","UNIST(울산과학기술원)과 LG전자가 산학협력센터를 설립하고 공동 연구에 박차를 가한다. UNIST와 LG전자는 2일 대학 본관 6층에서 업무협약을 갖고, 산학협력센터 설립에 합의했다. 앞서 두 기관은 지난 2020년 산학협력 협약을 체결한 이후, 인공지능, 전력전자 등 5개 부문에서 연구 개발과 인재 양성..."
2023.06.02.,유니스트-LG전자 산학협력 강화…협력센터 설립·채용 확대,"유니스트가 2일 LG전자와 산학협력 증진을 위한 협약을 맺었다고 밝혔다. 협약식은 이날 오후 3시에 유니스트 본관 6층에서 열렸다. 협약식에 LG전자의 H&A(생활가전)사업본부장 류재철 사장, H&A연구센터장 오세기 부사장, 에어솔루션연구소장 진심원 전무, H&A HR담당 이길노 상무 등 10여명의 임원진과..."
