날짜,제목,내용
2023.06.01.,"'배터리 소재 확대' LG화학, CNT·양극재로 전기차 시대 대비",LG화학이 전기차 시대를 대비해 배터리 소재 사업을 확대한다. 차세대 배터리 소재인 탄소나노튜브(CNT)와 함께 배터리 생산에 필요한 양극재 생산능력을 높이는 게 핵심이다. 1일 업계에 따르면 LG화학은 오는 2025년 완공을 목표로 충남 대산에 CNT 4공장을 최근 착공했다. 이 공장이 완성되면...
2023.06.01.,"LG화학, NASH 치료제 1건 기술반납…남은 3건 개발집중","석유화학·생명과학기업 LG화학이 개발 중인 NASH(비알코올성지방간염) 치료제 3건에 집중한다. 1일 관련 업계에 따르면, LG화학은 스웨덴 기업인 스프린트 바이오사이언스로부터 2019년 기술 도입한 NASH 치료제 후보물질을 반환하고, 개발 중인 3건의 연구에 집중한다. LG화학 관계자는 “현재 NASH..."
2023.06.01.,"KB證, 원금비보장 ELS 12종 공모... LG화학株 등 활용","개인투자자 5일 오후 4시 마감 [시장경제=정규호 기자] 사진=KB증권 KB증권이 LG화학 보통주(KS. 051910), S&P500지수와 Eurostoxx50지수를 기초자산으로 활용하는 KB able ELS 2986호(3년만기, 6개월단위 조기상환, 조건 충족시 세전 연 13.00%) 등 원금비보장형 주가연계증권(ELS) 12종 상품을..."
2023.06.01.,"코스피, 기관 순매수도 상위 10종목(31일)...LG에너지솔루션-삼성전자우-LG화...","▲31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. © 연합뉴스. 31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. 반면, SK하이닉스, 삼성전자. KT를 집중 매도했다."
2023.06.01.,불붙은 이차전지 특화단지 유치전…정치권도 합세,현재 LG화학 등 이차전지 전구체 생산업체들의 대규모 투자가 이어져 관심이 집중되고 있다. 국내 유일의 RE100 실현의 최적지라는 점에서 경쟁 도시에 밀리지 않는다는 입장이다. 울산은 전국 1위 리튬이차전지 밸류체인을 강점을 내세우고 있다. 울산에는 ▲삼성SDI·현대자동차 등 ‘전지제조’ ▲고려아연...
2023.06.01.,‘2200억 베팅’ 개미들 이번엔 맞힐까?…증권사는 정반대 의견인데,이어 에코프로(4283억원)과 LG화학(2702억원) 등이 뒤를 이었다. 반대로 삼성전자(-2조4225억원)와 SK하이닉스(1조186억원)는 대거 순매도했다. 하지만 증권사들은 실적 동력을 갖춘 반도체 종목을 긍정적으로 보고 있다. 노동길 신한투자증권 연구원은 “반도체가 한국 주식 시장 상승을 견인하고 있다”며...
2023.06.01.,"이차전지 특화단지 최적지, 왜 새만금인가?","최근 1조2,000억원의 대규모 투자협약을 체결한 ㈜LG화학·화유코발트, GEM뉴에너지머티리얼즈(중국(GEM)+에코프로머티리얼즈+SK온 합작법인) 등은 물론, 이미 에코앤드림(양극소재), 대주전자재료(음극소재), 천보BLS, 덕산테코피아(전해질), 성일하이텍(리싸이클링) 등이 둥지를 틀고 있다. 이로 인해 현재..."
2023.06.01.,"덩치 빠르게 키우는 LX, 과도한 LG 의존도는 숙제","LX판토스도 지난해 LG전자와 LG화학으로부터 거둔 매출이 전체 매출의 56.3% 수준이다. 주력사업인 ‘운수 및 창고업’을 영위하는 대기업집단 평균 내부거래 비중인 20.1%의 3배에 육박한다. LX판토스는 LG전자, LG디스플레이, LG화학 등의 물류를 주로 담당해왔기 때문에 LG계열 의존도가 높을 수밖에 없다...."
2023.06.01.,"[시황종합]코스피, 美 증시 약세와 수출 부진 우려에 하락","LG에너지솔루션(373220) -2.5%, 기아(000270) -1.98%, 삼성SDI(006400) -1.39%, 현대차(005380) -1.25%, LG화학(051910) -0.87%, 삼성전자(005930) -0.7% 등은 하락했다. 코스닥은 전날 대비 6.84p(0.80%) 상승한 863.78에 거래를 마쳤다. 외국인은 559억원 순매수했다. 기관은 149억원, 개인은 265억원 각각 순매도했다...."
2023.06.02.,신학철 “LG화학 일원 돼 달라” 日 인재들에 러브콜,신학철 LG화학 부회장이 직접 일본에서 3대 성장동력 인재 확보에 나섰다. LG화학은 신학철 부회장이 6월 1일 최고인사책임자(CHO)인 김성민 부사장 등 주요 경영진과 함께 일본 인터컨티넨탈 도쿄 베이 호텔에서 열린 ‘비즈니스 앤드 캠퍼스(BC)투어’를 진행했다고 밝혔다. BC 투어는 주요 경영진이 직접...
2023.06.02.,"신학철 LG화학 부회장, 日서 신성장동력 이끌 인재확보 나서",도쿄서 채용 행사 'BC투어'…주요대학 석박사 40여명 초청 LG화학 신학철 부회장이 직접 일본에서 3대 성장동력을 이끌 인재 확보에 나섰다. LG화학은 신 부회장이 최고인사책임자(CHO) 김성민 부사장 등 주요 경영진과 함께 지난 1일 일본 인터콘티넨털 도쿄 베이 호텔에서 'BC(Business & Campus) 투어'를...
2023.06.02.,"신학철 LG화학 부회장, 신성장 동력 인재 찾아 일본행",일본 도쿄서 글로벌 인재 채용 행사 BC 투어 주관 LG화학은 지난 1일 신학철 부회장이 최고인사책임자(CHO) 김성민 부사장 등 주요 경영진들과 함께 일본 인터컨티넨탈 도쿄 베이 호텔에서 열린 BC(Business & Campus) 투어에 참여했다고 2일 밝혔다. BC 투어는 주요 경영진이 직접 현지 우수 인재들과 소통하며 현장...
