날짜,제목,내용
2023.06.01.,네이버가 4달간 중소상공인 브랜드 구축 돕는다,"네이버(NAVER)가 SME(중소상공인) 스케일업을 위한 새로운 성장 지원 프로그램인 'SME 브랜드 런처'를 시작한다고 1일 밝혔다. 이 프로그램은 사업자들이 창업 이후 고유의 상품과 스토리를 비즈니스 자산으로 구축했을 때 내실 있는 브랜드로 지속 가능한 성장을 이어갈 수 있는 만큼, 이 과정에서 필요한 교육..."
2023.06.01.,"Korea’s Naver, Kakao to ban AI use in webtoon contests","South Korean platform behemoths Naver Corp. and Kakao Corp. have decided to ban participants of webtoon contests from using artificial... decision, Naver also announced Wednesday that it will ban the use of AI tools in its webtoon contest to respond to the growing resistance..."
2023.06.01.,"현대차證 “네이버, 하이퍼클로바X 시장 연착륙할 것”","현대차증권이 NAVER(네이버)의 인공지능(AI)·로봇 사업에 대한 기대감을 드러냈다. 그러면서 목표 주가 29만원, 투자 의견 ‘매수’를 제시했다. 지난달 31일 네이버의 종가는 19만9500원이다. 1일 김현용 현대차증권 연구원은 “네이버는 7~8월 새로운 파운데이션 모델 하이퍼클로바X를 공개할 계획”이라고 했다...."
2023.06.01.,KOSPI 200 Closing Price List-4,"KOSPI 200 Closing Price List-4 KEPCO E&C 67,700 UP 900 Kangwonland 18,120 DN 110 NAVER 204,000 UP 4,500 ShinhanGroup 34,700 DN 350 HYUNDAIHOMESHOP 46,250 DN 250 Kakao 56,100 DN 100 NCsoft 321,000 0 HANATOUR SERVICE 53,700 DN 900 COSMAX 81,100 UP 1,600 KIWOOM 93,500 DN 300..."
2023.06.01.,"LG유플러스, 에릭슨엘지와 차세대 네트워크 기술 개발 ‘맞손’","한국정경신문 김명신 기­자 misooya@naver.com LG유플러스는 통신장비 제조업체인 에릭슨엘지와 손잡고 네트워크에 AI·QoS 등 기능을 더한 차세대 코어 기술을 시연하고, 향후 미래 네트워크 기술 개발에 협업하기로 했다고 1일 밝혔다.양사가 함께 시연한 기술은 5G 네트워크에 AI·머신러닝·QoS 등..."
2023.06.01.,"한사랑씨앤씨, 인강용 삼성 노트북 플러스2 NT550XDA-K24A 네이버 특가 판매",▲ ©한사랑씨앤씨 삼성전자 온라인 공식 인증점 한사랑씨앤씨는 오는 오는 6월 1일(목요일)부터 6월 11일(일요일)까지 NAVER 쇼핑 `HOT SUMMER 갤럭시북 & 탭` 프로모션을 통해 자사가 유통 중인 `삼성 노트북 플러스2` NT550XDA-K24A를 특가에 진행한다고 밝혔다. 알림 받기 시 5% 다운로드...
2023.06.01.,"미 증시 관망 짙어..엔비디아,삼성전자 의존 낮춰야...비트코인 조정, 시장 속...","5월 국내 수출지표가 부진하게 나와 역시 불안했지만 SK하이닉스와 NAVER, 삼성바이오로직스 등이 강세를 보여 염려했던 것 보다는 나름 선전했다고 평가되고 있다. 삼성전자는 소폭 조정을 받았고 LG에너지솔루션과 LG화학, 삼성SDI가 동반 하락해 아쉬움을 남겼다. 현대차와 기아도 조정을 보였고 에코프로와..."
2023.06.01.,"""누구나 쇼호스트처럼""…AI가 '라방' 대본도 1분내 써준다","가격도 저렴해서 좋은 가성비로 추 천드리는 제품입니다."" AI(인공지능)가 작성한 네이버(NAVER) 쇼핑라이브 대본 초안이다. 네이버는 이같은 'AI 큐시트 헬퍼' 서비스를 베타 출시했다고 1일 밝혔다. AI가 블로그나 스마트스토어로부터 상품군별 장점 및 고객 후기를 추출·요약해 제공하면, 네이버의 초거대..."
2023.06.01.,"[오늘의 증시 리포트] “네이버, AI와 로봇에 건 미래”","이투데이=김예슬 기자 | ◇NAVER AI, 그리고 로봇에 미래를 건 네이버 AI: 세계 3번째 거대언어모델 고도화로 현지화에 강점 & 다수 AI 서비스 운영 경험 보유 로봇: 네이버 미래 기술을 집약시킨 디바이스로 딜리버리부터 AR, 자율주행까지 영역 확장 김현용 현대차증권 ◇엔씨소프트 합리적 우려와 지나친..."
2023.06.01.,"아이티언, F5 NGINX 한국 총판으로서 API Gateway 도입 전문 컨설팅 서비스 제...","고성능 API Gateway 도입을 위한 전문 컨설팅 서비스 제공 NAVER CLOUD PLATFORM 사용자 위한 특별 프로모션과 웨비나 다시 보기 가능 F5 NGINX... 아이티언 측에 따르면 국내 CSP와 솔루션 제휴 파트너십을 통해 NAVER CLOUD PLATFORM, KT Cloud, NHN Cloud 마켓 플레이스에서 NGINX Plus API Gateway를..."
2023.06.02.,"코스피, 외국인 순매수도 상위 10종목(1일)...SK하이닉스-삼성전자-NAVER","▲ 1일 코스피 시장에서 기관은 SK하이닉스, 삼성전자, NAVER를 집중 매수했다.© 연합뉴스. 1일 코스피 시장에서 외국인은 SK하이닉스, 삼성전자, NAVER를 집중 매수했다. 반면, LG화학, KB금융, LG에너지솔루션을 집중 매도했다."
2023.06.02.,韓 명소 된 네이버 신사옥 '1784'…태평양도서 5개국 방문,태평양도서 5개국의 장·차관 등 주요관계자들이 지난 1일 네이버(NAVER)의 세계 최초 로봇 친화형 빌딩 1784를 방문했다. 네이버에 따르면 △파푸아뉴기니 독립국 티모시 마시우 정보통신기술부 장관 △쿡제도 틴지카 엘리카나 외교통상부 차관보 △키리바시 공화국 도밍고 바우로 카부나레...
2023.06.02.,[인터넷 K-뉴딜] NAVER 2.26% 올라 지수 구성종목 중 상승률 1위,"이들 구성 종목 중 NAVER는 전거래일 대비 2.26% 상승해 KRX 인터넷 K-뉴딜지수 구성 종목 중 주가상승률 1위를 기록했다. NAVER 뒤를 이어 안랩, 케이엠더블유 종목도 각각 1.27%, 1.07%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 카카오페이는 -4.33%를 기록해 KRX 인터넷 K-뉴딜지수..."
2023.06.02.,"Samsung, Naver Cloud team up to provide private 5G network at constructi...","Samsung Electronics said Friday it is joining hands with Naver Cloud to launch a private 5G network for Hoban Construction, bringing the... Naver Cloud has a license for private 5G dedicated spectrum in Korea, where the 4.7 Gigahertz frequency band is dedicated for private..."
2023.06.02.,Naver 'AI Q-sheet Helper' is on,"Naver announced on the 1st that it has opened a beta service called ""AI Q-sheet Helper"" on the 31st that automatically creates a draft... Naver's ultra-large language model ""Hyper Clova"" technology was applied to the service. The cue sheet consists of a variety of contents..."
2023.06.02.,"AI 관련주 밀어올린 엔비디아발 강풍 네이버에는 미풍 그쳐, 6월에는 달라질까","""AI 기대감은 이미 다 반영된 건가요?"" ""엔비디아 때문에 오늘은 올라야하는 날인데..."" 네이버 증권사이트에서 'NAVER' 종목을 검색해 종목토론실을 보면 위와 같은 제목의 투자자들의 푸념을 다수 찾아 볼 수 있다. 네이버 주가가 3분기 선보일 '하이퍼클로바X' 기대감에 6월 이전과 다른 움직임을 보일..."
2023.06.02.,"디딤365 네이버웍스 공공기관용, ‘조달청 디지털서비스몰’ 클라우드서비스(...",멀티클라우드 매니지먼트 기업 디딤365(대표 장민호)는 공공기관과 지자체를 위한 업무용 협업도구 ‘디딤365 NAVER WORKS for 공공용’이 한국지능정보사회진흥원(NIA) ‘디지털서비스 이용지원시스템’과 조달청 ‘디지털서비스몰’ 디지털서비스에 등록됐다고 1일 밝혔다. 네이버클라우드의 업무용...
2023.06.02.,"경남여성새일센터, 구직 지원 효율성 강화","경남새일센터는 여성 취·창업 온라인 플랫폼 우먼메이커스(cafe.naver.com/gnwomenwork)를 운영하며 경남도내 여성들에게 다양한 취·창업정보를 온라인상으로 지원하고 있다. 네이버 카페의 형태로 운영되는 이곳은 최근 회원 수가 1만2000여명으로 취·창업, 각종 지원제도 정보 공급을 중심으로 교육, 육아, 생활..."
2023.06.02.,SKT 유영상 표 ‘AI 컴퍼니’…진심인 이유,한국정경신문 김명신 기­자 misooya@naver.com ‘기술과 서비스로 고객을 이롭게 하는 AI 컴퍼니’를 표방하고 나선 SKT텔레콤의 인공지능(AI) 사업 확대 행보가 속도를 내고 있다. 유영상 SKT 대표는 올해를 ‘AI 컴퍼니’로 도약하고 전환하는 비전 실행의 원년이라고 발표하며 글로벌 빅테크 수준의...
2023.06.02.,"[마켓뷰] 코스피, 1년 만에 2600선 되찾았다","현대차와 기아도 1%대 상승했고, 네이버(NAVER)와 카카오는 각각 0.25%, 1.96% 올랐다. LG에너지솔루션은 0.68%, 삼성SDI는 1% 상승했다. 삼성바이오로직스는 소폭 하락했다. 코스닥지수는 전날 대비 4.28포인트(0.50%) 상승한 868.06에 장을 마감했다. 코스닥시장에서는 개인과 외국인이 각각 359억원..."
2023.06.03.,'2023 월드 디제이 페스티벌-서울' 2일 개막,"/ 양용은 기자 taeji1368@naver.com 지난 2일(금) 경기도 과천시 서울랜드에서 '2023 월드 디제이 페스티벌-서울(이하 월디페 서울)'이 개막했다. 대한민국 EDM 페스티벌의 자존심을 지키고 있는 월드 디제이 페스티벌은 전 세계 유명 DJ들과 함께 음악을 즐길 수 있는 대규모 행사다. 올해는 제드, 갈란티스..."
2023.06.03.,"실망스러운 '인어공주', 믿는 도끼에 발등 찍힌 디즈니",만듦새와 볼거리 역시 현재 디즈니의 위상과 자본력을 생각하면 아쉬움이 크다. 그 결과 100주년을 맞이해 더 화려하고 세밀해진 디즈니 성의 미래는 마냥 밝지 않아 보인다. 덧붙이는 글 | 개인 블로그(https://blog.naver.com/potter1113)와 브런치(https://brunch.co.kr/@potter1113)에 게재한 글입니다.
2023.06.03.,"증시 안정 더할 것..FOMC 주목 필요, 삼성전자와 대형주 순환매 예상..골디락...","(사진=연합뉴스) 다음주 우리 증시도 삼성전자와 SK하이닉스가 안정적인 흐름 속에 LG에너지솔루션과 LG화학, 삼성SDI를 비롯해 현대차와 기아, NAVER 등 업종 대표주들이 순환하며 장을 이끌 수 있을 것으로 예상한다. 에코프로와 엘앤에프, POSCO홀딩스 등 2차전지 관련주들도 조정이 깊어진 만큼 적정한 수준에서..."
2023.06.03.,[포토] 일상에서 벗어난 일탈 '월디페 서울' 핫한 페스티벌룩,/ 양용은 기자 taeji1368@naver.com 반복된 일상에서 잠시 벗어나 일탈을 즐기는 EDM 마니아들의 개성 넘치는 페스티벌 룩이 눈길을 끌었다. 지난 2일... / 양용은 기자 taeji1368@naver.com 엔데믹을 맞아 올해 본격적으로 재개된 뮤직 페스티벌 월디페는 2일(금)부터 4일(일)까지 사흘간 일정으로 역대 최대...
2023.06.03.,울산시 감염병 예방 초성퀴즈 이벤트 실시,행사 참여 방법은 인터넷주소(m.site.naver.com/19hPV) 또는 정보무늬(QR)로 접속해 설문조사 후 제출하면 되며 정답자를 대상으로 추첨을 통해 총 300명에게 모바일 커피 교환권을 제공할 예정이다. 울산시 관계자는 “울산시 다빈도 감염병 및 예방 수칙을 알리고자 이번 행사를 진행하게 됐다”라며...
2023.06.03.,[소설]멤버십-제1장 파랑새는 울지 않는다!,"msw301792@naver.com *아래는 위 기사를 '구글 번역'으로 번역한 영문 기사의 [전문]입니다. '구글번역'은 이해도 높이기를... It is assumed that there may be errors in the English translation.> msw301792@naver.com [Essay] Blue Birds Don't Cry! -Dr. Sewon Mo That year, I decided to..."
