날짜,제목,내용
2023.06.01.,최정우 포스코그룹 회장 “美 IRA 주시… 리튬·니켈 원산지가 걱정”,최정우 포스코그룹(POSCO홀딩스) 회장은 “미국 인플레이션 감축법(IRA) 등 최근 새로운 규제 법안에 촉각을 곤두세우고 있다”며 “포스코가 아르헨티나와 인도네시아 사업을 통해 조달하는 리튬과 니켈이 IRA의 수혜 대상이 될지를 가장 걱정하고 있다”고 말했다. 최 회장은 지난달 31일(현지시각) 캐슬린...
2023.06.01.,"KB證, 원금비보장 ELS 12종 공모... LG화학株 등 활용","KB able ELS 2985호(1스탁, 2인덱스 스텝다운형)는 POSCO홀딩스 보통주(KS. 005490), S&P500지수와 EuroStoxx50지수를 기초자산으로 하며, 3년 만기에 6개월 단위로 조기상환 기회와 조건 충족시 최고 연 12.00%(세전)의 수익을 제공한다. KB able ELS 2986호(1스탁, 2인덱스 스텝다운형)는 LG화학..."
2023.06.01.,[주식 초고수는 지금] '하반기 뉴럭스 출시' 메디톡스 순매수 1위,"에코프로(086520), 코스모신소재(005070), 오픈엣지테크놀로지(394280), POSCO홀딩스(005490) 등도 순매도 상위권에 이름을 올렸다. 전 거래일 순매수 1위는 에코프로다. 메디톡스, 기가비스(420770), 엘앤씨바이오(290650), 엠로(058970)가 뒤를 이었다. 전 거래일 순매도 1위는 이오플로우(294090)였으며 이어..."
2023.06.01.,코스피 기관 매도에 0.31% 하락…2560선 마감,"NAVER(035420)(2.26%), POSCO홀딩스(005490)(0.28%)는 상승했다. 업종별로는 의료정밀(4.03%), 전기가스업(1.59%), 의약품(1.28%), 종이목재(0.62%) 순으로 상승했다. 반면 통신업(-1.64%), 증권(-1.38%), 유통업(-1.00%), 운수장비(-0.99%)는 하락했다. 코스닥은 전 거래일보다 6.84포인트(0.80%) 오른 863.78을..."
2023.06.01.,[철강株 UP&DOWN] 세아베스틸지주 4.5% 상승…TCC스틸 유에스티 3.9%,"5% 등 - 철강 빅3 : 포스코(POSCO)홀딩스 0.3% 상승, 현대제철 0.3% 상승, 동국제강 보합 - 주간 상승률 : TCC스틸 5.6%, 유에스티는 4.4%, 동일산업 3.4%, 한국선재 3.1% 등 - 주간 하락률 : 키스코(KISCO)홀딩스 6.5%, 제이스코홀딩스 6.2%, 현대제철 4.9%, 동국산업 4.6% 등 ◆ 주요 뉴스 [핫토픽] 철스크랩 1년새..."
2023.06.01.,외인·기관 '팔자'에 코스피 0.3% 하락…2560선으로 물러나,"네이버(NAVER)(2.26%), SK하이닉스(1.57%), 삼성바이오로직스(0.51%), POSCO홀딩스(0.28%)는 상승했다. 업종별로는 통신업(-1.69%), 증권(-1.14%), 운수창고(-0.97%), 운수장비(-0.94%), 유통업(-0.88%) 순으로 약세를 보였다. 의료정밀(4.53%), 전기가스업(1.60%), 의약품(1.28%), 종이·목재(1.19%), 서비스업(0.61%) 순으로..."
2023.06.01.,"코스피, 수출 부진 우려에 '하락'…코스닥은 바이오 힘입어 '상승'","SK하이닉스(1.57%), 삼성바이오로직스(0.51%), 네이버(2.26%), POSCO홀딩스(0.28%)의 주가는 올랐다. 반면 LG에너지솔루션(-2.5%), 삼성SDI(-1.39%), LG화학(-0.87%) 등 2차전지 관련주의 주가는 하락했다. 최근 강세를 보였던 삼성전자(-0.7%)는 이날 약세를 보였다. 수출이 부진했던 점이 주가에 부담이 된 것으로..."
2023.06.01.,"[마감시황]코스피, 기관·외인 매도세에 2560선 하락 마감","시가총액 상위종목 중 SK하이닉스(1.57%), 삼성바이오로직스(0.51%), NAVER(2.26%), POSCO홀딩스(0.28%) 등은 상승했고 삼성전자(-0.70%), LG에너지솔루션(-2.5%), 삼성SDI(-1.39%), LG화학(-0.87%), 현대차(-1.25%), 기아(-1.98%) 등은 하락했다. 코스닥지수는 전일 대비 0.8% 오른 863.78에 장을 마쳤다...."
2023.06.01.,"코스피, 2,560선 공방전…반도체株 주춤에 지수 하락 압력","POSCO홀딩스(0.83%)와 삼성SDI(1.39%), 현대차(1.85%), 기아(1.98%), 포스코퓨처엠(0.43%), LG화학(1.01%) 등은 내려가고 있다. 같은 시각 코스닥지수는 전 거래일보다 1.19포인트(0.14%) 오른 858.13을 나타냈다. 지수는 0.99포인트(0.12%) 내린 855.95로 출발해 오름세로 돌아섰다. 코스닥시장에서는 외국인과 기관이..."
2023.06.02.,"코스피, 1년만에 2600 돌파 “훈풍 계속 되나요”","이외에 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 강세를 보였다. 반면 삼성바이오로직스(-0.38%), 셀트리온(-1.08%) 등은 약세였다. 업종별로는 서비스업(0.37%), 음식료품(0.67%) 등이 상승했지만 운수·창고(-0.26%), 통신업(-0.08%) 등은 하락했다. 코스닥지수는..."
2023.06.02.,"코스피, 종가 기준 1년여 만에 2600선 회복[마감시황]","그외 LG화학, POSCO홀딩스, 포스코퓨처엠 등이 각각 4%대 강세를 나타냈고 삼성SDI, 현대차, 기아, 카카오 등이 1~2% 안팎의 상승세를 보였다. 코스닥지수는 4.28포인트(0.50%) 오른 868.06에 장을 마감했다. 코스닥 시총 상위 종목 중에서는 에코프로비엠(2.20%), 에코프로(0.89%), 엘앤에프(0.38%), HLB(0.53..."
2023.06.02.,"코스피, 외인‧기관 매수에 상승…1년 만에 2600선 회복","이밖에 POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%), 포스코엠텍(3.11%), 포스코스틸리온(3.03%), 포스코인터내셔널(3.84%) 등 포스코그룹주는 제너럴모터스(GM)와 양극재·전구체 북미 합작투자를 확대한다는 소식에 일제히 상승세를 기록했다. 김석환 미래에셋증권 연구원은 ""미국 부채한도 협의 및 6월..."
2023.06.02.,"코스피, 1년 만에 2600선 돌파","LG에너지솔루션(373220)(0.68%), LG화학(051910)(4.95%), 삼성SDI(006400)(0.99%), 현대차(005380)(1.01%), 기아(000270)(1.19%), NAVER(035420)(0.25%), POSCO홀딩스(005490)(4.29%) 역시 상승했다. SK하이닉스(000660)는 보합으로 장을 마쳤고 삼성바이오로직스(207940)(-0.38%)는 하락했다. 업종별로는 철강금속(3.14%), 화학..."
2023.06.02.,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG...","이외에 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 강세를 보였다. 반면 삼성바이오로직스[207940](-0.38%), 셀트리온[068270](-1.08%) 등은 약세였다. 업종별로는 서비스업(0.37%), 음식료품(0.67%) 등이 상승했지만 운수·창고(-0.26%), 통신업(-0.08%) 등은..."
2023.06.02.,"코스피, 1년만에 종가 기준 2600선 돌파…외국인·기관 '사자'","시총 상위주 가운데 LG화학과 POSCO홀딩스가 각각 4% 넘는 상승세를 보였다. 삼성전자, 현대차, 기아 등도 1% 넘게 주가가 뛰었다. LG에너지솔루션, 삼성SDI 등은 소폭 상승한 반면 삼성바이오로직스는 소폭 하락한 채 거래를 마쳤다. 포스코퓨처엠이 GM과 북미 배터리 합작 투자를 확대하고 공급망..."
2023.06.02.,"[마감시황]코스피, 1년 만에 2600선 탈환","시가총액 상위 종목 중 LG화학(4.95%), POSCO홀딩스(4.29%), 삼성전자(1.83%), 기아(1.19%), 현대차(1.01%), 삼성SDI(0.99%), LG에너지솔루션(0.68%), NAVER(0.25%) 등 대부분이 상승했고 삼성바이오로직스(-0.38%) 등은 하락했다. 코스닥지수는 전거래일 대비 0.50% 오른 868.06에 장을 마쳤다. 투자자별로는..."
2023.06.02.,"코스피, 1년 만에 2600선 회복","대장주인 삼성전자는 1300원(1.83%) 올라 7만2200원으로 장을 마감했고 LG화학, POSCO홀딩스, 포스코퓨처엠 등은 4%대 상승률을 기록했다. 삼성SDI, 현대차, 기아, 카카오 등 역시 1% 이상 올랐다. 반면 코스닥지수의 상승세는 코스피에 미치지는 못했다. 코스닥지수는 이날 4.28p(0.50%) 오른 868.06으로 장을..."
2023.06.03.,"코스피, 기관 순매수도 상위 10종목(2일)...카카오-한화솔루션-POSCO홀딩스","▲ 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다.© 연합뉴스. 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다. 반면, 아모레퍼시픽, 한미반도체, LG생활건강을 집중 매도했다."
2023.06.03.,[철강株 UP&DOWN] POSCO홀딩스 4.3% 상승…KISCO홀딩스 3.5% 현대제철 2.3%,"◆ (6월 2일) 철강 50개 기업 중 31곳 상승…14곳 하락 5곳 보합 ※ 철근 H형강 앵글 잔넬 등 건설용 철강재 가격정보 제공 → 스틸웨어 바로가기 - 상승 : POSCO홀딩스 4.3%, KISCO홀딩스 3.5%, 현대제철 2.3%, NI스틸 2.2%, 동국S&C 2.1%, 동국산업 2.1% 등 - 하락 : 동일산업 1.8%, 한일철강 1.5%, KG스틸 0.8..."
2023.06.03.,"6월 첫째 주, 마켓PRO 핫종목·주요 이슈 5분 완벽정리 [위클리 리뷰]","이번 주(5월29일~6월2일) 마켓PRO에선 호텔신라와 POSCO홀딩스 등에 대한 투자 포인트를 살펴봤습니다. 반도체 섹터 담당 애널리스트에게 듣는 엔비디아발 훈풍에도 메모리 반도체 수익률 저조한 이유, 삼성전자와 SK하이닉스 주가 수익률 전망 등 다양한 정보를 한경닷컴 독자들에게 전달했습니다. 이 종목..."
2023.06.03.,(이슈&이슈)중간배당으로만 5% 수익률 잡아라,"그래서 지금은 현대차보다 POSCO홀딩스가 조금 더 나아 보입니다. POSCO홀딩스는 분기배당주입니다. SK텔레콤과 LG유플러스의 관계에서처럼, 9월을 넘긴다면 POSCO홀딩스의 수익률이 조금 더 높습니다. 중간배당을 하는 기업들은 상반기보다 하반기 배당에 더 신경 쓰는 경우가 많습니다. 일단 중간배당은 조금만..."
2023.06.03.,"2차전지가 밀고 반도체가 끌었다… 코스피, 1년만에 2600선 돌파","세부적으로 POSCO홀딩스 주식을 4647억원 순매수(매수 및 매도 금액을 합한 순수 거래 실적 대금)했고 에코프로와 에코프로비엠 주식도 각각 2064억원, 1018억원 규모로 매집했다. 개인 투자자들의 수급이 집중되면서 주가도 뛰었다. 이 기간 POSCO홀딩스가 기록한 주가 상승률은 38.42%로 40%에 육박했고..."
2023.06.03.,"코스피, 1년만에 2,600 돌파···외국인·기관 상승 견인","이외에도 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 상승세를 보였다. 코스닥지수는 전장보다 4.28포인트(0.50%) 오른 868.06으로 마쳤다. 지수는 2.38포인트(0.28%) 오른 866.16에 개장한 뒤 상승세를 보였다. 이날 코스닥 시장에서는 기관이 958억원어치를..."
2023.06.03.,"[리튬관련주] 20개종목 상승마감, 대보마그네틱16%상승""다음주도 이어질까"" 테...","대보마그네틱은 16.92%로 강세였고, 지오릿에너지, 어반리튬, 강원에너지, 유일에너테크, LG화학, POSCO홀딩스, 포스코퓨처엠, 매리나노텍, 포스코엠텍, 새빗캠, 하이드로리튬, 세방전지, 에코프로, 후성, 천보, 성일하이텍, 금양, 코스모화학, 이엔플러스도 상승마감했다. 광무, 이브이첨단소재는 하락 마감했다...."
2023.06.03.,"증시 안정 더할 것..FOMC 주목 필요, 삼성전자와 대형주 순환매 예상..골디락...","에코프로와 엘앤에프, POSCO홀딩스 등 2차전지 관련주들도 조정이 깊어진 만큼 적정한 수준에서 안정된 흐름을 보여줄 수 있기를 바라는 마음이다. 현재 비트코인과 이더리움, 리플 등 주요 가상자산들은 큰 변동이 없는 잠잠한 흐름이 이어지고 있다. 미 은행주들의 상승 영향을 받은 것으로 보이나 더 큰..."
