날짜,제목,내용
2023.06.01.,"SK지오, 대학생 환경 서포터즈 발족",‘지오즈’ 6개월간 환경보호 활동 20명 선발에 421명 몰려 치열 SK이노베이션의 석유화학부문 자회사 SK지오센트릭이 대학생들과 함께 환경 보호에 나선다. 1일 SK지오센트릭은 지난 30일 서울 종로구 SK그린캠퍼스(종로타워)에서 대학생 서포터즈 ‘지오즈(GEO’Z)’를 공식 발족했다고 밝혔다. 지오즈는...
2023.06.01.,"프로농구 SK, 김재환·문형준·힉맨 코치 선임","프로농구 서울 SK가 김재환, 문형준, 네이트 힉맨 코치를 선임했다고 1일 밝혔다. 김재환 신임 코치는 휘문고와 연세대 출신으로 2007년부터 2012년까지 SK 선수로 뛰었으며 은퇴 이후 매니저를 역임했다. 단대부고, 단국대를 나온 문형준 코치는 2009년부터 2011년까지 SK에서 현역 생활을 보냈고, 이후..."
2023.06.01.,"SK텔레콤, 0 청년 요금제 출시","SK텔레콤이 만 34세 이하 고객을 대상으로 한 ‘0 청년 요금제’를 출시하고 청년 세대를 위한 전방위적 혜택 제공에 나선다고 1일 밝혔다. 0 청년 요금제는 기존 5G 요금제와 같은 가격에 데이터 제공량을 최대 50GB 늘렸고, 커피, 영화, 로밍 등 각종 할인 혜택도 더했다. (사진=SK텔레콤) 2023.06.01...."
2023.06.01.,"SK쉴더스, ‘모바일가드’ 스미싱 탐지 기능 강화","SK쉴더스(대표 박진효)는 모바일 백신 앱 ‘모바일가드’의 신규 기능 업데이트를 실시했다고 1일 밝혔다. 모바일가드는 AI 백신 엔진을 기반으로... SK쉴더스, 모바일 백신 앱 ‘모바일가드’ 스미싱 탐지 강화 및 스미싱 신고 기능 추가(이미지= SK쉴더스) 스미싱, 메신저 피싱 메시지 발송 경로가 다변화되고..."
2023.06.01.,세계 낸드플래시 매출 16% 급감…SK하이닉스 24% 감소,특히 SK하이닉스의 경우 24.8%가 감소하며 상위권 기업들 중 가장 큰 폭의 감소세를 보였다. 1일 시장조사업체 트렌드포스에 따르면 1분기 낸드... 인텔로부터 인수한 낸드플래시 부분인 솔리다임을 합친 SK하이닉스는 1분기 매출 13억1550만 달러로 전분기 대비 24.8% 감소했다. 시장 점유율은...
2023.06.01.,SK텔레콤에서는 만 34세도 청년... 최대 50GB 더 준다,"SK텔레콤이 만 34세 이하 고객 대상 ‘0 청년 요금제’를 선보이고, 청년 세대를 위한 혜택을 전방위적으로 강화한다. SKT가 6월 1일 출시하는 ‘0(영) 청년 요금제’는 이통3사 중 가장 먼저 선보이는 청년 세대 요금으로, 유일하게 30대(만 34세 이하)까지 가입 가능한 5G 요금제다. 특히 기존 5G 요금제와..."
2023.06.01.,"""6월 계약시 20%할인""…SK매직 '스스로 플러스 직수 정수기' 출시","SK매직은 신제품 '스스로 플러스 직수 정수기'(모델명:WPU-JAC103, JCC103)를 출시했다고 1일 밝혔다. 스스로 플러스 직수 정수기는 기존 '스스로 직수 정수기'를 업그레이드한 프리미엄 모델이다. SK매직 관계자는 ""정수된 물을 담아 보관하는 탱크형(저수조) 방식이 아닌 정수된 물을 바로 제공하는 직수형..."
2023.06.01.,"변화의 SK, 전희철 감독 있어 더 강해진다!",SK 전희철 감독. 사진 | KBL SK는 아쉬운 준우승으로 시즌을 마무리했다. 하지만 명승부를 연출하며 드라마틱한 챔피언 결정전을 만들었다. SK 전희철 감독이 각고의 노력과 지략으로 객관적 전력 열세를 메우며 대등한 경기를 한 덕분이다. 전 감독은 준우승의 아쉬움을 뒤로 하고 새판짜기에 들어갔다. SK는...
2023.06.01.,"""부진 끝 반등 시작""…SK온, 재원·수율 본궤도 오른다",SK온이 그동안 수율과 재원조달 문제에서 벗어나 최근 반전 국면으로 접어든 분위기다. 지금까지 부진한 성적표가 수율 문제와 연관이 있었던 만큼 SK온의 경영 성과도 반등을 시작할 것이라는 기대감이 커지고 있다. SK온에 대한 긍정적인 신호는 우선 증권업계로부터 표출되고 있다. 1일 증권업계에...
2023.06.02.,"프로화 추진 핸드볼, 프로연맹 설립…총재에 최태원 SK 회장",2022-2023시즌까지 실업리그인 SK핸드볼 코리아리그를 운영한 대한핸드볼협회는 2023-2024시즌부터 프로리그 출범을 앞두고 있다. 새로 설립된 한국핸드볼연맹 총재는 최태원 SK그룹 회장이 맡기로 했다. 최태원 회장은 현재 대한핸드볼협회장이며 최근 프로농구 서울 SK 구단주에도 선임됐다....
2023.06.02.,"SK證 ""SK스퀘어, 리레이팅 요인 주가 미반영…목표가↑""","SK증권은 2일 SK스퀘어에 대해 리레이팅 요인은 주가에 미반영됐다고 분석했다. 투자의견은 매수로 유지하고 목표주가는 6만2000원으로 상향 조정했다. 최관순 SK증권 연구원은 ""SK스퀘어의 1분기 연결 실적은 매출액 112억원, 영업적자 6390억원이다. SK하이닉스 1분기 순이익이 마이너스 2조6000억원을..."
