날짜,제목,내용
2023.06.01.,"SK스퀘어, 할인율 축소에 따른 주가 재평가 기대..목표가↑-이베스트투자증권",한국정경신문 윤성균 기­자 [한국정경신문=] SK스퀘어의 1분기 실적이 중단사업 반영과 SK하이닉스 적자 영향으로 부진했다. 이베스트투자증권은 주주환원에 따른 순자산가치(NAV) 할인율 축소가 전망된다며 목표주가를 기존 5만1000원에서 5만5000원으로 올리고 투자의견 매수를 유지했다.1일 이승웅...
2023.06.01.,"SK, 유럽 양자위성 프로젝트 공식 합류…IDQ, 이글-1 이니셔티브 참가",우주용 암호화 키 생성 시스템 개발 참여 SK 정보통신기술(ICT) 투자 회사 SK스퀘어 자회사인 양자 원천 기술업체 IDQ(ID Quantique)가 유럽 최초 양자통신위성 '이글-1(EAGLE-1) 이니셔티브'에 공식적으로 합류했다. SK의 양자 암호 기술 투자가 결실을 맺고 있는 모양새다. IDQ는 지난달 31일(현지시간)...
2023.06.01.,"[통합보안 서비스 3사 집중분석-SK쉴더스②] SK쉴더스의 합병 역사와 매출, 지...","2022년 3월에는 금융위원회에 증권신고서를 제출하고 5월 유가증권시장(KOSPI) 상장을 계획했으나, 수요예측 후 기관투자자 수요 부진과 거시경제 불확실성으로 계획을 철회했다.그리고 2023년 3월 박정호 SK스퀘어 부회장은 스페인 바르셀로나에서 스웨덴 발렌베리 가문 계열 사모펀드..."
2023.06.01.,미래 가치 높은 스노우볼 상업시설 'BIFCⅡ 스퀘어가든',"GTX-B노선, SK바이오사이언스 본사 송도 이전 등 대규모 개발 호재가 있는 인천 송도에서 분양 한 '아크베이 스트리트' 상업시설도 단기간 완판에 성공했다. 부산의 대표 금융•업무 메카로 불리는 문현금융단지 내 부산국제금융센터에 위치한 'BIFCⅡ 스퀘어가든' 상업시설도 대규모 개발 호재들이 있는..."
2023.06.01.,"SK, 비상장 자회사 성장 긍정적","SK의 1분기 연결 매출액은 32조7000억원, 영업이익은 1조1000억원을 기록했다. 에너지 가격 하락과 반도체 업황 부진으로 SK이노베이션, SK스퀘어 등 관련 자회사의 이익이 큰 폭으로 감소했고 SMP 상한제 및 전방산업 부진으로 비상장 자회사인 SK E&S, SK실트론 등도 이익률이 감소했다."
2023.06.01.,"'승리요정→마법사' 최태원 SK 회장, 프로농구 구단주로 변신…자원등판 '깜짝...",SK는 작년 말 박정호 부회장이 SK하이닉스와 SK스퀘어 사업에 집중하기 위해 겸임하던 SK텔레콤 대표이사에서 퇴임하면서 신임 구단주를 물색해왔다. 2022~2023시즌이 종료되자 새 구단주를 확정할 예정이었다. 관례대로라면 SK텔레콤의 사장 또는 부회장이 나서는 게 유력했다. 그런데 최 회장이 등장한 것이다....
2023.06.01.,[SK그룹] SK렌터카 3.75% 올라 계열사 중 상승률 선두,11%)▲8위 SK디스커버리 3만5250원(0%)▲8위 에스엠코어 7000원(0%)▲10위 SK스퀘어 4만6150원(-0.22%)▲11위 SK텔레콤 4만9700원(-0.6%)▲12위 SKC 9만4900원(-0.84%)▲13위 나노엔텍 5000원(-0.99%)▲14위 SK가스 12만5800원(-1.26%)▲15위 SK이노베이션 18만9100원(-1.46%)▲16위 SK하이닉스 10만8600원(-1....
2023.06.01.,"'반도체 소부장 특화단지' 도전 오산시, 반도체벨트 중심지 강점","오산 가장산업단지 전경.(사진=오산시) 경기 오산시가 삼성전자, SK하이닉스 등 K-반도체 앵커기업이 위치한 경기남부권의 ‘중립지대’라는 지리적 이점을 내세워 정부의 ‘반도체 소재·부품·장비(소부장) 특화단지’ 공모에 도전한다. 1일 오산시는 서울스퀘어 대회에실에서 열린 산업통상자원부의 ‘반도체..."
2023.06.01.,"부산시, 반도체 산업 특화단지 유치 막바지 총력전","부산시는 1일 오후 2시 서울스퀘어(서울 중구)에서 산업통상자원부에서 추진하는 ‘소재·부품·장비산업 특화단지’(이하 “소부장산업 특화단지”... 또 전력반도체 관련 기업 입주 등 투자유치도 꾸준히 이어지고 있는데, 단지 내 수도권 이전 1호 기업인 제엠제코를 시작으로 올해 초 SK 계열사이자..."
2023.06.01.,[더벨][지주사 자본재분배 성적표]'지분상각' 콘텐츠웨이브 추가 자금소요 상...,SK스퀘어는 자회사 콘텐츠웨이브 지분가치에서 460억원을 손실처리하면서도 자금지원은 하지 않고 있다. 지난해부터 콘텐츠웨이브에 총액 466억원을 투입한 주체는 SK스퀘어의 또다른 자회사인 SK스퀘어아메리카(SK Square Americas)였다. 애초 계획한 콘텐츠웨이브 상장(IPO) 진행이 지지부진한 가운데...
