날짜,제목,내용
2023.06.01.,"SK이노베이션, 글로벌 SMR 시장 공략 나선다","6월쯤 소형모듈원자로 민관합동 협의체 출범 SK이노베이션 ""SMR 미래신수종 역점사업"" SK이노베이션의 SMR(소형모듈원자로) 글로벌 사업에 청신호가 켜지고 있다. 정부가 SMR 사업을 국가 핵심 에너지 분야로 낙점한 가운데 SK이노베이션이 SMR 사업의 활성화 및 경쟁력 강화에 팔 소매를 걷고 나섰다. SMR..."
2023.06.01.,"SK이노베이션·SK이노베이션우, 모두 상승…특히 SK이노베이션 2% 상승에 19만...",SK이노베이션 주가흐름(그래픽=네이버금융 캡처) SK이노베이션과 SK이노베이션우가 상승세다. SK이노베이션은 31일 코스피 시장에서 오후 2시38분 현재 전 거래일보다 2.43%(4600원) 상승한 19만3700원에 거래되고 있다. SK이노베이션우는 전 거래일보다 0.99%(1200원) 높은 12만1900원에 거래되고...
2023.06.01.,"SK지오, 대학생 환경 서포터즈 발족",‘지오즈’ 6개월간 환경보호 활동 20명 선발에 421명 몰려 치열 SK이노베이션의 석유화학부문 자회사 SK지오센트릭이 대학생들과 함께 환경 보호에 나선다. 1일 SK지오센트릭은 지난 30일 서울 종로구 SK그린캠퍼스(종로타워)에서 대학생 서포터즈 ‘지오즈(GEO’Z)’를 공식 발족했다고 밝혔다. 지오즈는...
2023.06.01.,"SK온, 기업어음 신용등급 'A2+'",SK이노베이션·SK그룹 지원 가능성 높게 평가 받아 SK이노베이션 배터리 자회사 에스케이온(SK온)이 주요 신용평가사로부터 우수한 등급을 받았다. 유사시 모회사인 SK이노베이션과 SK그룹의 지원을 받을 수 있다는 점이 긍정적 요소로 작용했단 분석이다. 31일 업계에 따르면 SK온은 한국기업평가...
2023.06.01.,"SK이노베이션, 배터리 사업가치 재평가 국면 주목",한화투자증권은 SK이노베이션이 AMPC(세액공제) 효과와 수율 개선으로 수익성 향상이 구체화하고 있으며 SK온 사업 가치 재평가에 대한 기대로 투자 의견 유지와 목표 주가 23만 원을 제시했다. 윤용식 한화투자증권 연구원은 1일 최근 SK온에 나타나는 유의미한 변화로 ▲수율 개선과 출하량 증가...
2023.06.01.,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수...","기관은 포스코퓨처엠(003670)(205억원)을 가장 많이 매수한 가운데 SK이노베이션(185억원), SK아이이테크놀로지(361610)(154억원), 한국전력(015760)(102억원), 삼성전기(009150)(87억원), 유한양행(000100)(80억원), 하이브(352820)(79억원), 셀트리온(068270)(75억원), 한올바이오파마(009420)..."
2023.06.01.,"코스피, 힘 빠졌다...SK하이닉스 · LG디스플레이 · SK이노베이션은 '상승'","시가총액 상위종목 중 SK이노베이션(2.64%), LG(0.93%) 등이 올랐고 카카오(-0.18%), 삼성물산(-1.54%), KT&G(-0.72%) 등이 하락했다. 코스피 지수는 전일 대비 7.95포인트(0.31%) 하락한 2569.17을 기록했다. 개인과 외국인이 각각 3545억원과 11억원을 순매수한 반면 기관은 3806억원을 순매도했다. 거래량은..."
2023.06.01.,"""부진 끝 반등 시작""…SK온, 재원·수율 본궤도 오른다","지난 24일 SK이노베이션, SK온, MBK컨소시엄은 S대규모 투자 유치 계약을 전했다. SK온은 해당안건에 따라 MBK컨소시엄으로부터 8억 달러(한화 약 1조500억원) 를 투자받는다. 사우디아라비아 최대 상업은행 사우디국립은행(SNB) 자회사 SNB캐피탈도 최대 1억4천400만 달러(약 1천900억원) 투자를 단행한다. 확보한..."
2023.06.01.,"코스피, 기관 대량 매물에 '약세'…외인 SK하이닉스·삼성전자·네이버·코스...","(98억원), SK이노베이션(80억원), 루닛(76억원), LG전자(74억원), 와이지엔터테인먼트(74억원), HPSP(71억원), 메디톡스(67억원), 알테오젠(66억원), 덴티움(60억원), 한진칼(55억원) 등이다.또한 외인 순매도 상위 종목은 LG화학(507억원), KB금융(412억원), LG에너지솔루션(366억원), 포스코홀딩스..."
2023.06.01.,"SK, 비상장 자회사 성장 긍정적","SK의 1분기 연결 매출액은 32조7000억원, 영업이익은 1조1000억원을 기록했다. 에너지 가격 하락과 반도체 업황 부진으로 SK이노베이션, SK스퀘어 등 관련 자회사의 이익이 큰 폭으로 감소했고 SMP 상한제 및 전방산업 부진으로 비상장 자회사인 SK E&S, SK실트론 등도 이익률이 감소했다."
