날짜,제목,내용
2023.06.01.,"SK텔레콤, 0 청년 요금제 출시","SK텔레콤이 만 34세 이하 고객을 대상으로 한 ‘0 청년 요금제’를 출시하고 청년 세대를 위한 전방위적 혜택 제공에 나선다고 1일 밝혔다. 0 청년 요금제는 기존 5G 요금제와 같은 가격에 데이터 제공량을 최대 50GB 늘렸고, 커피, 영화, 로밍 등 각종 할인 혜택도 더했다. (사진=SK텔레콤) 2023.06.01...."
2023.06.01.,SK텔레콤에서는 만 34세도 청년... 최대 50GB 더 준다,"SK텔레콤이 만 34세 이하 고객 대상 ‘0 청년 요금제’를 선보이고, 청년 세대를 위한 혜택을 전방위적으로 강화한다. SKT가 6월 1일 출시하는 ‘0(영) 청년 요금제’는 이통3사 중 가장 먼저 선보이는 청년 세대 요금으로, 유일하게 30대(만 34세 이하)까지 가입 가능한 5G 요금제다. 특히 기존 5G 요금제와..."
2023.06.01.,"SK텔레콤, 만 34세 이하 '0 청년 요금제' 선봬…KT, 'CJ ENM+캐치온' 월정액 ...","SK텔레콤이 선보이는 '0 청년 요금제' 표. ⓒ SK텔레콤 SK텔레콤, 데이터 50GB 늘린 5G 요금제 출시 SK텔레콤이 만 34세 이하 고객을 대상으로 한 '0 청년 요금제'를 선보인다. 유일하게 30대(만 34세 이하)까지 가입 가능한 5G 요금제다. 기존 5G 요금제와 같은 가격에 데이터 제공량을 최대 50GB..."
2023.06.01.,"SK텔레콤-KT-LG유플러스, 여행-나들이 콘텐츠 제공","SK텔레콤은 'T멤버십' 글로벌여행 서비스를 베트남‧필리핀‧태국‧하와이 등 9개 지역과 1만 8천여 개 제휴처로 확대하기로 했다. T멤버십 가입자들을 대상으로 6월 1일부터 맛집과 호텔‧교통‧쇼핑‧액티비티 등에서 제휴 할인 등을 제공하는 글로벌여행 서비스를 9개 지역, 1만 8천여 개의 제휴처로..."
2023.06.01.,"[소비자민원평가-통신] 약정 개월 속이고 사은품 안주고, 불완전판매 통신업계...","지난해 소비자고발센터(goso.co.kr)에 제기된 SK텔레콤, KT, LGU+ 등 통신 3사 관련 민원을 집계한 결과, 소비자들은 통신 판매점에서 잘못된 안내로 계약을 맺는 등 '불완전판매'에 대한 불만을 가장 많이 제기했다. 3사 중에서는 올해도 SK텔레콤이 민원 관리가 가장 탁월한 기업으로 뽑혀 소비자민원평가대상을..."
2023.06.01.,SKT가 UAM 열공하는 이유… 유영상 사장 “지상에서 공중으로 연결”,"3월부터 매달 UAM 스터디 자료 공유 유영상 “모바일에서 모빌리티 오퍼레이터로 확장” SK텔레콤이 전사 차원에서 ‘UAM(도심항공모빌리티)’ 스터디에 박차를 가하고 있다. 지난 3월부터 매달 UAM 관련자료를 사내에 공유한 데 이어, 최근 26페이지에 달하는 보고서를 발간했다. 유영상 SK텔레콤..."
2023.06.01.,"미래에셋증권·하나금융그룹, 'STO 시장' 선점 위해 맞손",미래에셋증권(006800)이 토큰증권(ST) 생태계 조성을 선도하기 위해 SK텔레콤에 이어 하나금융그룹과 손을 맞잡았다. 미래에셋증권은 지난 5월31일 하나금융그룹 본사에서 '넥스트 파이낸스 이니셔티브 업무협약식'을 열었다고 1일 밝혔다. 양사는 △양질의 토큰증권 발행 △블록체인의 올바른 활용을 통한...
2023.06.01.,"SKT, 사외이사후보추천위원회 독립성 강화…대표이사 제외",유영상 SKT 대표가 지난 3월 28일 주주총회에서 발표하고 있다.(사진=SKT) SK텔레콤(017670)이 사외이사후보추천위원회 구성에서 대표이사를 제외했다. 독립성을 강화해 ‘이사회 중심 경영’을 실현하기 위한 조치다. 1일 SKT 기업지배구조보고서 공시에 따르면 현재 사외이사후보추천위원회는 사외이사 3인...
2023.06.01.,숙련자 못지않은 AI 상담원…인공지능고객센터 44조원 시장 열린다,"국내에서는 SK텔레콤, KT, LG유플러스-LG CNS, 카카오엔터프라이즈, 스켈터랩스 등 첨단 정보통신기술(ICT)을 보유한 기업들이 AICC 서비스 시장을 주도하고 있다. SKT, 음성으로 신분 인증한다…상담 시간 단축 SK텔레콤은 글로벌 음성기술 선도기업인 핀드롭(Pindrop)과 AICC 등에서 음성 정보를 이용해..."
2023.06.02.,"SK텔레콤, 화성·순천시와 탄소배출 절감 사업 추진","SK텔레콤은 2일 경기도 화성시, 전남 순천시와 ‘온실가스 배출권거래제 외부 사업’ 추진을 위한 협약을 체결했다고 밝혔다. SK텔레콤과 지자체는 외부 사업 등록을 시작으로 향후 10년간 환경부 승인을 거쳐 탄소배출권 절감 인증실적을 획득한다. 지자체가 탄소배출권을 확보하기 위해서는 온실가스..."
2023.06.02.,[통신 소식] SK텔레콤·KT·LG유플러스 外,"SK텔레콤이 지자체와 손잡고 탄소배출 절감에 나선다고 합니다. 경기도 화성시, 전라남도 순천시 등과 협력해 고효율 조명 교체 및 관제시스템을 도입하는 것인데요. 경기·전라권 최초로 산업발전부문 탄소배출권 환경부 공식 인증도 추진한다네요. 이 밖에 △KT, 빅데이터로 안전한 지역축제 활성화 돕는다..."
2023.06.02.,"SK텔레콤, 화성·순천시와 탄소배출 절감","SK텔레콤이 고효율 LED 조명 도입 및 스마트 관제시스템 적용을 통한 지방자치단체 전력 사용량과 온실가스 배출량 감축 실적 기반으로 탄소배출권 환경부 공식 인증을 추진한다. SKT는 경기도 화성시, 전남 순천시는 ‘온실가스 배출권거래제 외부사업’ 추진을 위한 협약을 체결했다고 2일 밝혔다...."
2023.06.02.,"SK텔레콤, 만 34세까지 가입 가능한 5G '청년요금제' 출시",SK텔레콤이 만 34세 이하 가입자를 대상으로 한 '0 청년 요금제'를 출시했다. 2일 업계에 따르면 SK텔레콤이 지난 1일 출시한 요금제는 ▲청년 43(월 4만3000원·6GB) ▲청년 49(월 4만9000원·12GB) ▲청년 59(월 5만9000원·36GB) ▲청년 69(월 6만9000원·160GB) ▲청년 79(월 7만9000원·300GB) ▲청년 89(월 8만9000원...
2023.06.02.,"한국표준협회미디어, SK텔레콤의 고객가치혁신 스토리 담은 ‘1등의 Secret’...","한국표준협회미디어가 SK텔레콤의 고객가치 혁신 스토리를 담아낸 ‘1등의 Secret’을 출간했다고 밝혔다.‘1등의 Secret’은 실제로 SK텔레콤이 어떻게 고객경험관리를 경영활동에 도입했는지 조직 내에서 이를 내제화 한 과정과 고객을 이해하며, 고객의 불편함을 찾아 해소하는 과정을 매우 구체적으로..."
2023.06.02.,"SK텔레콤 오픈 2023, 'AI 최경주' 등장… 원포인트 레슨도",(사진=SKT 제공) KPGA 코리안투어 SK텔레콤오픈 2023에 다양한 AI 기반 첨단 미디어 기술이 대거 도입된다. SK텔레콤은 16일 이번에 개최되는 'SK텔레콤 오픈 2023'에 다양한 인공지능(AI) 기반 첨단 미디어 기술을 적용했다고 밝혔다. 오는 18일부터 나흘간 제주도의 핀크스 골프클럽에서 열리는 이번...
2023.06.02.,5G 중간요금제 vs 알뜰폰 '0원' 프로모션…1차전은 알뜰폰 '승',"SK텔레콤, KT, LG유플러스 등 이동통신3사가 지난달 5G 중간요금제를 내며 소비자 선택권을 늘렸지만 알뜰폰에 회원 약 7만6000명을 뺏긴 것으로 나타났다. 알뜰폰 업계가 같은 시기에 일부 LTE 요금제 가격을 특정 기간 '0원'으로 책정하는 프로모션을 펼쳤기 때문으로 보인다. 2일..."
2023.06.02.,"""KT는 2년 전에 상용화했는데""…SKT·LGU+ '5G 단독모드' 안하는 이유 [IT돋보...","NSA에 비해 한 단계 진화한 기술 방식으로 평가되지만 SK텔레콤과 LG유플러스는 아직 5G SA 상용화를 시작하지 않아 배경이 주목된다. 2일 SK텔레콤과 LG유플러스 측은 5G SA 상용화 계획 여부를 묻는 질의에 ""상용화를 위한 SA 개발은 완료된 상태""라고 한 목소리로 답했다. 단말 업그레이드 등을 통해..."
2023.06.02.,금리 주춤·주담대 확대에 은행 가계대출 17개월 만에 증가 전환 [한강로 경제...,"하나금융그룹 제공 하나금융그룹은 이날 미래에셋증권, SK텔레콤과 손잡고 토큰증권 컨소시엄인 ‘넥스트 파이낸스 이니셔티브(NFI)’를 구축했다고 밝혔다. 이들은 토큰증권 사업에 필요한 분산원장(블록체인 네트워크) 체계를 함께 구축하고 양질의 토큰증권 발행, 혁신 서비스 발굴, 투자자 보호 체계와..."
2023.06.02.,“데이터 늘리고 부가혜택 강화” 통신3사 청년요금제 출시,SK텔레콤은 지난 1일 가장 먼저 ‘0 청년요금제’를 내놨다. 통신 3사 중 유일하게 30대(만 34세 이하)도 가입이 가능하다. 이 요금제는 데이터 제공량을 기존 5G 일반 요금제 대비 20%~50% 더 확대한 것이 주요 골자다. 이에 따른 데이터 최대 추가 제공량은 50GB다. 로밍 요금은 반값에 이용할 수 있다. SKT...
