날짜,제목,내용
2023.06.01.,세계 낸드플래시 매출 16% 급감…SK하이닉스 24% 감소,특히 SK하이닉스의 경우 24.8%가 감소하며 상위권 기업들 중 가장 큰 폭의 감소세를 보였다. 1일 시장조사업체 트렌드포스에 따르면 1분기 낸드 시장 매출 규모는 전분기보다 16.1% 감소한 86억2610만 달러를 기록했다. 주요 낸드 기업들은 공격적인 가격 인하 정책을 폈지만 1분기 낸드 비트...
2023.06.01.,[단독] SK하이닉스 주도 용인 클러스터 입주기업 확정 [소부장반차장],SK하이닉스와 경기 용인에 구축되는 반도체 클러스터에 함께할 1차 협력사 명단이 확정됐다. 1일 업계에 따르면 용인일반산업단지 특수목적법인(SPC)과 SK하이닉스는 산업시설용지 입주심의 결과를 발표했다. 이번 건은 1차 분양이다. 추후 소재·부품·장비(소부장) 기업이 추가될 전망이다. 해당...
2023.06.01.,“엔비디아 약발 벌써 끝?”…삼성전자·SK하이닉스 동반 약세,국내 반도체주 양대 산맥으로 꼽히는 삼성전자와 SK하이닉스가 미국 반도체주 약세의 영향으로 나란히 하락세를 보이고 있다. 1일 오전 9시 30분 현재 삼성전자는 전일대비 200원(0.28%) 내린 7만1200원에 거래되고 있다. 같은 시간 SK하이닉스도 1.19% 하락 중이다. 삼성전자와 SK하이닉스는 미국 반도체 기업...
2023.06.01.,"KAIST, 반도체공학대학원 설립…SK하이닉스와 산학연계","SK하이닉스 등 반도체 기업, 기관과 손잡고 산학 연계 교육과정을 마련한다. KAIST 반도체공학대학원은 산업자원통상자원부의 반도체특성화대학원 사업과 대전시의 지원을 받아 설립됐다. 학교의 전기및전자공학부, 신소재공학과, 생명화학공학과, 기계공학과, 물리학과 등 5개 학과 32명의 교원이..."
2023.06.01.,엇갈린 삼성전자·SK하이닉스…코스피 하락 마감,"국내 증시를 견인했던 삼성전자와 SK하이닉스의 주가 방향이 엇갈린 가운데, 국내 증시는 혼조세로 장을 마감했다. 1일 코스피는 전 거래일 대비 7.95포인트(-0.31%) 내린 2,569.17에, 코스닥은 6.84포인트 (+0.80%) 오른 863.78에 거래를 끝냈다. 투자자별로 살펴보면 유가증권시장에서 개인과 외국인이..."
2023.06.01.,"SK하이닉스의 '딜레마'…D램은 기대감, 낸드는 불안",SK하이닉스가 기회와 위기를 동시에 맞이하고 있다. 차세대 메모리 관련 호재로 주가가 급등하는 등 기대가 커지고 있는 반면 주력분야인 낸드플래시 분야의 부진은 위기로 다가오고 있는 상황이다. 지난 5월 30일 SK하이닉스는 '10나노급 1b 기술'이 적용된 자사의 서버용 DDR5 메모리가 '인텔 데이터센터...
2023.06.01.,"SK하이닉스 TSMC와 손잡나, 고대역폭메모리에서 7나노 핀펫 공정 활용할 듯",SK하이닉스가 고대역폭메모리(HBM) 선두자리를 지키기 위해 TSMC와 손잡을 것으로 보인다. 1일 반도체업계에 따르면 6세대 HBM인 'HBM4' 일부 부품에 시스템반도체에서 활용되는 핀펫 공정이 적용될 것이라는 관측이 제기된다. 1일 반도체업계에 따르면 SK하이닉스 HBM4에서 TSMC와 손잡을 가능성이 높은...
2023.06.01.,"SK하이닉스, SK그룹 'SUPEX추구상' 2개 부문 수상","이날 시상식에는 이노베이션(Innovation)상과 시너지(Synergy)상을 받은 SK하이닉스 임직원들이 참석해 수상의 영예를 안았다. SUPEX추구상은 SK그룹 내 가장 권위 있는 상으로 새로운 도전을 두려워하지 않고, 혁신을 이뤄낸 멤버사 구성원들에게 수여된다. 이노베이션상은 기술혁신을 통해..."
2023.06.01.,"[더벨]반등 준비하는 SK하이닉스, 무기는 'DDR5'",SK하이닉스가 잇달아 중앙처리장치(CPU) 강자 인텔과 차세대 메모리 DDR5 호환성 검증을 진행하고 있다. 기업용 서버 시장을 적극적으로 공략해 실적 회복 시점을 앞당긴다는 전략을 가동 중이다. 31일 SK하이닉스에 따르면 최근 개발을 완료한 10나노(나노미터·1㎚는 10억분의 1m)급 5세대(1b) 서버용...
2023.06.02.,마이크론·키옥시아에 밀린 SK하이닉스?…'점유율 우려' 기우인 이유,메모리반도체 시장 침체가 유독 SK하이닉스에 더 가혹한 것처럼 보이는 시장조사기관 분석이 나왔다. 올해 1분기 D램 매출 순위에서 미국 마이크론에 밀려나 3위로 떨어진 데다 낸드플래시(이하 낸드) 시장에서도 일본 키옥시아와 점유율 격차가 벌어졌기 때문이다. 하지만 SK하이닉스를 둘러싼 점유율...
