날짜,제목,내용
2023.06.01.,불붙은 이차전지 특화단지 유치전…정치권도 합세,울산에는 ▲삼성SDI·현대자동차 등 ‘전지제조’ ▲고려아연·코스모화학·에스엠랩 등 ‘양극소재’ ▲후성·이수화학 등 ‘전해액’ ▲LSMnM(집전체) ▲대한유화(분리막) 등 선도업체 13곳이 밀집해 있다. 충북은 이차전지 생산액 전국 1위다. 이차전지 완제품 생산업체인 LG에너지솔루션과 에코프로비엠 등...
2023.06.01.,소달구지·수소차·미래선박까지…울산공업축제 '팡파르',"고래·옹기·마두희 축제 등 울산 대표 축제의 상징물로 꾸민 선박 형태의 고려아연 퍼레이드 차량을 시작으로 석유정제시설과 마스코트 캐릭터로 꾸민 에쓰오일, '생태도시' 울산 이미지를 강조하기 위해 백로·대나무·장비로 장식한 SK이노베이션, 미래형 선박 콘셉트의 HD현대중공업 퍼레이드 차량이..."
2023.06.01.,"알루미늄캔 소재 국산화…노벨리스코리아, 산업포장 수상","이 밖에 김영준 LS MnM 팀장, 김상수 조일알미늄 과장, 김종혁 대창 팀장, 서보운 태우 이사, 김원섭 고려아연 팀장, 이승훈 한국비철금속협회 본부장, 고민범 풍전비철 차장도 비철금속업계에 기여한 공으로 상을 받았다. 비철금속의 날은 LS MnM(옛 장항제련소)에서 최초로 동광석을 녹여 낸 날을 기념하기 위해..."
2023.06.01.,'압도적 물류체인' CATL이 전기차 배터리 1위 빼앗기지 않는 이유,◆제련부터 납품까지 거대한 물류체인망 구축 고려아연 온산제련소. 제련 기술은 배터리 생산의 핵심이자 기초가 되는 공정이다. 사진=고려아연 제공 중국은 배터리 생산 초기 과정이자 광물을 추출하는 기술인 '제련' 분야에서 막강한 점유율을 자랑한다. 전 세계 약 60%의 배터리 핵심 광물 제련이...
2023.06.01.,'시민 대화합' 공업축제 개막..퍼레이드 '장관',"울산 대표 축제들의 상징물로 꾸민 고려아연의 퍼레이드카를 시작으로 기업들의 특색 있는 행렬이 이어졌습니다. 에쓰오일은 석유정제시설과 9조 원 규모의 샤힌 프로젝트를 내세웠고, HD현대중공업은 미래기술이 집약된 차세대 친환경 선박을 선보였습니다. 생태환경도시로 거듭나자는 의미의 퍼레이드카와..."
2023.06.01.,라이브> 울산공업축제 35년 만에 부활,"울산의 대표 축제로 퍼레이드 카를 꾸민 고려아연, 울산을 상징하는 다양한 자연물을 담은 SK이노베이션의 행복 마차까지 울산을 대표하는 6개 기업들의 독특한 카퍼레이드가 큰 볼거리였습니다. 이번 축제에는 음악과 함께하는 다양한 공연들도 준비되어 있는데요. 조금 뒤 8시 30분 개막식에는 500여 대의..."
2023.06.01.,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수...","순매도 상위 종목은 LG화학(507억원)과 KB금융(412억원), LG에너지솔루션(366억원), POSCO홀딩스(215억원), KT(156억원), 금양(127억원), KT&G(100억원), 신한지주(94억원), 엔씨소프트(92억원), 한화솔루션(92억원), 고려아연(84억원) 등이다."
2023.06.01.,"코스피, 기관 대량 매물에 '약세'…외인 SK하이닉스·삼성전자·네이버·코스...","(92억원), 고려아연(84억원), 포스코퓨처엠(79억원), 씨에스윈드(77억원), 현대차(77억원), 삼성물산(76억원), 에코프로(69억원) 등이다. ◆ 기관 매수/매도 종목 기관 순매수 상위 종목은 포스코퓨처엠(207억원), SK이노베이션(185억원), SK아이이테크놀로지(154억원), 셀트리온헬스케어(143억원)..."
2023.06.01.,35년 만에 부활..공업축제 발자취는?,"(인터뷰)-김철/공업축제추진위원장-고려아연과 함께하고 5개 구·군이 연출하는 '울산 사람들' 이동 수단과 그린 울산을 함께하는 SK와 업사이클링, 울산 산업을 상징하는 1군과 2군 퍼레이드를 에쓰오일과 현대 중공업이 함께..' 또 축제가 끝나는 4일까지 남구둔치와 왕버들마당에선 근로자들이 직접..."
2023.06.01.,"2차전지 소재·부품 관련주, '웃음' 조일알미늄· 에코프로비엠·코스모신소재...","이외에 더블유씨피, 삼아알미늄, 엘앤에프, 에코프로, 광무, 포스코퓨처엠, DI동일, 알엔투테크놀로지, 코스모화학, 엔켐, 이녹스, 에코앤드림, 켐트로스, 신흥에스이씨, 고려아연, 동화기업, KG케미칼, 테이팩스, 동원시스템즈, 이랜텍, 나노신소재, 대주전자재료, 율촌화학, 상신이디피, 영화테크..."
2023.06.02.,"""주주환원"" vs ""경영권 위협""…자사주 소각 의무화 논란 앞과 뒤","종근당바이오는 투자재원 확보를 위해 모기업인 종근당홀딩스에 자사주를 처분하기도 했고, 한화는 고려아연과 자사주를 맞교환하기도 했다. 삼양홀딩스와 삼양사는 계열사 간 흡수·합병을 반대한 주주들이 주식매수청구권 행사로 취득한 자사주를 주식 시장에서 처분하기도 했다. 이들 중 10년 동안 주식..."
