날짜,제목,내용
2023.06.01.,"현대차·기아, 5월 61만7787대 판매…10.6%↑ '순항'","안경무 강주희 기자 = 현대자동차와 기아가 지난달 국내외에서 판매 호조를 보이며 실적 개선을 이어갔다. 현대차는 내수 시장에서, 기아는 해외에서 성과가 두드러졌다. 현대차는 올해 5월 글로벌 시장에서 34만9194대를 판매했다고 1일 밝혔다. 전년 대비 7.8% 증가한 규모다. 내수..."
2023.06.01.,"WSJ ""리콜 촉구된 美 에어백 장착한 기아 자동차 400만대 추산""",고일환 특파원 = 미국 도로교통안전국(NHTSA)이 안전 문제로 대규모 리콜을 촉구한 에어백이 장착된 기아의 자동차가 최소 400만 대에 달하는 것으로 나타났다. 월스트리트저널(WSJ)은 31일(현지시간) 기아가 지난 2016년 12월 NHTSA에 제출한 서류를 인용해 이같이 보도했다. 2016년은 NHTSA가 캐나다에서...
2023.06.01.,"자동차 생산 61년 만에…현대차·기아, 1억5천만대 판매","현대차·기아가 지난달 전세계 시장에 61만여대를 판매했다고 밝혔다. 1962년 자동차 생산·판매를 시작한 지 61년 만에 누적 판매량 1억5천만대를 달성했다. 현대차·기아가 1일 결산한 올해 5월 판매 실적 자료를 보면, 현대차는 지난달 모두 34만9194대를 판매했다. 지난해 같은 달과 견줘 7.8..."
2023.06.01.,"기아, 전기차 공장 근로자수 감축 검토… 여성 비율은 ↑",노사 합의 사항이라 갈등 예상 기아가 오토랜드 광명 2공장을 전기차 공장으로 전환하면서 생산 근로자 수를 줄이는 방안을 검토하고 있다. 동시에 여성 근로자 비율은 높일 예정이다. 다만 고용 관련 경영사항은 노사 합의를 거쳐야 해 고용을 유지하려는 노동조합과의 갈등이 예상된다. 기아는 올해 말까지...
2023.06.01.,"""5월 잘 팔았다"" 걱정없는 현대차·기아, 수출로 활기 찾은 르쌍쉐","반도체 수급난이 완연하게 회복되면서 국내 완성차 5사(현대차·기아·KG모빌리티·르노코리아·한국GM)가 5월 대부분 판매량 확대를 이뤄냈다. 넉넉하게 재고를 쌓아둔 현대차와 기아는 걱정없이 판매량을 높였고, '르쌍쉐'로 불리는 중견 3사는 수출 확대를 통해 아쉬운 내수 판매를 만회하는 데..."
2023.06.01.,‘티젠한’을 꼭 잡고 싶은 디플 기아,"휴식기 동안 담금질을 마친 디플러스 기아가 ‘타도 티젠한’을 선언했다. 2023 ‘LoL 챔피언스 코리아(LCK)’ 서머 시즌 미디어데이 행사가 1일 서울 종로구 LCK 아레나에서 진행됐다. LCK 10개 팀의 감독과 대표 선수가 참가, 서머 시즌에 참가하는 각오를 밝혔다. 이날 마이크를 잡은 디플러스 기아 최천주..."
2023.06.01.,"현대차ㆍ기아, 3분기 판매 꺾여도 영업익 ‘이상무’",기아의 가파른 판매 상승세가 2분기를 정점으로 주춤할 것이라는 전망이 나온다. 국내공장의 5~6월 조업일수 감소와 전기차 전환을 위한 일부 공장의 가동중단 때문이다. 1일 현대차그룹에 따르면 지난달 현대차는 글로벌 시장에서 전년 대비 7.8% 증가한 총 34만9194대를 판매했다. 같은 기간 기아는 14.4...
2023.06.01.,"'꺾이지 않는' 현대차·기아, 5월 판매 두자릿수 증가","현대차와 기아가 5월에도 전년 대비 두자릿수 판매 신장세를 이어갔다. 반도체 수급난 해소와 함께 글로벌 신차 출시 효과가 더해졌다. 현대차는... 기아는 5월 전년 같은 달보다 14.4% 증가한 26만8,593대를 팔았다. 국내에서 전년보다 10.3% 늘어난 5만275대, 해외에서 15.2% 증가한 21만7,772대를 판매했다...."
2023.06.01.,디플러스 기아 “티·젠·한에 복수하고 싶다” [LCK],디플러스 기아 최천주 감독. 사진=임형택 기자 스프링 시즌을 아쉬운 성적으로 마무리한 디플러스 기아(DK)가 여름엔 반전을 써낼 수 있을까. ‘2023 LoL 챔피언스 코리아(LCK)’ 서머 시즌 개막을 앞두고 1일 서울 종로 롤파크에서 미디어데이가 열렸다. LCK 10개 게임단 감독과 대표 선수 1인이 참가해 서머...
2023.06.01.,"잘 달리는 현대·기아, 5월 판매 점유율 91%","이날 현대차, 기아, 한국GM, KG모빌리티, 르노코리아 등 5개 사는 지난달 실적을 각각 발표했다. 현대차는 5월 6만8680대를, 기아는 5만2725대를 판매했다. 작년 5월과 비교해 현대차는 8.4%, 기아는 10.3%쯤 신차 판매가 늘었다. 현대차는 작년 말 출시된 신형 그랜저가 1만1581대 팔리는 등 판매..."
2023.06.02.,"현대차·기아, 5월 美판매 작년 대비 두자릿수 증가…EV6 7%↑","현대차 18%, 기아 23% ↑…친환경차 선전 지속 임미나 특파원 = 지난달 현대차와 기아가 미국 시장에서 두 자릿수의 신차 판매 증가율을 기록하며 성장세를 이어갔다. 현대자동차 미국판매법인(HMA)은 지난 5월 한 달간 신차 판매량이 7만1대로, 작년 같은 달(5만9천432대)보다 18% 증가했다고 1일..."
2023.06.02.,"현대차·기아, 국내 전기차 판매 감소",지난달 현대차·기아의 국내 전기차 판매가 감소한 것으로 나타났다. 2일 업계에 따르면 현대차의 전기 스포츠실용차(SUV) 모델인 아이오닉5는... 기아도 사정이 비슷하다. 기아의 대표 전기차 모델 EV6는 지난달 1894대가 팔렸다. 지난해 동월 대비 33.9% 감소한 수치다. 1~5월 누적 판매도 지난해...
2023.06.02.,"""도둑보다 회사에 강경""…美서 현대차·기아 상대 절도소송 비판","현대차와 기아를 상대로 소송을 제기한 것에 대해 ""살이 찔 경우 달고 맛있는 케이크를 만든 회사를 비난할 것이냐""라는 언론의 비판이 나왔다. 미국 CBS... 이는 현대차와 기아가 집단 소송에 대해 보상키로 합의한 사실을 가리킨 말이다. 현대차와 기아는 지난 18일 차량 도난 사건 집단소송과 관련, 피해자들에..."
