날짜,제목,내용
2023.06.01.,"IBK기업은행, 프리미엄카드 ‘K-22’ 출시","IBK기업은행이 IBK카드 브랜드를 적용한 프리미엄카드 ‘K-22’를 출시했다. K-22카드는 카드명에 프리미엄 카드를 나타내는 ‘K(KOREA)’와 연회비금액을 나타내는 ‘22’를 결합해 탄생했다. 연회비는 국내전용(BC) 21만 9000원, 국내외겸용(MASTER) 22만원이다. 우량고객에게 특화된 다양한 프리미엄서비스를..."
2023.06.01.,"금융위원장 ""은행권 벤처투자 확대 유도…출자한도 규제 완화""",김 위원장은 또 '벤처투자금 회수-재투자'의 선순환 구조를 만들 수 있도록 올해 중으로 산업은행과 기업은행을 통해 총 1조원 규모의 회수 전용 펀드(Secondary Fund)를 조성하겠다는 방침도 밝혔다. 코넥스 상장 기업 전용 회수 전용 펀드도 추가 조성할 계획이다. 아울러 벤처기업의 성장단계별 자금 수요를...
2023.06.01.,[오늘의 은행가 소식]카카오뱅크 外,"◆IBK기업은행, 프리미엄카드 신상품 'K-22' 출시 IBK기업은행은 'IBK카드 브랜드'를 적용한 프리미엄카드 'K-22'를 출시했다고 1일 밝혔다. 'IBK카드 브랜드'는 사명인 'IBK'를 활용해 개인카드는 'I(=Individual)', 기업카드는 'B(=Business)', 프리미엄카드는 'K(=KOREA)'로 명명하고, 서비스내용을 뒤에 붙여 카드의 종류와..."
2023.06.01.,[브리프] KB국민은행 신한은행 우리은행 IBK기업은행 外,"■ IBK기업은행, 프리미엄카드 신상품 'K-22' 출시 사진 = IBK기업은행 IBK기업은행(은행장 김성태)은 'IBK카드 브랜드'를 적용한 프리미엄카드 'K-22'를 출시했다고 1일 밝혔다. 'IBK카드 브랜드'는 사명인 'IBK'를 활용해 개인카드는 'I(=Individual)', 기업카드는 'B(=Business)', 프리미엄카드는 'K(=KOREA)'로 명명하고..."
2023.06.01.,"IBK기업은행, 탄소중립 실천 위해 '사탕수수 현수막' 사용",IBK기업은행(은행장 김성태)은 탄소중립 실천을 위해 전국 영업점에서 사용되는 현수막을 식물성 성분의 친환경 소재로 제작한다고 31일 밝혔다. 친환경 소재의 현수막은 옥수수와 사탕수수 등의 추출물로 만든 생분해 원단(PLA)과 수성잉크를 사용해 폐기 시 유해성분이 없고 분해기간도 짧다. 은행에 따르면...
2023.06.01.,[#금융톡톡] 신한은행 마일리지 적립 환전 이벤트·국민은행 대만 및 싱가포르...,"기업은행은 'IBK카드 브랜드'를 적용한 프리미엄카드 'K-22'를 출시했다. 카카오뱅크는 카카오엔터테인먼트와 함께 '26주적금 with 카카오웹툰'을 내놨다. ◆""300달러 환전하면 마일리지 2배""…신한은행, 쏠서 환전 이벤트 신한은행은 여름 방학 및 휴가 시즌 해외여행을 계획하는 고객을 위해 '편한..."
2023.06.01.,[금융 단신] 하나은행·DB손해보험·IBK기업은행 外,"IBK기업은행, 사탕수수 현수막 사용으로 탄소중립 실천 IBK기업은행은 탄소중립 실천을 위해 전국 영업점에서 사용되는 현수막을 식물성 성분의 친환경 소재로 제작한다. 친환경 소재의 현수막은 옥수수와 사탕수수 등의 추출물로 만든 생분해 원단(PLA)과 수성잉크를 사용해 폐기 시 유해성분이 없고..."
2023.06.01.,[다시뛰는 K금융 캄보디아②] 프라삭 김현종 “KB캄보디아은행과 통합 후 ABA...,"IBK기업은행 장영규 ""위기는 기회, 내실경영으로 지속성장"" 김현종 프라삭마이크로파이낸스 부대표(사진)는 2024년 KB캄보디아은행과 합병 이후 캄보디아 1위 상업은행인 에이비에이은행과 자웅을 겨룰 준비를 하고 있다. <프라삭마이크로파이낸스> [비즈니스포스트] ""KB프라삭은행의 경쟁자는 에이비에이(ABA)..."
2023.06.02.,"[게시판] 기업은행, 'RE100' 펀드 금융 주선","▲ 기업은행은 2일 SK E&S와 협업을 통해 금융권 최초로 총 3천억원 규모의 'RE100 펀드' 금융 주선을 마쳤다. 'RE100(Renewable Energy 100)'은 기업이 사용하는 전력 100%를 재생에너지로 전환하는 글로벌 캠페인이다. 기업은행 관계자는 ""이 펀드는 국내 금융기관 최초로 조성하는 'RE100 론펀드'로..."
2023.06.02.,"기업은행, 수탁은행 도약 발판 마련",IBK기업은행(024110)은 대한지방행정공제회와 국내주식 수탁은행 계약을 체결했다고 2일 밝혔다. 기업은행은 이번 수탁계약 체결에 따라 향후 3년간 대한지방행정공제회 국내주식 위탁분에 대한 보관 및 관리 서비스를 총괄하게 된다. 대한지방행정공제회는 지방자치단체 공무원 등 회원들의 복지증진과 퇴직 후...
