날짜,제목,내용
2023.06.01.,(단독)우기홍 대한항공 사장 “연내 미국·EU 승인 받을 것”,"뉴스토마토 = 오세은 기자 | “연내 미국, 유럽연합 등 남은 해외경쟁당국으로부터 모든 승인을 받아낼 것입니다.” 아시아나항공(020560) 인수 관련 암초에 부딪힌 대한항공(003490)이 연내 미국, EU, 일본 등으로부터 모든 승인을 받아내겠다고 장담했습니다. 대한항공 최고경영진이 미국, EU 등의 승인을 연내..."
2023.06.01.,[클라우드+] 대한항공이 톱7 항공사로 가기 위해 선택한 그것,"워크데이는 직원 가치를 인정하고 글로벌한 사내 제도로 전환하기 위한 지원 역량을 갖추고 있다."" 장성현 대한항공 부사장은 1일 서울 강남구 조선팰리스서울강남에서 열린 '워크데이 엘리베이트 서울 2023'에서 대한항공이 워크데이를 도입하는 배경을 이같이 밝혔다. ◆대한항공, 글로벌 톱7 항공사 도약..."
2023.06.01.,워크데이 관련 대담하는 장성현 대한항공 부사장,장성현 대한항공 마케팅/IT부문 부사장이 1일 서울 강남구의 한 호텔에서 열린 '워크데이 엘리베이트 서울 2023' 기자간담회에서 이상훈 워크데이코리아 지사장과 고객 대담을 하고 있다. 워크데이는 기업용 인사 및 재무관리를 위한 클라우드 기반 애플리케이션 분야의 선도기업으로 지속적인 고객...
2023.06.01.,대한항공 제치고 2023년 ‘올해의 항공사’ 뽑힌 이곳,"이번 수상은 우수항공사로 거론하는 카타르항공 에티하드항공 대한항공과 싱가포르항공을 제치고 이룬 쾌거다. 에어라인레이팅이 주관하는 해당 어워즈는 전 세계 440여개 항공사의 안전과 서비스 등을 종합적으로 평가해 매년 우수한 항공사를 선정한다. 에어뉴질랜드는 올해 심사에서 경영과 전략, 고객..."
2023.06.01.,"'클라우드' 올라탄 대한항공, 워크데이 인사 시스템으로 노리는 것",지난 2021년 업무 시스템을 온프레미스에서 아마존웹서비스(AWS) 기반의 클라우드 환경으로 전환한 대한항공이 글로벌 인사·재무 시스템 전문 기업 워크데이의 인사 시스템을 도입한다. 대한항공은 워크데이의 인사 시스템으로 직원들의 업무 편의성이 높아지고 과거에는 얻지 못했던 데이터를 얻을 수 있을...
2023.06.01.,항공료 할인부터 무료택배까지…'호국보훈의달' 국가유공자 혜택,"보훈처에 따르면 대한항공(003490), 아시아나항공(020560), 에어부산(298690), 제주항공(089590), 티웨이항공(091810), 진에어(272450) 등 국내 항공사는 6월 한 달간(탑승일 기준) 보훈대상자를 대상으로 국내선 항공료에 대한 별도 할인율을 적용한다. 대한항공과 아시아나항공은 보훈대상자(수권유족 포함)와..."
2023.06.01.,"대한항공, 호주 에어라인 레이팅스 '올해 화물 항공사' 등 수상","대한항공 보잉787-9 항공기. 사진=대한항공 대한항공은 오스트레일리아 항공·여행 전문 매체 '에어라인레이팅'(AirlineRatings)이 선정하는 '2023 에어라인 엑설런스 어워즈'(Airline Excellence Awards)에서 '올해의 최고 화물 항공사', '북(北) 아시아 베스트 항공사' 상을 수상했다고 1일 밝혔다. 또한 대한항공은..."
2023.06.01.,[신용석의 지구촌] 1093회. 대한항공의 시장 독점 사태,인천 출신의 운수사업가로 선친과도 교분이 깊었던 정석(靜石) 조중훈 대한항공 회장은 제2민항에 대한 청와대의 동향에 관심을 당부해왔다. ▶프랑스 특파원을 두 차례 역임하고 해외 취재와 여행을 자주 했던 이유도 있었지만 고향 인천 출신의 기업인이 국영 대한항공공사를 인수하여 세계적인 항공사로...
2023.06.01.,대한항공‧아시아나 M&A 무산 가능성 고조…한진칼 주가 향방은,이틀간 주가 급등세 연출 대한항공과 아시아나의 인수합병(M&A)이 무산될 가능성이 커지면서 한진칼 주가에 대한 관심이 고조되고 있다. 한진칼은 지난 2013년 8일 1일 대한항공으로부터 인적분할돼 설립된 한진그룹의 지주회사다. 한진칼의 주요 자회사로는 국내 최대 항공사인 대한항공과 물류...
2023.06.02.,"대한항공-델타항공, 태평양 노선 '조인트벤처' 5주년 맞아","-2018년 부터 운항 노선 확대, 연결편 편의성 증대, 환승 연결 시간 단축 등 협력관계 지속 대한항공과 델타항공의 태평양 노선 조인트 벤처(JV) 출범이 올해로 5주년을 맞았다. 양사는 이를 기념하기 위해 지난 1일 서울 광화문 포시즌스 호텔 서울에서 기념 행사를 개최했으며 우기홍 대한항공 사장, 피터 카터..."
2023.06.02.,"'퇴역항공기로 네임텍을…' 대한항공·진에어, 업사이클링 이어져",2021년 1월 대한항공은 소위 대박을 터뜨렸다. 퇴역 항공기로 만든 4000개 한정 네임택이 판매 첫날 완판된 것이다. 퇴역 항공기를 제작사에 반납하지 못해 분해하기로 결정한 것이 되레 호재가 됐다. 당시 대한항공 내부에서 퇴역 항공기를 굿즈로 업사이클링(up-cycling)하자는 아이디어가 나온 덕이다....
2023.06.02.,항공료 내리긴 글렀네…“7년 기다리래” 항공사들 난감한 이유,"아시아나항공과 제주항공이 각각 4대로 가장 많고, 대한항공과 진에어가 각각 2대씩, 티웨이항공은 1대 늘릴 예정이다. 대한항공의 경우 올해 국내 항공사 중 최다인 16대의 여객기를 신규 도입하지만, 임대 계약 만료 등으로 줄어드는 여객기가 있어 순증은 2대에 그쳤다. 항공업계가 앞다투어 신규..."
2023.06.02.,"대한항공, 파리·로마 이어 7월부터 프랑크푸르트 매일 운항","주 5회 → 주 7회 운항…B777-300ER 투입 여객 수요 회복에 따라 증편 대한항공이 오는 7월부터 매일 프랑크푸르트로 향한다. 여객 수요 회복에 따라 증편을 결정했다. 2일 업계에 따르면 대한항공은 7월 1일부터 '인천~프랑크푸르트' 노선에 여객기 2편을 추가, 주 7회 운항한다. 해당 노선엔 보잉 777-300ER..."
2023.06.02.,"업사이클링에 빠진 항공사들, '눈 가리고 아웅하기' 그린워싱은 안 된다",<왼쪽 위부터 시계방향으로 제주항공·진에어·아시아나항공·대한항공> 항공사들이 버려지는 기내 부품과 폐기물 등을 활용한 업사이클링 제품으로 ESG경영에 적극적으로 나서고 있다. 환경단체는 기업이 주도적으로 업사이클링 제품을 만드는 것은 고무적인 일이지만 이들 제품을 만들기 위해서...
2023.06.02.,하늘에서도 '탄소 줄이기 경쟁'...한국 항공사 '발등의 불','발등에 불'이 떨어진 국내 항공업계 가운데 대한항공도 글로벌 에너지 기업인 셸(Shell)과 현대오일뱅크 등과의 협약을 통해 2026년부터 아시아·태평양 노선 등에서 SAF를 공급받을 계획이다. 프랑스에서는 '탄소 감축'을 이유로 단거리 국내선 항공 운항을 금지했다. 기차로 2시간30분 거리는 비행기를...
