날짜,제목,내용
2023.06.01.,"두산에너빌리티, 국제핵융합실험로 가압기 출하","두산에너빌리티가 '꿈의 에너지'로 불리는 인공태양 프로젝트에 직접 설계, 제작한 기기를 공급한다. 두산에너빌리티는 국제핵융합실험로(International Thermonuclear Experimental Reactor, 이하 ITER) 국제기구에 공급하는 가압기(Pressurizer)를 출하했다고 밝혔다. 두산에너빌리티는 지난 2020년 국제경쟁입찰을..."
2023.06.01.,[업앤다운]건설주 하락…두산에너빌리티↑·삼성물산↓,두산에너빌리티도 전일 대비 0.75%(120원)상승해 1만6200원으로 장을 마쳤다. 두산에너빌리티는 3거래일 연속 상승세가 이어지고 있다. 반면 삼성물산은 전일 대비 1.54%(1700원)하락해 10만8900원으로 장을 마감했다. 현대건설도 전일 대비 1.17%(450원)하락해 3만7850원으로 장을 마쳤고 대우건설도...
2023.06.01.,"두산에너빌리티, 공매도 거래량 '86만건 가량' 증가... 주가 '살랑살랑 봄바람...",두산에너빌리티 공매도 거래량이 전거래일 보다 86만2157건 증가했다. 두산에너빌리티 공매도 거래량이 전거래일 보다 86만2157건 증가했다. 전날인 31일 한국거래소에 따르면 두산에너빌리티 공매도 거래량은 100만8009건으로 나타났다. 이날 두산에너빌리티 주가는 전거래일 대비 0.12...
2023.06.01.,"두산에너빌리티·두산퓨얼셀, 엇갈리는 주가…특히 두산에너빌리티 3거래일 연...","두산퓨얼셀 주가흐름(그래픽=네이버금융 캡처) 두산퓨얼셀과 두산에너빌리티의 희비가 엇갈리고 있다. 두산퓨얼셀은 1일 오전 10시25분 현재 전 거래일보다 1.46%(450원) 하락한 3만350원에 거래되고 있다. 두산퓨얼셀은 30일과 31일 1.33%, 0.98%의 상승폭을 나타냈다. 두산에너빌리티는 전..."
2023.06.01.,[Who Is ?] 이창양 산업통상자원부 장관,"이창양은 2023년 5월15일 경남 창원 두산에너빌리티 공장에서 열린 신한울 원전 3·4호기 주기기 제작 착수식에 참석했다. 원전 주기기는 원자력 발전 핵심 기기로 핵분열 과정으로 열을 만드는 원자로, 원자로에서 발생한 열로 증기를 만드는 증기 발생기, 증기로 전력을 생산해내는 터빈 발전기 등을 통틀어..."
2023.06.01.,해외건설 수주액 전년比 16% 뚝...300억달러 돌파 '빨간불',"SK에코플랜트, 대우건설, 두산에너빌리티, 현대로템, DL이앤씨 등의 순이다. 해외수주 업황이 부진하다보니 개별 기업들 대부분이 건수, 수주액에서 전년동기 대비 감소한 상황이다. ◆ 경기둔화, 인플레이션 등에 업황 개선 불투명 해외 수주가 전반적으로 부진하면서 정부가 목표한 350억달러 달성이..."
2023.06.01.,"尹 정부 뒷받침 '원전산업'…경남, 2032년까지 SMR 기술 확보한다","경남은 국내 유일의 원전 주기기 제작업체인 두산에너빌리티를 비롯해 협력사의 40%가 밀집한 원전산업의 중심지다. 그러나 산학연 협력지구, 연구기관 부족 등 원전 육성 기반은 부족한 실정이다. 이를 위해 대형 원전 중심의 산업에서 SMR, 4세대 원전, 원전 해체, 사용 후 핵연료 저장 산업 등 차세대..."
2023.06.01.,"뉴스케일파워, 소형원전 응용 범위 새 지평 열었다","뉴스케일파워는 두산에너빌리티 1억4000만 달러(약 1850억원), 삼성물산 7000만 달러(약 920억원), GS에너지 4000만 달러(약 520억원)의 투자를 받았다. 세 회사와 글로벌 SMR 사업 개발에 협력하고 있다. 경북 지역 내 17만5000여㎡ 부지에 SMR 6기를 짓는 사업도 수행하고 있다. 2028년 착공해 2031년까지..."
2023.06.02.,"[이넷뉴스 브랜드평판] 두산에너빌리티, 전력설비 브랜드평판 1위···대한전...",발표에 따르면 1위 두산에너빌리티 2위 대한전선 3위 한국전력 순으로 나타났다.​​ ​ 이넷뉴스와 한국기업평판연구소는 전력설비 상장기업 27개 브랜드에 대해서 빅데이터 분석을 활용한 브랜드 평판조사를 실시했다. 2023년 5월 2일부터 2023년 6월 2일까지의 전력설비 상장기업 브랜드에...
2023.06.02.,[6월 2일 워크넷 채용정보] 에쓰씨케이·하나투어·두산에너빌리티·카카오헬...,"회사내규 ■ 두산에너빌리티, 2023 채용연계형 대규모 인턴십 ▷지원자격 : 신입 / 대졸(4년) 이상 졸업자 및 2023년 8월·2024년 2월 졸업예정자 ▷채용기간 : 6월 7일까지 ▷전형방법 : 서류, DCAT, 면접, 인턴십 ▷근무지역 : 경기 성남시 분당구 外 ▷근무시간 : 회사내규 ▷임금 : 회사내규 ▷고용형태..."
2023.06.02.,"두산에너빌리티·두산퓨얼셀, 모두 상승…특히 두산에너빌리티 4거래일 연속 ...","두산퓨얼셀 주가흐름(그래픽=네이버금융 캡처) 두산퓨얼셀과 두산에너빌리티가 상승세다. 두산퓨얼셀은 2일 오전 9시50분 현재 전 거래일보다 1.33%(400원) 상승한 3만550원에 거래되고 있다. 두산퓨얼셀은 30일과 31일 1.33%, 0.98%의 상승폭을 나타낸 뒤 1일 2.11%의 낙폭을 나타냈다...."
2023.06.02.,"美·체코, 원전 실무협상 진행...두산에너빌리티 자회사 동석",두산에너빌리티의 체코 자회사 두산스코다파워도 동행했다. 1일(현지시간) 쿠어츠(Kurzy) 등 체코 매체와 업계에 따르면 토마쉬 에흘레르(Tomas Ehler) 산업통산부 원자력에너지 담당 차관이 이끄는 체코 대표단은 지난 15~17일(현지시간) 미국 워싱턴DC에서 열린 NEI 연례 회의에 참석했다. 대표단에는...
2023.06.02.,[건설업계기상도]현대건설 ‘맑음’·GS건설 ‘흐림’,2023년 6월 1주차 건설업계기상도는 현대건설·DL이앤씨·대우건설·두산에너빌리티·한화 건설부문·현대엔지니어링·계룡건설·코오롱글로벌의 ‘맑음’과 GS건설의 ‘흐림’으로 기록됐다. ◆현대건설 ‘맑음’= 현대건설이 부산시와 ‘승학터널 민자사업’을 본격 착수한다. 이 사업은 부산시 사상구...
2023.06.02.,민간기업 한국물 발행 속도…국책은행 보증 활용도 증가,"대한항공·두산에너빌리티·한화솔루션 대기 대한항공과 두산에너빌리티, 한화솔루션 등이 국책은행의 신용도를 활용해 외화채 발행에 나선다. 2일 금융투자 업계에 따르면 대한항공은 이달 사무라이본드(엔화표시 채권) 발행을 위한 북빌딩(수요예측)을 준비하고 있다. 한국수출입은행의 지급보증으로..."
