날짜,제목,내용
2023.06.01.,"우리종금·우리벤처파트너스, 우리금융에 '완전 자회사 편입'…왜 지금일까 [...",우리금융지주가 중소형 증권사를 인수한 뒤 우리종합금융과 다시 합병하는 방안이다. 실제로 지난 2010년 메리츠종금도 증권업을 결합해 메리츠종금증권으로 출범한 바 있다. 당시 메리츠종금증권은 종금업 라이선스를 통한 조달부문 경쟁력을 바탕으로 IB(투자은행) 부문을 확대하는 등 시너지를 냈다는...
2023.06.01.,"1000대 기업 매출 15%↑ 2천조 육박…""삼성전자, 21년 연속 1위""","메리츠금융지주(138040)로 공식 편입된 메리츠증권(008560)의 지난해 매출은 56조1639억원으로, 전년(22조5947억원)보다 33조5691억원 이상 증가했다. 이외에 △한국가스공사(036460)(24조1450억원↑) △S-OIL(010950)(14조8132억원↑) △삼성전자(12조 1227억원↑)도 10조원 넘게 증가했다. 반면..."
2023.06.01.,1000대 기업 매출 규모 1993조원...1996년 이후 가장 높아,이 중에서도 올해 메리츠금융지주로 공식 편입된 메리츠증권의 매출 증가액이 가장 컸습니다. 이 회사의 작년 매출은 56조 1639억 원인데 전년도 22조 5947억 원보다 1년 새 33조 5691억 원 이상 증가한 것으로 조사됐습니다. 이외 ▲한국가스공사(24조 1450억 원↑) ▲S-Oil(14조 8132억 원...
2023.06.01.,"""韓 1000대 기업 지난해 매출 1993조원···‘1조클럽’ 258곳 역대 최다""",이 중에서도 올해 메리츠금융지주로 공식 편입된 메리츠증권의 매출 증가액이 가장 컸다. 이 회사의 작년 매출은 56조1639억원인데 전년도 22조5947억원보다 1년 새 33조5691억원 이상 증가한 것으로 조사됐다. 이외 △한국가스공사(24조1450억원↑) △S-Oil(14조8132억원↑) △삼성전자(12조1227억원...
2023.06.01.,"[증권소식] 삼성전자, 21년 연속 국내 매출 1위/증권사들 '폭락사태' CFD 중단...",이 중에서도 올해 메리츠금융지주로 공식 편입된 메리츠증권의 매출 증가액이 가장 컸다. 이 회사의 작년 매출은 56조1639억원인데 전년도 22조5947억원보다 1년 새 33조5691억원 이상 증가한 것으로 조사됐다. 이외 ▲한국가스공사(24조1450억원↑) ▲S-Oil(14조8132억원↑) ▲삼성전자(12조1227억원↑) 세 곳도...
2023.06.01.,"삼성전자, 작년 매출 300조…21년간 매출 '1위' 유지","1년새 매출이 10조원 넘게 증가한 곳은 4곳으로, 이 중 올해 메리츠금융지주로 공식 편입된 메리츠증권이 매출 ▲2021년 22조5,947억원 ▲2022년 56조1,639억원을 기록하며 증가폭이 가장 컸다. 이어 ▲한국가스공사(24조1,450억원) ▲S-Oil(14조8,132억원) ▲삼성전자(12조1,227억원) 세 곳도 2021년..."
2023.06.01.,지난해 상장사 매출 1조원 이상 258곳...10조는 38곳,"조사 대상은 국내 상장사 가운데 매출 기준 상위 1000곳(금융업·지주사 포함)에 포함되는 기업이다. 매출은 금융감독원에 제출한 사업보고서의... 상장사 매출 4위에는 메리츠증권이 꿰찼다. 2021년에 14위에서 1년 새 10계단이나 전진했다. 이어 5위 한국가스공사(←21년 13위), 6위 기아(←5위)..."
2023.06.01.,1000대 기업 작년 매출 1993조원 14.9%↑… 매출 1조클럽 258곳 '역대 최다',이 중에서도 올해 메리츠금융지주로 공식 편입된 메리츠증권의 매출 증가액이 가장 컸다. 이 회사의 작년 매출은 56조 1639억 원인데 전년도 22조 5947억 원보다 1년 새 33조 5691억 원 이상 증가한 것으로 조사됐다. 이외 △한국가스공사(24조 1450억 원↑) △S-Oil(14조 8132억 원↑) △삼성전자(12조...
2023.06.01.,1000대 기업 지난해 매출 1993조원…'1조 클럽' 258곳 역대 최다,이 중에서도 올해 메리츠금융지주로 공식 편입된 메리츠증권의 매출 증가액이 가장 컸다. 이 회사의 지난해 매출은 56조1639억원인데 전년도 22조5947억원보다 1년 새 33조5691억원 이상 증가한 것으로 조사됐다. 이외 ▲한국가스공사(24조1450억원↑) ▲S-Oil(14조8132억원↑) ▲삼성전자(12조1227억원...
2023.06.01.,"KB손보 출범 8년…김기환 사장, ‘빅4’ 명예회복 과제",2015년 6월 LIG손보서 사명 변경 1위 목표로 KB금융 계열사 출범 총자산 15조원 늘어나 덩치 커져 메리츠에 밀려 업계 4위 위상 추락 [FETV=장기영 기자]... 옛 주인인 LIG그룹 대주주 일가가 LIG건설 사기성 기업어음(CP) 투자자들의 피해를 보상하기 위해 보유 지분 전량을 매각하면서 KB금융지주의 12번째...
