날짜,제목,내용
2023.06.01.,"삼성SDI, ESG 경영 확대…임원 대상 ESG 워크숍 개최",삼성SDI가 이미경 사외이사의 제안에 따라 최윤호 대표이사 사장과 주요 임원 20여 명이 참석한 가운데 ESG 워크숍을 개최했다고 1일 밝혔다. 이날 행사는 ESG 경영의 의미와 중요성에 대해 다시 한번 생각하고 향후 ESG 경영을 강화하기 위한 목적이다. 워크숍은 ESG 경영 트렌드(임대웅 BNZ...
2023.06.01.,"삼성SDI, ESG 워크숍 개최",최윤호 삼성SDI 대표이사 사장이 지난 31일 경기 용인시 기흥사업장에서 열린 ESG(환경·사회·지배구조) 워크숍에서 임원들과 ESG 경영 강화 방안에 대해 논의하고 있다. 2023.6.1 [삼성SDI 제공. 재판매 및 DB 금지]
2023.06.01.,"[종합] 이재용, 2년 연속 '삼성호암상' 챙겨…사장단도 총출동","아울러 최주선 삼성디스플레이 사장과 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장 등도 함께했다. 사장단도 취재진의 질문에 답변하지 않고 행사장으로 발걸음을 옮겼다. 한편 올해 '삼성호암상' 수상자는 ▲과학상 물리·수학부문..."
2023.06.01.,"삼성 '갤럭시 언팩' 사실상 서울 확정…""여러 곳 동시 가능성도""","이 회장은 오후 8시30분 행사가 끝난 직후 조용히 행사장을 떠났다. 이날 행사에는 삼성전자와 삼성SDI(006400), 삼성디스플레이, 삼성전기(009150), 삼성바이오로직스(207940) 등 계열사 사장단까지 50여명을 포함해 수상자 가족, 지인 등 관계자 약 250명이 참석했다."
2023.06.01.,"삼성SDI, 임원 대상 ESG 워크숍 개최...""미래 경쟁력 키우는 핵심 전략""",(사진=삼성SDI) 삼성SDI는 최윤호 대표이사 사장과 주요 임원 20여 명이 참석한 가운데 ESG(환경·사회·지배구조) 워크숍을 개최했다고 1일 밝혔다. 이 워크숍은 올해 신규로 선임한 이미경 사외이사의 제안에 따라 열렸다. 행사는 ESG 경영의 의미와 중요성에 대해 다시 한번 생각하고 향후 ESG 경영을...
2023.06.01.,"삼성SDI, ESG 경영 워크숍…""미래 경쟁력 강화""",삼성SDI가 ESG(환경·사회·지배구조) 경영을 통한 미래 경쟁력 강화에 나선다. [사진 삼성SDI] 삼성SDI가 ESG(환경·사회·지배구조) 경영을 통한 미래 경쟁력 강화에 나선다. 삼성SDI는 최윤호 대표이사 사장과 주요 임원 20여명이 참석한 가운데 ESG 워크숍을 개최했다고 1일 밝혔다. 이번...
2023.06.01.,"삼성SDI 임원 ESG 워크숍…최윤호 사장 ""초격차 기술로 ESG 경영 강화""",삼성SDI는 5월 31일 기흥사업장에서 최윤호 대표이사 사장과 주요 임원 20명이 참석한 가운데 ESG(환경·사회·지배구조) 워크숍을 열었다고 1일 밝혔다. 올해 신규 선임된 이미경 사외이사의 제안으로 열린 워크숍은 ESG 경영 트렌드 발표와 향후 추진 방향 등에 대한 토의 등으로 진행됐다. 삼성SDI는...
2023.06.01.,"삼성호암상 시상식 개최…이재용 회장, 2년 연속 참석","이날 호암상 시상식에는삼성 사장단 50여명이 총출동했다.삼성전자에서는 김기남 SAIT(구 종합기술원) 회장을 비롯해 경계현·노태문·진교영·이정배·박용인·최시영·박학규 사장 등이 참석했다.또 최주선 삼성디스플레이 사장과 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우..."
2023.06.01.,"""삼성이 노하우 전수""…'상생형 스마트공장' 참여사 모집",중소기업중앙회(중기중앙회)와 삼성(삼성전자·삼성전기·삼성SDI)은 1일부터 중소벤처기업부(중기부)가 주관하는 2023년 '대·중소 상생형 스마트공장 구축 지원사업' 도입기업 신청·접수를 받는다고 밝혔다. 올해 새롭게 시작되는 '대·중소 상생형 삼성 스마트공장 구축 2차 지원사업'은 중기부와 삼성이...
2023.06.01.,"이영희 삼성전자 사장 ""갤럭시 언팩 국내서 하는 까닭은…""","김기남 삼성전자 종합기술원장(회장), 경계현 반도체(DS)부문 사장을 비롯해 이정배·박용인·최시영·남석우·송재혁·박학규 삼성전자 사장 등이 참석했다. 또 최주선 삼성디스플레이, 장덕현 삼성전기, 남궁범 에스원, 고정석 삼성물산, 최윤호 삼성SDI 사장 등 사장단 50여명이 참석했다．"
