날짜,제목,내용
2023.06.01.,"'9호선 공사비' 2심도 삼성물산 일부 승소…""쌍용, 332억 지급""","삼성물산이 쌍용건설과 지하철 9호선 919공구 건설 공사비 관련 분쟁에서 2심에서도 일부 승소했다. 1일 서울고법 민사22부(부장판사 마용주)는 삼성물산이 쌍용건설을 상대로 제기한 공동원가분담금 청구 소송에서 ""피고(쌍용건설)는 원고(삼성물산)에게 332억3000만원과 지연손해금을 지급하라""고..."
2023.06.01.,"1000대 기업 매출 15%↑ 2천조 육박…""삼성전자, 21년 연속 1위""","삼성전자는 1996년만 해도 매출 15조8745억원으로 삼성물산과 현대종합상사에 이어 3위였다. 지난 2002년 매출 39조8131억원을 기록해 삼성물산을 제치고 국내 매출 1위 자리에 올랐다. 2010년(112조2494억원)에는 처음으로 매출 100조원 시대로 진입했고, 지난해 200조원 시대를 열었다...."
2023.06.01.,"[건설업계 소식] 삼성물산, '래미안 라그란데' 분양 준비 위한 웰컴라운지 개...","시사위크=김필주 기자 ◇ 삼성물산 건설부문, '래미안 라그란데' 분양 준비 위한 웰컴라운지 개관 삼성물산 건설부문(이하 '삼성물산')이 서울 동대문구에 들어설 대규모 단지인 '래미안 라그란데' 분양을 앞두고 사전 홍보관인 웰컴라운지를 개관한다고 1일 밝혔다. 삼성물산은 올 하반기부터 '래미안..."
2023.06.01.,[분양] 삼성물산 DL이엔씨 롯데건설 대우건설,"■ 삼성물산 건설부문, '래미안 라그란데' 홍보관 개관 '래미안 라그란데' 조감도ㅣ삼성물산 건설부문 제공 삼성물산 건설부문의 '래미안' 브랜드의 대단지인 '래미안 라그란데'가 올 하반기 분양을 앞두고 사전 홍보관인 웰컴라운지를 개관할 예정이다. 래미안 라그란데는 서울시 동대문구 이문동..."
2023.06.01.,[단독] '무노조 경영 폐지' 여파? 삼성물산에 복수노조 시대 열렸다,"조직적인 '노동조합 파괴'로 논란이 됐던 삼성물산이 복수노조 시대를 맞이했다. 삼성그룹 계열사 전반에 노동조합 바람이 불면서다. 일요신문 취재 결과, 삼성물산 건설부문 노동조합은 지난 5월 24일 설립총회를 열었다. 이튿날인 5월 25일 옥연욱 노조위원장은 관할구청인 서울 강동구청에 노조 설립을..."
2023.06.01.,호암상 시상식 2년 연속 찾은 이재용… 삼성 ‘인재제일’ 철학 계승 의지,"이날 행사에는 경계현 삼성전자 사장(DS부문장), 박학규 삼성전자 사장(경영지원실장)을 비롯해 최주선 삼성디스플레이 사장, 고정석 삼성물산 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존 림 삼성바이오로직스 사장, 전영묵 삼성생명 사장, 최영무 삼성사회공헌총괄 사장 등 해외..."
2023.06.01.,'이재용 회장·사장단' 총출동한 '호암상 시상식'은 삼성에 어떤 의미?,"최주선 삼성디스플레이 사장, 전영현 삼성SDI 부회장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장, 고한승 삼성바이오에피스 사장, 전영묵 삼성생명 사장, 홍원학 삼성화재 사장, 김대환 삼성카드 사장, 장석훈 삼성증권 사장, 고정석 삼성물산 사장, 남궁범 에스원 사장 등 주요..."
2023.06.01.,[아유경제_재건축] '안전의 삼성은 옛말?' 삼성물산 공사 현장 붕괴로 진땀…...,안전 관리 부문에서 국내 1위로 평가되는 삼성물산 관리 사업지에서 '관리의 삼성ㆍ안전의 삼성'이라는 평가가 무색한 사고가 발생해 도시정비업계의 눈과 귀가 쏠린다. 국내 최고라고 자부하는 삼성물산ㆍ현대산업개발 등 대형 건설사들의 시공현장에서 붕괴ㆍ인명 사고가 이어지고 있어 전문가들의 우려도...
2023.06.01.,[업앤다운]건설주 하락…두산에너빌리티↑·삼성물산↓,반면 삼성물산은 전일 대비 1.54%(1700원)하락해 10만8900원으로 장을 마감했다. 현대건설도 전일 대비 1.17%(450원)하락해 3만7850원으로 장을 마쳤고 대우건설도 전일 대비 1.05%(45원)하락해 4250원으로 장을 마감했다. 특히 이날 현대건설에 따르면 부산시와 함께 5000억원 규모 승학터널...
2023.06.02.,"삼성물산패션, 올 여름 휩쓸 휴가철 패션은?","삼성물산패션부문(부문장 이준서)은 올 여름 트렌드에 어울리는 감각적인 리조트 룩을 제안한다. 이번 여름 시즌은 자연과 여유로운 삶에 대한 욕구가 불러 일으킨 보헤미안 감성이 리조트 룩에 반영된다.햇빛에 바랜 듯한 색상이나 플로럴 프린트, 수공예 자수, 크로셰 니트 등이 낯선 지역으로의 여행과..."
2023.06.02.,"[정비사업 이슈] 삼성물산, 붕괴 사고에 재건축 공사비 부풀리기 등 ‘이중고...",삼성디스플레이 신사옥 공사 붕괴 사고로 노동자 3명 부상 반포1-3주구에선 수입 마감재 업체 선정 관련 결탁 의혹도 ‘관리·안전의 삼성’으로 평가되는 삼성물산 건설부문이 최근 건설 현장에서 발생한 ‘붕괴 사고’와 재건축 현장에서의 ‘공사비 부풀리기’ 등으로 이중고를 겪고 있다. 업계에 따르면...
2023.06.02.,"세보이엠씨, 삼성물산과 707억 규모 기계설비공사 계약",세보엠이씨는 삼성물산과 아산 기계설비공사 계약을 체결했다고 2일 공시했다. 계약금액은 707억2500만원으로 이는 2022년 매출 대비 6.85%에 해당하는 규모이다. 계약기간은 2024년 6월 30일까지다.
2023.06.02.,[소비자민원평가-건설] 소비자 불만 40% '하자'에 집중...삼성물산 민원 관리...,2022년 시공능력평가액 상위 10개 건설사를 대상으로 소비자고발센터(www.goso.co.kr)에 제기된 지난해 소비자 민원을 분석한 결과 삼성물산이 민원 관리가 가장 우수한 기업으로 나타났다. 삼성물산의 시공능력평가액은 21조9473억 원으로 10대 건설사의 시평액 총액의 22%를 차지했지만 민원점유율은 1.2%로...
