날짜,제목,내용
2023.06.01.,"삼성바이오로직스·롯데바이오, ADC에 집중투자하는 까닭","삼성바이오로직스(207940)는 생산 시설 면에서 세계 1위 수준이다. 하지만 세포·유전자치료제(CGT), 항체약품접합체(ADC)등 신기술 개발을 가미한 위탁개발생산(CDMO) 분야에선 아직 뒤지는 것이 현실이다. 최근 국내 기업들이 대규모 투자를 통해 이들 분야의 CDMO 사업에 본격 나서고 있어 주목된다. 세포..."
2023.06.01.,"삼성바이오로직스, 바이오 인터내셔널 컨벤션 참가","삼성바이오로직스(대표이사 존림)가 세계 최대 바이오제약 전시회 '2023 바이오 인터내셔널 컨벤션(BIO International Convention)'에 참가한다고 30일 밝혔다. 바이오 인터내셔널 컨벤션은 미국 바이오협회 주관으로 미국 내 바이오클러스터가 있는 주요 도시에서 매년 개최되는 행사로, 전 세계 바이오제약..."
2023.06.01.,"尹, 한국형 바이오클러스터에 ""공정보상·규제해소 필요""","발표에 이어 진행된 토론에는 삼성바이오로직스·롯데바이오로직스 등 기업 관계자, 생명공학연구소·한국과학기술원(KAIST) 등 유관기관, 유정복 인천시장·김영환 충북지사 등도 함께 참여했다. 참석자들은 바이오를 제2의 반도체로 성장 동력화하기 위해서는 규제 해소·대규모 투자 등이 필요하다는 의견을..."
2023.06.01.,[단독] 삼성바이오 '데이터 조작' 파문…식약처 '예의주시',"제약 바이오 업계 1위인 삼성바이오로직스가 요즘 의약품 관련 데이터 조작 파문으로 시끄럽습니다. 의약품 데이터 관리는 우리가 먹는 약의 품질에도 영향을 주기 때문에 중요한데요. 삼성바이오 간부들이 의약품 데이터를 임의로 바꾼 정황이 포착됐습니다. 결국 담당 간부들이 보직에서 해임됐고, 총괄..."
2023.06.01.,"삼성 계열사들, '삼성' 상표권 쓰는데 얼마 내나 보니…","상표권을 소유하지 않은 계열사로는 호텔신라와 에스원, 삼성바이오로직스, 삼성메디슨, 삼성웰스토리 등이 대표적이다. 특히 호텔신라와 에스원은 사명에 특별히 '삼성'이 들어가지 않는데도 상표권 사용료를 지불했다. 상표권 사용료는 해외 소재 법인 중 삼성 브랜드를 쓰는 경우에도 지급한다...."
2023.06.01.,"""삼성바이오로직스엔 남녀, 채용·승진에 차별이 없다""",삼성바이오로직스 임직원 자녀들이 엄마아빠와 함께 실험실 가운입기 체험을 하고 있다.<삼성바이오로직스> 국내 제약·바이오 업계 최초 연 매출 3조원을 돌파해 새 역사를 쓴 삼성바이오로직스가 ESG 경영에서도 글로벌 수준으로 도약하고 있다. 임직원 복지 향상을 통해 지속가능 경영의 실질적 토대...
2023.06.01.,"尹, '한국형 클러스터' 육성 본격화…바이오, 제2의 반도체로","발표에 이어 진행된 토론에서 참석자들은 바이오를 제2의 반도체로 성장동력화하려면 규제 해소와 대규모 투자가 필요하다고 했다. 이날 회의에는 삼성바이오로직스, 롯데바이오로직스, CJ제일제당, 에임메드, 테서 등 민간기업과 생명공학연구소, 한국과학기술원(KAIST·카이스트) 등 유관기관도 참석했다."
2023.06.01.,호암상 시상식 2년 연속 찾은 이재용… 삼성 ‘인재제일’ 철학 계승 의지,"이날 행사에는 경계현 삼성전자 사장(DS부문장), 박학규 삼성전자 사장(경영지원실장)을 비롯해 최주선 삼성디스플레이 사장, 고정석 삼성물산 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존 림 삼성바이오로직스 사장, 전영묵 삼성생명 사장, 최영무 삼성사회공헌총괄 사장 등 해외..."
2023.06.01.,"삼성바이오로직스, 지배구조 핵심지표 준수율 업계 '톱'","삼성바이오로직스는 핵심지표 15개 중 13개를 지키며 90%에 가까운 준수율을 보였지만 종근당과 JW홀딩스는 절반도 채 지키지 않았다. 지배구조 핵심지표는 기업의 투명성과 독립성을 가늠할 수 있는 지표다. 주주 4개 항목, 이사회 6개 항목, 감사기구 5개 항목으로 구성돼 있다. 별도 재무제표 기준으로..."
2023.06.01.,"[종합] 이재용, 2년 연속 '삼성호암상' 챙겨…사장단도 총출동","아울러 최주선 삼성디스플레이 사장과 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장 등도 함께했다. 사장단도 취재진의 질문에 답변하지 않고 행사장으로 발걸음을 옮겼다. 한편 올해 '삼성호암상' 수상자는 ▲과학상 물리·수학부문..."
2023.06.02.,삼성바이오로직스가 지키지 못한 선대 회장의 '품질경영',"삼성바이오로직스가 고객사가 위탁한 의약품을 생산하는 과정에서 데이터 완전성을 지키지 못한 것으로 나타났다. 삼성바이오로직스 측은 최근 진행된 FDA(미국 식품의약국) 실사 결과 문제가 없었다고 하지만, 기업 신뢰도에 영향을 줄 수 있는 이슈로 분석된다. 데이터 완전성은 사전적인 뜻으로 풀이하면..."
2023.06.02.,"'늦었지만 빠르게' 이원직號 롯데바이오로직스 1년, 성과와 앞으로 과제는",그는 브리스톨마이어스스큅(BMS)에서 바이오의약품 품질 관리 등을 맡다 삼성전자 신사업추진단에 합류해 위탁개발생산 기업인 삼성바이오로직스 출범에 참여했다. 삼성바이오로직스에서 DP(완제의약품) 사업부장을 맡아 성장에 기여했던 그는 2021년 8월 롯데지주에 영입돼 신성장2팀 팀장으로 바이오사업...
