날짜,제목,내용
2023.06.01.,"탁구명가 삼성생명, 남녀 최고의 선수 배출 [프로탁구 대상]",탁구명가 삼성생명이 남녀 코리아리그 최우수선수(MVP)로 조승민과 주천희를 각각 배출했다. 한국프로탁구리그(KTTL)는 1일 경기도 수원의 탁구전용경기장 스튜디오T(광교체육관)에서 열린 2023 두나무 한국프로탁구리그 대상시상식에서 코리아리그 남녀 MVP로 조승민과 주천희를 각각 선정했다....
2023.06.01.,안팎으로 홍역 앓는 삼성생명…민원왕 등극·퇴직연금 위반까지,▲ 삼성생명 CI (사진=삼성생명 제공) ‘아난티 부동산 거래 비리’ 의혹으로 검찰 수사를 받고 있는 삼성생명이 안팎으로 흔들리고 있다. 1분기 ‘민원왕’에 등극하고 퇴직연금 법규 위반으로 약 4000만원에 달하는 과태료까지 납부해야 할 지경이다. 생명보험협회에 따르면 올해 1분기 국내 생명보험사의...
2023.06.01.,"'더 높은 곳' 제시한 임근배 삼성생명 감독, ""재활 선수 모두 예후 좋아""","비시즌 훈련 3주차를 넘어서고 있는 삼성생명이 지난 시즌보다 더 높은 곳을 향한 목표를 분명히 하고 구슬땀을 흘리고 있다. 임근배 삼성생명 감독도 ""작년보다 더 높은 곳을 봐야 하는 것이 당연하다""며 선수들에게 확실한 목표의식을 제시했다. 삼성생명은 지난 29일부터 31일까지 사흘 간 용인..."
2023.06.01.,삼성증권·동양생명 등 5곳 '매출 10조 클럽'...1000대 기업 작년 매출 1993조,이어 ▲5위 한국가스공사(←21년 13위) ▲6위 기아(←5위) ▲7위 S-Oil(←12위) ▲8위 SK하이닉스(←4위) ▲9위 삼성생명(←8위) ▲10위 현대모비스(←11위) 순으로 상장사 중 작년 매출이 상위 10위권에 진입한 것으로 나타났다. 이중 한국가스공사와 S-Oil은 2021년 10위권 밖이었다가 작년에 국내...
2023.06.01.,[영상] ‘한국판 노벨상’이라 불리는 이 상…JY 애정 쏟는 이유는,"김기남 삼성전자 회장, 경계현 삼성전자 사장, 노태문 삼성전자 사장을 비롯해 최주선 삼성디스플레이 사장, 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장, 전영묵 삼성생명 사장, 박종문 삼성생명 사장, 홍원학 삼성화재 사장, 김대환..."
2023.06.01.,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석,"전영묵 삼성생명 사장, 박종문 삼성생명 사장, 홍원학 삼성화재 사장, 김대환 삼성카드 사장, 장석훈 삼성증권 사장, 최영준 삼성벤처투자 사장, 최성안 삼성중공업 부회장, 고정석 삼성물산 사장, 오세철 삼성물산 사장, 정해린 삼성물산 사장, 김종현 제일기획 사장, 한인규 호텔신라 사장, 남궁범 에스원 사장..."
2023.06.01.,"삼성 계열사들, '삼성' 상표권 쓰는데 얼마 내나 보니…","삼성전자, 삼성물산, 삼성생명보험, 삼성화재해상보험, 삼성증권, 삼성전기, 삼성에스디아이, 삼성디스플레이, 삼성에스디에스, 삼성엔지니어링, 삼성라이온즈, 삼성중공업, 삼성카드 13곳이 상표권을 소유하지 않은 계열사로부터 사용료를 받는 구조다. 상표권을 소유하지 않은 계열사로는..."
2023.06.01.,"김단비 4억5천, 2년 연속 연봉퀸!","삼성생명 키아나 스미스, 강유림, 신한은행 김지영, 하나원큐 정예림, BNK 김시온, 국민은행 허예은 등 6명은 생애 첫 연봉 총액 1억 원을 돌파했다. 샐러리캡 소진율은 지난 시즌 대비 상승했다. 연봉 부문 기준 6개 구단 평균 96.87%로 지난 시즌 93.86%보다 증가했으며, 우리은행, BNK..."
2023.06.01.,"'세계선수권 메달 3개' 한국 탁구, 순풍 타고 항저우서 꽃길 걸을까","한국 탁구대표팀은 2023 국제탁구연맹(ITTF) 세계선수권에서 여자 복식의 신유빈(대한항공)-전지희(미래에셋증권) 조가 은메달, 남자 복식의 장우진(미래에셋증권)-임종훈(한국거래소) 조가 은메달, 조대성-이상수(이상 삼성생명) 조가 동메달을 각각 목에 걸며 성공적으로 대회를 마쳤다. 세계선수권서 3개의..."
2023.06.01.,"호암재단, '2023 삼성호암상 시상식' 개최","사장, 노태문 삼성전자 MX 사업부 사장 등을 비롯해 최주선 삼성디스플레이 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기(009150) 사장, 황성우 삼성SDS(018260) 사장, 존림 삼성바이오로직스(207940) 사장, 고한승 삼성바이오에피스 사장, 전영묵 삼성생명(032830) 사장 등 삼성 계열사 사장단까지 50여명이 참석했다."
2023.06.02.,"탁구명가 삼성생명, 남녀 MVP 배출 [KTTL]",탁구명가 삼성생명이 남녀 코리아리그 최우수선수(MVP)로 조승민과 주천희를 각각 배출했다. 한국프로탁구리그(KTTL)는 1일 경기도 수원의 탁구전용경기장 스튜디오T(광교체육관)에서 열린 2023 두나무 한국프로탁구리그 대상시상식에서 코리아리그 남녀 MVP로 조승민과 주천희를 각각 선정했다. 개인다승에서...
2023.06.02.,"[생보사 기획⑤] 삼성생명, 지난해 관심도↓호감도↑…연령별 관심도 20대 편...","1회 KB생명, 2회 흥국생명, 3회 푸본현대생명, 4회 한화생명에 이어 이번 5회차에는 '삼성생명'을 분석했습니다. 이후 교보생명, 신한라이프, 동양생명, AIA생명, DB생명 등을 순차적으로 빅데이터 분석할 예정입니다. <편집자 주> 지난해 삼성생명에 대한 소비자들의 관심도는 매월 1만~3만건 대의..."
2023.06.02.,"안세영, 태국오픈 4강 진출...시즌 4승 향해 '성큼'",한국 배드민턴 간판 안세영(삼성생명∙세계 2위)이 세계배드민턴연맹(BWF) 태국오픈 4강에 진출했다. 안세영은 2일(한국시간) 태국 방콕에서 열린 2023 태국오픈 배드민턴선수권대회 여자 단식 8강에서 세계 10위 한위에(중국)를 2-0(21-16 21-18)으로 제압했다. 1세트 초반 안세영은 몸이 덜 풀린 듯 잦은 범실로...
2023.06.02.,"[BWF 배드민턴] 안세영, 태국 오픈 8강 진출…여자복식 전원 8강행","한국 여자 배드민턴의 간판 안세영(20, 삼성생명, 세계 랭킹 2위)이 세계배드민턴연맹(BWF) 태국 오픈 8강에 진출했다. 안세영은 1일 태국 방콕에서 열린 BWF 월드투어 슈퍼 500시리즈 태국 오픈 여자 단식 16강전에서 웬치츄(대만)를 2-0(21-14 21-12)으로 눌렀다. 톱 시드인 안세영은 지난달 21일 중국..."
2023.06.02.,[르포] '스타트업-대중견기업 간 협업기회 창출·만남의 장' 넥스트라이즈 20...,"(삼성생명 관계자) #당장에는 함께하기 어렵더라도 서로 간에 관계 형성이 되는 거니까, 나중에라도 저희가 관련 사업을 할 때 (밋업에서 만난 스타트업과) 우선적으로 접촉할 수 있는 계기가 되는 것 같습니다. (삼성화재 관계자) 지난 1일 서울시 강남구 코엑스 1층 A홀 '밋업(Meet up)' 부스존의 열기는 뜨거웠다...."
2023.06.02.,"보험사들, 유병자 종신보험 가입 'OK'…실손은 'NO'","삼성생명(032830)은 최근 프랑스 재보험사인 스코르(SCOR)와 공동으로 가상 언더라이팅 시스템을 개발해 심사 절차를 간소화했습니다. 삼성생명은 ""간편보험 심사에 적용해 고령자와 유병자 고객의 가입문턱을 낮췄다""고 설명했습니다. 반면 제2의 국민보험으로 불리는 실손보험에서는 유병자들이 계약 유지 상..."
2023.06.02.,"‘만삭 아내 살해 무죄’ 남편, 교보생명 상대 보험금 소송 2심 승소","이에 이씨는 2016년 8월 삼성생명보험, 교보생명보험, 미래에셋생명보험 등을 상대로 보험금 지급 청구소송을 제기했다. 사고 후 검찰은 이 씨가 2008부터 2014년까지 아내를 피보험자로 하고 자신을 수익자로 한 보험 25건에 가입한 점 등을 들어 살인과 보험금 청구 사기 등 혐의로 재판에 넘겨졌다. 당시 이..."
2023.06.02.,"위드드림, 2023 홈케어·재활·복지전시회 참가... ""온:잠베개로 뒤척임 없이...","현재 수원 KT 소닉붐, 울산 현대모비스, 안양 KGC 등의 프로농구팀과 서울 우리카드, 대전 삼성화재 등의 프로배구팀, 용인 삼성생명, 인천 신한은행 등 여자 프로농구, 부산 아이파크 프로축구단에 공식 협찬하고 있다. 위드드림 관계자는 ""바로 누워 깊은 수면을 취하지 못하고 뒤척임으로 인해 자주 깨거나..."
2023.06.02.,"소비자의 진짜 속마음, '검색어'에 있다? [마케팅+]","그 외 KB국민은행·삼성생명·아모레퍼시픽·YG엔터테인먼트·매일유업·동아제약 등의 다양한 산업의 기업들도 어센트 코리아의 고객사로 확보한 상태다. 어센트 코리아는 2013년 김지훈, 박세용 대표가 공동 설립한 회사다. 2006년 이미 도쿄에 어센트 네트웍스 법인을 설립한 바 있으며, 최근 국내 시장의 빠른..."
2023.06.02.,"장혁준·이민지 등 유망주 6명 참가, 국경 없는 농구캠프란?","이민지는 최근 용인 삼성생명이 효성여고, 분당경영고, 숙명여고 선수들을 대상으로 진행한 ‘Dreams Come True 캠프’에 초대돼 삼성생명 선수들과 함께 훈련을 소화했다. “이런 캠프에 초청받은 게 처음인데 기대가 많이 된다. 다른 나라 선수들과 부딪쳐보며 배우고 싶다. 대단한 코치님들이 오신다고..."
2023.06.03.,"[BWF 배드민턴] 안세영, 6개 대회 연속 결승 진출…올해 4번째 우승 '눈앞'","한국 여자 배드민턴의 에이스 안세영(21, 삼성생명, 세계 랭킹 2위)이 올해 출전한 세계배드민턴연맹(BWF) 월드투어 6개 대회에서 모두 결승에 오르는 성과를 이뤘다. 안세영은 3일 태국 방콕에서 열린 BWF 월드투어 슈퍼 500시리즈 태국 오픈 여자 단식 준결승전에서 카롤리나 마린(29, 스페인, 세계 랭킹..."
2023.06.03.,[WNBA] 라스베이거스 5연승 단독 선두... 워싱턴은 댈러스에 재역전승,"- 키아 스톡스(라스베이거스/전 삼성생명) 19:40 4점 7리바운드 1블록 3P:1/2 - 샤이엔 파커(애틀랜타/전 하나원큐) 28:50 25점 11리바운드 1스틸 3P:2/3 - 모니크 빌링스(애틀랜타/전 우리은행) 15:00 4점 4리바운드 1어시스트 1스틸 1블록 - 나타샤 하워드(댈러스/전 KB, 삼성생명) 30:57 16점 13리바운드 3P:2/8 - 티아나..."
2023.06.03.,[태국오픈배드민턴] 남복 김원호-최솔규 동메달로 마무리,남자복식 김원호(삼성생명)-최솔규(국군체육부대) 조가 태국오픈에서 동메달을 획득했다. 김원호-최솔규 조는 3일 태국 방콕 후아막 실내체육관에서 열린 2023 태국오픈배드민턴선수권대회(월드투어 슈퍼500) 남자복식 준결에서 아쉽게 패해 동메달로 대회를 마감했다. 남복 랭킹 10위 김원호-최솔규 조가...
