날짜,제목,내용
2023.06.01.,"삼성 계열사들, '삼성' 상표권 쓰는데 얼마 내나 보니…","삼성전자, 삼성물산, 삼성생명보험, 삼성화재해상보험, 삼성증권, 삼성전기, 삼성에스디아이, 삼성디스플레이, 삼성에스디에스, 삼성엔지니어링, 삼성라이온즈, 삼성중공업, 삼성카드 13곳이 상표권을 소유하지 않은 계열사로부터 사용료를 받는 구조다. 상표권을 소유하지 않은 계열사로는..."
2023.06.01.,[삼성그룹] 시가총액 5조3500억원 감소...에스원 2.45% 상승 '눈길',1위 에스원 5만4300원(2.45%)▲2위 제일기획 1만8330원(1.72%)▲3위 삼성증권 3만6750원(1.66%)▲4위 멀티캠퍼스 3만5000원(1.16%)▲5위 삼성바이오로직스 78만4000원(0.77%)▲6위 삼성SDI 71만8000원(0%)▲6위 삼성생명 6만6300원(0%)▲6위 삼성화재 22만5500원(0%)▲9위 삼성에스디에스 12만4300원(-0.48...
2023.06.01.,[재송]31일 장 마감 후 주요 종목 뉴스,△엠로(058970)=최대주주가 송재민외 2인에서 삼성에스디에스(018260)외 2인으로 변경됐다고 공시. 변경된 최대주주의 지분비율은 38.34%. 최대주주 변경 사유는 최대주주 변경을 수반하는 주식양수도 계약 체결 후 이행 완료로 지분인수 목적은 경영 참여. △디아크(078590)=카나리아바이오엠 아산공장...
2023.06.01.,"[N2 모닝 경제 브리핑-6월 1일] 美 증시, 부채협상 앞두고 하락…엔비디아·A...",2인에서 삼성에스디에스(018260)외 2인으로 변경 - 디아크(078590) : 카나리아바이오엠 아산공장 영업 양수 결정 - 프로스테믹스(203690) : 운영자금 등 약 73억5500만원 조달 위해 제3자배정 유상증자 결정 - 휴마시스(205470) : 제이더블유에셋매니지먼트가 제기한 경영지배인 직무집행정지·가처분 신청...
2023.06.01.,"두산에너빌리티, 공매도 거래량 '86만건 가량' 증가... 주가 '살랑살랑 봄바람...","23만845건, 삼성에스디에스 21만6303건, 포스코퓨처엠 19만1157건, SK스퀘어 18만8415건, 아모레퍼시픽 17만9595건, 제일기획 17만6459건, 우리금융지주 17만5404건 순이다. 코스닥 공매도 종목 순위는 셀트리온헬스케어 53만2269건, 성우하이텍 34만6742건, 포스코DX 28만7375건, 위지윅스튜디오..."
2023.06.01.,6월 1일 개장 전 주요공시,"엠로는 송재민 외 2인에서 삼성에스디에스 외 2인으로 최대주주가 변경됐다고 5월31일 공시했다. 지놈앤컴퍼니는 배지수, 박한수, 서영진 각자대표이사에서 배지수, 박한수 각자 대표이사로 대표이사가 변경됐다고 5월31일 공시했다. 디에이테크놀로지는 이종욱 대표이사에서 이종욱, 이상화..."
2023.06.01.,"한화에어로스페이스, 공매도 거래량 '51만건 가량' 증가...공매 거래대금 '58...","23만845건, 삼성에스디에스 21만6303건, 포스코퓨처엠 19만1157건, SK스퀘어 18만8415건, 아모레퍼시픽 17만9595건, 제일기획 17만6459건, 우리금융지주 17만5404건 순이다. 코스닥 공매도 종목 순위는 셀트리온헬스케어 53만2269건, 성우하이텍 34만6742건, 포스코DX 28만7375건, 위지윅스튜디오 20만7305건..."
2023.06.02.,[삼성그룹] 시가총액 3조8319억원 감소...호텔신라 1.55% 상승 '주목',1위 호텔신라 7만8400원(1.55%)▲2위 삼성전기 14만8500원(0.68%)▲3위 삼성바이오로직스 78만8000원(0.51%)▲4위 삼성에스디에스 12만4800원(0.4%)▲5위 삼성카드 3만원(-0.17%)▲6위 삼성엔지니어링 2만8250원(-0.18%)▲7위 멀티캠퍼스 3만4900원(-0.29%)▲8위 삼성화재 22만4500원(-0.44%)▲9위 제일기획...
2023.06.03.,[삼성그룹] 시가총액 8조8456억원 증가...삼성중공업 2.15% 상승 '주목',1위 삼성중공업 6180원(2.15%)▲2위 삼성전자 7만2200원(1.83%)▲3위 삼성화재 22만8000원(1.56%)▲4위 삼성생명 6만6900원(1.52%)▲5위 삼성SDI 71만5000원(0.99%)▲6위 제일기획 1만8400원(0.99%)▲7위 삼성증권 3만6600원(0.97%)▲8위 삼성물산 10만9600원(0.64%)▲9위 삼성에스디에스 12만5500원(0.56%)▲10위...
2023.06.03.,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천","삼성에스디에스(018260) 2023년 매출 14조3370억원(-16.8% YoY), 영업이익은 8230억원(-10.1% YoY), 영업이익률 5.7% (+0.4%pt YoY) 추정. 투자 포인트 ▲생성AI 등장으로 클라우드 산업 확대, 국내 최대 클라우드 업체로 성장 기대 ▲클라우드 사업부 모멘텀 다수 존재. 목표주가 18만5000원과 투자의견 매수..."
2023.06.04.,[삼성그룹 주간동향] 주간 시총 13조8110억 껑충...삼성전기 주간 상승률 1위,"삼성전기 뒤를 이어 삼성SDI, 삼성에스디에스 종목도 각각 3.17%, 2.78%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 호텔신라 종목은 -2.97%를 기록해 삼성그룹 계열사 중 가장 부진한 흐름을 나타냈다. 지난 2일 삼성그룹 전체 계열사의 주간 기준 등락률은 다음과 같다. 1위..."
2023.06.05.,[삼성그룹 월간동향] 최근 한달 시총 41조9240억 껑충...삼성전자·삼성중공업...,1위 삼성중공업 6180원(11.75%)▲2위 삼성전자 7만2200원(9.89%)▲3위 삼성증권 3만6600원(6.86%)▲4위 삼성에스디에스 12만5500원(5.2%)▲5위 삼성전기 14만9300원(4.55%)▲6위 삼성바이오로직스 78만5000원(2.35%)▲7위 삼성SDI 71만5000원(2.14%)▲8위 삼성카드 3만150원(0.67%)▲9위 삼성화재 22만8000원(0....
2023.06.05.,[IB토마토](IB&피플)현승아 법무법인 광장 변호사,"최근의 주요 처리 사례로는 △삼성전자(005930), 삼성생명(032830), 삼성SDS(삼성에스디에스(018260)) 지분 블록딜 △메가존클라우드의 Series C 투자유치 자문 △LS(006260)의 JKL파트너스에 대한 교환사채 발행 △엘앤에프(066970)의 해외교환사채 발행 △한국수출입은행, 한국산업은행 등 주요 한국물 발행사들의..."
2023.06.06.,[삼성그룹] 시가총액 1조9910억원 감소...삼성중공업 4.37% 상승 '주목',1위 삼성중공업 6450원(4.37%)▲2위 삼성엔지니어링 2만9350원(3.35%)▲3위 삼성화재 23만1500원(1.54%)▲4위 삼성증권 3만7000원(1.09%)▲5위 에스원 5만4100원(0.93%)▲6위 삼성생명 6만7500원(0.9%)▲7위 제일기획 1만8560원(0.87%)▲8위 삼성물산 11만200원(0.55%)▲9위 삼성에스디에스 12만6100원(0.48...
2023.06.07.,[삼성그룹 6월동향] 이달들어 시총 3조220억 증가...삼성중공업 6월 상승률 선...,1위 삼성중공업 6450원(5.39%)▲2위 삼성엔지니어링 2만9350원(3.71%)▲3위 삼성화재 23만1500원(2.66%)▲4위 삼성생명 6만7500원(1.81%)▲5위 삼성에스디에스 12만6100원(1.45%)▲6위 제일기획 1만8560원(1.25%)▲7위 호텔신라 7만8000원(1.04%)▲8위 삼성증권 3만7000원(0.68%)▲9위 삼성전기 14만8400원(0....
2023.06.08.,"코스피 '네 마녀의 날', 외인 매도에 2,610대 턱걸이…외인 코스모신소재·두...","(156억원), 삼성에스디에스(146억원), 삼성바이오로직스(144억원), 하나금융지주(134억원), 셀트리온(126억원), 성일하이텍(126억원) 등이다. ◆ 기관 매수/매도 종목 기관 순매수 상위 종목은 SK하이닉스(990억원), 삼성전자(352억원), 메리츠금융지주(330억원), 고려아연(239억원), 한화솔루션..."
2023.06.08.,[삼성그룹] 시가총액 2조3580억원 감소...삼성SDI 2.51% 상승 '주목',13%)▲9위 삼성카드 3만100원(0%)▲10위 삼성에스디에스 12만6000원(-0.08%)▲11위 호텔신라 7만7900원(-0.13%)▲12위 제일기획 1만8520원(-0.22%)▲13위 삼성전기 14만7900원(-0.34%)▲14위 에스원 5만3900원(-0.37%)▲15위 삼성전자 7만1000원(-0.98%)▲16위 삼성엔지니어링 2만8950원(-1.36%)
2023.06.08.,"[데이터로 보는 증시]SK하이닉스·코스모신소재, 기관·외국인 코스피 순매수...","기관은 SK하이닉스(000660)(979억원)를 가장 많이 순매수한 가운데 삼성전자(005930)(328억원), 메리츠금융지주(138040)(325억원), 고려아연(010130)(239억원), 한화솔루션(009830)(227억원), 코스모화학(005420)(206억원), 삼성에스디에스(018260)(184억원), 금양(001570)(183억원), LG에너지솔루션..."
2023.06.09.,"코스피, 1년여 만에 2,640대 회복…외인 삼성전자·SK하이닉스·두산에너빌리...","(86억원), 삼성에스디에스(83억원) 등이다.또한 기관 순매도 상위 종목은 에코프로(212억원), 에코프로비엠(182억원), 포스코퓨처엠(178억원), JYP엔터(171억원), 삼성물산(164억원), 네이버(142억원), 금양(135억원), 카카오(126억원), LG생활건강(96억원), 현대제철(88억원), 롯데케미칼(87억원)..."
2023.06.09.,[삼성그룹] 시가총액 1조900억원 감소...삼성화재 2.76% 상승 '주목',1위 삼성화재 24만2000원(2.76%)▲2위 삼성중공업 6570원(1.23%)▲3위 삼성카드 3만250원(0.5%)▲4위 에스원 5만4100원(0.37%)▲5위 제일기획 1만8560원(0.22%)▲6위 삼성에스디에스 12만6200원(0.16%)▲7위 삼성생명 6만8400원(0.15%)▲8위 삼성바이오로직스 78만5000원(-0.13%)▲9위 삼성증권 3만7000원(-0.13...
2023.06.09.,“오늘 공매도 조심하세요”…10개 종목 주시,"전 연구원은 “유동주식 비율 조정으로 메리츠금융지주(138040)의 시총 비중이 크게 높아지고 고려아연(010130)과 삼성에스디에스(018260)도 시총 비중이 커지지만, 포스코인터내셔널(047050)과 대우조선해양(042660)은 시총 비중이 작아져 정기 변경보다 유동주식 비율조정에 따른 재조정 충격 노출에..."
2023.06.10.,[삼성그룹] 시가총액 7조6898억원 증가...삼성바이오로직스 2.04% 상승 '주목...,1위 삼성바이오로직스 80만1000원(2.04%)▲2위 삼성전자 7만2000원(1.55%)▲3위 제일기획 1만8730원(0.92%)▲4위 삼성전기 14만7200원(0.89%)▲5위 삼성SDI 73만5000원(0.82%)▲6위 호텔신라 7만6900원(0.79%)▲7위 삼성에스디에스 12만6600원(0.32%)▲8위 삼성증권 3만7100원(0.27%)▲9위 에스원 5만4200원(0.18...
2023.06.11.,"[주간 투자주체 매매동향] 기관, 삼성전자·SK하이닉스 집중 매수","15위 삼성에스디에스 -225억원(-18만주), 16위 DB하이텍 -210억원(-34만주), 17위 SK텔레콤 -204억원(-41만주), 18위 호텔신라 -202억원(-26만주), 19위 엔씨소프트 -179억원(-6만주), 20위 이마트 -170억원(-20만주) [기관] 유가증권시장 순매수 상위종목 1위 삼성전자 3161억원(442만주), 2위..."
