날짜,제목,내용
2023.06.01.,"이재용 회장, 2년 연속 삼성호암상 시상식에…'말없이 입장'(종합)","한편 이날 행사에는 김기남 삼성전자 SAIT(옛 종합기술원) 회장, 박학규 삼성전자 경영지원실장 사장, 경계현 삼성전자 DS(반도체)부문 사장, 노태문 삼성전자 MX(모바일경험)사업부 사장 등을 비롯해 최주선 삼성디스플레이 사장, 최윤호 삼성SDI(006400) 사장, 장덕현 삼성전기(009150) 사장, 황성우 삼성SDS(018260)..."
2023.06.01.,"이영희 삼성전자 사장 ""갤럭시 언팩 국내서 하는 까닭은…""","김기남 삼성전자 종합기술원장(회장), 경계현 반도체(DS)부문 사장을 비롯해 이정배·박용인·최시영·남석우·송재혁·박학규 삼성전자 사장 등이 참석했다. 또 최주선 삼성디스플레이, 장덕현 삼성전기, 남궁범 에스원, 고정석 삼성물산, 최윤호 삼성SDI 사장 등 사장단 50여명이 참석했다．"
2023.06.01.,[가봤더니] 호암상 시상식 나 홀로 참석한 이재용 회장,"이날 행사에는 경계현 삼성전자 사장(DS부문장), 박학규 삼성전자 사장(경영지원실장)을 비롯해 최주선 삼성디스플레이 사장, 고정석 삼성물산 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존 림 삼성바이오로직스 사장, 전영묵 삼성생명 사장, 최영무 삼성사회공헌총괄 사장 등..."
2023.06.01.,"중기중앙회, 삼성과 중소기업 스마트공장 구축·고도화 지원",중소기업중앙회는 삼성(삼성전자·삼성전기·삼성SDI)과 중소벤처기업부가 주관하는 '2023년 대·중소 상생형 스마트공장 구축 지원사업'의 참가 신청을 받는다고 1일 밝혔다. 중기중앙회는 중기부·삼성과 '대ㆍ중소 상생형 삼성 스마트공장 구축 1차 지원사업'을 통해 지난 2018년부터 5년간 1천억원 규모의...
2023.06.01.,"호암재단, '2023 삼성호암상 시상식' 개최","이날 행사엔 김기남 삼성전자 SAIT(옛 종합기술원) 회장, 박학규 삼성전자 경영지원실장 사장, 경계현 삼성전자 DS(반도체)부문 사장, 노태문 삼성전자 MX 사업부 사장 등을 비롯해 최주선 삼성디스플레이 사장, 최윤호 삼성SDI 사장, 장덕현 삼성전기(009150) 사장, 황성우 삼성SDS(018260) 사장, 존림..."
2023.06.01.,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석,"장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장, 고한승 삼성바이오에피스 사장, 전영묵 삼성생명 사장, 박종문 삼성생명 사장, 홍원학 삼성화재 사장, 김대환 삼성카드 사장, 장석훈 삼성증권 사장, 최영준 삼성벤처투자 사장, 최성안 삼성중공업 부회장, 고정석 삼성물산 사장, 오세철..."
2023.06.01.,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수...","기관은 포스코퓨처엠(003670)(205억원)을 가장 많이 매수한 가운데 SK이노베이션(185억원), SK아이이테크놀로지(361610)(154억원), 한국전력(015760)(102억원), 삼성전기(009150)(87억원), 유한양행(000100)(80억원), 하이브(352820)(79억원), 셀트리온(068270)(75억원), 한올바이오파마(009420)..."
2023.06.01.,시총 1조 넘긴 '루닛'...K-의료AI株 몸집 커진다,싸이토젠은 삼성전기 전략기획 고문 출신 전병희 대표가 설립한 정밀 의료 암 진단 기업이다. 암 진단 기술에 반도체 웨이퍼 기술을 이용해 순환종양세포(CTC)를 정밀하게 추출한다. 최근에는 머신러닝 기술을 도입한 AI 플랫폼을 통해 정확도와 처리 속도를 높이고 있다. 싸이토젠은 현재 74건의 등록...
2023.06.01.,정의선 현대차 회장의 '창조적 파괴'...누구와도 동맹하고 경쟁한다,"삼성전기 카메라 모듈, 삼성디스플레이의 OLED가 현대차에 일부 적용되기 시작했고, 그 범위는 플래그십 차종 핵심 부품으로 확대됐다. 재계는 그동안 간헐적으로 이뤄지던 현대차그룹과 삼성전자의 협력이 자동차 전장화·지능화로 더 깊어질 것으로 내다보고 있다. 현대차그룹은 수소사회 실현을 위해..."
2023.06.02.,전자업계 실적 '바닥' 찍나…하반기 반등 기대감,"1분기에 나란히 저조한 실적을 발표한 LG이노텍과 삼성전기도 하반기 반등 기대가 크다. LG이노텍은 2분기 242억원가량의 영업손실을 내며 잠깐 적자로 돌아섰다가, 하반기 아이폰15 출시 효과에 힘입어 분기 영업이익이 4000억~5000억원대를 회복할 것으로 예상된다. 이민희 BNK투자증권 연구원은..."
