날짜,제목,내용
2023.06.01.,"이영희 삼성전자 사장 ""갤럭시 언팩 국내서 하는 까닭은…""",이영희 삼성전자 글로벌마케팅실장(사장)이 한국에서 갤럭시 언팩을 개최하는 것을 공식화하고 이유에 대해 언급했다. 이 사장은 1일 서울 신라호텔에서 개최한 '제33회 호암상 시상식'에 참석했다. 만찬이 끝난 후 행사장을 떠나던 이 사장은 갤럭시 언팩을 서울에서 개최하는 이유에 대한 취재진의 질문에...
2023.06.01.,"1000대 기업 매출 15%↑ 2천조 육박…""삼성전자, 21년 연속 1위""","삼성전자(005930)는 지난해 별도 및 연결기준 매출이 각각 200조원, 300조원을 처음으로 돌파해 21년 연속 국내 매출 1위 기업 자리를 지켰다. 기업분석전문 한국CXO연구소는 이 같은 내용의 '1996년~2022년 사이 27년간 국내 1000대 상장사 매출 현황 분석 결과'를 1일 발표했다. 조사..."
2023.06.01.,"미국인이 픽했다…""애플·구글 보다 삼성전자""",삼성전자가 미국 소비자들이 선호하는 브랜드 조사에서 7위를 기록했다. 1위는 아웃도어 브랜드 파타고니아다. 31일(현지시간) CNBC 방송에 따르면 미국 여론조사기관 해리스폴과 온라인매체 악시오스가 공동으로 지난 3월 13∼28일 미국민 1만6천310명을 대상으로 최고와 최악 평판기업 2곳씩을 꼽게 한 뒤...
2023.06.01.,"삼성전자, 업사이클링·재활용 주제 디자인 공모전 열어","삼성전자가 다음 달 19일까지 업사이클링·재활용을 주제로 한 디자인 공모전 '리크리에이트 디자인 챌린지'를 한다고 1일 밝혔다. 이번 글로벌 공모전은 오래된 삼성 제품을 업사이클링·재사용한 디자인, 삼성 제품에 적용된 재활용 소재를 활용한 디자인 등 2개 분야로 진행된다. 글로벌 디자인 전문 매체..."
2023.06.01.,"삼성전자, 오픈소스 SW 개발 프로젝트 참여",인텔·엔비디아·퀄컴 등과 '라이즈' 프로젝트 운영 이사회 멤버 참여 삼성전자가 첨단 반도체 생태계 구축 및 확산을 위한 오픈소스 소프트웨어(SW) 개발 프로젝트에 참여한다. 삼성전자는 지난달 31일(미국시간)부터 오픈소스 비영리단체인 리눅스재단이 발족한 오픈소스 소프트웨어 개발...
2023.06.01.,호암상 시상식 참석하는 이재용 삼성전자 회장 [포토],이재용 삼성전자 회장이 1일 오후 서울 중구 서울신라호텔에서 열린 '2023 삼성호암상 시상식'에 참석하고 있다. 삼성호암상은 1990년 고 이건희 삼성 회장이 호암 이병철의 인재 제일과 사회 공익 정신을 기려 사회 각 분야에서 탁월한 업적을 이루어 학술·예술 및 인류 복지증진에 크게 공헌한 인사들을...
2023.06.01.,"삼성전자, 구형 TV 반납하면 최대 100만 포인트 보상",삼성전자가 1일부터 내달 31일까지 대국민 TV 보상 페스티벌 '삼성 TV로 바꿔보상' 프로모션을 진행한다. 전국 오프라인 매장 중심으로 진행되는 이번 행사는 사용하던 구형 TV를 반납하는 경우 최대 100만 포인트 상당의 보상 혜택을 추가 증정한다. 최대 100만 포인트는 삼성전자 멤버십 포인트로...
2023.06.01.,[E Works] 삼성전자·LG전자,"◆갤럭시S23 촬영 단편영화, 2억5000만뷰 돌파 삼성전자(005930)는 중국 상해 디즈니랜드와 파트너십을 맺고 갤럭시 S23 울트라로 촬영한 단편 영화 공개 후 열흘 만에 2억5000만뷰를 돌파했다고 1일 밝혔다. 지난달 20일 공개된 이 영화의 제목은 '환상적인 밤의 랩소디'이며, 갤럭시 S23 울트라로 전체 장면이..."
2023.06.01.,"""삼성전자 사둘 걸"" 후회된다면…'이 종목'에도 기회 있다","삼성전자, SK하이닉스 등 대장주가 반등하면서 소부장도 수혜를 받을 것으로 기대되고 있어서다. 전문가들은 시장 대비 초과 수익을 노리는 투자자는 소부장주를 노리는 것도 좋은 방법이라고 조언했다. 초과 수익 내려면 소부장주 1일 SK하이닉스는 1.57% 오른 11만300원에 마감했다. 올해 들어 주가가 47..."
2023.06.02.,"삼성전자, 유튜브 영상 통해 수어로 청소기 사용법 안내",삼성전자가 소리를 잘 듣지 못하는 청각 장애인의 가전 제품 접근성 향상을 위해 청소기 사용법을 수어로 안내한다. 삼성전자는 문화체육관광부가 6월3일 제27회 '농아인의 날'을 맞아 추진하는 '수어와 만나다' 프로젝트에 동참한다고 2일 밝혔다. 삼성전자는 민간기업 중 유일하게 이 프로젝트에 참여한다....
