날짜,제목,내용
2023.06.01.,"코스피, 기관 순매수도 상위 10종목(31일)...LG에너지솔루션-삼성전자우-LG화...","▲31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. © 연합뉴스. 31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했다. 반면, SK하이닉스, 삼성전자. KT를 집중 매도했다."
2023.06.01.,"코스피, 기관 대량 매물에 '약세'…외인 SK하이닉스·삼성전자·네이버·코스...","◆ 외인 매수/매도 종목 투자자별 매매 동향을 살펴 보면 외인 순매수 상위 종목은 SK하이닉스(1,246억원), 삼성전자(887억원), 네이버(209억원), 코스모신소재(177억원), 한화에어로스페이스(165억원), 셀트리온(156억원), 삼성전자우(146억원), 셀트리온헬스케어(137억원), JYP엔터(111억원)..."
2023.06.01.,"[시황종합]코스피, 美 증시 약세와 수출 부진 우려에 하락","코스피 시가총액 상위 10개 종목 중 NAVER(035420) 2.26%, SK하이닉스(000660) 1.57%, 삼성전자우(005935) 0.85%, 삼성바이오로직스(207940) 0.51% 등은 상승했다. LG에너지솔루션(373220) -2.5%, 기아(000270) -1.98%, 삼성SDI(006400) -1.39%, 현대차(005380) -1.25%, LG화학(051910) -0.87%, 삼성전자(005930) -0.7% 등은 하락했다...."
2023.06.01.,"코스피, 기관 '팔자'에 하락 마감… 2560선","개인과 외국인이 3506억원, 12억원어치를 순매수했으나 기관이 3768억원어치 순매도하면서 소폭 하락했다.시총 상위 10개 종목 중에서는 SK하이닉스(1.57%), 삼성바이오로직스(0.51%), 삼성전자우(0.85%), NAVER(2.26%) 등이 올랐다. 하지만 삼성전자(-0.70%), LG에너지솔루션(-2.50%), LG화학(-0.87..."
2023.06.01.,[종합] 코스피 장초 공방 2570선 못지켜...코스닥은 상승세,"시가총액 상위 종목에서는 셀트리온(2.80%), NAVER(2.01%), 삼성전자우(1.54%), 삼성바이오로직스(0.64%) 등이 강세다. LG에너지솔루션(-2.17%), 기아(-1.63%), 현대차(-1.15%) 등은 약세다. 코스닥지수는 전 거래일보다 4.38포인트(0.51%) 오른 861.32에 거래되고 있다. 개인과 외국인은 각각 489억 원..."
2023.06.01.,"[종합] 코스피, 외국인·기관 매도세에 0.31% 하락","시가총액 1위 삼성전자는 전거래일 보다 0.70% 하락한 7민900원에 거래를 마감했고, NAVER는 2.26% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 나타냈다. 이날 시총 상위 10대 종목 중 가장 부진한 종목은 LG에너지솔루션으로 전거래일 대비 2.50% 하락한 58만4000원에 거래를..."
2023.06.01.,"[시황] 코스피, 수출 부진 우려에 0.3%대 하락...2560선","네이버(2.26%), SK하이닉스(1.57%), 삼성전자우(0.85%), 삼성바이오로직스(0.51%) 등의 주가가 오른 반면 LG에너지솔루션(-2.5%), 기아(-1.98%), 삼성SDI(-1.39%), 현대차(-1.25%), LG화학(-0.87%), 삼성전자(-0.70%) 등은 하락했다. 수출 부진 우려가 커진 것이 대형주 등 증시 전반에 영향을 미친 것으로 분석된다...."
2023.06.01.,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수...","순매도 상위종목은 삼성전자(005930)(1050억원)와 SK하이닉스(000660)(1044억원), 현대차(214억원), 기아(172억원), 삼성SDI(151억원), KB금융(147억원), 삼성물산(124억원), KT(117억원), 삼성엔지니어링(102억원), 카카오(91억원), POSCO홀딩스(87억원), 오리온(85억원), 한화에어로스페이스..."
2023.06.01.,[개장시황] 코스피·코스닥 소폭 하락 출발…원·달러 환율 1321원 개장,"이날 오전 9시 30분 기준 시가총액 상위권 종목 중 삼성전자 주가는 전 거래일 대비 0.28% 상승한 7만1600원에 거래되고 있다. 삼성바이오로직스(+0.26%), LG화학(+0.43%), 삼성전자우(+1.19%), NAVER(+1.25%) 등 강세다. 다만 LG에너지솔루션 주가는 전 거래일 대비 1.17% 하락한 59만2000원, SK하이닉스..."
2023.06.01.,"코스피, 개인 매도에 2570선 약보합세…코스닥도↓","시가총액 상위 10개 종목 중에서는 삼성전자(-0.84%)와 LG에너지솔루션(-0.83%), SK하이닉스(-2.21%), 삼성바이오로직스(-0.13%), 현대차(-0.60%), 기아(-1.28%) 등이 내리고 있다. 반면, LG화학(1.01%)과 삼성SDI(0.14%), 삼성전자우(0.51%), NAVER(0.75%) 등은 상승하고 있다. 이날 코스닥은 전 거래일(856.94)..."
2023.06.02.,'5만전자→9만전자'로 탈바꿈?…삼성그룹株 펀드도 '신바람',외국인이 삼성전자를 비롯해 삼성그룹주 종목 전반에 대한 순매수 규모를 늘린 덕분에 주가가 강세를 보이면서다. 증권가는 지난해 '5만전자'로 주저앉았던 삼성전자가 '9만전자'까지 오를 것이라고 예상한다 '삼성그룹株 펀드' 15% 넘게 ↑…삼전·SDI 절반 넘게 보유 1일 금융정보업체...
2023.06.02.,"코스피, 외인과 기관 매수에 상승 마감…LG화학, 삼성전자, 기아 상승 VS 삼성...","시가총액 상위 10개 종목은 삼성바이오로직스(-0.38%), 보합 마감한 SK하이닉스를 제외하고 상승 마감했다. LG화학(4.95%), 삼성전자(1.83%), 삼성전자우(1.52%), 기아(1.19%), 현대차(1.01%), 삼성SDI(0.99%), LG에너지솔루션(0.68%), NAVER(0.25%)가 상승 마감했다."
2023.06.02.,"""1년 걸렸다""...코스피 2600선 탈환 [fn마감시황]","삼성전자(1.83%), 삼성전자우(1.52%), 현대차(1.01%), 기아(1.19%) 등도 1% 넘는 상승률을 보였다. SK하이닉스는 보합세를 장을 마무리했고, 삼성바이오로직스는(-0.38%) 하락 마감했다. 코스닥지수는 전 거래일보다 0.50% 오른 868.06으로 거래를 마쳤다. 코스닥시장에서는 기관이 959억원 순매수했다. 개인과..."
2023.06.02.,"[시황종합]코스피, 1년만에 2600 회복 '축포'…""금리인상 종결 기대감""","코스피 시가총액 상위 10개 종목 중 LG화학(051910) 4.95%, 삼성전자(005930) 1.83%, 삼성전자우(005935) 1.52%, 기아(000270) 1.19%, 현대차(005380) 1.01%, 삼성SDI(006400) 0.99%, LG에너지솔루션(373220) 0.68%, NAVER(035420) 0.25% 등은 상승했다. 삼성바이오로직스(207940) -0.38% 은 하락했다. 코스닥은 전날 대비 4.28p(0.50..."
2023.06.02.,"""오늘만 같아라""…코스피, 2600선 '탈환'","시가총액 상위종목 가운데에선 SK하이닉스(+0%)가 보합권으로 거래를 마감한 반면, 삼성전자(+1.83%), LG에너지솔루션(+0.68%), LG화학(+4.95%), 삼성전자우(+1.52%), 삼성SDI(+0.99%), 현대차(+1.01%), 기아(+1.19%), NAVER(+0.25%) 등 대부분 종목이 상승 마감했다. 코스닥 지수는 개인(-361억원)과 외국인(-298억원)이..."
2023.06.02.,"[시황] 코스피, 1년 만에 2600선 회복…2601.36 마감","△LG화학(4.95%) △삼성전자(1.83%) △삼성전자우(1.52%) △기아(1.19%) △현대차(1.01%) △삼성SDI(0.99%) △NAVER(0.25%) 등은 상승세로 장을 마쳤다. △삼성바이오로직스(-0.38%)는 홀로 약세였고, △SK하이닉스(0.00%)는 보합으로 마감했다. 이날 코스닥 지수는 전 거래일(863.78) 대비 0.50%(4...."
2023.06.02.,"[종합] 코스피, 외인‧기관 ‘사자’에 2600선 돌파","시가총액 상위 10종목에서는 LG화학(4.95%), 삼성전자(1.83%), 삼성전자우(1.52%) 등이 상승 마감했고, 삼성바이오로직스(-0.38%)는 하락 마감했다. 코스닥지수는 전날보다 4.28포인트(0.50%) 오른 868.06으로 장을 마감했다. 기관이 957억 원 순매수했지만, 개인과 외국인은 각각 361억 원, 301억 원..."
2023.06.02.,"코스피 1년 만에 2600선 복귀, 외국인 기관 5700억 쌍끌이 매수","LG화학(4.95%) 주가가 5%에 가깝게 상승했으며 삼성전자(1.83%), LG에너지솔루션(0.68%), 삼성전자우(1.52%), 삼성SDI(0.99%), 현대차(1.01%), 기아(1.19%), 네이버(0.25%) 등 전부 8개 종목 주가가 올랐다. 삼성바이오로직스(-0.38%) 주가는 내렸으며 SK하이닉스 주가는 전날과 같다. 이날 코스닥지수도 올랐다...."
2023.06.02.,"코스피, 개인·외인 방어에 0.67% 상승 출발···2586.27 개장","시가총액 상위 10개 종목 중에서는 삼성전자(1.41% )·LG에너지솔루션(0.86%)·SK하이닉스(1.36%)·삼성바이오로직스(0.13%)·삼성전자우(1.18%)·LG화학(1.02%)·삼성SDI(0.14%)·현대차(0.66%)·기아(0.71%) 등 9개 종목이 오름세를 보이고 있으며, 유일하게 NAVER(-0.49%)가 하락세다.코스닥지수는 전..."
2023.06.02.,손절했으면 큰일날 뻔…수익률 두자릿수 펀드에 담은 종목은,삼성전자도 2.5% 비중으로 담고 있다. 최근 엔비디아를 필두로 전세계 인공지능(AI) 관련주들의 상승률이 돋보이면서 AI 기술 기업을 골고루 담은 해당 펀드가 높은 성과를 낸 것으로 보인다. 김태수 피델리티자산운용 채널영업본부장은 “펀드에 엔비디아를 들고 있지 않지만 AI 관련주를 많이 담고...
2023.06.03.,[증권상품 풍향계] 삼성전자 반등 속 우선주 투자 랩 상품 출시 '눈길',이번 주(5월 29일~6월 2일) 투자상품 시장에서는 삼성전자 우선주에 투자하는 랩어카운트(종합자산관리계좌) 상품이 나와 눈길을 끌었다. 미국 국채와 회사채에 투자하는 ETF(상장지수펀드)도 상장됐다. 이번 주에는 투자 서비스도 다양하게 나왔는데 발행어음 거래 서비스와 통합증거금 서비스가...
2023.06.03.,[증권가Ⅰ] 미래에셋증권 한국투자증권 KB증권 신한투자증권 NH투자증권 한화...,"■ 한화투자증권, '한화 델타랩 삼성전자우' 출시 ㅣ 한화투자증권 한화투자증권은 '한화 델타랩 삼성전자우'를 출시했다고 30일 밝혔다. 한화 델타랩 삼성전자우는 금융공학 모델을 기반으로 운용자산의 변동성에 따라 편입비를 조절하는 랩어카운트 서비스다. 삼성전자우선주 한 종목만으로 운용하며..."
2023.06.03.,"우대식 아수라팩토리 대표 ""대전 격투를 위한 최고의 환경, 아수라로 구축해 ...","삼성전자에서 근무하다 쳇바퀴 돌듯 사는 일상에 퇴직을 결심한 우대식 대표는 '스트리트 파이터 2', '아랑 전설', '킹오브파이터즈', '철권' 등 오락실에서... 반면에 한국은 독자적인 레이아웃에, 스틱도 일제 스틱이 아닌 독자 스틱 규격을 찾는 분들이 많아요"" 우 대표는 한국의 격투 게이머들이 독자적인 배열을..."
2023.06.04.,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매...","기관 주간 순매수 상위종목은 SK이노베이션(096770)(627억원)를 가장 많이 매수한 가운데 LG전자(066570)(578억원), 포스코퓨처엠(003670)(412억원), LG에너지솔루션(373220)(388억원), SK아이이테크놀로지(361610)(380억원), 하이브(352820)(307억원), 삼성전자우(005935)(282억원), LG화학(051910)..."
2023.06.04.,"""라이프 스타일 사로잡는 지역밀착""···삼성·LG전자, 중동 시장 공략 '가속...",가전업계에서는 최근 국내 가전 쌍두마차 격인 삼성전자와 LG전자의 중동·아프리카 시장 공략 행보가 해외 소비자들의 '이목'을 사로잡고 있다. 현지에서 적극적인 마케팅 공략법을 선보이며 실적 부진을 상쇄시키겠다는 의지로 해석된다. 4일 업계에 따르면 중동과 아프리카 인구는 전 세계 인구...
2023.06.04.,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이","한주간 순매수를 주도한 외국인들은 삼성전자, SK하이닉스 등 반도체 투톱 종목만 1조3000억원 넘게 사들여 눈길을 끌었다. 뒤를 이어 코스모신소재, 포스코퓨처엠, LG전자 등도 사들이며 주간 외국인 순매수 TOP 5에 이름을 올렸다. 반면, 개인투자자들은 POSCO홀딩스와..."
2023.06.04.,5월 국내 증시 개인 순매수 상위종목 10개 수익률 -10.58%…기관·외인은 양호,"같은 기간 외국인은 삼성전자를 2조5670억 원, SK하이닉스를 1조4717억 원어치 순매수했다. 뒤이어 현대차(2144억 원), LG전자(2086억 원), NAVER(1787억 원), 코스모신소재(1711억 원), LG에너지솔루션(1516억 원), 삼성전자우(1505억 원), 삼성SDI(1439억 원), 기아(1358억 원) 등이 가장 많이 순매수됐다...."
2023.06.04.,[중국通] 중국몽은 한편의 드라마일뿐,"시진핑 집권 직전 집권을 읽은 삼성전자가 공장을 짓고 유지하고 있는 것은 중국도 힘 있는 사람의 고향을 발전시키려는 정서가 있기에 전략적... 특히 러·우 전쟁에서 군사 무기에 쓰이는 드론, 미사일 심지어 첨단 장갑차 전투기 등에 반도체가 없이는 작동될 수 없음을 목도하지 않는가. 심지어 우스갯소리로..."
2023.06.05.,"[데이터로 보는 증시]삼성전자·두산에너빌리티, 기관·외국인 코스피 순매수...","기관은 삼성전자(005930)(707억원)를 가장 많이 순매수한 가운데 POSCO홀딩스(005490)(286억원), LG전자(066570)(280억원), 삼성중공업(010140)(181억원), 현대미포조선(010620)(170억원), SK이노베이션(096770)(157억원), KB금융(105560)(141억원), HD현대중공업(329180)(134억원), 신한지주(055550)(133억원)..."
2023.06.05.,"코스피, 2600선대 다지기…삼성전자 7만선서 약보합","KB증권은 이날 삼성전자에 대해 반도체가 좋아질 일만 남았다며 목표주가 8만5000원과 투자의견 매수를 유지했고, 최근 SK증권은 하반기 DDR5 점유율 회복이 시작될 것이라며, 투자의견 매수를 유지하고 목표주가 9만원으로 올려잡았다. 같은 시각 삼성전자(005930)는 0.83% 밀린 7만1600원에..."
2023.06.05.,코스피 외인·기관 쌍매수에 상승···삼성전자 숨 고르기,"시가 총액 상위 종목 중 SK하이닉스(+0.09%), 현대차(+0.75%), 기아(+0.825), NVER(+0.49%)가 상승하고, 삼성전자(-0.28%)와 삼성전자우(-0.17%), 삼성SDI(-0.28%)가 하락하고 있다. 업종별로 조선(+3.64%), 무역회사와 판매업체(+3.55%), 전자제품(2.35%), 기계(+2.20%), 은행(+1.98%)가 상승, 건강관리기술(-1.82..."
2023.06.05.,"코스피, 기관 매수에 상승 마감…기아, LG에너지솔루션 상승 VS SK하이닉스, ...","시가총액 상위 10개 종목의 희비는 엇갈렸다. 기아(1.17%), LG에너지솔루션(1.02%), 현대차(0.75%), LG화학(0.28%), 삼성SDI(0.28%)는 상승 마감했다. 이에 반해 SK하이닉스(-1.45%), 삼성전자(-0.69%), 삼성전자우(-0.33%)는 하락 마감했다. 삼성바이오로직스와 NAVER는 보합 마감했다."
2023.06.05.,[시황종합]코스피·코스닥 동반강세…삼전·하이닉스는 '숨고르기',"이날 코스피 상승에도 대형 반도체주인 삼성전자(005930)(-0.69%)와 SK하이닉스(000660)(-1.45%)는 외국인의 매도세에 소폭 하락마감했다. 최근 주가가 단기적으로 큰 폭의 상승세를 보여온 데 따른 매물출회 영향으로 풀이된다. 박광남 미래에셋증권 연구원 ""고용보고서를 통해 경기침체..."
2023.06.05.,"코스피, 기관 대량 매수에 연중 최고치 기록",코스피 시가총액 상위 10개 종목에서 △LG에너지솔루션(+1.02%) △LG화학(+0.28%) △삼성SDI(+0.28%) △현대차(+0.75%) △기아(+1.17%)는 상승했고 △삼성전자(-0.69%) △SK하이닉스(-1.45%) △삼성전자우(-0.33%)는 하락했다. 삼성바이오로직스와 네이버는 보합권에 머물렀다. 이날 등락률 상위 업종은 기계(+3....
2023.06.05.,"[시황] 코스피, 기관 매수세 유입에 상승…2615.41 마감","△삼성전자(-0.69%) △SK하이닉스(-1.45%) △삼성전자우(-0.33%) 등은 떨어졌다. △삼성바이오로직스(0.00%) △NAVER(0.00%) 등은 보합으로 마쳤다. 코스닥은 전 거래일보다 0.26%(2.22포인트) 오른 870.28에 거래를 마쳤다. 개인과 기관이 각각 350억 원, 89억 원을 순매수한 반면 외국인은 210억 원을..."
2023.06.05.,섬머랠리 기대감 증폭…연중 최고치 갈아치운 코스피,"삼성전자(-0.69%), SK하이닉스(-1.45%), 삼성전자우(-0.33%) 등은 하락 마감했다. 코스닥 역시 상승 마감했다. 코스닥은 전 거래일보다 0.26%(2.22포인트) 오른 870.28에 거래를 마쳤다. 개인과 기관이 351억원, 89억원을 순매수했고 외국인이 210억원을 순매도했다. 원·달러 환율은 소폭 상승했다. 서울..."
2023.06.05.,"코스피 하락, 기관이 막았다···14.05P(0.54%) 오른 2615.41 종료","반면 삼성전자(-0.69%)·삼성전자우(-0.33%)·SK하이닉스(-1.45%) 등은 하락했고, 삼성바이오로직스와 NAVER는 보합으로 장을 마쳤다.코스닥지수는 전 거래일(868.06)보다 2.22포인트(0.26%) 상승한 870.28에 거래를 종료했다. 외국인이 210억원어치를 판 가운데 개인과 기관이 각각 351억원·89억원..."
2023.06.05.,"[종합] 코스피, 0.54% 오른 2615.41 마감…기관 4500억 순매수","시가총액 1위 삼성전자는 전거래일 보다 0.69% 하락한 7만1700원에 거래를 마감했고, 기아는 1.16% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 나타냈다. 이날 시총 상위 10대 종목 중 가장 부진한 종목은 SK하이닉스 종목으로 전거래일 대비 1.45% 하락한 10만8700원에 거래를..."
2023.06.07.,"코스피, 기관 매수에 상승 마감…LG화학, 삼성SDI 상승 VS 기아. 현대차 하락","시가총액 상위 10개 종목의 희비는 엇갈렸다. LG화학(3.18%), 삼성SDI(2.51%), LG에너지솔루션(1.68%), NAVER(0.24%), 삼성바이오로직스(0.13%)는 상승 마감했다. 이에 반해 기아(-4.87%), 현대차(-2.29%), 삼성전자(-0.98%), SK하이닉스(-0.64%)는 하락 마감했다. 삼성전자우는 보합 마감했다."
2023.06.07.,"삼성전자3호광장점 김세웅 대표, 신안군장학재단에 2천5백만 원 기탁",신안군장학재단 박우량 이사장(좌)과 삼성전자3호광장점 김세웅 대표(우)가 장학금 기탁식 기념 촬영을 하고 있다. 컨슈머타임스=이경재 기자 | 삼성전자3호광장점 김세웅 대표가 지난 5일 신안군청을 방문하여 지역인재육성과 교육발전을 위해 써달라며 지역인재 육성 장학금 2천5백만 원을...
2023.06.07.,"코스피, 2,620선 안착 청신호…삼성전자 약세에도 '핑크빛 전망'","KB증권은 전일 삼성전자에 대해 반도체가 좋아질 일만 남았다며 목표주가 8만5000원과 투자의견 매수를 유지했고, 최근 SK증권은 하반기 DDR5 점유율 회복이 시작될 것이라며, 투자의견 매수를 유지하고 목표주가 9만원으로 올려잡았다. 같은 시각 삼성전자(005930)는 0.42% 밀린 7만1400원에..."
2023.06.07.,"‘2차전지 몰빵’ 개미, 올해 돈 벌었지만...외국인·기관에는 패배","개인투자자들이 가장 많이 순매도한 건 반도체로 삼성전자, SK하이닉스를 총 10조원 팔았다. 외국인, 기관투자자들은 개미들과 정반대의 매동 현황을 보였다. 증시 하락보다는 상승에 베팅했으며 반도체, 자동차, 2차전지, 방산 등 포트폴리오 다변화에 주력했다. 외국인 투자자들이 가장 많이..."
2023.06.07.,코스피·코스닥 장 초반 소폭 상승…대형 반도체는 약세[개장시황],"삼성전자(005930) -0.7%, 삼성전자우(005935) -0.33%, SK하이닉스(000660) -0.18% 등은 하락했다. 코스닥은 전날 대비 5.48p(0.63%) 상승한 875.76를 가리키고 있다. 개인은 21억원, 기관은 80억원 각각 순매수했다. 외국인은 74억원 순매도했다. 코스닥 시가총액 상위 10개 종목 중 에코프로(086520) 3.89..."
2023.06.07.,"코스피, 기관 매수에 2610선 강보합 마감…코스닥도↑","삼성전자우는 보합세로 마감했다. 반면, 삼성전자(-0.98%)와 SK하이닉스(-0.64%), 현대차(-2.29%), 기아(-4.87%) 등은 하락했다. 이날 코스닥은 전 거래일(870.28) 대비 10.44p(1.20%) 상승한 880.72에 장을 마감했다. 코스닥 시장에서는 외국인과 기관이 각각 2057억원, 587억원 매수 우위를 보였다. 개인은..."
2023.06.07.,"[종합] 코스피, 외인 ‘팔자’에 장중 0.30% 오른 2623.31 강보합…기아 3.71...","삼성전자(-0.84%), SK하이닉스(-0.109%), 삼성전자우(-0.17%), 현대차(-1.54%), NAVAER(0%), 기아(-3.71%) 등을 제외하고 오르고 있다. LG화학(3.46%), LG에너지솔루션(1.68%), 삼성SDI(3.21%)는 큰 폭 오름세다. 이날 현대차와 기아는 미국 뉴욕시가 맨해튼 미 연방법원에 이들 기업을 대상으로 소송을 제기했다는..."
2023.06.07.,"코스피 2610선 강보합, 코스닥 2차전지주 강세에 1%대 올라","반면 삼성전자(-0.98%), SK하이닉스(-0.64%) 등 반도체주 주가가 약세를 보였다. 현대차(-2.29%), 기아(-4.87%) 등 완성차주 주가가 파업우려, 손해배상청구 등 악재 영향으로 상대적으로 많이 내렸다. 삼성전자우 주가는 전날과 같다. 이날 코스닥지수는 6거래일 연이어 상승세를 기록했다. 코스닥지수는..."
2023.06.07.,"코스피, 外人 반도체 차익 매물 실현에 강보합…2610선 마감","삼성전자우는 보합세에 머물렀다. 이외 모든 종목이 하락했다. 이 가운데 기아는 전장 대비 4200원(-4.87%) 하락한 8만2000원으로 가장 큰 하락폭을 기록했다. 시총 1위 삼성전자는 전장 대비 700원(-0.98%) 내린 7만1000원으로 장을 마감했다. 이경민 대신증권 연구원은 ""코스피는 금융투자..."
2023.06.07.,"[장중시황] 코스피, 기관 매수 이어지며 2620선 돌파","시가총액 1위 삼성전자는 전거래일 보다 0.56% 하락한 7만1300원에 거래되며 다소 부진한 반면, LG화학 종목은 2.49% 상승해 시총 상위 10대 종목에서 가장 강한 상승세를 보이고 있다. 다음은 유가증권시장 시가총액 상위 10대 기업의 오전 10시41분 현재 주가와 전일대비 주가..."
2023.06.08.,코스피 외국인 순매수도 상위 10종목(8일)...코스모신소재-두산에너빌리티-삼...,"▲ 8일 코스피 시장에서 외국인은 코스모신소재, 두산에너빌리티, 삼성전자우, 삼성전자를 집중 매수했다.© 연합뉴스. 8일 코스피 시장에서 외국인은 코스모신소재, 두산에너빌리티, 삼성전자우, 삼성전자를 집중 매수했다. 반면, SK하이닉스, LG에너지솔루션, 금양을 집중 매도했다."
2023.06.08.,"코스피, 외국인 매도에 2,600선 위태…삼성전자 7만선 지켜낼까",최근 증권가는 반도체 업황 개선 양상이 나타나고 있다며 삼성전자에 대한 비중을 늘리고 있다. 투자자들이 애타게 기다렸던 주가가 1년 2개월 만에 7만원을 넘어서다. 하지만 이날 삼성전자는 1%넘게 주가가 빠지면서 7만선을 간신히 지켜내는 모습이다. 같은 시각 삼성전자(005930)는 1.13...
2023.06.08.,"코스피 '네 마녀의 날', 외인 매도에 2,610대 턱걸이…외인 코스모신소재·두...","◆ 외인 매수/매도 종목 투자자별 매매 동향을 살펴 보면 외인 순매수 상위 종목은 코스모신소재(312억원), 두산에너빌리티(308억원), 삼성전자우(187억원), 삼성전자(160억원), OCI홀딩스(130억원), 하나마이크론(124억원), 포스코인터내셔널(123억원), LG화학(116억원), 와이지엔터테인먼트..."
2023.06.08.,"목포 삼성전자3호광장점 김세웅 대표, 신안군장학재단에 2500만원 기탁","신안군장학재단 박우량 이사장(좌)과 삼성전자3호광장점 김세웅 대표(우)가 장학금 기탁식 기념 촬영을 하고 있다.(사진=신안군) 지난 2009년 설립해 올해로 15년 차인 삼성전자 3호광장점은 목포시 용당동에 위치해 가전제품 및 부품 도매업을 하고 있으며, 2009년 장학금 300만원과 2019년에 200만원을 기탁..."
2023.06.08.,"[시황] 외국인 순매도 행렬…코스피, 0.18% 하락 마감",시가총액 상위 10개 종목 가운데 △NAVER(-2.20%) △LG에너지솔루션(-2.15%) △LG화학(-1.21%) △삼성SDI(-0.82%) △삼성전자(-0.14%) △삼성바이오로직스(-0.13%) △POSCO홀딩스(-0.13%) 등은 떨어졌다. △SK하이닉스(1.57%) △삼성전자우(0.17%) △현대차(0.15%) 등은 올랐다. 이날 코스닥 지수는 전...
