날짜,제목,내용
2023.06.01.,"삼성중공업, ‘암모니아 추진 선박 개발’ 속도",삼성중공업이 '암모니아 실증설비' 제조 승인을 받고 착공을 시작한다고 6월 1일 밝혔다. 암모니아 실증설비는 거제조선소 내 1300㎡ (약 380평) 부지 위에 신규 조성하는 암모니아 종합 연구개발 설비다. 이는 암모니아 추진선의 실선화를 위해 삼성중공업이 개발해 온 기술들의 성능 평가와 신뢰성 및 안전성을...
2023.06.01.,"삼성중공업, 암모니아 추진 선박 개발 시작 [경남소식]",삼성중공업이 '암모니아 실증설비' 제조 승인을 받고 착공에 들어갔다. 암모니아 실증설비는 거제조선소 내 380평 부지 위에 신규 조성하는 암모니아 종합 연구개발 설비로 암모니아 추진선의 실선화를 위해 삼성중공업이 개발해 온 기술들의 성능 평가와 신뢰성 및 안전성을 검증하는 테스트베드 역할을...
2023.06.01.,"HSD엔진, 삼성중공업과 600억 규모 선박용 엔진 공급계약[주목 e공시]",HSD엔진은 600억원 규모의 선박용 엔진 공급 계약을 체결했다고 1일 공시했다. 계약 상대는 삼성중공업이다. 계약 금액은 600억원으로 지난해 연결 기준 매출액의 7.9%에 해당한다. 계약 기간은 2026년 2월 7일까지다.
2023.06.01.,"비트나인, 삼성중공업과 설계·연구용 제품 납품 계약",비트나인은 삼성중공업과 설계·연구용 제품 납품 계약을 체결했다고 1일 공시했다. 계약금액은 상대방의 비밀유지 요청에 따라 공시 유보했다.
2023.06.01.,"에퀴노르, '12조' 캐나다 해양플랜트 3년 연기…한화오션·삼성중공업 '울상'",프로젝트 지연으로 핵심 사업인 부유식 원유생산 저장 및 하역설비(FPSO) 설계·건조 사업자 선정도 미뤄지면서 해당 사업에 눈독을 들여온 한화오션과 삼성중공업은 허탈한 모습이다. 1일 업계에 따르면 에퀴노르는 파트너인 영국 에너지기업 BP와 함께 '베이 두 노드(Bay du Nord)' 프로젝트 착공을...
2023.06.01.,"HD현대, STX중공업 인수 안갯속···시너지 불구 가격차에 '고심'",HD현대는 현재 조선업계 빅3(HD한국조선해양·삼성중공업·한화오션) 중 유일하게 자체 엔진사업부를 갖추고 있다. 해당 사업부는 HD현대중공업의 전체 매출 비중의 15%를 차지하고 있고 대형엔진과 대형 선박 발전기용으로 사용되는 중형엔진인 '힘쎈엔진'을 비롯해 육상용 엔진발전설비 등을 공급하고...
2023.06.01.,"[종합] ""이틀만에 또""…HD한국조선, 하반기 선별수주 나선다","HD한국조선해양 관계자는 “시장 변화 및 고객 요구를 충족시킬 수 있는 기술 개발과 수익성 위주의 선별 수주로 친환경 고부가가치 선박 시장을 선도해나갈 것”이라고 말했다.다만, 삼성중공업과 새롭게 출범한 한화오션의 수주 실적에는 아직 변화가 없다.삼성중공업은 올해 현재까지 연간 수주..."
2023.06.01.,'암모니아 추진 선박 개발' 속도낸다,삼성중공업이 '암모니아 실증설비' 제조 승인을 받고 착공을 시작한다고 1일 밝혔다. 암모니아 실증설비는 거제조선소 내 1300㎡(약 380평) 부지 위에 신규 조성하는 암모니아 종합 연구개발 설비로 암모니아 추진선의 실선화를 위해 삼성중공업이 개발해 온 기술들의 성능 평가와 신뢰성 및 안전성을 검증하는...
2023.06.01.,"""벌써 올해 목표의 73%""…HD한국조선 '쾌속 순항'","삼성중공업은 현재까지 LNG 운반선 4척, 해상 부유식 액화 설비(FLNG) 1척 등 총 25억 달러를 수주해 올해 목표의 26%에 그치고 있다. 한화오션(옛 대우조선해양)은 창정비 사업을 포함해 총 10억6000만 달러를 수주해 목표 달성률 15.2%에 머물고 있다. 업계 관계자는 ""최근 중국의 경제활동 재개와 대형..."
2023.06.01.,"삼성重, 친환경 연료 ‘암모니아’ 실증 설비 착공",삼성중공업은 경남 거제조선소에 ‘암모니아 실증설비’를 착공한다고 1일 밝혔다. 암모니아 실증설비는 1300㎡(약 380평) 부지에 조성되는 암모니아 종합 연구개발 설비다. 이곳에서 암모니아 추진선 관련 삼성중공업이 개발해 온 기술들의 성능 평가와 신뢰성·안정성 검증 등이 이뤄질 예정이다....
2023.06.02.,"삼성중공업, 원유운반선 2척 2천275억원에 수주",삼성중공업이 오세아니아 지역 선사로부터 원유 운반선 2척을 2천275억원에 수주했다고 2일 밝혔다. 사진은 삼성중공업 원유원반선. 2023.6.2 [삼성중공업 제공. 재판매 및 DB 금지]
2023.06.02.,"삼성중공업, 2275억 규모 원유운반선 2척 수주",삼성중공업은 오세아니아 지역 선주로부터 2275억원 규모의 원유운반선 2척을 수주했다고 2일 공시했다. 이는 지난해 매출액 대비 3.8%에 해당하는 규모로 계약기간은 오는 2026년 2월28일까지다.
2023.06.02.,[오늘의 주요공시] 삼성중공업‧포스코퓨처엠 등,"이투데이=손민지 기자 | △삼성중공업, 2275억 규모 원유운반선 2척 공사수주 △SK아이이테크놀로지, 북미 등에 이차전지용 분리막 장기공급계약 △E1, 롯데케미칼과 1927억 규모 액화석유가스 매매계약 △아이씨디, 삼성디스플레이와 635억 규모 FPD 제조장비 수주 △포스코퓨처엠 “화유코발트사와..."
2023.06.02.,삼성중공업 주가 떨어졌지만…암모니아 추진 선박 개발에 투자자 쏠린 눈,삼성중공업 주가가 하락세를 보였다. 이 회사는 '암모니아 실증설비' 제조 승인을 받고 착공을 시작한다고 밝혔다. 이 실증설비는 거제조선소 내 13만22㎡ (약 380평) 부지 위에 신규 조성하는 암모니아 종합 연구개발 설비다. 이에따라 암모니아 추진선의 실선화를 위해 그동안 개발해 온 기술들의 성능 평가와...
2023.06.02.,"[뉴투분석] HD현대중공업·삼성중공업·한화오션, '두 토끼'로 슈퍼사이클 이...","건조량 조절 능력과 고(高) 선가 유지 전략 펼쳐 환경친화 기조 발맞춰 ' 친환경 선박' 수주에 주력해야 한영석 HD현대중공업 대표, 정진택 삼성중공업 대표, 권혁웅 한화오션 대표 [사진=뉴스투데이DB] [뉴스투데이=남지완 기자] HD현대중공업, 삼성중공업, 한화오션(옛 대우조선해양) 등 이른바 '조선 빅3..."
2023.06.02.,조선업계 실적개선 본격화…인력난도 소폭 개선,"삼성중공업 역시 올해 27억 달러(7척)을 수주하면서, 연간 수주 목표(95억 달러)의 28%를 달성했다. 하반기에 모잠비크 물량, LNGC 물량 등의 추가 수주가 예상돼, 올해 목표 달성이 가능할 것이란 게 업계 중론이다. 한화오션은 한화와의 합병이 마무리된 만큼, 올해 하반기 수주에 속도가 붙을 전망이다...."
2023.06.02.,'美 디폴트 위기 넘겼다'...부채한도법 상원도 통과 [권영훈의 증시뉴스 PICK...,"◎ 삼성중공업, 원유운반선 2척 2,275억원 수주 네번째 뉴스픽입니다. 삼성중공업이 오세아니아 지역 선주와 원유운반선 2척을 2,275억원에 수주했다고 밝혔습니다. 올 들어 현재까지 누적수주 27억 달러로, 연간 수주목표 95억 달러의 28%를 달성했습니다. 지금까지 증시뉴스 픽이었습니다."
2023.06.02.,조선 ‘빅3’ 14兆 카타르 LNG선 협상 돌입…Q-Max 수주 후 과제는,"카타르에너지와 조선 빅3( HD한국조선해양, 한화오션, 삼성중공업)가 14조원 규모의 LNG선 수주를 두고 이달부터 실무협상에 돌입한다. 이번 협상에서는 일반적인 선형보다 큰 Q-Max에 대한 건조 논의도 이뤄지고 있다. 초대형선 건조에 나설 경우 조선소의 생산성이 떨어질 수밖에 없다...."
