날짜,제목,내용
2023.06.01.,"화보협회, 삼성화재와 공동 실물 화재실험 수행",한국화재보험협회는 삼성화재와 공동으로 협회 부설 방재시험연구원에서 화재로부터 인명과 재산을 보호하고 건축물 위험관리를 위해 실물 화재실험을 실시했다고 1일 밝혔다. 지난해 9월 대전의 한 아울렛 지하 주차장에서 발생한 화재로 대규모 인명피해가 발생했다. 이번에 실시한 실물 화재실험은 이...
2023.06.01.,"케어네이션, 삼성화재 애니핏 플러스 ‘간병 서비스’ 출시",간병 매칭 플랫폼 케어네이션이 삼성화재와 협업해 삼성화재 건강증진 서비스 앱인 애니핏 플러스에 ‘간병 서비스’를 출시한다고 1일 밝혔다. 삼성화재 헬스케어 서비스 ‘애니핏 플러스’는 건강 상태를 파악해 건강증진·질병예방·관리 등 종합적인 디지털 헬스케어를 이용할 수 있는 앱이다. 애니핏 플러스...
2023.06.01.,삼성화재 “생활밀착형 서비스로 고객에 한 걸음 더”,'착!한생활시리즈' 등 유용한 생활플랫폼으로 인기 몰이 삼성화재(대표 홍원학)의 생활밀착형 서비스가 고객들의 호응을 얻고 있다. 인기 서비스 중 하나는 삼성화재의 펫 커뮤니티 서비스 'O모O모(오모오모)'다. 최근 삼성화재는 ‘오모오모’ 가입자 수가 출시 6개월 만에 10만명을 돌파했다고 밝혔다. 펫...
2023.06.01.,[영상] ‘한국판 노벨상’이라 불리는 이 상…JY 애정 쏟는 이유는,"김기남 삼성전자 회장, 경계현 삼성전자 사장, 노태문 삼성전자 사장을 비롯해 최주선 삼성디스플레이 사장, 전영현 삼성SDI 부회장, 최윤호 삼성SDI 사장, 장덕현 삼성전기 사장, 황성우 삼성SDS 사장, 존림 삼성바이오로직스 사장, 전영묵 삼성생명 사장, 박종문 삼성생명 사장, 홍원학 삼성화재 사장, 김대환..."
2023.06.01.,"금융당국 ""보험사 실적 부풀리기 막겠다""…업계 반응은?","이는 손보업계 1위사인 삼성화재보다 높은 수치로 삼성화재는 1조4764억원으로 나타났다. 또 5위사로 평가되는 메리츠화재가 1조3103억원으로 그 다음을 이었다. 같은 기간 CSM은 삼성화재가 12조2097억원을 보고해 1위를 기록했다. 이어 DB손해보험(11조2565억원), 메리츠화재(10조6497억원), 삼성생명(10조3745억원)..."
2023.06.01.,손보사 미래 먹거리는 댕댕이?…KB손보까지 '펫보험' 출시,KB손해보험이 1일 첫 장기펫보험인 ‘KB 금쪽같은 펫보험’을 출시하면서 5대 손보사(삼성화재‧DB손해보험‧메리츠화재‧현대해상‧KB손보) 모두 펫보험을 판매하게 됐다. 국내 보험산업이 성숙기에 접어든 가운데 아직 가입률이 저조한 펫보험 시장은 ‘미래 먹거리’가 될 수 있다는 얘기가 나온다....
2023.06.01.,호암재단 남다른 애정 이재용...오너일가 중 나홀로 시상식 참석,"홍원학 삼성화재 사장, 김대환 삼성카드 사장, 장석훈 삼성증권 사장, 최영준 삼성벤처투자 사장, 최성안 삼성중공업 부회장, 고정석 삼성물산 사장, 오세철 삼성물산 사장, 정해린 삼성물산 사장, 김종현 제일기획 사장, 한인규 호텔신라 사장, 남궁범 에스원 사장, 차문중 삼성글로벌리서치 사장 등이 참석했다...."
2023.06.01.,트레이드로 새 판 짜는 신영철 감독 “변화가 필요했다”,"지난 시즌에도 삼성화재, 한국전력, 현대캐피탈 등과 트레이드 협상을 이끌면서 관심을 집중시켰다. 2023~2024시즌을 앞두고도 신 감독은 발 빠르게 움직였다. 에이스 나경복이 자유계약선수(FA)로 KB손해보험으로 이적하자 그 공백을 메우기 위해 안간힘을 썼다. 이번에도 트레이드를 통한 새 판 짜기다. 주전 세터..."
2023.06.02.,"스케일이 다른 1위… 삼성화재, 車보험에 '변호사선임비 특약' 탑재",삼성화재가 교통사고가 발생했을 때 운전자에게 변호사 선임비용을 보장하는 특약을 자동차보험에 탑재했다. 경쟁업체들이 운전자보험에 해당 특약을 탑재해 과열경쟁을 유발한 것과 다른 모습이다. 2일 보험업계에 따르면 이날 삼성화재는 보장한도를 기존보다 높이고 새로운 위험까지 보장받을 수 있도록...
2023.06.02.,"[단독] 삼성화재, 방카슈랑스 장기보험 신규 판매 축소","방카슈랑스 영업부 → 방카업무지원센터로 조직 변경 방카 장기상품, IFRS17 기준 수익 창출 구조 '불리' 삼성화재가 방카슈랑스 신규 판매를 대폭 축소한다. 이는 새로운 국제회계기준(IFRS17) 도입으로 방카슈랑스 채널의 주요 판매상품인 저축성보험이 손해보험사 손익구조에 불리하게 작용한다고..."
2023.06.02.,"케어네이션·삼성화재, 애니핏 플러스 ‘간병 서비스’ 연동 출시",맞춤형 간병 매칭 플랫폼 케어네이션이 삼성화재와 협업해 건강증진 서비스 앱(어플리케이션) 애니핏 플러스에 ‘간병 서비스’를 신규 오픈한다고 2일 밝혔다. 애니핏 플러스는 고객의 건강 상태 파악부터 건강증진·질병예방·관리까지 종합적 디지털 헬스케어 서비스다. 향후 애니핏 플러스 이용자는 별도의...
2023.06.02.,"화재보험협회-삼성화재 실물화재실험 실시...""소화설비 지연작동 확인""",한국화재보험협회는 삼성화재해상보험(주)와 공동으로 협회 부설 방재시험연구원에서 화재로부터 인명과 재산을 보호하고 건축물 위험관리를 위해 실물 화재실험을 실시했다고 2일 밝혔다. 화재보험협회에 따르면 실물 화재실험은 2가지 유형으로 진행됐다. 첫 번째 실험은 지하 주차장 깊은 보에 의한...
2023.06.02.,"KB손해보험, 펫보험 시장 진격…메리츠·삼성화재 아성 넘을까","현재 펫보험 시장점유율은 메리츠화재와 삼성화재가 90% 이상을 차지한 것으로 알려져 있는 만큼, KB손해보험이 이들을 따라 잡을 수 있을지 집중된다. 2일 보험업계에 따르면 지난 1일 KB손해보험은 'KB금쪽같은 펫보험'을 출시했다고 밝혔다. 이 상품은 생후 91일부터 만 10세까지의 강아지·고양이가 가입할 수..."
2023.06.02.,신진서 없는 무대에 활기가 돈다?,"변상일 9단은 다음 달로 예정된 춘란배 결승에서 리쉬안하오 9단을 상대로 첫 메이저 세계대회 우승을 노린다. 원성진 9단은 메이저 세계대회에서 2011년에 삼성화재배 월드바둑마스터스 우승을 차지했다. ""우승 가능성은 모르겠고 우승하는 것이 목표입니다."""
2023.06.02.,대형 손보사들도 운전자보험 절판 마케팅 구설(종합),"가장 적극적인 곳은 업계 1위 삼성화재다. 삼성화재는 GA 채널에 운전자 보험 자기부담금 20% 신설 이슈를 담은 별도의 안내지를 배포했다. '23.7월 운전자보험, 자기부담금 도입'이라고 시작하는 안내지는 설계사의 운전자보험 절판을 권하고 있다. 삼성화재는 '늦게 가입하면 지각비를 왕창 낸다', '단 하루..."
2023.06.02.,[르포] '스타트업-대중견기업 간 협업기회 창출·만남의 장' 넥스트라이즈 20...,"(삼성화재 관계자) 지난 1일 서울시 강남구 코엑스 1층 A홀 '밋업(Meet up)' 부스존의 열기는 뜨거웠다. 미래의 오픈 콜라보레이션(협업) 파트너를 찾는 대·중견기업 135개사 관계자들도, 투자처를 물색하고 대·중견기업과의 상생을 추구하고자 하는 각 스타트업 관계자들도 서로의 '짝'을 찾아 분주한 발걸음을..."
2023.06.03.,"삼성화재, 보장 강화한 '법률비용지원특약V' 출시",삼성화재는 최근 보장한도를 기존보다 높이고 새로운 위험까지 보장받을 수 있도록 담보를 강화한 '법률비용지원특약V'를 새롭게 선보였다. '법률비용지원특약'은 중대 교통사고로 형사처벌이 발생할 때 변호사 선임비용이나 형사합의금과 같은 비용손해를 보장해주는 담보다. 자동차보험을 가입할 때...
2023.06.03.,"[그레이트 컴퍼니] 정규직 비율 98%…삼성화재, ‘일자리창출’ 부문서 성과",삼성화재가 일자리창출과 관련한 부문에서 우수한 성과를 기록했다. 삼성화재의 경우 전체 직원수 2000명 이상인 보험사 중 유일하게 정규직 비율이 98%대를 넘어서며 높은 점수를 받았다. 3일 기업데이터연구소 CEO스코어가 2022년 12월 기준 금융통계정보시스템에 공개된 금융사 중 자산 2조원 이상...
2023.06.03.,"삼성화재, 디지털 헬스케어 서비스 ‘애니핏 플러스’ 개편","삼성화재는 이런 흐름에 발맞춰 사용자 편의성 제고 및 참여 서비스 강화를 위해 자사 디지털 헬스케어 서비스인 ‘애니핏 플러스’를 개편한다고 지난달 30일 밝혔다. 애니핏 플러스는 건강한 생활습관을 만들기 위해 지난해 출시한 삼성화재 대표 디지털 헬스케어 서비스로, ‘건강체크’, ‘일상케어’..."
2023.06.03.,"[르포] '돌파구' 위해 한 자리 모인 스타트업 450社, '유니콘' 향한 이틀간의...","KB금융지주, 현대해상화재, 삼성생명, 삼성화재 등 여러 금융사도 참여했다. 프로그램 수가 많고 깊이도 다양했던 만큼, 참관객들의 만족도도 높았다. 한 기업 소속 참관객 A씨는 ""여기 스타트업 분들을 하나하나 찾아다니려면 품이 많이 드는데, 이렇게 무료로 한 자리에 모으는 건 매우 희귀한 기회""라며 ""안..."
2023.06.03.,"삼성전자 2.3도 한전 3.2도기업 43.3%, 파리협정 목표 초과","반면 CJ제일제당·현대글로비스·현대건설·KB금융·삼성바이오로직스·하나금융지주·삼성화재·NH투자증권은 1.5도보다 낮은 1.3도를 기록해 1.5도 이하인 그룹에 속했다. 2도 이내, 보고 경계 뚜렷하고 목표 도전적 이번 조사에서는 온도 상승 전망치가 낮은 기업일수록 감축 목표가 회사의..."
2023.06.03.,[알쓸보험] 보험사 실적부풀리기 논란 촉발된 'IFRS17'···대체 뭐길래,"IFRS17 도입 전엔 삼성화재에 밀려 2위를 기록했던 DB손해보험은 새 제도 도입 이후 1조6702억원의 순이익을 기록하며, 1조 4764억을 기록한 삼성화재를 제치고 손해보험업계 1위로 올라섰다. 삼성화재에 이어 △메리츠화재 1조3103억원 △현대해상 1조1820억원 △KB손보 5538억원 순으로 순이익을 기록했다...."
2023.06.03.,‘백내장 보험금 지급 소송’ 5대 손보사가 60%...정당한 환자도 못 받는 현실,보도에 따르면 A법무법인의 ‘백내장 수술보험금 청구 공동소송 보험사 리스트(1~10차)’에 따르면 보험사를 대상으로 제기된 보험소비자 공동소송 전체 건수(894건) 중 국내 5대 손보사(삼성화재·현대해상·DB손해보험·KB손해보험·메리츠화재)의 비중은 61.3%로 나타났다. 해당 법무법인이 수임한 공동 소송...
2023.06.03.,[삼성그룹] 시가총액 8조8456억원 증가...삼성중공업 2.15% 상승 '주목',"삼성중공업 뒤를 이어 삼성전자, 삼성화재 종목도 각각 1.83%, 1.56%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 멀티캠퍼스 종목은 -0.86%를 기록해 삼성그룹 계열사 중 가장 부진한 흐름을 나타냈다. 지난 2일 삼성그룹 전체 계열사의 주가 등락률은 다음과 같다. 표기순서는..."
2023.06.03.,보험사 작년 책임준비금 적립액 1천조 육박,"손해보험사의 경우 삼성화재가 총 61조4천279억원으로 가장 규모가 컸다. 현대해상(41조247억원), DB손해보험(37조7천788억원)KB손해보험(32조5천175억원), 메리츠화재(25조391억원)가 뒤를 이었다. 새 회계제도 도입과 함께 일부 보험사의 책임준비금 적립 부담도 커질 전망이다. IFRS17은 부채를 원가가 아닌..."
2023.06.03.,"한국이나 유럽이나 감독들도 해결못하는 숙제 'SNS 악플' ""직면하고 대비해야...","SBS스포츠 윤성호 아나운서와 KBSN 윤봉우 해설위원이 사회를 맡았고, 폴란드 남자리그 베우하투프의 안드레아 가르디니 감독(58), 이탈리아 여자리그 노바라의 로렌조 베르나르디 감독(55)과 삼성화재 김상우 감독, 한국도로공사 김종민 감독 등이 참석해 3가지 주제에 대한 토론을 했다. 첫번째 주제인 컨디션..."
2023.06.04.,"삼성화재, 자동차보험 법률비용지원특약V 출시",삼성화재는 자동차보험 상품에 변호사선임비용과 형사합의금 등을 보장하는 신규 특약 '법률비용지원특약V'를 선보였다고 4일 밝혔다. 삼성화재에 따르면 이 특약은 중대 교통사고로 형사처벌이 발생할 때 변호사 선임비용이나 형사합의금과 같은 비용손해를 보장해주는 담보다. 자동차보험을 가입할 때...
2023.06.04.,"삼성화재, 보장 가입금액 확대·보장내용 신설해 상품력 강화한 '법률비용지원...",삼성화재가 지난 2일 보장한도를 기존보다 높이고 새로운 위험까지 보장받을 수 있도록 담보를 강화한 '법률비용지원특약V'를 새롭게 선보였다. 사진=삼성화재. 삼성화재가 지난 2일 보장한도를 기존보다 높이고 새로운 위험까지 보장받을 수 있도록 담보를 강화한 '법률비용지원특약V'를 새롭게 선보였다....
2023.06.04.,"삼성화재, ‘비용지원특약V’ 새롭게 선보여...보장한도는 높이고 담보는 강화...",▲ 사진제공=삼성화재 삼성화재는 보장한도를 기존보다 높이고 새로운 위험까지 보장받을 수 있도록 담보를 강화한 ‘법률비용지원특약V’를 새롭게 선보였다고 2일 밝혔다. 법률비용지원특약은 중대 교통사고로 형사처벌이 발생할 때 변호사 선임비용이나 형사합의금과 같은 비용손해를 보장해주는...
