날짜,제목,내용
2023.06.01.,"셀트리온 램시마SC, IV 대비 우월성으로 유럽 시장 경쟁력 확대",셀트리온의 램시마(성분 인플릭시맙) 피하주사(SC) 제형이 유럽 시장에서 높은 성장세를 보이고 있다. 기존의 정맥주사(IV) 제형 대비 우월한 효능... 31일(현지시간) 이탈리아 밀라노에서 개막한 ‘2023 유럽류머티즘학회(EULAR)’에서 전시부스를 마련한 셀트리온은 램시마SC 홍보에 적극 나섰다. EULAR는 전...
2023.06.01.,"셀트리온, 악템라 바이오시밀러 1상 결과 공개",셀트리온은 31일(현지시간) 이탈리아 밀라노에서 열린 '2023 유럽류마티스학회(EULAR 2023)'에서 류마티스 관절염 치료제 '악템라(성분명 토실리주맙)... 셀트리온은 국내에서 건강한 피험자 318명을 대상으로 1상을 진행했으며 CT-P47 피하주사 투여군과 오리지널 의약품 피하주사 투여군으로 나눠 단일...
2023.06.01.,6월 주식 뭐 살까…삼바·셀트리온·LG디플·삼전 주목,"(사진=이데일리DB) 관련해 KB증권은 건강관리에서 삼성바이오로직스(207940), 셀트리온(068270)을 추천했다. 삼성바이오로직스는 4공장 가동 개시, 5공장 추가 투자 공시, 차세대 기술 확보, 7월에 미국에서 휴미라 바이오시밀러 출시 등이 호재로 꼽혔다. 셀트리온의 경우에도 휴미라 바이오시밀러 미국..."
2023.06.01.,2023년 1분기 매출 톱5 삼바∙셀트리온∙유한양행∙종근당∙한미약품,"지난해 같은 기간 대비 41.0% 늘었다.이어 셀트리온(5976억원, +12.4%), 유한양행(4430억원, +7.8%), 종근당(3652억원, +7.0%), 한미약품(3612억원, +12.5... 동화약품(+17.7%), 셀트리온(+17.0%), 제일약품(+11.4%), 파미셀(+9.9%), 환인제약(+6.5%), 삼일제약(+5.2%), 국제약품(+4.8%), 일성신약(+4.6%), 한미약품(+2.9%) 등이..."
2023.06.01.,"[6월 제약사 이모저모]동아제약, 셀트리온, 파로스아이바이오, 한국GSK등 소식","◆셀트리온, 유럽류마티스학회서 악템라 바이오시밀러 CT-P47 임상 데이터 최초 공개 셀트리온이 지난 5월 31일 ‘2023 유럽류마티스학회(EULAR 2023, European Congress of Rheumatology)’에서 류마티스 관절염 치료제 악템라(Actemra, 성분명 : 토실리주맙) 바이오시밀러 CT-P47의 국내 임상 1상 데이터를 온라인으로..."
2023.06.01.,"[데이터로 보는 증시]셀트리온헬스케어, 기관·외국인 코스닥 순매수 1위(6월...","기관은 셀트리온헬스케어(091990)(143억원)와 알테오젠(196170)(115억원), 메디톡스(086900)(95억원), 엘앤에프(066970)(76억원), HPSP(403870)(36억원)... 외국인은 셀트리온헬스케어(137억원)를 비롯해 JYP Ent.(111억원), 루닛(76억원), 와이지엔터테인먼트(74억원), HPSP(71억원), 메디톡스(67억원)..."
2023.06.01.,"코스피 기관 외국인 매도에 장중 2560선 후퇴, 코스닥은 셀트리온 힘입어 상승","코스닥시장 시가총액 상위 10개 종목 가운데 셀트리온헬스케어(3.92%), 셀트리온제약(3.05%), HLB(1.35%), 제이와이피엔터테인먼트(0.98%), 에코프로비엠(0.80%), 에코프로(0.53%), 카카오게임즈(0.13%) 주가가 오르고 있다. 반면 엘앤에프(-0.93%), 펄어비스(-0.30%), 오스템임플란트(-0.21%) 주가는 내리고..."
2023.06.01.,"코스닥, 외인 매수에 상승 마감…JYP엔터테인먼트, 셀트리온헬스케어 상승 VS...","시가총액 상위 10개 종목은 엘앤에프(-1.48%), 펄어비스(-1.1%), 에코프로(-0.18%)를 제외하고 상승 마감했다. JYP Ent.(4.34%) 셀트리온헬스케어(3.65%), 셀트리온제약(2.35%), HLB(2.3%), 카카오게임즈(1.16%) 오스템임플란트(0.21%), 에코프로비엠(0.20%)은 상승 마감했다."
2023.06.01.,'K-바이오' 23조 스텔라라 정조준…삼성에피스·셀트리온·동아ST 앞다퉈 베팅,"암젠, J&J와 합의…출시 일정 2023년→2025년 변경 셀트리온, 품목허가 신청…삼성에피스·동아ST 준비中 'K-바이오'가 글로벌 23조원 규모의 스텔라라(성분명 우스테키누맙) 바이오시밀러(바이오의약품 복제약) 시장 공략에 박차를 가한다. 삼성바이오에피스와 셀트리온, 동아에스티 등이 스텔라라..."
2023.06.01.,셀트리온헬스케어 공매도 51만건 이상 증가…주가 상승,셀트리온헬스케어 공매도가 51만건 이상 증가했다. 지난 31일 한국거래소에 따르면 셀트리온헬스케어 공매도는 53만2269건을 기록했다. 이날 주가는 전 거래일 대비 0.27% 오른 7만4000원에 장을 마쳤다. 셀트리온헬스케어 공매도는 26일 4만6417건에서 30일 2만821건으로 감소했다....
2023.06.02.,셀트리온 “유럽학회서 자가면역질환 치료제 경쟁력 확인”,바이오의약품 개발 기업 셀트리온이 유럽학회에 참가해 자가면역질환 치료제 ‘램시마’(성분명 인플릭시맙)의 경쟁력을 강조했다. 셀트리온그룹은 자가면역질환 치료제 램시마와 ‘램시마SC’(피하주사형)가 ‘2023 유럽류마티스학회’(EULAR 2023)에서 해외 의료진의 호평을 받았다고 2일 밝혔다. 지난 1일...
2023.06.02.,"셀트리온그룹, 유럽 학회서 자가면역질환 치료제 심포지엄 열어","셀트리온그룹은 지난 1일 2023 유럽류머티즘학회(EULAR)에서 자가면역질환 치료제 '램시마'(성분명 인플릭시맙)의 학술 심포지엄을 열었다고 2일 밝혔다.... 셀트리온그룹 관계자는 ""임상에서 인플릭시맙 IV 대비 램시마SC의 통계적 우월성이 확인됐다""며 ""유럽 시장에서 안정적인 점유율로 업계 선도적..."
2023.06.02.,"[제약+] 셀트리온, 자가면역질환 치료제 경쟁력 강조 外","◆셀트리온그룹, 유럽류마티스학회서 자가면역질환 치료제 경쟁력 강조 셀트리온그룹은 지난 1일(현지시간) 이탈리아 밀라노 미코 컨벤션센터에서 열린 유럽류마티스학회서 '인플릭시맙 IV에서 SC로–류마티스 질환의 주요 치료제'를 주제로 학술 심포지엄을 개최했다. 심포지엄 참석자들은 류마티스..."
2023.06.02.,"셀트리온, 글로벌시장서 우뚝...불안요소 털고 경쟁력 강화",셀트리온이 바이오시밀러 분야에서 꾸준히 성과를 보이며 글로벌 경쟁력을 높이고 있다. 미국과 유럽 등에서 '품목 허가'를 획득하며 기술력을 입증하고 있다. 셀트리온은 오랜기간 발목잡아온 '분식회계 논란'을 3분기 안에 털고 상장 3사 합병을 통해 투명성과 지배구조를 강화해 글로벌 기업으로의 입지...
2023.06.02.,"노바티스, 셀트리온에 '졸레어 시밀러' 특허소송 역공","노바티스가 셀트리온을 상대로 천식·두드러기 치료제 '졸레어(오말리주맙)' 바이오시밀러의 특허 침해 여부를 따지고 나섰다. 2일 제약업계에 따르면 노바티스는 지난 1일 셀트리온을 상대로 적극적 권리범위심판 2건을 청구했다. 적극적 권리범위확인 심판이란, 특허권자가 자신이 보유한 특허를..."
2023.06.02.,"셀트리온, 서정진 회장 친족 회사로 계열 편입된 서린홀딩스·서원디앤디 공시...",셀트리온홀딩스(대표 유헌영)가 서정진 회장의 혼외자 생모가 대표로 있는 회사 두 곳의 경영상황을 공개하지 않으면서 공시를 위반한 배경에 관심이 모아진다. 지난해 공정거래법 개정으로 '혼외자 생모'가 친족 범위에 들어가게 되면서 서린홀딩스와 서원디앤디는 셀트리온 계열사가 됐다. 혼외자의 생모가...
2023.06.02.,2023년 1분기 매출총이익 톱5 삼바∙셀트리온∙한미약품∙대웅제약∙유한양행,"◇코스피 제약바이오사(41개사)코스피 기준 올해 1분기 매출총이익 상위 10개 기업은 삼성바이오로직스(3425억원), 셀트리온(2642억원), 한미약품... 1%)이며 셀트리온(+32.1%), 명문제약(+16.4%), 동화약품(+14.6%), 에이프로젠바이오로직스(+10.8%), 삼일제약(+10.2%), 이연제약(+9.7%), SK바이오팜(+8.9..."
2023.06.02.,"코스닥, 기관 매수에 상승 마감…펄어비스, 에코프로비엠, JYP엔터테인먼트 상...","시총 상위 10개 종목은 셀트리온제약(-0.23%), 보합 마감한 셀트리온헬스케어, 카카오게임즈를 제외하고 상승 마감했다. 펄어비스(2.94%), 에코프로비엠(2.20%), JYP Ent.(1.10%), 에코프로(0.89%), HLB(0.53%), 엘앤에프(0.38%), 오스템임플란트(0.11%)는 상승 마감했다."
2023.06.02.,"[내 종목을 부탁해] 복잡한 계좌 해결 방법은? <셀트리온헬스케어>,<에스비비...","▶ 출연 - 이재석 MTNW 어드바이저,김재경 MTNW 어드바이저 #실시간 유튜브·문자상담 SK아이이테크놀로지(361610) 지오릿에너지(270520) 신세계인터내셔널(031430) 천보(278280) BGF(027410) 두산에너빌리티(034020) #실시간 전화상담 ※ 생방송 는 월~금 오후 3시 50분에 방송되며, 이 방송은..."
2023.06.02.,"코스닥, 외국인 순매수도 상위 10종목(1일)...셀트리온헬스케어-JYP Ent.-루닛","▲1일 코스닥 시장에서 외국인은 셀트리온헬스케어, JYP Ent., 루닛, 와이지엔터테인먼트를 집중 매수했다. © 연합뉴스. 1일 코스닥 시장에서 외국인은 셀트리온헬스케어, JYP Ent., 루닛, 와이지엔터테인먼트를 집중 매수했다. 반면, 엘앤에프, 에스엠, 에코프로비엠을 집중 매도했다."
2023.06.03.,받은 대로 갚았다,"2022-2023 KB리그 준PO 2차전(난가) 셀트리온, 킥스 3-1로 꺾고 최종전으로 (한게임바둑=한창규 기자) ""박진솔 선수의 맞춤형 카드로 상대전적에서 앞서는 최철한, 송규상 선수를 앞쪽에 배치했다. 선수들에게 상대나 상황을 의식하지 말고 자신 있게 자신의 바둑 두라고 주문했다."" (셀트리온 백대현 감독)..."
2023.06.03.,"SK ON, 포스코인터내셔널 등 대기업 신입사원 수시채용 활발","SK온, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등 대기업 신입사원 모집이 잇따르고 있다. 취업콘텐츠 플랫폼 진학사 캐치에... 셀트리온도 6일까지 '분야별 수시채용'을 진행한다. 모집부문은 [제조]제조관리약사, [관리]총무, [법무]브랜드개발/지식재산관리 등이다. 7월 입사가..."
2023.06.03.,"코스닥, 외국인 순매수도 상위 10종목(2일)...에코프로-이오플로우-윤성에프앤...","▲ 2일 코스닥 시장에서 외국인은 에코프로, 이오플로우, 윤성에프앤씨를 집중 매수했다.© 연합뉴스. 2일 코스닥 시장에서 외국인은 에코프로, 이오플로우, 윤성에프앤씨를 집중 매수했다. 반면 에코프로비엠, 셀트리온헬스케어, 휴제를 집중 매도했다."
2023.06.03.,K칩스법 이어 K바이오법도 나온다…바이오를 제2의 반도체로[뒷북경제],삼성바이오로직스·셀트리온 등 바이오 대기업이 국내에 공장을 증설하는 등 시설 투자에 나설 경우 최대 25%의 세액공제를 받게 됩니다 .정부가 바이오 업종을 조세특례제한법상 국가전략기술에 포함시켰기 때문입니다. 정부는 아울러 바이오 클러스터를 조성하기 위해 기업·대학·연구기관·창업보육기관...
2023.06.03.,[KIMST 소식] ‘2023년도 대국민 ESG 실천아이디어 공모전’ 개최外,"이번 협의회에서는 기우성 셀트리온 부회장의 ’셀트리온의 성공비결과 해양바이오 산업의 성장을 위한 제언’, KIMST 사업기획실 서경석 실장의 ‘해조류와 바이오경제’ 등 2건의 강연과 함께 참석자들의 질의응답이 활발히 이루어졌다. 이어 이규선 해양수산부 해양수산과학기술정책과장이..."
2023.06.03.,미국임상종양학회(ASCO) 개막...에스티큐브·엔케이맥스 임상 결과 주목,셀트리온(068270)은 허셉틴(트라스투주맙) 바이오시밀러의 안전성과 효능데이터를 공개한다. 에이치엘비는 재발성·전이성 선낭성암에 대해 리보세라닙의 임상 2상 연구 결과 업데이트를 공유한다. 네오이뮨텍(950220)은 재발성 교모세포종에서의 NT-17+ 키트루다 병용 효능을 살펴보고 보령제약은...
2023.06.03.,"[주간e종목] 이수스페셜티케미컬, 이수화학에서 인적분할 후 고공행진","냈던 회사였지만 2010년대 들어서는 중국발 물량공세에 어려움을 겪기도 했다. 여기에 이수건설의 부실로 그룹이 어려움을 겪기도 했다. /그래픽=정승아 디자이너 한편 이번주 코스닥에서는 에코프로비엠이 시가총액순위 1위를 유지한 가운데 에코프로, 셀트리온헬스케어, 엘앤에프, HLB가 뒤를 이었다."
2023.06.03.,바이오 USA 출격 K제약바이오… '제2렉라자' 만들기 유한양행,국내 기업 중에는 △삼성바이오로직스 △셀트리온 △롯데바이오로직스 △한미약품 △종근당 △HK이노엔 △차바이오그룹 △브릿지바이오테라퓨틱스... 셀트리온과 롯데바이오로직스도 이번 행사에 부스를 마련했습니다. 올해 신약 개발에 드라이브를 건 셀트리온은 다양한 사업 기회 발굴에 나설...
2023.06.03.,"삼성전자 2.3도 한전 3.2도기업 43.3%, 파리협정 목표 초과",BGF리테일·셀트리온·신한지주·에코프로비엠 등 32개(33%) 기업은 2도 이내 그룹(B)에 속했다. 반면 한국 기업의 43.3%에 해당하는 44개 기업은 국제 사회의 최소 요구 수준인 2도에 부합하지 못하는 것으로 나타났다. CJ·SK바이오사이언스·현대모비스 등 20개(20.6%) 기업은 2.1~2.9도 이내 그룹에...
