날짜,제목,내용
2023.06.01.,국내은행 자본비율 0.29%p↑…순이익 증가 영향,"금융지주의 경우 총자본비율은 KB지주가 16.84%로 가장 높았으며 농협지주 15.97%, 신한지주 15.81%, 우리지주 15.79%, 하나지주 15.31% 등의 순이었다. 5대 금융지주를 제외한 나머지 지주는 JB지주 14.84%, DGB지주 14.06%, BNK지주 13.54% 등으로 집계됐다. 금감원 관계자는 ""국내은행의 자본비율은 전분기말 대비..."
2023.06.01.,"KT, 사외이사 후보자 8일 공시 예정…인물과 정관 관심","확보해야 하는데, 지금까지 KT 주총을 비춰보면 출석주주는 66% 정도였고, 이중 3분의 2 이상을 확보하려면 44% 이상의 지지를 받아야 한다. 이는 곧 25% 정도 되는 외국인 주주와 국민연금(3월 3일 기준, 8.53%), 현대차그룹(7.79%), 신한금융지주(5.48%)가 전부 찬성하는 사람이어야 KT CEO가 될 수 있다는 의미다."
2023.06.01.,"신한신용정보, '새출발기금 소상공인' 재기지원","뉴스저널리즘 문제민 기자 = 사진제공=신한금융지주 신한신용정보는 신한금융 사회공헌사업 '희망사회프로젝트'의 일환으로 '소상공인 재기지원사업'의 대상자를 모집한다고 1일 밝혔다. 소상공인 재기지원 사업은 임대료 및 공과금 지원, 경영 컨설팅 제공을 통한 경영 정상화를 지원하고 친환경·저탄소..."
2023.06.01.,[부딪혀 길을 열어라] <상>금융지주의 숙제,"같은 기간 신한금융지주는 1조3880억원, 하나금융은 1조1022억원, 우리금융은 9113억원을 기록했다. 4대 금융지주의 순이익은 총 4조8991억원으로 전년 동기 대비 6.8% 증가했다. 이자이익 기반의 성장이 이뤄진 만큼 금융지주사 순이익에서 은행 비중 역시 증가한 상태다. 신한금융의 경우 지난해 61%에서 올해..."
2023.06.01.,5월 5주 국내 ESG 이슈 핫클립,"또 IFRS의 지속가능성 공시기준 일반요구사항(S1)과 기후관련공시(S2) 상의 데이터 항목을 포함하여, 신한금융지주의 15개 자회사 및 손자회사의 ESG 데이터를 모두 반영했다. 또 국내 금융그룹 최초로 금융배출량 공시 및 탄소 관련 자산 영향도 파악을 위한 대응 체계도 갖췄다. 국내 기업 ESG공시 인증엔..."
2023.06.01.,국민연금·외국인 모두 매도···고심 깊은 신한금융,서울 세종대로 신한금융지주 사옥 / 사진=신한금융지주 최근 국내 주식시장의 '큰손'인 외국인 투자자와 국민연금이 신한금융지주 지분은 처분해 신한금융의 고민이 커지는 분위기다. 신한금융은 코로나19 사태 이후 주가 회복이 더딘 상황이다. 증권가에선 자본건전성을 강화하라는 금융당국의...
2023.06.01.,발로 뛴 이복현의 1년…‘지배구조개편 이어 자본시장불법 해결사로’,지난해 12월 ‘3연임’을 포기한 조용병 전 신한금융지주 회장에 대해선 “후배들에게 기회를 주시는 것”이라고 말했다. 이 금감원장은 이어 “글로벌금융으로 도약하는 선상에 우리 금융시장이 있다”면서 “아직은 원화거래를 활성화시키기 위한 외환시장 확대도 그렇고 글로벌기준에 미치지 못하는 게...
2023.06.01.,"[이호 기자의 마켓ON]신한라이프생명보험, 후순위채 수요예측서 2배 이상 자금...",이달 9일 후순위채를 발행할 예정인 신한라이프생명보험은 5.2%라는 금리에 최대 3000억 원의 증액발행을 고려하고 있다. 1990년 1월 신한은행을 설립한 이희건 회장이 재일교포들을 주주로 모집해 설립된 신한라이프생명보험은 2005년 12월 주식교환을 통해 신한금융지주의 완전 자회사로 편입됐다.
2023.06.01.,"신한금융 생활금융플랫폼 슈퍼앱, 빅테크 서비스 판 흔드나","서울 중구 신한금융그룹 본사.<신한금융지주> 신한금융이 올여름 그룹사 킬러 서비스를 한데 모은 슈퍼앱을 발표할 예정인 가운데 앞서 다른 성공 사례처럼 구독 서비스 즉, '유료 멤버십'을 함께 선보일지 금융업계가 주목하고 있다. 종합금융 포트폴리오를 확충한데다 마이카·땡겨요 등 다양한..."
2023.06.02.,외인들 신한금융株 '팔자' 행렬… 지분율 60% 깨져,2일 한국거래소에 따르면 전일 신한지주 외국인 지분율은 59.57%로 집계됐다. 지분율 60%가 무너진 건 지난 2021년 8월 이후 21개월 만이다. 외국인 순매도세는 지난달 12일 이후 14거래일 연속 이어지고 있다. 3월 이후 석달 간 외국인이 팔아치운 주식만 1132만주(3983억원)에 달한다. 리딩금융을 다투는 KB금융...
2023.06.02.,[기고] 디지털 금융의 현재와 나아갈 방향,"KB 금융지주, 신한금융지주와 같은 국내 은행사는 물론 카드, 보험, 증권, 핀테크 등 다양한 업종의 국내 금융사들은 이제 디지털 금융 서비스의 경쟁력 확보를 위해 플랫폼 전환을 서두르고 있다. 금융 플랫폼 서비스 체계를 조기에 갖춰 성공적인 금융 플랫폼 구현을 이루기 위해서는 몇 가지 필수적으로..."
2023.06.02.,"'취임 1년' 이복현 금감원장, 엇갈린 성적표","아울러 지난해 12월 세번째 연임을 포기한 조용병 전 신한금융지주 회장에게는 ""후배들에게 기회를 주시는 것을 보니 개인적으로 존경스럽다""고 말하는 등 장기집권에 반대하는 듯한 입장을 내비치면서 금융권을 압박했다. 현재 △신한금융지주 △BNK금융지주 △NH농협금융지주 △우리금융지주 회장들이..."
2023.06.02.,"하나금융도 중간배당 한다…금융권 화두는 ""주주친화""","신한금융지주는 현재까지 총 2866억 원의 자사주를 소각 중에 있다. KB, 하나, 우리는 2717억 원, 1500억 원, 1000억 원의 규모다. 메리츠금융지주는 지난 3월 메리츠증권의 완전 자회사 편입을 위해 1095억 원의 자사주를 매입했다. 그리곤 999억 원을 기취득 자기주식(이미 발행된 주식 매입) 방법으로 소각했다...."
2023.06.02.,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG...","(64억원), 신한지주(62억원), 삼성바이오로직스(57억원), 메디톡스(51억원), 펄어비스(49억원), 오픈엣지테크놀로지(48억원), 휠라홀딩스(45억원), 슈어소프트테크(43억원) 등이다. ◆ 기관 매수/매도 종목 기관 순매수 상위 종목은 카카오(336억원), 한화솔루션(242억원), 포스코홀딩스(226억원)..."
2023.06.02.,"[데이터로 보는 증시]카카오·삼성전자, 기관·외국인 코스피 순매수 1위(6월...","(92억원)를 순매수했고 셀트리온(258억원)를 비롯해 DB하이텍(247억원), 하이브(141억원), 이수스페셜티케미컬(92억원), 현대모비스(90억원), NAVER(90억원), LG전자(89억원), 엔씨소프트(80억원), 영풍제지(71억원), KT&G(64억원), 신한지주(62억원), 삼성바이오로직스(57억원)를 순매도 했다."
2023.06.02.,[개장시황] 2차전지·반도체·금융·바이오헬스케어 상승,"시가총액 상위 종목군에서는 삼성전자(+1.55%), SK하이닉스(+1.27%), 삼성전자우(+1.18%), LG화학(+1.16%), 포스코퓨처엠(+1.11%), KB금융(+1.18%), 신한지주(+1.01%), 삼성전기(+1.62%), 삼성화재(+1.11%), 메리츠금융지주(+3.27%), 고려아연(+1.06%), 한화솔루션(+1.57%), LG이노텍(+1.97%), HD한국조선해양..."
2023.06.02.,외국인 순매수 상위종목은?...SK하이닉스 1240억 사들여 순매수 1위,"2위 KB금융 -412억원(-87만주), 3위 LG에너지솔루션 -366억원(-6만주), 4위 POSCO홀딩스 -215억원(-6만주), 5위 KT -156억원(-51만주), 6위 금양 -127억원(-26만주), 7위 KT&G -99억원(-12만주), 8위 신한지주 -94억원(-27만주), 9위 엔씨소프트 -92억원(-3만주), 10위 한화솔루션 -91억원(-20만주)"
2023.06.03.,"삼성전자 2.3도 한전 3.2도기업 43.3%, 파리협정 목표 초과",BGF리테일·셀트리온·신한지주·에코프로비엠 등 32개(33%) 기업은 2도 이내 그룹(B)에 속했다. 반면 한국 기업의 43.3%에 해당하는 44개 기업은 국제 사회의 최소 요구 수준인 2도에 부합하지 못하는 것으로 나타났다. CJ·SK바이오사이언스·현대모비스 등 20개(20.6%) 기업은 2.1~2.9도 이내 그룹에...
2023.06.03.,(이슈&이슈)중간배당으로만 5% 수익률 잡아라,"신한지주도 배당금 지급 방식과 규모, 배당수익률까지 KB금융을 많이 닮았습니다. 하나금융지주는 지난해까지 중간배당과 결산배당 등 2회 배당을 유지했지만 지난 4월부터 분기배당으로 돌아섰습니다. 작년엔 800원을 중간배당했는데 올해 3월에는 배당을 하지 않았습니다. 이것을 6월 배당금에 반영할지..."
2023.06.04.,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이","10위 신한지주 -262억원(-75만주), 11위 LG생활건강 -252억원(-5만주), 12위 하이브 -236억원(-9만주), 13위 카카오 -235억원(-42만주), 14위 휠라홀딩스 -230억원(-63만주), 15위 현대모비스 -202억원(-9만주), 16위 호텔신라 -184억원(-24만주), 17위 SK텔레콤 -151억원(-30만주), 18위 강원랜드..."
2023.06.04.,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매...","(560억원), SK이노베이션(520억원), 삼성전기(349억원)등을 순매수한 반면 POSCO홀딩스(1349억원)를 비롯해 LG화학(985억원), 엔씨소프트(574억원), 현대차(563억원), KB금융(479억원), 삼성전자우(420억원), KT&G(334억원), 신세계(317억원), DB하이텍(303억원), 신한지주(262억원)등을 매도했다."
2023.06.04.,5월 국내 증시 개인 순매수 상위종목 10개 수익률 -10.58%…기관·외인은 양호,"이외에도 LG이노텍(1690억 원), 신한지주(1246억 원), 현대엘리베이터(984억 원), 에코프로비엠(943억 원), 카카오뱅크(930억 원), DB하이텍(809억 원), 셀트리온(790억 원), SK이노베이션(758억 원), 메리츠금융지주(668억 원) 순으로 많이 사들였다. 해당 10개 종목 평균 등락률은 7.10%로 개인과..."
2023.06.05.,"신한금융지주 ‘오버행 이슈’에 외국인 지분 썰물, 진옥동 주주환원 확대 고...",신한금융지주의 외국인 투자자 지분율이 꾸준히 낮아지고 있어 진옥동 신한금융지주 대표이사 회장의 고민도 깊어지고 있다. 금융지주는 외국인 지분율이 높은 대표적 업종으로 외국인 지분율이 낮아지고 있다는 건 신한금융지주 주식의 매력도가 그만큼 떨어지고 있다는 것을 의미하기 때문이다....
2023.06.05.,"[단독] 이재용, 월가 황제와 만난다…JP모건 회장과 면담","이날 오후 12시 50분쯤 김포공항을 통해 입국한 다이먼 회장은 서울 종로구 포시즌스호텔로 이동해 진옥동 신한금융지주 회장과 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 한국투자공사(KIC) 사장 등 주요 금융기관장들과 만났다. 다이먼 회장은 당초 한국에서 몇..."
2023.06.05.,"신한금융, 62번째 희망영웅상 전달식 진행","사진=신한지주 신한금융그룹은 5일 서울 노원구에 위치한 신한은행 북부본부에서 사회복지공동모금회, 굿네이버스와 함께 62번째 '희망영웅상' 전달식을 진행했다고 밝혔다. 신한금융은 그룹사 대표 사회공헌 프로그램 '희망사회 프로젝트'의 일환으로 2018년부터 위기에 처한 이웃을 도운 의로운 시민이나..."
2023.06.05.,'신한쏠 베트남' 3분이면 통장개설…해외서도 '디지털 전환' 주도,신한금융지주회사(055550)는 지난해 베트남의 아마존으로 불리는 '티키'의 지분(10%)을 인수했다. 이에따라 신한베트남은행이 티키와 전략적 제휴를 맺게 됐고 지난해 티키 플랫폼 내 신용대출 상품을 선보인 데 이어 올해 5월에는 전용 신용카드 2종을 출시하기도 했다. 또한 전자지갑·결제 업체 3곳(VN페이...
2023.06.05.,"[데이터로 보는 증시]삼성전자·두산에너빌리티, 기관·외국인 코스피 순매수...","기관은 삼성전자(005930)(707억원)를 가장 많이 순매수한 가운데 POSCO홀딩스(005490)(286억원), LG전자(066570)(280억원), 삼성중공업(010140)(181억원), 현대미포조선(010620)(170억원), SK이노베이션(096770)(157억원), KB금융(105560)(141억원), HD현대중공업(329180)(134억원), 신한지주(055550)(133억원)..."
2023.06.05.,"티앤에프인베스트, '슈어소프트테크' 엑시트 돌입","티앤에프2020은 신한지주를 비롯해 IBK캐피탈, 무림페이버 등이 출자자(LP)로 합류한 펀드다. 티앤에프2020은 지난해 보유 지분 일부를 다른 벤처캐피털에게 처분하면서 일부 금액을 회수했다. 그과정에서 L&S벤처캐피탈의 '엘앤에스 아이씨티 밸류업 3호 세컨더리 벤처투자조합'과 HB인베스트먼트의..."
2023.06.05.,"신한투자증권, 부실자산 우려↑…김상태 단독대표체제 삐걱","흑자전환 성공했지만, 위험자산도 확대 5일 금융투자업계에 따르면 신한지주(055550) 계열 증권사인 신한투자증권은 지난 1분기 영업이익 1272억원을 달성하며 흑자전환에 성공했습니다. 같은 기간 당기순이익도 1194억원을 기록해 전 분기 대비 증가했습니다. 신한투자증권의 실적 개선은 1분기 증시 활황 및..."
2023.06.05.,"[금감원은 지금] 이복현 취임 1주년, 명과 암","지난해 말 이 원장은 3연임 도전을 앞두고 세대교체를 위해 용퇴한 조용병 신한금융지주 회장에 대해 ""리더로서 개인적으로 매우 존경스럽다""고 말한 바 있다. 반면 손태승 우리금융지주 회장의 중징계와 관련해서는 당위성을 강조하면서 ""여러 번에 걸친 심도 있는 논의 끝에 사실상 만장일치로 결론 난 징계..."
2023.06.05.,"코스피, 외인 매수세에 강보합으로 출발…2610선","시총 상위 종목 중 포스코퓨처엠, KB금융, 신한지주 등이 오름세며 SK하이닉스, 셀트리온, 삼성전자 등은 내림세다. 업종별로는 기계, 비금속광물, 건설업 등이 강세며 의료정밀, 종이목재, 의약품 등은 약세다. 지난 2일(현지시간) 뉴욕증권거래소에서 다우존스30산업평균지수는 전일 대비 701...."
2023.06.05.,[업앤다운]은행주 상승…KB금융·카카오뱅크↑,신한지주는 전거래일 대비 0.86%(300원) 올라 3만5250원으로 장을 마감했고 하나금융지주는 전거래일 대비 0.72%(300원) 상승해 4만1950원으로 장을 마쳤다. JB금융지주는 전거래일 대비 0.59%(50원) 올라 8580원으로 장을 마감했고 제주은행은 전거래일 대비 0.57%(90원) 올라 1만5900원으로 장을...
2023.06.06.,"다이먼 JP모건 회장, 신한·하나·우리·농협금융지주 회장 만나","입국 직후 다이먼 회장은 서울 광화문 인근 모 호텔로 이동해 진옥동 신한금융지주 회장, 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 KIC 사장 등 국내 주요 금융기관장들과 만났다. 윤종규 KB금융지주 회장, 박현주 미래에셋금융그룹 회장, 김남구 한국투자금융지주..."
2023.06.06.,"'월가 황제' JP모건 회장 방한, 금융지주 회장·한은 총재 만나","다이먼 회장은 입국 직후 서울 시내로 이동해 당일 오후 서울 광화문 인근 모 호텔에서 진옥동 신한금융지주 회장, 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 KIC 사장 등을 만나 투자 기회 등을 협의했다. 다만 회담 시간이 짧아 심도 깊은 논의보다는 형식적인..."
2023.06.06.,다이먼 JP모건 회장 방한…신한·하나·우리·농협 회장 등 만나,"입국 직후 다이먼 회장은 서울 광화문의 한 호텔로 이동해 진옥동 신한금융지주 회장과 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 KIC 사장 등 국내 주요 금융기관장들과 만나 국내외 사업 협력 및 투자 파트너십 등을 논의했다. 이후 그는 한국은행도 방문해..."
2023.06.06.,"은행주 지지부진한 흐름에도 KB금융지주는 추천하는 증권가, 이유는?","하나금융지주는 12.84%, 신한금융지주는 12.54%, 우리금융지주는 12.1% 등이다. 4대 금융지주 가운데 KB금융지주만 보통주자본비율이 13%를 넘는다. 보통주자본비율은 보통주자본을 위험가중자산으로 나눈 비율로 금융지주의 자산건전성을 알 수 있는 주요 지표로 여겨진다. 이 비율은 배당의 기준점이 되기도..."
2023.06.06.,이자이익 주춤·충당금 부담...금융지주 2분기 순익 하락 예상,"KB금융, 신한지주, 하나금융지주, 우리금융지주 올해 2분기 예상 순이익.금융지주사들의 실적 하락이 예상되는 이유는 금리 인하 영향이 본격적으로 반영되고 있는 데다 충당금 적립 부담이 커질 것으로 보이기 때문이다. 기준금리가 지난 2월부터 동결기조를 유지하고 있는 가운데 시장 금리 하락에..."
2023.06.07.,[부딪혀 길을 열어라] <중>금융지주 수익다각화 골몰,"신한금융지주, KB금융지주, 하나금융지주, 우리금융지주(왼쪽부터) 본사 전경./각 사 올해 금융지주의 최대 화두는 새로운 먹거리다. 금리인상기가 사실상 끝난 시점에서 은행 수익에만 의존 하기 힘들다. 또 은행은 '공공재'라는 인식이 강해지면서 은행 수익에 대한 반감이 높아진 상태다. 현재..."
2023.06.07.,기관 매수에 코스피 강보합 마감…외인 LG에너지솔루션·포스코퓨처엠·삼성S...,"또한 외인 순매도 상위 종목은 삼성전자(900억원), 기아(646억원), 포스코홀딩스(560억원), 네이버(240억원), 현대모비스(229억원), 엔씨소프트(180억원), LG이노텍(140억원), OCI(118억원), 셀트리온(111억원), SK하이닉스(110억원), 신한지주(110억원), 덕양산업(108억원), HLB(102억원), 성우하이텍..."
2023.06.07.,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 코스피 순매수 1위(6월...","기관은 삼성전자(005930)(1100억원)를 가장 많이 순매수한 가운데 SK하이닉스(000660)(215억원), 삼성SDI(006400)(189억원), LG화학(051910)(185억원), 팬오션(028670)(168억원), SKC(011790)(159억원), 신한지주(055550)(136억원), LG에너지솔루션(373220)(118억원), SK이노베이션(096770)(112억원)..."
2023.06.07.,"[증권소식] 코스피 강세에 IPO도 훈풍/거래소, 미 동부 우량기업 상장유치 활...","다이먼 회장은 입국 직후 서울 시내로 이동해 서울 광화문 인근 모 호텔에서 진옥동 신한금융지주 회장, 함영주 하나금융지주 회장, 임종룡 우리금융지주 회장, 이석준 NH농협지주 회장, 진승호 KIC 사장, 윤희성 수출입은행장 등 국내 주요 금융기관장들과 만나 현재 거시경제 현안과 투자 기회 등을..."
2023.06.07.,[뉴스초점] 상승랠리 멈춘 금융지주들…충당금 쌓고 ‘9월 리스크’ 대비,지난 2월 14일 서울 시내 은행들의 현금인출기 모습 [사진=연합뉴스] 지난 3월 31일 프레스센터에서 열린 금융당국-금융지주회장 간담회에서 임종룡 우리금융지주 회장이 발언을 하고 있다. 왼쪽은 진옥동 신한금융지주 회장 [사진=연합뉴스]
2023.06.07.,[더벨]내부회계관리 강화하는 신한투자증권,"이후 신한투자증권 전략기획실과 신한금융지주 전략기획팀(파견), 신한투자증권 GIB사업부 부서장 등을 거쳤다. 2023년에 상무로 승진해 전략기획그룹장을 맡고 있다. 내부회계관리제도에 관한 그의 올해 계획은 구체적으로 공개되지 않았지만 우선은 조직의 기능을 강화하는 데 집중할 예정이다. 이를 위한..."
