날짜,제목,내용
2023.06.01.,"“아모레퍼시픽, 중국·면세 부진”...하나證, 목표가 하향 [오늘, 이 종목]","20만원서 17만원으로 대폭 낮춰 하나증권은 1일 아모레퍼시픽에 대해 “국내 리오프닝 효과를 기대하지만 중국과 면세 관련 매출이 부진할 것”이라고 평가하며, 투자의견은 ‘매수’ 유지, 목표주가는 기존 20만원에서 17만원으로 하향했다. 하나증권은 2023년 아모레퍼시픽의 매출을 전년 동기 대비 3..."
2023.06.01.,"아모레퍼시픽 바이탈뷰티, ‘메타그린 슬림업 X 마이멜로디’ 에디션 출시",아모레퍼시픽의 이너뷰티 브랜드 '바이탈뷰티'가 60일분 구성의 '메타그린 슬림업 X 마이멜로디' 두 번째 에디션을 선보인다고 1일 밝혔다. 이번 에디션은 장기간 섭취를 원하는 고객들의 의견을 반영해 기존 컬래버레이션 제품의 2배 용량인 60일분 구성으로 출시한다. 지난달 판매했던 핑크색 패키지의...
2023.06.01.,"""아모레G, 中 비중이 직접적이지 않아 리스크가 낮다""","하나증권은 1일 아모레G에 대해 대형사 중 내수 비중이 가장 높아 방한 관광객 유입에 따른 실적 개선 효과가 가장 유의미할 것으로 기대하며, 아모레퍼시픽 그룹의 비중국 확대 전략 측면에도 이니스프리/에뛰드/에스쁘아 등의 중저가 브랜드가 핵심이 될 것으로 판단한다. 또한 중국 비중이 직접적이지..."
2023.06.01.,"'아모레 장녀' 서민정, 재단에 이니스프리 지분 '수증'…왜?",서경배 아모레퍼시픽그룹 회장의 장녀인 서민정 아모레퍼시픽 럭셔리브랜드 디비전 AP팀 담당이 최근 아버지가 운영하고 있는 재단에 이니스프리 주식을 수증하면서 그 이유에 관심이 쏠린다. 1일 금융감독원 전자공시시스템에 따르면 서 담당은 이날 이니스프리 주식 4만4450주(18.18%) 가운데 2만3222주(9.5%)를...
2023.06.01.,"외국인 투자자, 8일만에 아모레·LG생건 '매수'","그동안 하락으로 아모레퍼시픽은 10만 원대 이하로, LG생활건강은 50만 원대 이하로 내려갈 위험수준까지 다다랐지만 오늘 반등으로 아모레퍼시픽은 104,900원으로, LG생활건강은 536,000원으로 각각 거래를 마쳤다. 특히 아모레퍼시픽과 LG생활건강에 대해 기관투자자와 외국인 투자자들은 비슷한 투자..."
2023.06.01.,"외국인 투자자, 아모레·LG생건 주식 던졌다!",이들은 그동안 아모레퍼시픽과 LG생활건강 등 대형 종목에 대한 투자 비중을 낮추고 OEM과 중견 종목에 투자하고 있는 것으로 분석됐다. OEM 종목의 경우 한국콜마가 국내 증권사 애널리스트를 영입하면서 외국인 투자자를 대상으로 적극적인 홍보활동을 전개하고 있지만 증가률이...
2023.06.01.,"아모스, 일본 헤어 디자이너 교류 파티 공개","HBD 한일 디자이너 교류 행사 공식 후원 지난 5월 30일, 아모레 본사 5층에서 개최 관계자 150여명 참석, 글로벌 진출 계획 발표 [시장경제=최지흥 기자] 아모스프로페셔널이 5월 30일 아모레퍼시픽 세계본사 5층 아모레가든에서 진행된 한일 헤어 디자이너 교류 파티 'HBD; Happy Bridges Day' 행사 현장을 6월 1일..."
2023.06.01.,‘미술시장과 창작’…제9회 미술사학대회 3일 개최,"한국미술사학회는 3일 오전 10시 반부터 서울 용산구 아모레퍼시픽미술관 대강당에서 제9회 미술사학대회 ‘미술시장과 창작’을 개최한다고 밝혔다. 이번 학술대회는 서양미술사학회, 한국미술사교육학회, 한국미술이론학회가 공동으로 주최하고 한국연구재단과 아모레퍼시픽미술관 후원으로 열린다. 이번..."
2023.06.01.,"'찍고 바르고' 뷰티주…ODM·중소형사 주가만 '훨훨', 왜?","이 기간 아모레퍼시픽과 LG생활건강이 각각 15%, 13.3% 하락한 것과 대비된다. 증권업계는 대형사의 높은 중국 시장 의존도를 지적했다. 한중관계 악화와 중국인들의 자국 제품 선호도 심화가 대형사의 실적 부진이라는 결과를 낳았다는 평가다. 아모레퍼시픽은 LG생활건강의 1분기 영업이익은 전년 동기..."
2023.06.01.,"[패션·뷰티 투데이]효성티앤씨 폐어망 섬유, 아웃도어 의류로 재탄생 外","◇바이탈뷰티, ‘메타그린 슬림업 X 마이멜로디’ 두 번째 에디션 출시 아모레퍼시픽 이너뷰티 브랜드 ‘바이탈뷰티’가 60일분 구성의 ‘메타그린 슬림업 X 마이멜로디’ 두 번째 에디션을 선보인다. 5월 1일 출시한 ‘메타그린 슬림업 X 마이멜로디’ 첫 번째 에디션은 출시와 동시에 올리브영 전체..."
2023.06.02.,"아모레퍼시픽 스킨유, 샤워젤·스크럽 신제품 선봬",아모레퍼시픽 바디 케어 브랜드 스킨유(SKIN U)가 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 2일 밝혔다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬·오드 플로럴)은 고밀도 크림 향수 거품으로 24시간 잔향을 느끼게 해주는 기존 스킨유의 장점은 그대로...
2023.06.02.,[브리핑] 아모레퍼시픽·애경산업·LF·이랜드,"포쓰저널 서영길 기자 /아모레퍼시픽 ◇ 아모레퍼시픽 스킨유, 샤워젤·스크럽 신제품 출시 아모레퍼시픽은 바디케어 브랜드 스킨유가 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 2일 밝혔다. 스킨유 샤워젤 2종(선셋 오랑쥬·오드 플로럴)은 고밀도 크림 향수..."
2023.06.02.,[주간#신상태그] 아모레퍼시픽·레고그룹·롯데호텔 외,이번 주 뷰티·패션 및 유통·호텔업계 소식. 에뛰드에서 순정 시카 카밍 앰플 에센스를 새롭게 출시한다. '순정 시카 카밍 앰플 에센스'는 예민해진 피부를 촉촉하고 순하게 진정시켜주는 저자극 비건 포뮬러로 수분과 진정 집중 케어하는 앰플 에센스이다. 손상 피부 집중 진정에 도움을 주는 Advanced Cica™는...
2023.06.02.,아모레퍼시픽이 평가한 이니스프리 가치는 2860억,아모레퍼시픽그룹과 서경배과학재단이 이니스프리의 기업가치를 2860억원으로 책정했다. 이니스프리는 서민정 아모레퍼시픽 럭셔리브랜드 디비전 AP팀 담당이 지난 1일 보유하던 회사 지분 2만3222주를 서경배과학재단에 매각했다고 2일 공시했다. 전체 지분의 9.5% 규모다. 서민정 담당은 서경배...
2023.06.02.,"[패션·뷰티 투데이] 아모레 스킨유, 신세경 앞세워 신제품 선봬 外","◇스킨유, 신제품 출시하고 모델 신세경과 캠페인 전개 아모레퍼시픽은 자사 바디 케어 브랜드 스킨유(SKIN U)가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 밝혔다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬, 오드 플로럴)은 여름에..."
