날짜,제목,내용
2023.06.01.,"우리금융, 동서트레일 시범구간 개통","임종룡 우리금융지주 회장은 ""올해 국토녹화 50주년이 되는 해를 맞아 동서트레일 첫 구간 사업이 산불로 피해를 입은 지역주민들에게 치유와 회복의 공간으로서 희망을 주고 지역경제에도 도움이 되길 바란다""며 ""생태와 역사, 문화, 관광적인 가치가 있는 동서트레일이 세계인이 즐겨 찾는 숲길이 되도록 적극..."
2023.06.01.,"우리종금·우리벤처파트너스, 우리금융에 '완전 자회사 편입'…왜 지금일까 [...",우리금융지주가 우리종금과 우리벤처파트너스 등의 계열사를 완전 자회사로 편입하는 대대적 개편에 나선 가운데 현 시점을 택한 배경에 관심이 쏠린다. 업계 안팎에서는 현재 계열사들의 주가가 저점을 보이는 데다 우리금융지주가 비(非)은행 부문의 M&A(인수·합병) 여력 확대를 위해 꺼내든 카드라는...
2023.06.01.,"[더벨]우리금융, CEO 승계 이어 '육성 프로그램' 도입한다",장광익 우리금융지주 브랜드담당 부사장과 이정수 우리금융지주 전략 담당 상무가 간담회에 참여했다. 이 상무는 이번 승계 프로그램 기획과 진행을 총괄한 임원이다. 우리은행 본점에서 열린 간담회에서 장광익 우리금융지주 브랜드부문 부사장(좌)과 이정수 전략부문 상무(우)가 은행장 선임 프로그램을...
2023.06.01.,여기도 급한데…핵심인력 차출된 우리금융캐피탈,우리금융지주는 올해 초부터 신임 우리은행장을 선출하기 위해 대대적인 경선 프로그램을 열었다. 1차 후보군(롱리스트)에는 우리은행 부행장 2명과 자회사 대표 2명이 이름을 올렸다. 그중 조병규 대표와 박완식 우리카드 대표의 경우 상대적으로 열세하다는 평가를 받았다. 두 사람 모두 대표로 취임한지...
2023.06.01.,[부딪혀 길을 열어라] <상>금융지주의 숙제,"/각 사 1일 금융권에 따르면 KB·신한·하나·우리금융지주 등 4대 금융지주사는 지난해 총 15조8506억원의 순이익을 거뒀다. 전년 대비 9%(1조3078억원) 늘어난 규모로 역대 최대 실적이다. 금융지주사별로 보면 신한금융 4조6423억원, KB금융 4조4133억원, 하나금융 3조6257억원, 우리금융 3조1693억원 순이다. 특히..."
2023.06.01.,[업앤다운]은행주 하락…제주은행↑·우리금융↓,우리금융지주는 전거래일 대비 1.17%(140원) 내려 1만1840원으로 장을 마감했고 하나금융지주는 전거래일 대비 1.09%(450원) 하락해 4만1000원으로 장을 마쳤다. 신한지주는 전거래일 대비 1%(350원) 내려 3만4700원으로 장을 마감했고 기업은행은 전거래일 대비 0.59%(60원) 내려 1만150원으로 장을...
2023.06.01.,"""기업금융 재건하라""…'영업통' 조병규의 향후 전략은?","자회사대표이사후보추천위원회(자추위) 관계자 또한 데일리임팩트에 ""기업금융 부문 전문가인 조병규 후보는 우리금융을 도약시키겠다는 임종룡 우리금융지주 회장과 원팀을 이뤄, 우리은행의 기업금융 영업력을 극대화할 적임자""라며 ""특히 전반적인 지주사 성장을 위한 계열사 간 시너지를 최대한으로..."
2023.06.01.,"유재훈 예보 사장 ""기술 융합된 새 금융상품도 보호 대상 편입해야""","예보는 작년 말 기준 우리금융지주 1.29%, 한화생명 10.0%, SGI서울보증 93.85% 등을 보유하고 있다. 기자간담회서 발언하는 유재훈 사장(서울=연합뉴스) 유재훈 예금보험공사 사장이 8일 서울 중구 프레스센터에서 열린 예금보험공사 기자간담회에서 발언하고 있다. 2023.3.8 [예금보험공사 제공. 재판매 및 DB 금지]..."
2023.06.01.,"외국인 떠난 은행주, 반등 전망은?","한국거래소에 따르면, 외국인은 지난 5월 한 달동안 신한·KB·하나·우리 등 4대 금융지주 주식을 2865억원 순매도한 것으로 집계됐다. 특히 신한금융(1525억원)을 가장 많이 매도했으며, 그 뒤는 하나금융(646억원), KB금융(519억원), 우리금융(174억원) 등의 순이었다. 같은 기간 외국인이 유가증권시장(코스피)..."
2023.06.02.,"[그레이트 컴퍼니] 우리은행, 고속성장·일자리창출서 두각…금융권 종합 2위",우리은행은 우리금융지주의 완전민영화 이후 영업부문 역량 제고와 디지털 혁신에 박차를 가하고 있다. 또 본점과 영업점의 내부통제 프로세스를 강화해 소비자 신뢰를 높이는 데에도 힘을 쏟고 있다. 우리은행 관계자는 “대내외적으로 어려운 영업환경 속에서 기업대출 중심의 견조한 성장과...
2023.06.02.,"검찰, ‘50억 클럽’ 박영수 곧 소환…“오래 걸리지 않을 것”",검찰은 우리은행이 대장동 프로젝트파이낸싱(PF) 대출을 약정하는 과정에서 당시 우리금융지주 이사회 의장이었던 박 전 특검의 입김이 작용했는지 살펴보고 있다. 최근까지 우리은행 전직 은행장 등을 비롯해 실무 관계자들을 연이어 소환해 조사했다. 검찰은 최근 우리은행에서 PF 업무를 맡았던 직원을...
