날짜,제목,내용
2023.06.01.,"""아이 생각하면 이직 못한다""…카카오 어린이집 어떻길래",카카오가 약 840평 규모의 신규 직장 어린이집 '별이든'을 개원했다고 1일 밝혔다. 판교 알파돔타워에 들어선 카카오의 네번째 어린이집 ‘별이든’은 업계 최대 규모로 총 907명의 유아동 수용이 가능하다. 카카오는 제주도 본사의 ‘스페이스 닷키즈어린이집’과 카카오 판교 오피스 및 인근에...
2023.06.01.,"카카오뱅크, '26주 적금 with 카카오웹툰' 출시",카카오뱅크는 26주 적금 상품 가입자에게 카카오웹툰 앱에서 사용할 수 있는 캐시 쿠폰을 제공하는 '26주 적금 with 카카오웹툰'을 출시한다고 1일 밝혔다. 가입 기간은 이달 1∼30일로 1인 1계좌만 개설할 수 있다. 해당 상품을 개설하고 26주 연속으로 자동이체 납입하면 7회에 걸쳐 2만원 상당의...
2023.06.01.,"""혐오표현, 멈춰!"" 네이버·카카오 기준 구체화한다","포털 서비스를 운영 중인 네이버와 카카오가 이용자 보호를 위해 게시물에 포함하면 안 되는 '혐오 표현'을 구체화해 적용하기로 했다. 1일 네이버는... 한편 카카오의 포털 서비스인 다음은 운영 정책에서 ""출신(국가·지역)·인종·외양·장애 및 질병유무·사회 경제적 상황 및 지위·종교·연령·성별·성정체성..."
2023.06.01.,"카카오게임즈, 오딘 일본-아레스 출시로 다시 뛴다","카카오게임즈가 기존 인기작의 서비스 지역 확대와 신작 출시로 재도약의 발판을 마련할지 귀추가 주목되고 있다. 이 회사는 '카카오 배틀그라운드', '우마무스메 프리티 더비', '에버소울', '오딘: 발할라 라이징', '아키에이지 워' 등에 이어 연타석 인기작을 만들 수 있을지 지켜봐야할 것으로 보인다. 1일 게임..."
2023.06.01.,"네이버·카카오 인물정보에 ‘장례지도사’, ‘가맹거래사’ 추가","네이버와 카카오에서 제공하는 인물정보 서비스에 새로운 직업명 5개가 추가됐다. 앞으로 인물정보 등록 시 ‘장례지도사’, ‘마케터’, ‘상품기획자’, ‘가맹거래사’, ‘웨딩플레너’ 등으로 직업을 표시할 수 있다. 한국인터넷자율정책기구(KISO, 의장 이인호)는 중분류 ‘전문직업인’ 하부에..."
2023.06.01.,카카오 VX '프렌즈 스크린'… 한국타이어 춘식이컵 개최,"카카오 VX 스크린 골프 브랜드 프렌즈 스크린이 한국타이어와 함께 '한국타이어 춘식이컵'을 개최한다. 오는 30일까지 '프렌즈 스크린' T2 매장을 방문해... 카카오 VX 관계자는 ""이번 대회를 통해 한국타이어의 기술력과 프리미엄 브랜드 이미지가 프렌즈 스크린 고객들에게 친근하게 다가가길 기대한다""고..."
2023.06.01.,"카카오뱅크, 한국투자증권 발행어음 투자 출시",카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔다. 카카오뱅크에 따르면 약속한 수익 받기는 카카오뱅크 앱 안에서 한국투자증권이 제공하는 금융상품에 투자하는 서비스다. 한국투자증권이 발행하는 6개월이나 1년 만기의 발행어음에 최소 투자 금액 100만원으로...
2023.06.01.,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시",이투데이=정성욱 기자 | 한국금융지주 자회사 한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입했다....
2023.06.01.,카카오 대리 유료 멤버십 '프로' 서비스 6월말 종료,카카오모빌리티 대리 기사가 월 2만2천원을 내면 단독 배정권 등을 이용할 수 있는 유료 멤버십 '프로' 서비스를 이달 말 종료한다. 지난해 10월 전국대리운전노동조합과 단체협약을 통해 이 서비스의 단계적 폐지에 합의한 지 9개월 여 만이다. 1일 관련 업계에 따르면 최근 카카오모빌리티는 '카카오 T 대리...
2023.06.01.,"AI 웹툰 논란에 네이버·카카오 ""인간 작품만 받는다""",네이버웹툰과 카카오웹툰이 자사 공모전에 사람이 직접 그린 웹툰만 출품할 수 있는 공모전을 열거나 생성형 AI 활용 출품을 제한하는 규정을 신설해 주목된다. 최근 웹툰 시장에서 AI를 활용한 작품에 대한 비판 여론이 커지자 나온 방침이다. 1일 업계에 따르면 카카오웹툰 스튜디오는 최근 공지를 통해...
2023.06.02.,"카카오, 소상공인 위한 교육 프로그램 제작 공간 열어",카카오는 중소 비즈니스 파트너들에게 제공하는 온라인 비즈니스 교육 프로그램 ‘카카오비즈니스 세미나’를 제작하는 스튜디오를 판교 아지트에 개설했다고 2일 밝혔다. 카카오비즈니스 세미나는 카카오 비즈보드나 카카오톡 채널 등 카카오의 광고 및 비즈니스 플랫폼을 소개하고 사업에 필요한 정보와...
2023.06.02.,카뱅 '카카오웹툰 26주 적금' 출시 하루 만에 10만좌 돌파,"카카오뱅크(323410)는 이달 1일 출시한 '26주적금 with 카카오웹툰'이 출시 하루 만에 10만좌 이상 팔렸다고 2일 밝혔다. '26주적금 with 카카오웹툰'은 카카오뱅크의 26주적금에 카카오웹툰 앱에서 사용할 수 있는 캐시 쿠폰 혜택을 담은 상품으로, 오는 이달 30일까지 가입할 수 있는 한정판 상품이다. 26주..."
