날짜,제목,내용
2023.06.01.,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시","한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입했다. 또한 1년 만기 연 4.35%(세전, 23.05.31 기준)..."
2023.06.01.,"카카오뱅크, 한국투자증권 발행어음 투자 출시",카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔다. 카카오뱅크에 따르면 약속한 수익 받기는 카카오뱅크 앱 안에서 한국투자증권이 제공하는 금융상품에 투자하는 서비스다. 한국투자증권이 발행하는 6개월이나 1년 만기의 발행어음에 최소 투자 금액 100만원으로...
2023.06.01.,카카오뱅크 26주 적금 넣고 카카오웹툰 캐시 혜택까지,카카오뱅크(323410)는 카카오엔터테인먼트와 함께 이달 1~30일 저축하면서 웹툰을 볼 수 있는 ‘26주적금 with 카카오웹툰’을 출시한다고 1일 밝혔다. ‘26주적금 with 카카오웹툰’은 카카오뱅크의 26주적금 상품에 카카오웹툰 앱에서 사용할 수 있는 캐시 쿠폰을 제공하는 상품이다. 1인 1계좌만 개설...
2023.06.01.,[오늘의 은행가 소식]카카오뱅크 外,"◆카카오뱅크, 한국투자증권과 '약속한 수익 받기' 서비스 개시 카카오뱅크가 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다. 1일 카카오뱅크에 따르면 '약속한 수익 받기'는 카카오뱅크 앱 안에서 한국투자증권이 제공하는 금융상품에 투자하는 서비스다. 한국투자증권이 발행하는 6개월..."
2023.06.01.,"카카오뱅크, '26주적금 with 카카오웹툰' 출시","카카오뱅크는 카카오엔터테인먼트와 함께 '26주적금 with 카카오웹툰'을 출시한다고 1일 밝혔다. '26주적금 with 카카오웹툰'은 카카오뱅크의 26주적금 상품에 카카오웹툰 애플리케이션(앱)에서 사용할 수 있는 캐시 쿠폰을 제공하는 상품이다. 가입 기간은 6월 1일부터 6월 30일까지로, 1인 1계좌만 개설할 수..."
2023.06.01.,"한투증권, ""카카오뱅크로 발행어음 거래"" 서비스 출시","오늘경제 한국투자증권은 카카오뱅크 앱을 통해 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입하고, 1년 만기 연 4.35%(세전, 5월31일 기준) 수익률의..."
2023.06.01.,"카카오뱅크, 한투증권과 손잡고 '약속한 수익받기' 서비스 개시",카카오뱅크는 한국투자증권과 손잡고 '약속한 수익 받기' 서비스를 출시한다고 1일 밝혔다. 카카오뱅크가 새롭게 선보이는 '약속한 수익 받기'는 카카오뱅크 앱 안에서 한국투자증권이 제공하는 금융상품에 투자하는 서비스다. 한국투자증권이 발행하는 6개월 혹은 1년 만기의 발행어음에 최소 투자 금액...
2023.06.01.,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시",한국투자증권 사진 제공 1일 한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입했다. 또한 1년 만기 연 4.35...
2023.06.01.,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시","한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입하고, 1년 만기 연 4.35% 수익률의 발행어음 특판 상품..."
2023.06.01.,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시","한국투자증권은 카카오뱅크 앱(애플리케이션) 내 발행어음 거래 서비스 '약속한 수익 받기'를 시작한다고 1일 밝혔다. 한국투자증권은 카카오뱅크와 제휴를 통해 카카오뱅크 앱 안에서 별도의 앱 설치 없이 금융상품을 조회하고 가입할 수 있는 시스템을 도입하고, 1년 만기 연 4.35% 수익률의 발행어음 특판 상품..."
