날짜,제목,내용
2023.06.01.,"크래프톤 5민랩, 차기작은 액션 RPG? [게임라운지]","크래프톤의 독립 스튜디오인 '5민랩(5MinLab)'이 신작 개발에 나선 가운데 차기작으로 액션 RPG를 선보일 것이라는 관측이 나왔다. 앞선 채용 공고를 통해... 장화홍련 있지만…'이세계' 관심 쏠리는 이유 1일 업계에 따르면, 크래프톤 산하 5민랩이 최근 액션 RPG '프로젝트 이세계(가제)' 관련 인력 채용에 나섰다...."
2023.06.01.,크래프톤 ‘맑음’ vs 엔씨 ‘흐림’…실적이 가른 게임 대장주,"게임업종의 대장주인 크래프톤과 엔씨소프트의 주가가 엇갈리는 모습이다. 크래프톤은 1·4분기 사상 최대 매출에 이어 하반기에도 호실적까지 예상되면서 목표주가가 올라가는 반면, 엔씨소프트는 영업이익 감소, 신작 우려 등 부정적 전망이 확대되고 있다. 1일 한국거래소에 따르면 최근 3개월 사이..."
2023.06.01.,크래프톤 '디펜스 더비' 얼리 액세스 테스트 성료,"크래프톤(대표 김창한)은 독립 스튜디오 라이징윙스가 모바일게임 '디펜스 더비'의 얼리 액세스 테스트를 마쳤다고 31일 밝혔다. 테스트는 약 2주간 한국, 태국, 대만, 인도 지역을 대상으로 실시됐으며 1만 9600명의 참여했다. 총 플레이 시간은 8만 1500시간으로 지난해 글로벌 사전 테스트 대비 3배 가까이..."
2023.06.01.,크래프톤 '배틀그라운드' 클랜 시스템으로 재미 UP,"크래프톤이 온라인 게임 'PUBG: 배틀그라운드'에 인게임 클랜 시스템을 도입하며 리텐션 증가, 소규모 커뮤니티 기능 등 긍정적인 효과를 낳고 있다.... 크래프톤은 클랜에 가입한 플레이어들에게 다양한 기능과 혜택, 그리고 소속감을 제공하며 큰 호응을 얻고 있다. 플레이어는 소속된 클랜의 개성을 드러낼 수..."
2023.06.01.,"[소비자민원평가-게임] 아이템 환불, 계정 정지 등에 민원 쏟아져...크래프톤...",게임사 중 크래프톤과 펄어비스의 지난해 민원 점유율이 0%로 민원 관리가 가장 우수한 기업으로 선정됐다. 특히 크래프톤은 국내에서 네 번째로 매출 규모가 큰 회사(1조8540억 원)임에도 탁월한 민원 관리 능력을 보여주고 있다. 펄어비스의 경우 전년에 이어 2년 연속 가장 낮은 민원 점유율을 기록하고...
2023.06.01.,"크래프톤, '배틀그라운드 모바일 인도' 서비스 개시 이후 성적은?",배틀그라운드 모바일 인도 [사진=크래프톤] 크래프톤의 '배틀그라운드 모바일 인도'가 지난 29일부터 인도 지역에서 일시적으로 서비스를 시작했다. 약 10개월만에 서비스를 재개한 '배틀그라운드 모바일 인도'는 어떤 평가를 받고 있을까? 출시 이후 '배틀그라운드 모바일 인도'는 현재 좋은 성적을 보여주고...
2023.06.01.,강세장에도 웃지 못하는 게임株…부활 신호탄 언제쯤?,"반면 신작 기대감을 등에 업은 펄어비스나 인도 시장을 열어젖힌 크래프톤에 대한 기대감은 유지되고 있다. 국내 증시가 2차전지반도체 섹터 강세로... 대장주 크래프톤도 기대를 모은다. 물론 크래프톤의 주가 역시 높은 수준은 아니다. 현재 주가는 19만원선 안팎으로, 상장 직후 58만원까지 올랐던 걸..."
2023.06.01.,"[2023 콘텐츠산업포럼②] 손윤선 크래프톤 팀장, ""AI가 게임 패러다임 바꿔""....","손윤선 크래프톤 Virtual Friend팀 팀장, ""AI와 음성으로 대화하면서 함께 퀘스트 수행 가능"" 박성필 픽셀플레이 개발 부장, ""AI 강화학습은 애완동물 조련과... <편집자 주> 손윤선 크래프톤 Virtual Friend팀 팀장. [사진=한국콘텐츠진흥원] [뉴스투데이=임은빈 기자] ""크래프톤은 현재 AI를 통해 게임 제작, 운영..."
2023.06.01.,"[AI 백브리핑①] 생성형 AI의 윤리 문제, 기업들의 대응 방법은?",게임사 크래프톤은 지난 4월 딥러닝 본부에 윤리위원회를 꾸리고 AI 윤리 논의와 데이터 사용 관련 가이드를 만드는 데 힘쓰고 있다. 크래프톤은 사용자를 기억하고 친근하게 행동하는 게임 파트너이자 가상 친구(버추얼프렌드)를 개발하면서 향후 발생할 문제에 대비한다. 예를 들어 사용자가 AI 친구에...
2023.06.01.,"에티버스러닝, 브랜드 공식 서포터즈 '에티포터' 1기 모집","준비하는 청년들에게 양질의 교육 기회와 실무 위주의 프로그램을 제공해 현재까지 7000여 명의 수료생을 배출해왔다. 에티버스러닝의 수료생들은 NC소프트와 크래프톤 등 국내 대표 게임사는 물론 LG화학, 한국부동산원, 파타고니아 등 국내외 유수 기업과 공공기관에 취업하는 등 꾸준한 성과를 거두고 있다."
