날짜,제목,내용
2023.06.01.,"포스코인터내셔널, 호주 음극재업체와 10년 공급 계약","포스코인터내셔널이 호주 배터리 음극재 기업인 에코그라프와 10년간 구속력 없는 음극재 원재료 공급 계약을 체결했다고 1일 밝혔다. 포스코인터내셔널은 에코그라프로부터 계약 첫해 음극재 원료인 흑연 7500~1만2500톤을 공급받는다. 계약 2년 차부터 5년 차까지는 매년 1만2500톤, 이후 6~10년차에는 연간..."
2023.06.01.,"포스코인터내셔널, 당진LNG터미널 증설","포스코인터내셔널이 당진LNG터미널 사업을 본격화하며 국내 LNG(액화천연가스)사업 강화와 에너지안보 강화에 기여할 전망이다. 포스코인터내셔널(부회장 정탁)은 31일 충남도청에서 충남도, 당진시, 당진탱크터미널㈜, LX인터내셔널과 함께 ‘당진LNG터미널 지자체 업무협약식’을 개최했다고..."
2023.06.01.,"포스코인터내셔널, 이차전지 소재 원료 공급 속도…""밸류체인 완성""",포스코인터내셔널이 이차전지 소재 원료 공급사업에 본격적으 뛰어들며 포스코그룹의 이차전지 소재사업 밸류체인의 틀을 완성했다. 전 세계 주요국이 '탈중국 공급망' 구축에 나서는 가운데 포스코인터내셔널은 이차전지 소재용 원료의 안정적인 조달을 위한 투자를 이어간다는 방침이다. 1일 업계에 따르면...
2023.06.01.,"""배터리 판 커진다""…음극재 뛰어든 SKC·포스코·OCI",포스코홀딩스 자회사인 포스코인터내셔널은 동박 원료인 구리를 포함한 광물 트레이딩 경험을 보유하고 있다. 양사는 해당 사업을 담당한 실무진으로 공동 협의체를 구성해 운영할 예정이다. 이를 통해 SKC는 전기차가 급증하며 늘어나는 광물수요를 포스코인터내셔널에서 안정적으로 조달할 수 있다는...
2023.06.01.,"포스코그룹사 주가 상승, 포스텍 재정에 큰 도움","포스텍이 지난 2월 28일 기준으로 보유하고 있는 포스코 그룹주는 포스코홀딩스 198만주(지분율 2.34%), 포스코퓨처엠 217만주(2.81%), 포스코DX 119만주(0.78%), 포스코인터내셔널 17만주(0.1%), 포스코이앤씨 87만주(2.07%), 포스코기술투자 104만주(5.0%)다. 포스텍이 보유하고 있는 포스코 그룹주 중 지난해..."
2023.06.01.,SK ON·LG생건·포스코...대기업 신입사원 수시채용 활발,"대표적인 기업으로는 SK ON, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등이 있다. 사진=진학사 SK ON에서 이달 6일까지 '2023 수시채용'을 진행한다. 경영지원 13개 직무, 연구개발 5개 직무, 엔지니어 8개 직무를 각각 모집하며 필기전형은 6월, 면접전형은 7~8월 예정이다. 기타..."
2023.06.01.,"포스코그룹, 2차전지 밸류체인 완성","1일 포스코그룹에 따르면 포스코홀딩스, 포스코인터내셔널, 포스코퓨처엠 등으로 구성된 2차전지 밸류체인을 구축했다. 여기에 최근 리튬메탈음극재 등 차세대 2차전지 소재 사업 경쟁력 강화를 위해 SKC와 업무협약(MOU)를 체결했다. 포스코그룹과 SKC는 리튬메탈음극재 등 차세대 음극 소재 공동개발과..."
2023.06.01.,[포스코그룹] 포스코퓨처엠 2.49% 올라 계열사 중 상승률 1위,"표기순서는 등락률 순위, 종목명, 31일 종가, 주가 등락률 이다. 1위 포스코퓨처엠 35만원(2.49%)▲2위 포스코인터내셔널 3만100원(-0.17%)▲3위 POSCO홀딩스 36만원(-0.83%)▲4위 포스코스틸리온 4만3100원(-0.92%)▲5위 포스코DX 1만1470원(-1.46%)▲6위 포스코엠텍 2만4550원(-1.6%)"
2023.06.01.,포스코홀딩스 주가 '잔주름'…야심찬 탄소중립 전략 눈길,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영한다. 제선, 제강 및 압연재의 생산과 판매를 주요 사업으로 하고 있는 업체다. 그룹..."
2023.06.01.,포스코홀딩스 주가 장 초반 '콧노래'…美 인플레이션 감축법 수혜 기대,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영한다. 제선, 제강 및 압연재의 생산과 판매를 주요 사업으로 하고 있는 업체다. 그룹 전반의..."
2023.06.02.,"포스코인터내셔널, 하락 벗어나 3% 상승…공매도 수량 20만4000주대로 줄어들...",포스코인터내셔널이 상승세다. 포스코인터내셔널은 2일 코스피 시장에서 오전 11시24분 현재 전 거래일보다 3.51%(1050원) 상승한 3만1000원에 거래되고 있다. 이 회사는 30일을 제외하고 25일부터 1일까지 3% 미만의 낙폭을 나타냈다. 한국거래소에 따르면 포스코인터내셔널의 공매도 수량은...
2023.06.02.,"포스코인터내셔널, 호주 배터리 음극재 기업과 10년 공급계약 호재","포스코인터내셔널 주가가 떨어졌다. 이 회사는 호주 배터리 음극재 기업인 에코그라프와 10년간 구속력 없는 음극재 원재료 공급 계약을 체결했다. 이로써 에코그라프로부터 계약 첫해 음극재 원료인 흑연 7500~1만2500톤을 공급받는다. 계약 2년 차부터 5년 차까지는 매년 1만2500톤, 이후 6~10년차에는..."
2023.06.02.,"포스코인터, '2차 전지'로 종합상사 실적둔화 상쇄할까",이에 포스코인터내셔널이 2차전지 소재사업 밸류체인 완성으로 실적 커버에 나서고 있다. 2일 포스코인터내셔널에 따르면 최근 호주계 광업 회사 블랙록마이닝 자회사인 탄자니아 파루 그라파이트와 2차전지 배터리용 천연 흑연에 대한 장기 공급 계약을 체결했다. 이번 계약을 통해 포스코인터내셔널은...
2023.06.02.,"포스코인터내셔널, 당진LNG터미널 건설","포스코인터내셔널이 당진에 액화천연가스(LNG) 터미널을 짓는다. 당진시에서는 이번 LNG터미널 건설 사업으로 1조2277억 원의 생산유발효과가 있을 것으로 기대하고 있다. 지난달 31일 포스코인터내셔널과 당진시, 충남도, 당진탱크터미널(주), LX인터네셔널은 당진LNG터미널 건설을 위한 업무협약을..."
2023.06.02.,"[공매도 TOP 10 종목] 코스피, 삼성전자 공매도 1위…팬오션-포스코인터내셔널...","이어 팬오션(39만5901주), 포스코인터내셔널(29만824주), DB하이텍(23만4972주), SK하이닉스(23만4949주), HMM(20만9396주), 포스코퓨처엠(18만915주), 메리츠금융지주(17만8787주), LG디스플레이(16만2261주), 기업은행(14만9076주) 순으로 뒤를 이었다. DB하이텍, 포스코퓨처엠, 메리츠금융지주, LG디스플레이..."
2023.06.02.,포스코홀딩스 주가 신바람 나는 이유 따로 있었네,"포스코홀딩스는 자동차, 조선, 가전 등 산업에 원자재를 공급하는 철강사업(포스코)을 주력으로 하고 있으며 무역·건설·에너지를 포함한 친환경인프라사업(포스코인터내셔널, 포스코건설, 포스코에너지 등)도 운영한다. 제선, 제강 및 압연재의 생산과 판매를 주요 사업으로 하고 있는 업체다. 그룹..."
2023.06.02.,"포스코퓨처엠, 공매도 거래량 '12만건 가량' 감소...공매 거래대금 '223억' 규...","한편 이날 코스피 공매도 종목 순위는 SK하이닉스 44만7303건, HMM 34만9341건, 삼성전자 31만5193건, KT 22만6951건, 팬오션 21만1090건, 포스코인터내셔널 20만4648건, 두산에너빌리티 20만2751건, 대우건설 19만8135건, 미래에셋증권 19만70건, 후성 17만108건, 카카오뱅크 15만4247건, SK네트웍스 15만3480건..."
2023.06.02.,"석유공사, 18개국 31개 석유가스 탐사·개발·생산 프로젝트 중","한국석유공학회에서 주최하는 2023년 춘계학술대회는 '탄소중립과 에너지 전환'이라는 부제로 진행됐다. 공사를 비롯해 한국지질자원연구원, SK 어스온, 포스코인터내셔널 등 12개 회원사가 후원하고 약 8개 국내 대학이 참여했다．"
2023.06.02.,"탁구명가 삼성생명, 남녀 MVP 배출 [KTTL]","포스코인터내셔널의 통합우승을 이끈 양하은은 주천희에 한 표 차이로 밀리며 개인상 수상과 멀어졌다. 남녀 내셔널리그는 오민서와 송마음이 각각 만장일치로 MVP가 됐다. 오민서(21승3패, 산청군청)와 송마음(27승4패, 금천구청) 모두 팀 통합우승에 크게 기여했고, 압도적인 개인성적을 거두며..."
2023.06.02.,원료부터 물류까지…배터리산업 판 커진다,"기존 배터리셀·소재 기업 외에 포스코인터내셔널, SKC, OCI, 현대모비스, 현대글로비스, 대한항공, LX판토스 등이 배터리 원료부터 물류까지 관련 사업 키우기에 속도를 내고 있다. 2일 업계에 따르면, 포스코인터내셔널은 지난달 29일 탄자니아 파루 그라파이트와 2차전지용 천연흑연 장기 공급계약을..."
2023.06.03.,[채용게시판]포스코인터내셔널·서울교통공사 등 채용,"포스코인터내셔널과 서울교통공사 등이 인재 확보에 나선다. 3일 커리어 매칭 플랫폼 사람인에 따르면 포스코인터내셔널과 한화파워시스템, 서울교통공사, NHN, 나이스피앤아이 등이 신입 및 경력사원 채용을 진행한다. 포스코인터내셔널은 에너지부문 신입 및 경력사원을 채용한다. 모집 부문은 신입의..."
2023.06.03.,"SK ON, 포스코인터내셔널 등 대기업 신입사원 수시채용 활발","SK온, 포스코인터내셔널, LG생활건강, LS일렉트릭, 셀트리온, KT커머스 등 대기업 신입사원 모집이 잇따르고 있다. 취업콘텐츠 플랫폼 진학사 캐치에 따르면 SK온은 이달 6일까지 '2023 수시채용'을 진행한다. 경영지원 13개 직무, 연구개발 5개 직무, 엔지니어 8개 직무를 각각 모집하며 필기전형은 6월..."
