날짜,제목,내용
2023.06.01.,"포스코퓨처엠 고압선 절단사고, 복구 2일 오후 8시 예상",고압선 절단사고로 내화물공장 정전사태(매일신문 5월 31일 보도)를 맞은 포스코퓨처엠이 정상가동 시기를 2일 오후 8시쯤으로 잡았다. 1일 포스코퓨처엠에 따르면 현재 공장 정전에 따른 피해최소화를 위해 비상발전기를 통한 필수설비만 가동 중에 있다. 공장 전체가 정상화되기 위해서는 주전원이 되살아나야...
2023.06.01.,"[오늘의 주목주] 포스코퓨처엠 2%대 상승, '엑소 멤버 이탈' SM 7%대 하락",1일 코스피 시가총액 상위 30개 종목 가운데 포스코퓨처엠 주가가 종가 기준으로 가장 크게 움직였다. 포스코퓨처엠은 전날보다 2.71%(9500원) 오른 35만9500원에 거래를 마쳤다. 주가는 전날보다 0.43%(1500원) 높은 35만1500원에 출발해 오후 1시까지 장중 하락전환과 상승전환을 반복한 뒤 상승폭을 키운...
2023.06.01.,코스모신소재·포스코퓨처엠 등 외국인 순매수 활발…기술력 지수 '고평가',"마지막으로 포스코퓨처엠의 기술투자지수는 1,845.0, 기술력점수(TSS)는 146.9, 기업가치추정은 고평가로 나타났다. 5대 기술지표(기술투자지수, 기술력 점수, 퀀트기술등급, 보유 특허수, 기업가치추정)는 특허가치평가기업 위즈도메인의 빅데이터 기반 AI특허분석엔진을 통해 분석한 기술지표로 기업의..."
2023.06.01.,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순매수...","기관은 포스코퓨처엠(003670)(205억원)을 가장 많이 매수한 가운데 SK이노베이션(185억원), SK아이이테크놀로지(361610)(154억원), 한국전력(015760)(102억원), 삼성전기(009150)(87억원), 유한양행(000100)(80억원), 하이브(352820)(79억원), 셀트리온(068270)(75억원), 한올바이오파마(009420)..."
2023.06.01.,"캐나다, 포스코퓨처엠-GM 배터리 소재 합작공장에 3000억원 지원",포스코퓨처엠과 미국 제네럴모터스가 함께 짓는 배터리 소재 합작공장이 캐나다 정부로부터 3억캐나나달러(약 2926억원)을 지원받게 됐다고 로이터 통신이 보도했다. 캐나다 혁신과학경제개발부는 이날 양사가 퀘벡주(州) 베캉쿠아에 건립 중인 양극활물질(CAM) 합작공장에 연방정부와 주정부가 각각...
2023.06.01.,"포스코그룹, 2차전지 밸류체인 완성","지주사인 포스코홀딩스를 비롯해 포스코퓨처엠, 포스코실리콘솔루션 등 주요 계열사마다 2차전지 소재 사업에 사활을 걸고 뛰어들고 있다. 1일 포스코그룹에 따르면 포스코홀딩스, 포스코인터내셔널, 포스코퓨처엠 등으로 구성된 2차전지 밸류체인을 구축했다. 여기에 최근 리튬메탈음극재 등 차세대..."
2023.06.01.,배터리 필수광물 '흑연' 中 의존도 94%…탈중국 나선 韓소재업계,해당 물량을 계열사 포스코퓨처엠(003670)에 공급한다. 흑연은 배터리 소재 음극재 생산을 위한 필수 광물이다. 이차전지 양극에서 나온 리튬이온을 저장하고 방출하면서 전류를 흐르게 하는 역할을 한다. 최근 수요는 전기차 시장 성장에 따라 급증하고 있다. 시장조사업체 벤치마크 미네랄 인텔리전스는...
2023.06.01.,"""배터리 판 커진다""…음극재 뛰어든 SKC·포스코·OCI",포스코그룹 지주사인 포스코홀딩스도 자회사 포스코퓨처엠이 인조흑연과 음극재 코팅용 피치 등의 음극재 소재를 담당한다. 포스코인터내셔널도 지난달 29일 호주계 광업회사 블랙록마이닝의 자회사 탄자니아 파루 그라파이트와 음극재 소재 중 하나인 천연흑연 공급계약을 체결했다. 약 25년간 75만톤을...
2023.06.01.,[포스코그룹] 포스코퓨처엠 2.49% 올라 계열사 중 상승률 1위,"포스코그룹 계열사 중 포스코퓨처엠 종목은 전거래일 대비 2.49% 상승해 계열사 중 주가상승률 1위를 기록했다. 지난 31일 포스코 전체 계열사의 주가 등락률은 다음과 같다. 표기순서는 등락률 순위, 종목명, 31일 종가, 주가 등락률 이다. 1위 포스코퓨처엠 35만원(2.49%)▲2위..."
2023.06.01.,"포스코그룹사 주가 상승, 포스텍 재정에 큰 도움","그룹사 가운데서도 이차전지 업체인 포스코퓨처엠의 높은 시세차익으로 가장 많은 수익률을 거뒀다. 포스텍이 지난달 30일 공시한 결산 자료에 따르면 투자자산 중 매도가능증권 가치는 1조4280억원으로 전년대비 3267억원, 29.66% 급증했다. 이중 포스텍이 보유하고 있는 포스코그룹주의 지분..."
