날짜,제목,내용
2023.06.01.,"하나금융, STO파트너 미래에셋 선택한 이유",토큰증권 및 웹3.0 사업협력 업무협약…미래 디지털금융 선도 하나금융지주가 토큰증권(STO) 사업협력 증권사로 계열사인 하나증권이 아닌 미래에셋증권을 선택한 배경에 관심이 쏠린다. 하나금융은 미래에셋증권과 미래 디지털 금융을 선도하기 위해 토큰증권 및 웹3.0 사업협력을 위한 업무협약을 체결했다고...
2023.06.01.,"[은행가소식] 하나금융, 미래에셋증권과 토큰증권 사업협력","□ 하나금융, 미래에셋증권과 토큰증권 사업협력 하나금융지주는 1일 미래에셋증권과 미래 디지털 금융을 선도하기 위해서 토큰증권 및 웹3.0 사업협력을 위한 업무협약을 체결했다. 하나금융의 주요 관계사인 하나은행은 규제 변화와 시장 환경 변화에 대한 공동 대응 및 생태계 조성 등을 위해..."
2023.06.01.,"하나금융, 미래에셋증권과 토큰증권·웹3.0 사업협력","사진=하나금융지주 하나금융그룹은 미래에셋증권과 미래 디지털 금융을 선도하기 위해서 토큰증권 및 웹3.0 사업협력을 위한 업무협약을 체결했다고 1일 밝혔다. 이번 업무협약은 하나금융그룹이 미래에셋증권과 함께 토큰증권 컨소시엄인 '넥스트 파이낸스 이니셔티브(Next Finance Initiative, 이하 'NFI')'에..."
2023.06.01.,"최고가 만났다…하나금융, 미래에셋證과 NFI 협력체계 구축","©AP신문(AP뉴스)/ 이미지 제공 = 하나금융지주 ▲하나금융그룹은 지난 5월 31일 명동사옥 본점에서 미래에셋증권과 토큰증권 및 웹3.0 사업협력을 위한 업무협약을 체결했다. (왼쪽부터) 박근영 하나금융그룹 부사장, 박성호 하나금융그룹 부회장, 함영주 하나금융그룹 회장, 최현만 미래에셋증권 회장, 허선호..."
2023.06.01.,[더벨][금융지주 글로벌 IR 리뷰]금융사 영토 확장에 발 벗고 나선 금감원,"왼쪽부터 원종규 코리안리 대표이사, 정일문 한국투자증권 대표이사, 함영주 하나금융지주 회장, 최훈 주 싱가포르 대사, 이복현 금융감독원장, 윤종규 KB금융그룹 회장, 최현만 미래에셋증권 회장, 홍원학 삼성화재 대표이사. (사진=금융감독원) 백미는 금융 당국의 지원사격이었다. 이 원장은 해외투자자들을..."
2023.06.01.,[단독] 금융 공기업들 '맞손'…부산에 명문 자사고 세운다,하나고는 하나금융지주의 특수관계인이어서 하나금융 계열사인 외환은행이 하나고에 출연하는 것은 대주주에게 무상으로 은행 자산을 넘기는 행위로 봤기 때문이다. 한 업계 관계자는 “산은의 부산 자사고 출연은 하나고 사례와는 내용이 다른 만큼 산은 역시 출자에 참여하게 될 것”이라고 내다봤다.
2023.06.01.,"1분기 은행 BIS비율 상승…""자본 큰 폭 증가""","5대 금융지주에서는 총자본비율 기준으로 KB금융(16.84%), 농협지주(15.97%), 신한지주(15.81%), 우리금융지주(15.79%), 하나금융지주(15.31%) 순으로 비율이 높았습니다. 금감원은 ""대내외 경제 충격에도 은행이 건전성을 유지하면서 본연의 역할을 충실히 수행할 수 있도록 손실흡수능력 확충을 유도할 예정..."
2023.06.01.,[업앤다운]은행주 하락…제주은행↑·우리금융↓,우리금융지주는 전거래일 대비 1.17%(140원) 내려 1만1840원으로 장을 마감했고 하나금융지주는 전거래일 대비 1.09%(450원) 하락해 4만1000원으로 장을 마쳤다. 신한지주는 전거래일 대비 1%(350원) 내려 3만4700원으로 장을 마감했고 기업은행은 전거래일 대비 0.59%(60원) 내려 1만150원으로 장을...
2023.06.01.,국민연금·외국인 모두 매도···고심 깊은 신한금융,"하나금융지주와 우리금융지주도 모두 코로나 이전 수준으로 모두 회복했다. /자료=한국거래소, 그래픽=정승아 디자이너 시장에선 신한금융이 적극적인 주주환원 정책을 시행하기 어려운 상황에 처했기 때문이란 해석이 제기된다. 금융당국은 금융지주에 자본건전성을 강화해 대규모 부실사태를..."
2023.06.01.,"검찰 ""박영수 조만간 소환""…곽상도 수사도 속도","번 조사한 검찰은 이번에는 당시 우리은행 결재라인에 있었던 참고인들에 대한 추가 조사 내용을 바탕으로 박 전 특검의 영향력 행사 여부 등을 확인할 방침입니다. 또, 반부패수사3부는 곽상도 전 의원에 대해 하나금융지주 핵심부서를 압수수색해 관련 증거물을 확보해 분석하는 등 수사에 속도를 내고 있습니다."
2023.06.02.,"하나금융도 중간배당 한다…금융권 화두는 ""주주친화""","하나금융지주는 지주사 설립 이래 최초로 지난 4월 분기배당을 도입했다. 이 지주는 배당성향(순익 대비 배당총액)이 15.6%로 나타났다. 분기배당을 실시하는 3개 지주사 중 하나금융지주가 배당성향 2위를 차지했다. 신한과 KB는 19.4%, 13.1%로 집계됐다. 2분기부터 분기배당을 단행할 것으로 예상되는..."
2023.06.02.,AI “부자되세요!”···금융권 AI 사활 걸다,"하나금융지주 관계자는 “금융권에서 별도 AI 싱크탱크를 운영하는 건 하나금융이 유일하다”고 자랑했다. 지난해 5월 전화 문의에 직접 응대하고 셀프 처리 방법을 제시하는 음성봇 서비스 ‘AI 콜봇’을, 같은 해 7월에는 금융 시황과 환율 전망 등 다양한 금융 정보를 브리핑해주는 ‘AI 뱅커’를..."
2023.06.02.,[일요서울 1기 독자위원회 1518호 모니터링] 제3땅굴 관련 보도…북한의 남침...,"이번 사건에는 호반건설 사장, 전 하나금융지주 회장, A 하나은행 부행장 등 많은 고위관리직이 포함되어 있다는 것을 기사로 알게 되었습니다. 이들 모두가 대장동 비리 의혹으로 인해 관련 혐의를 받고 있습니다. 해당 기업들은 검찰 조사를 받을 만큼 입장 표명을 전혀 하지 않은 상태이며, 그저 방관만 하는..."
2023.06.02.,"""글로벌 확장""… 당국-금융사 '해외 IR' 의기투합","앞서 지난달 8~12일 이복현 금융감독원장은 윤종규 KB금융지주 회장, 함영주 하나금융지주 회장, 최현만 미래에셋증권 회장 등과 함께 싱가포르와 인도네시아에서 열린 해외 투자설명회에 참석했다. 금융당국 간 협력 강화와 한국 금융사에 대한 투자자들의 관심 유도, 국내 금융사의 위상을 높이는 데..."
2023.06.03.,'50억 클럽' 수사 다시 속도…박영수 조만간 소환,"하나금융지주 회장실과 경영지원실 압수수색을 통해 확보한 증거물을 분석하는 한편, 주요 참고인들을 불러 조사하고 있습니다. 곽 전 의원과 뇌물 혐의 공범으로 입건된 아들 곽병채 씨의 소환도 임박했다는 전망이 나옵니다. 연합뉴스TV 김예림입니다. (lim@yna.co.kr) #50억클럽 #곽상도 #박영수 #대장동개발"
2023.06.03.,'50억 클럽' 수사 다시 속도…박영수 조만간 소환,"하나금융지주 회장실과 경영지원실 압수수색을 통해 확보한 증거물을 분석하는 한편, 주요 참고인들을 불러 조사하고 있습니다. 곽 전 의원과 뇌물 혐의 공범으로 입건된 아들 곽병채 씨의 소환도 임박했다는 전망이 나옵니다. 연합뉴스TV 김예림입니다. (lim@yna.co.kr) #50억클럽 #곽상도 #박영수 #대장동개발"
