날짜,제목,내용
2023.06.01.,"한국전력, 전기요금 분할납부 제도 한시적 확대 시행","한국전력은 여름철 냉방수요 증가 등으로 인한 국민의 에너지비용 증가 부담 완화를 위해 이달부터 9월분까지 전기요금에 대해 분할납부 제도를 한시적으로 확대 시행한다고 1일 밝혔다. 기존에는 일부 주택용 고객만 신청 가능했으나, 주거용 주택용 고객을 포함한 소상공인 및 뿌리기업 고객(일반용·산업용..."
2023.06.01.,“에너지공대 출연금 축소 철회” 민주당 의원들 한국전력 항의 방문,"더불어민주당 탄소중립위원회 소속 국회의원들이 한국에너지공대 출연금 축소를 철회하라며 한국전력을 항의 방문했습니다. 김정호 민주당 탄소중립위원장과 신정훈, 이병훈, 이용빈, 김경만 의원 등은 오늘 오후 한국전력 이준호 부사장을 만나 출연금 축소 방침을 철회하라고 촉구했습니다. 이들은 한국전력..."
2023.06.01.,"“신세계포인트로 전기차 충전”…이마트, 한국전력과 ‘EV클럽’ 선봬","이마트는 한국전력, SK일렉링크, 차지비와 제휴해 전국 약 2만4000개 충전기를 확보했다. 향후 전기차 충전소를 3만개 이상으로 늘린다는 계획이다. 이마트 관계자는 “전기차 충전 시간 동안 고객에게 새로운 쇼핑 경험과 차별화된 전기차 충전 경험을 선사하기 위해 이번 EV클럽을 기획했다”고 말했다."
2023.06.01.,"한국전력, '전기요금 분할납부 제도' 한시적 확대 시행",한국전력은 여름철 냉방수요 증가 등으로 인한 국민의 에너지비용 증가 부담 완화를 위해 '23년 6∼9월분 전기요금에 대해 분할납부 제도를 한시적으로 확대 시행합니다. 기존에는 일부 주택용 고객만 신청 가능하였으나 주거용 주택용 고객을 포함한 소상공인 및 뿌리기업 고객(일반용 · 산업용 · 비주거용...
2023.06.01.,"영동군, 한국전력공사와 전선지중화 업무협약","영동군과 한국전력공사 영동지사가 1일 영동군청 군수 집무실에서 영동읍, 황간면에 전선지중화사업을 원활히 추진하기 위한 업무협약을 체결했다. 이날 협약식에는 정영철 군수와 안영민 한전 영동지사장 등이 참석했다. 군은 지난 1월 영동읍 부용로(영동1교~산업과학고~부용초) 1.0Km 와 황간면 (황간초..."
2023.06.01.,"동작구, 한국전력과 승강기 자가발전장치 설치 지원 협약",전기료 부담 완화·온실가스 감축 ▲ 박일하 구청장(오른쪽)과 박성철 한국전력공사 관악동작지사장이 지난 5월30일 동작구청에서 승강기 자가발전장치 설치지원사업 업무협약식 서명 후 기념촬영을 하고 있다. (사진=동작구청 제공) 서울 동작구(구청장 박일하)는 최근 한국전력공사와 에너지 효율 향상 및...
2023.06.01.,"포스코이앤씨-한국전력-포스코, 시멘트 제품 포스멘트 활용 협약","포스코이앤씨(옛 포스코건설)는 탄소 중립 실천을 위해 최근 한국전력공사, 포스코와 함께 포스코이앤씨 인천 송도사옥에서 한국전력공사에서 사용되는 시멘트 제품을 ‘포스멘트(PosMent)’로 활용하기 위한 업무협약식을 가졌다. 포스멘트는 포스코그룹이 자체 개발한 친환경 시멘트로 석회석 대신 철강..."
2023.06.01.,"제주도, '전력 직거래'분산에너지 특화지역 선점 박차","백남길 한국전력 제주본부장은 ""분산에너지를 지속 가능하게 하고, 생산자와 소비자가 수익을 창출하게 하려면 요금을 어떻게 결정할지에 대한 연구도 필요하다""고 전했다. 오영훈 지사는 ""분산에너지 특별법이라는 제도가 갖춰진 만큼 이제 시장을 만드는 것이 핵심이며 발전사업자뿐만 전기차 소유자들도..."
2023.06.01.,"전력 생산 많은 전남, 분산에너지법 통과로 전기료 인하 '기대'",한국전력·전력거래소가 독점해오던 중앙집중형 전력체계가 민간으로 이양되는 것이 이 제도의 핵심이다. 이에 따라 봄철만 되면 반복되는 태양광 출력제어도 완화될 전망이다. 앞으로는 민간기업들이 소규모 전력거래소를 통해 자발적으로 생산량을 조절할 수 있게 된다. 이 제도의 주요 조항인 ‘지역별...
2023.06.01.,"삼성전자, 21년 연속 국내 매출 1위…1년새 12조↑","1~3위는 삼성전자, 한국전력공사(68조9515억원), 현대차(65조3083억 원) 순으로, 2021년과 순위 변동이 없었다. 4~10위 간 자리싸움은 치열했다. 4위는 메리츠증권으로 2021년 14위에서 10계단 전진했다. 하지만 메리츠증권이 비상장사로 전환돼 조사 대상에서 빠지게 됨에 따라 올해 매출 4위에..."
2023.06.02.,"한국전력, 26일 임시주주총회 소집 결의",한국전력은 오는 26일 임시주주총회 소집을 결의했다고 2일 공시했다. 주총에서는 상임이사 선임 등을 의결할 예정이다.
2023.06.02.,전력수요 피크 땐 알아서 절전…‘오토DR’ 확대 도입 추진한다,"이날 간담회에는 산업부와 전력거래소, 한국전력공사 등 유관기관과 DR사업자, 오토DR 참여 편의점 운영기업 등이 참여한 가운데 오토DR 실증 및 확대 방안을 논의했다. 정부는 이 사업 확대를 통해 국가 차원의 전력 공급 부담을 줄이고, 소비자는 절전을 통한 전기요금 부담 완화에 더해 DR 참여..."
2023.06.02.,"한국전력 광주전남본부, 전력설비 88곳 집중 안전점검","/한전 광주전남본부 제공 한국전력 광주전남본부는 '2023년 대한민국 안전 대전환'의 일환으로 2일 전남 강진변전소를 방문해 집중 안전점검을 시행했다고 밝혔다. 이번 점검은 산업통상자원부 주관으로 숭실대 문현철 교수, 고려이엔시 김준성 부사장, 한전이 참여해 강진변전소의 위험요인에 대해..."
