날짜,제목,내용
2023.06.01.,"흥국證 “한미반도체, 하반기 호실적 전망...목표가↑”","흥국증권은 한미반도체에 대해 1분기를 저점으로 올해 상반기는 저조하지만, 하반기는 높은 실적을 보일 것으로 1일 분석했다. 투자의견 매수를 유지하고 목표주가를 기존 1만8000원에서 3만1000원으로 상향했다. 흥국증권은 한미반도체의 올해 매출액은 전년 대비 34.5% 감소한 2144억원, 영업이익은 같은..."
2023.06.01.,"한미반도체, 전날 이어 3% 낙폭…2만6000원선 밑으로",한미반도체가 하락세다. 한미반도체는 1일 코스피 시장에서 오전 11시40분 현재 전 거래일보다 2.64%(700원) 하락한 2만5850원에 거래되고 있다. 이 회사는 30일 강보합 마감한 뒤 31일 2.39%의 낙폭을 기록했다.
2023.06.01.,[더벨][한미반도체는 지금]'메모리 대전환'을 준비하다…'본더'가 바꿀 미래,"세계 1위 파운드리(반도체 위탁생산) 'TSMC 수혜주'로 유명한 한미반도체가 '메모리 대전환'을 준비하고 있다. 그동안 대표 제품이 반도체 패키지 절단 장비 '마이크로쏘 앤 비전플레이스먼트(MSVP·micro SAW & VISION PLACEMENT)였다면, 고대역메모리(HBM)용 실리콘 관통전극(TSV) TC본더 장비를 새 성장축으로..."
2023.06.01.,"신한운용 ""반등장서 SOL 반도체 소부장 ETF 수혜 기대""","포트폴리오 주요 구성종목은 한미반도체(042700), 대덕전자(353200), 원익IPS(240810), 솔브레인(357780), 리노공업(058470), 주성엔지니어링(036930), 심텍(222800) 등이 있다. 김 본부장은 “대형주 중심의 반등으로 반도체 전반의 회복 사이클이 진행될 것으로 예상되는 만큼 반도체 소부장주에 대해 관심을 둘..."
2023.06.01.,"신한운용 ""SOL 반도체 소부장 ETF, 주가 반등 전 주목""","포트폴리오 주요 구성종목은 한미반도체, 대덕전자, 원익IPS, 솔브레인, 리노공업, 주성엔지니어링, 심텍 등이 있다. 김 본부장은 ""대형주 중심의 반등으로 반도체 전반의 회복 사이클이 진행될 것으로 예상되는 만큼 반도체 소부장주에 대해 관심을 둘 필요가 있다""며 ""반도체 산업의 새로운 사이클 진입..."
2023.06.01.,"신한운용 “SOL 반도체 소부장 ETF, 주가 반등세 주목”","포트폴리오 주요 구성종목은 한미반도체, 대덕전자, 원익IPS, 솔브레인, 리노공업, 주성엔지니어링, 심텍 등이 있다. 김 본부장은 “대형주 중심의 반등으로 반도체 전반의 회복 사이클이 진행될 것으로 예상되는 만큼 반도체 소부장주에 대해 관심을 둘 필요가 있다”며 “반도체 산업의 새로운 사이클..."
2023.06.01.,다우ㆍ나스닥 '와르르'...엔비디아 폭락에 삼성전자ㆍSK하이닉스 휘청이나,시그네틱스 아이텍 앤씨앤 지니틱스 어보브반도체 네패스 다믈멀티미디어 아나패스 오디텍 디아이 DB하이텍 테스나 네패스아크 실리콘웍스 알파홀딩스 라닉스 주성엔지니어링 SFA반도체 SK하이닉스 삼성전자 테크윙 아이에이 하나마이크론 아이앤씨 텔레칩스 코아시아 리노공업 한미반도체 등이 거론된다.
2023.06.01.,반도체 96% 인천공항 처리 262조...'반도체특화단지' 최적지,"한미반도체 등 반도체 관련 기업 1299개사도 인천에 포진하고 있다. 이와 함께 송도국제도시를 인력 양성과 연구개발 거점단지로 활용할 구상이다. 남동국가산업단지와 주안국가산업단지는 반도체 관련 소재·부품·장비 강소기업육성을 위한 단지로 만들 계획이다. 한편, 정부는 오는 7월 국내 최대..."
2023.06.01.,"美 금리인상 우려에도… 코스피, 강보합 출발",시가총액 상위종목에서는 삼성전자(005930)는 0.98% 하락 중이다.같은 시간 SK하이닉스(000660)는 2.21% 내린 10만6200원에 거래 되고 있으며 한미반도체(042700)도 2.26% 내리고 있다. 엔비디아의 약세에 따른 동반 하락으로 풀이된다. 전날 상한가를 기록했던 이수스페셜티케미컬(457190)이 이날도 장 초반...
2023.06.01.,"외국인, 6거래일 만에 매도…코스피 2560선 '털썩'","SK하이닉스(000660)와 한미반도체(042700)도 각각 2.26%, 1.66% 내리고 있다. 반면 한미약품(128940)과 한국전력(015760)은 3%대 상승세를 타고 있다. 이수스페셜티케미컬(457190)은 인적분할로 재상장된 이후 2거래일 연속 상한가다. 이수스페셜티케미컬은 이수스페셜티케미컬은 정밀화학 및 전고체..."
2023.06.02.,"[V차트] 한미반도체, '상저하고' 실적 흐름 전망","한미반도체는 반도체 생산에 필요한 장비를 생산하는 업체다. 주력장비는 'Vision Placement'로, 반도체 패키지의 절단 → 세척 → 건조 → 2D/3D Vision 검사 → 선별 → 적재까지 처리해주는 반도체 제조공정의 필수 장비다. 회사에 따르면 한미반도체가 생산하는 장비는 글로벌 시장 점유율 1위를 차지하고..."
2023.06.02.,한미반도체 주가 '쓴맛'…상저하고 내다보며 부푼 가슴,"한미반도체 주가가 하락했다. 올해 상저하고 실적을 내보일 것이라며 목표주가를 기존 1만8000원에서 3만1000원으로 올려 잡았다고 흥국증권이 밝혔다. 투자의견도 '매수'를 유지했다. 지난 1분기 매출액은 265억원, 영업이익은 21억원으로 집계됐다. 전년 동기 대비 각각 58.0%, 90.3% 감소한 규모로..."
2023.06.02.,"강성부 손탄 DB하이텍, 외국인이 안사는 유일한 반도체주... 공매도도 급증","시가총액 규모가 약 2조5000억원으로 DB하이텍과 비슷한 한미반도체와 서울반도체도 14.43%, 15.6% 올랐다. DB하이텍 부진은 외국인 투자자의 매도 영향이 크다. 5월 투자주체 중 유일하게 외국인이 DB하이텍에서 매도세를 보였다. 한 달 동안 약 1513억원어치를 팔아치우면서 지분율도 25.5%에서 19.96%로..."
2023.06.02.,반도체 소부장주 반등 채비... 'SOL ETF' 최대 수혜,"포트폴리오 주요 구성종목은 한미반도체, 대덕전자, 원익IPS, 솔브레인, 리노공업, 주성엔지니어링, 심텍 등이 있다. 김 본부장은 ""대형주 중심의 반등으로 반도체 전반의 회복 사이클이 진행될 것으로 예상되는 만큼 반도체 소부장주에 대해 관심을 둘 필요가 있다""며 ""반도체 산업의 새로운 사이클 진입..."
