날짜,제목,내용
2023.06.01.,'생태도시' 순천에 한화·포스코 대기업 몰려든다,1일 순천시에 따르면 우주발사체 선두주자인 방산기업 (주)한화에어로스페이스가 율촌산단에 둥지를 튼 데 이어 6800억 원 규모의 ‘거점산업단지 경쟁력 강화사업’ 선정은 대기업과 정부가 인정한 투자의 최적지로 평가 받는다. 또한 사업비 5700억 원 규모의 포스코리튬솔루션(주) 투자협약은 배터리 양극재...
2023.06.01.,한화에어로스페이스·한화시스템 임직원 80여 명 참가… 2011년부터 참배와 정...,"/한화에어로스페이스[단박에 - CBC뉴스 | CBCNEWS] 한화그룹 방산계열사인 한화에어로스페이스와 한화시스템 임직원들이 정전 70주년인 올해 6월 '호국보훈의 달'을 맞아 현충원을 찾아 참배한 것으로 밝혀져 화제다. 한화에어로스페이스는 지난해 11월 한화디펜스, 올해 4월 한화방산(구 ㈜한화 방산부문)과..."
2023.06.01.,"한화에어로스페이스, 공매도 거래량 '51만건 가량' 증가...공매 거래대금 '58...",한화에어로스페이스 공매도 거래량이 전거래일 보다 51만8364건 증가했다. 한화에어로스페이스 공매도 거래량이 전거래일 보다 51만8364건 증가했다. 전날인 31일 한국거래소에 따르면 한화에어로스페이스 공매도 거래량은 55만4243건으로 나타났다. 이날 한화에어로스페이스 주가는...
2023.06.01.,"한화오션, 출범 일주일 만에 신용등급 오르며 기대감 훨훨","한화오션 인수에 참여한 한화에어로스페이스, 한화시스템 등 방산 계열사의 자금 지원의지가 매우 높은 수준이라는 평가다. 한기평은 ""그룹 사업구조 및 전략적 방향 차원에서 통합도가 높다""며 ""다수의 계열사들이 유상증자에 참여한 점 등을 감안할 시 지원을 실행할 가능성이 인정된다""고 판단했다...."
2023.06.01.,"한화, 사업 재편 효과 본격화…""별도 기준 성장 스토리에 주목""","한화솔루션은 신재생 에너지 부문에서 3분기 연속 최대 영업이익을 경신했고, 한화에어로스페이스는 올해 4월 한화방산(구 한화 방산부문)과 합병한 뒤 K9 자주포의 수출과 항공 부문 장기공급계약(LTA) 확대로 역대 최대 실적을 달성했다. 한화오션 인수 시너지…기업가치 상승 기대 최관순 SK증권 연구원은..."
2023.06.01.,"코스피, 기관 대량 매물에 '약세'…외인 SK하이닉스·삼성전자·네이버·코스...","◆ 외인 매수/매도 종목 투자자별 매매 동향을 살펴 보면 외인 순매수 상위 종목은 SK하이닉스(1,246억원), 삼성전자(887억원), 네이버(209억원), 코스모신소재(177억원), 한화에어로스페이스(165억원), 셀트리온(156억원), 삼성전자우(146억원), 셀트리온헬스케어(137억원), JYP엔터(111억원)..."
2023.06.01.,김동관의 태양광 드라이브…한화솔루션 미래 펼친다,1일 업계에 따르면 한화솔루션은 최근 한화에어로스페이스와 공동으로 한화퓨처프루프(Hanwha Futureproof)에 1대1 투자를 단행했다. 미국 노스캐롤라이나주 한 주택 지붕에 설치된 한화큐셀 ‘큐피크 듀오 블랙’ 태양광 모듈./사진=한화큐셀 제공 각각 6557억 원씩 출자해 미국 내 우수 자산 및 회사 투자에...
2023.06.01.,[신냉전 시대의 비상대비기업 (6)] 한국의 록히드마틴 지향하는 ‘한화에어로...,"비상대비 전문가, 전시 대표적 무기체계 공급기업으로 한화에어로스페이스 꼽아 손재일 대표이사는 방산 전문가로 사업 포트폴리오 정비 이끌고 나갈 적임자 러시아-우크라이나 전쟁이 장기전에 돌입했다. 이제 전쟁은 전 국민과 기업이 참여하는 총력전 개념이 되었고, 미국과 중국·러시아 등이 신냉전..."
2023.06.01.,"'김동관의 한화', 방산·우주·M&A로 존재감…재계 '톱5' 보인다","한화그룹은 지난해 한화디펜스에 이어 지난 4월 한화방산을 한화에어로스페이스로 합병하면서 방산 부문 사업 통합 작업을 마무리했다. 지난해 역대 최대 실적을 달성한 한화에어로스페이스는 무인·자동화 기술을 접목한 무기체계 확대, 자회사인 한화시스템, 쎄트렉아이 등과 협력해 발사체부터 위성..."
2023.06.02.,"한화그룹 봉사단, 국립대전현충원서 묘역 정화활동 등 봉사활동","한화커뮤니케이션위원회 김신연 사장을 비롯해 한화 에어로스페이스 대전사업장, 한화 에어로스페이스 PGM 연구소, 한화갤러리아타임월드, 한화이글스 등 대전·충청지역 15개 계열사 임직원 70여명이 참석했다. 임직원들은 현충탑 참배를 통해 나라를 위해 희생하고 목숨 바치신 분들의 숭고한 희생정신을..."
2023.06.02.,"한화, 주요 자회사 실적 개선-SK","전년 동기 대비 매출은 9.5%, 영업이익은 194.5% 증가했다""며 ""한화생명, 에어로스페이스, 솔루션 등 주요 자회사 실적개선으로 연결 실적도 호실적을 기록했다""고 설명했다. 연간 연결 영업이익은 3조9천500억원을 전망했다. 실적 개선세가 이어질 것으로 예상했다. 최 연구원은 ""한화 상장 자회사의..."
