날짜,제목,내용
2023.06.01.,"또 도진 ‘러시아 리스크’… 러 선주, 한화오션에 손배소",한화오션(옛 대우조선해양)이 출범 초기부터 ‘러시아 리스크’라는 암초를 만났다. 수면 아래 있다가 한화오션 출범 직후 다시 떠올랐다. 3곳의 러시아 선주사에서 싱가포르 국제중재센터에 한화오션을 상대로 1조1500억원대 손해배상 청구 소송을 냈다. 한화오션은 정당한 계약해지로 문제될 게 없다는...
2023.06.01.,"한화오션 차세대 호위함 수주 총력…""월등한 기술력으로 승부""",대우조선해양을 인수해 육해공을 아우르는 방산기업으로 도약한 한화오션이 차세대 호위함 '울산급 배치3(BATCH-Ⅲ)' 5~6번함 수주에 총력을 기울이고 있다. 3천5백톤급 총 6척을 건조하는 '울산급 배치3(BATCH-Ⅲ)'사업은 한국 해군의 주력인 노후된 호위함과 초계함을 대체하는 프로젝트다. 6척 중 1번함은...
2023.06.01.,"한화오션, 출범 일주일 만에 신용등급 오르며 기대감 훨훨",한화오션(옛 대우조선해양) 신용등급이 출범 일주일 만에 상향 조정됐다. 자금 투입으로 재무안전성이 개선된 결과다. 한화그룹 차원에서의 지원 가능성도 등급 상향을 부추겼다. 한화오션은 내달 한화그룹의 일환으로 첫 공식석상에 나선다. 다른 계열사와의 시너지 창출을 본격화할 것으로 기대되고 있다....
2023.06.01.,"한화오션, 노조리스크에 국제 소송까지 여전히 살얼음 행보","지난달 23일 새 사명으로 출항을 시작한 한화오션(구 대우조선해양)이 출항 한달도 채 되지 않아 노조리스크와 국제 소송 등으로 살얼음판을 걷고 있다. 노조리스크의 경우 원청지회와 합의를 이끌어 냈으나, 하청지회와 여전히 팽팽한 줄다리기를 이어가는 중이다. 설상가상으로 지난달 말 해외 선주로부터..."
2023.06.01.,"[더벨]새출발 한화오션, 효율성 앞세운 이사회 운영 방식","새롭게 출범한 한화오션이 이사회 내 내부거래위원회를 신설했다. 내부거래위원회는 보통 그룹에서 회사와 대주주, 혹은 계열사와 계열사 등 이해관계자간 거래가 보다 투명하고 공정하게 이뤄지도록 관리·감독하는 역할을 한다. 그간 대우조선해양은 기업집단 소속이 아니었기 때문에 굳이..."
2023.06.01.,"에퀴노르, '12조' 캐나다 해양플랜트 3년 연기…한화오션·삼성중공업 '울상'",프로젝트 지연으로 핵심 사업인 부유식 원유생산 저장 및 하역설비(FPSO) 설계·건조 사업자 선정도 미뤄지면서 해당 사업에 눈독을 들여온 한화오션과 삼성중공업은 허탈한 모습이다. 1일 업계에 따르면 에퀴노르는 파트너인 영국 에너지기업 BP와 함께 '베이 두 노드(Bay du Nord)' 프로젝트 착공을...
2023.06.01.,"한화, 사업 재편 효과 본격화…""별도 기준 성장 스토리에 주목""","한화가 자회사의 실적 호조에 힘입어 탄탄한 성장세를 이어갈 것으로 전망되는 가운데, 최근 한화오션(대우조선해양) 인수 절차가 마무리됨에 따라 시너지 효과에 대한 기대감도 커지고 있다. 시장에서는 사업구조 재편을 통한 미래 성장동력 확보가 한화의 중장기 성장성과 수익성 개선에 긍정적으로..."
2023.06.01.,"'김동관의 한화', 방산·우주·M&A로 존재감…재계 '톱5' 보인다","한화오션 거제사업장 전경. [사진=한화오션] 해양 분야에서는 대우조선해양 인수로 친환경·고부가가치 선박의 판매량을 늘릴 계획이다. 대우조선해양은 한화에어로스페이스의 자회사로 편입되며 사명을 '한화오션'으로 바꿨다. 한화오션은 액화천연가스(LNG)운반선, 이중연료추진선 등 고부가가치 선박과..."
2023.06.01.,"[영상] HD한국조선해양, '1.2조 규모' LNG선 5척 수주ㅣ한화오션, 인도에 7조...","자세한 내용은 더구루 홈페이지에서 확인하실 수 있습니다. 상세기사 HD한국조선해양, '1.2조 규모' LNG선 5척 수주 한화오션, 인도에 3000t급 잠수함 제안…7조 수주전 정면승부 '배터리 화재 위험' 재규어, 美서 전기 SUV 'I-페이스' 리콜 중국 증시, 회의적인 세 가지 이유"
2023.06.02.,"대금지급 밀려 계약해지 된 러시아 선주들, 한화오션에 1.2조訴","한화오션(구 대우조선해양)이 러시아 선주들에게 손해배상 청구 소송을 당했다. 2일 관련업계에 따르면 한화오션은 러시아 선주 3곳이 1조1599억원 규모의 손해 배상을 주장하며 싱가포르 국제중재센터에 중재를 제기했다고 공시했다. 앞서 한화오션은 지난해 5~11월 러시아 선사인 엘릭슨(Elixon), 아조리아..."
