날짜,제목,내용
2023.06.01.,"현대모비스, 인도네시아에 '배터리 시스템' 공장 착공",현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산 목표로 착공했다. 현대모비스는 아세안 시장의 중심지로 부상하고 있는 인도네시아를 교두보 삼아 '셀-배터리시스템-완성차'로 이어지는 전기차 생태계를 구축할 계획이다. 현대모비스는 지난달 31일(현지시간) 수도 자카르타...
2023.06.01.,"현대모비스, 인도네시아 배터리 시스템 공장 착공...""전동화 한 축 선도""",현대모비스가 글로벌 전동화 전용 거점인 인도네시아 배터리 시스템 공장 착공에 들어갔다. 현대모비스는 아세안 시장의 중심으로 부상하고 있는 인도네시아를 교두보 삼아 '셀-배터리시스템-완성차'로 이어지는 전동화 생태계의 한 축을 선도하겠다는 방침이다. 현대모비스는 지난달 31일(현지시간)...
2023.06.01.,현대차그룹 中에 '1호 해외 수소연료전지 공장' ...인니선 전기차 생산 강화,"현대모비스가 투자와 생산 등을 주도하며, 현대차가 투자의 일부를 담당한다. 이 공장에선 HLI그린파워(현대차그룹과 LG에너지솔루션의 배터리셀 합작사)로부터 공급받은 배터리셀에 제어기, 열관리 장치 등을 장착해 대형 배터리 시스템으로 만들어, 현대차의 동남아 시장 주력 전기차 모델에 공급한다...."
2023.06.01.,"현대모비스, 인니서 배터리 시스템 공장 착공 돌입... 아세안 전동화 생태계 ...","착공식에 현지 정부 주요 관계자 등 150여 명 참석 다음해 상반기 현지 주력 차종 배터리 시스템 공급… 셀-배터리 시스템-완성차 생태계 완성 이상덕 주 인도네시아 대한민국 대사, 모하마드 리드완 카밀 자와바랏 주지사, 오흥섭 현대모비스 전동화 BU장 전무 등이 5월 31일 인도네시아 자와바랏주에서 열린..."
2023.06.01.,"현대모비스, 인니 배터리시스템 공장 건설 첫 삽…2024년 상반기 양산",현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 오는 2024년 상반기 양산을 목표로 착공에 돌입했다. 현대모비스는 5월 31일(현지 시간) 인도네시아 수도 자카르타 외곽 자와바랏(Jawa Barat)주 브카시(Bekasi)시에 위치한 공장 부지에서 배터리 시스템 공장 착공식을 개최했다고 1일 밝혔다. 이날...
2023.06.01.,"현대모비스, 인도네시아 배터리시스템 공장 착공","현대모비스는 지난달 31일 인도네시아 자와바랏주 브카시시에 위치한 배터리시스템 공장 착공식을 열었다고 1일 밝혔다. 착공식에는 모하마드 리드완 카밀 자와바랏주지사, 이상덕 주 인도네시아 대사, 오흥섭 현대모비스 전동화BU 전무 등 정부와 업계 관계자 등 150여 명이 참석했다. 현대차그룹은 총..."
2023.06.01.,"현대모비스, 印尼 '배터리시스템 공장' 첫 삽...""글로벌 전동화 거점 구축""",현대모비스가 아세안 시장의 중심 국가 인도네시아에 '셀-배터리시스템-완성차'로 이어지는 전동화 생태계 구축을 통해 글로벌 전동화 밸류체인 완성에 한 발 더 다가서고 있다. 현대모비스는 글로벌 전동화 전용 거점인 인도네시아 배터리시스템 공장이 내년 상반기 양산을 목표로 착공에 들어갔다고 1일...
2023.06.01.,"현대모비스, 아세안 ‘전기차’ 중심 인도네시아에 ‘배터리’ 신공장 착공",현대모비스의 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔다. 현대모비스는 아세안 시장의 중심으로 부상하고 있는 인도네시아를 교두보 삼아 셀-배터리시스템-완성차로 이어지는 전동화 생태계의 한 축을 선도할 계획이다. 현대모비스는 31일(현지시간) 인도네시아 수도 자카르타 외곽...
2023.06.01.,"현대모비스, 인도네시아 배터리시스템 신공장 착공",현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔다. 현대모비스는 아세안 시장의 중심으로 부상하고 있는 인도네시아를 교두보 삼아 셀-배터리시스템-완성차로 이어지는 전동화 생태계의 한 축을 선도하겠다는 방침이다. 현대모비스는 지난달 31일...
2023.06.01.,"현대모비스, 인니 배터리시스템 공장 착공…아세안 전동화 생태계 선도 포부",현대모비스 인도네시아 배터리시스템 공장 조감도 (사진=현대모비스) 현대모비스의 글로벌 전동화 전용 거점인 인도네시아 공장이 내년 상반기 양산을 목표로 착공에 들어갔다고 1일 밝혔다. 현대모비스는 현지시간으로 지난 31일 수도 자카르타 외곽 자와바랏(Jawa Barat)주(州) 브카시(Bekasi)시(市)에...
2023.06.02.,"한투증권 ""현대모비스, 2025년 전동화부품 흑자 전환할 것""","한국투자증권은 2일 현대모비스의 전동화 부품 사업의 영업이익이 2025년 이후 흑자 전환할 것이라며 목표주가 27만원과 투자 의견 '매수'를 유지했다. 김진우 연구원은 이날 발간한 보고서에서 ""최근 현대모비스가 증권사 연구원들을 대상으로 전동화공장의 핵심 공정을 공개했다""며 ""지난 몇 년간 시행착오를..."
2023.06.02.,"현대모비스, 인도네시아에 배터리시스템 신공장 착공!",현대모비스는 지난(현지시간) 31일 인도네시아 수도 자카르타 외곽 자와바랏 주(州) 브카시 시(市)에 위치한 공장 부지에서 배터리 시스템 공장 착공식을 개최했다고 밝혔다. 글로벌 전동화 전용 거점인 인도네시아 공장은 내년 상반기 양산을 목표로 한다. 현대모비스는 현지시간 31일 인도네시아 자와바랏...
