날짜,제목,내용
2023.06.01.,"현대차, 中 광둥에 연 6500기 수소연료전지 공장 준공","1일 열린 준공식에는 장재훈 현대차 사장을 비롯해 린커칭 광둥성 정협 주석 겸 광저우시 서기, 리신 광둥성 정협 부주석 등 200명이 참석했다. 에이치투는 현대차그룹이 2020년 출시한 수소연료전지 시스템 브랜드다. 현대차그룹은 에이치투 광저우 건설을 위해 2019년 12월 광둥성 정부와 업무협약을..."
2023.06.01.,"자동차 생산 61년 만에…현대차·기아, 1억5천만대 판매","현대차·기아가 지난달 전세계 시장에 61만여대를 판매했다고 밝혔다. 1962년 자동차 생산·판매를 시작한 지 61년 만에 누적 판매량 1억5천만대를 달성했다. 현대차·기아가 1일 결산한 올해 5월 판매 실적 자료를 보면, 현대차는 지난달 모두 34만9194대를 판매했다. 지난해 같은 달과 견줘 7.8..."
2023.06.01.,"현대차 노사, 35년만에 부활 울산공업축제에 8000만원 기탁","현대차 노사는 1일 태화강 남구 둔치 특설무대에서 개최된 개막식에 현대차 이동석 대표이사, 안현호 현대차 금속노조 지부장, 임직원 관계자 등이 참가, 행사 후원금 8000만원을 울산시체육회에 기탁했다. 이날 사업부 봉사단 소속 임직원 50여명은 시민 1000여명과 함께 울산 산업화의 상징인 공업탑을..."
2023.06.01.,"현대차 기아 5월 모두 판매 늘어, 현대차는 그랜저 기아는 스포티지가 견인","현대차는 새 그랜저가 월 판매 1만 대를 넘기며 국내 판매를 이끌었고 기아는 스포티지가 국내외 판매를 견인했다. ◆ 현대차 국내외 판매 모두 늘어, 새 그랜저 판매 1만 대 넘어 현대자동차는 2023년 5월 국내 6만8680대, 해외 28만514대 등 세계 시장에서 모두 34만9194대를 판매했다. 1일..."
2023.06.01.,"팰리세이드 잘 팔았다… 현대차, 5월 34만9194대 판매","현대차는 국내에서 전년 동월 대비 8.4% 증가한 6만8680대를 팔았다. 세단은 그랜저 1만1581대, 아이오닉 6 1117대, 쏘나타 2630대, 아반떼 6599대 등 총 2만1927대를 기록했다. RV는 팰리세이드 3553대, 싼타페 2557대, 아이오닉 5 2396대, 투싼 4241대, 코나 2522대, 캐스퍼 4064대 등 총..."
2023.06.01.,"현대차, '포니와 함께한 시간' 사진 공모","현대차는 제출 사진과 함께 관련 사연을 종합적으로 고려해 다음 달 15일 선정작을 발표하고 일주일 뒤 시상할 계획이다. 대상 1명, 우수상 2명, 장려상 3명 등 총 6명을 뽑는다. 대상 수상자에게는 전기차 아이오닉5를 준다. 우수상 수상자는 제주 해비치 호텔 2박 3일 숙박권을, 장려상 수상자는 포니 굿즈..."
2023.06.01.,"현대차, 中 수소연료전지 생산공장 준공…국내 기술 탑재","이옥현 산업부 수소경제정책관은 ""현대차 연료전지 생산공장 준공 및 연료전지시스템의 현지 공급은 한중 기업 간 수소경제 협력을 상징하는 의미있는 일""이라며 ""수소 기술력을 갖춘 양국 기업들이 앞으로도 다양한 협력사업을 통해 글로벌 수소경제를 선도해 나갈 것으로 기대한다""고 말했다."
2023.06.01.,"현대車, HTWO 광저우 준공식 개최","현대자동차그룹(이하 현대차그룹)이 해외 최초의 수소연료전지시스템 생산기지를 구축했다. 현대차그룹은 1일 중국 광둥성 광저우시 황푸구에서 'HTWO 광저우' 준공식을 개최했다고 밝혔다. 행사에는 린커칭(林克慶, Lin KeQing) 광둥성 정협 주석 겸 광저우시 서기, 리신(李心, Li Xin) 광둥성 정협 부주석..."
2023.06.01.,"현대차 계열 현대오토에버, “기술자료 내놔라” 갑질…공정위, 과징금 2000만...",현대차 그룹 계열사인 현대오토에버가 수급사업자에게 정당한 사유 없이 기술자료를 요구한 혐의로 공정거래위원회의 제재를 받았다. 공정위는 해당 혐의로 현대오토에버에 시정명령과 과징금 2000만원을 부과했다고 1일 밝혔다. 공정위에 따르면 현대오토에버는 현대차에 공급하는 ‘스마트태그 시스템...
2023.06.01.,"""식사시간 10분 돈으로"" ""자녀 고교 입학 100만원"" 현대차 노조 요구안","64세 정년연장, 임금피크제 폐지 현대차 노조는 1일 기본급 인상액 18만4900원, 성과급 회사 순이익의 30%(주식포함), 상여금 900% 등 요구안을 확정해 회사... 현대차 노조는 이달 둘째 주 회사 측과 단체교섭 상견례, 셋째 주 단체교섭 출정식을 열 예정이다. 사무직을 포함해 현대차 평균 연봉은 2021년 기준..."
2023.06.02.,"IRA 보조금 못 받아도…현대차·기아, 美 전기차 판매 '역대 최대'","현대차와 기아는 지난달 미국 판매량이 작년 같은 달보다 20.8% 증가한 14만7103대를 기록했다고 2일 발표했다. 현대차(제네시스 포함)는 18.4% 늘어난 7만5606대, 기아는 23.4% 늘어난 7만1497대를 판매했다. 기아는 스포티지와 북미 전략 모델인 텔루라이드가 꾸준한 인기를 끌면서 현대차 판매량에 바짝..."
2023.06.02.,"현대차·기아, 국내 전기차 판매 감소",지난달 현대차·기아의 국내 전기차 판매가 감소한 것으로 나타났다. 2일 업계에 따르면 현대차의 전기 스포츠실용차(SUV) 모델인 아이오닉5는 지난달 국내 판매가 전년 동월 대비 21.5% 줄어든 2396대에 그쳤다. 올해 1~5월 누적 판매도 지난해 같은 기간보다 39.6% 급감한 8207대에 불과했다. 현대차가...
2023.06.02.,"""도둑보다 회사에 강경""…美서 현대차·기아 상대 절도소송 비판","이유로 현대차와 기아를 상대로 소송을 제기한 것에 대해 ""살이 찔 경우 달고 맛있는 케이크를 만든 회사를 비난할 것이냐""라는 언론의 비판이 나왔다.... 그는 또 케이크 등의 사례를 거론하면서 현대차 등을 고소한 일부 도시의 논리대로면 간식이 맛이 없다면 미국에 비만 문제가 발생하지 않을 것이란 주장도..."
2023.06.02.,유럽 시장 흔드는 현대차‧기아의 전기차,“현대차의 ‘아이오닉 5’가 소프트웨어 부문에서 포드보다 더 낫다”(짐 팔리 포드 CEO) “현대차가 꽤 잘하고 있다”(일론 머스크 테슬라 CEO) 엔진의 시대에는 한국 자동차가 유럽·미국·일본 차에 뒤졌지만 전기차 경쟁은 같은 선상에서 출발한다. 유럽에선 ‘한국 차가 유럽 차를 앞섰다’는 뉴스가...
2023.06.02.,"현대차, '연식변경 팰리세이드' 출시…3867만원부터",현대차 2024 팰리세이드 블랙 에디션 외장 (사진=현대자동차) 새롭게 추가된 스페셜 트림 르블랑은... 현대차 2024 팰리세이드 블랙 에디션 외장 (사진=현대자동차) 안전과 편의도 신경썼다. 엔트리 트림인...
2023.06.02.,‘혈액암 확진’ 현대차 노동자 4명 산재보상 신청,"[앵커] 혈액암에 걸린 현대차 전주공장 노동자들이 산재보상을 신청했습니다. 근로복지공단이 재해 조사에 들어간 가운데 도장 작업 때 쓰는 시너에... 지난해 잇따라 혈액암 확진 판정을 받은 현대차 전주공장 노동자 4명이 산재보상을 신청한 겁니다. [""철저한 조사 부탁드리겠습니다. (최선을 다하겠습니다.)..."
2023.06.02.,현대차 노조 무리한 요구? 회사 측 엄살?,"6월에 시작될 현대차 노사 협상을 앞두고 노조 측의 요구조건이 알려지면서 논란이 일고 있다. 1일 현대차 노보 등에 따르면 노조는 기본급 인상액 18만4900원, 성과급 회사 순이익의 30%(주식포함), 상여금 900% 등 요구안을 확정해 회사 측에 전달했다고 밝혔다. 노조 요구안을 살펴보면, 임금 인상과 성과급뿐..."
2023.06.02.,"현대차, 2024 팰리세이드 출시…가성비 트림 ‘르블랑’ 추가","현대자동차가 상품성을 개선한 ‘2024 팰리세이드’를 2일부터 판매한다. 2024 팰리세이드는 가격 경쟁력을 갖춘 스페셜 트림 ‘르블랑’을 추가하고 트림별로 안전·편의 장비를 기본화했다. 르블랑 트림은 스마트 파워 테일게이트를 비롯해 20인치 휠과 미쉐린 타이어, 12.3인치 대화면 클러스터, 1열..."
2023.06.02.,"현대차 전주공장, 멸종 식물 복원 전북지방환경청과 협력","현대차 전주공장은 2일 전북지방환경청, 국립공원공단 식물보전센터, 덕유산국립공원 등과 함께 기후위기 멸종 식물·생물 다양성 복원 사업을... 현대차 전주공장과 전북지방환경청 등은 덕유산국립공원 내 국립공원공단 식물보전센터에서 구상나무 개체 번식·성장 프로젝트를 진행한 후 이를 서식지에..."
2023.06.03.,“도둑 들면 가게 탓이냐”…美서 현대차·기아 상대 절도소송 비판,"미국 언론인 “범인에게 분노 표출해야” 기고글 현대차와 기아가 지난해 미국에서 잇따른 차량 도난사건으로 집단 소송을 당한 것과 관련 미국 내에서도... 그는 또 “미국인들이 저항할 수 없을 정도로 맛있고, 단 쿠키와 케이크를 만드는 회사를 고소해야 하느냐?”며 현대차 등을 고소한 일부 도시의..."
2023.06.03.,"현대차 노조, ""40년 근속자에 금메달 달라"" 外[금주의 산업계 이슈]","현대차노조, ""40년 근속자에 400만원 금메달 달라"" 현대차 노동조합이 올해 임단협 요구안에 40년 장기근속자에게 400만원 상당의 금메달과 휴가비 700만원을 지급하라는 내용을 포함시켰다. 이전까지 35년 근속자까지만 이 같은 혜택을 제공했는데, 이를 40년 근속자로 확대하자는 것이다. 이 요구에 사측이..."
2023.06.03.,"“내가 네 아빠다”…49년간 몰랐던 현대車 ‘출생비밀’, 포람페와 형제? [세...",현대차는 ‘포니 쿠페 콘셉트’를 지난달 18일(현지시각) 이탈리아에서 공개했다. 1974년 이탈리아 토리노 모터쇼 이후 49년 만이다. 현대차는 지난해 11월 포니 쿠페 콘셉트 복원 작업에 착수했다. 이 작업에는 포니 디자인을 담당했던 이탈리아 디자이너인 조르제토 주지아로와 그의 아들인 파브리지오...
2023.06.03.,"OLED株, 삼성·현대차 협력 소식에 주가 폭등했지만... “차량용 시장, 큰 돈...",현대차 ‘제네시스’에 삼성 OLED 디스플레이가 탑재된다는 소식에 투자 심리가 개선됐기 때문이다. 삼성전자와 현대차가 손을 잡았다는 점도 투자자들의 투자 심리를 북돋는 요인이다. 다만 차량용 OLED 시장이 크지 않아 실제 삼성디스플레이의 이익에 미치는 영향은 크지 않을 것이란 반론도 나오고...
2023.06.03.,‘혈액암 확진’ 현대차 노동자 4명 산재보상 신청,"혈액암에 걸린 현대차 전주공장 노동자들이 산재보상을 신청했습니다. 근로복지공단이 재해 조사에 들어간 가운데 도장 작업 때 쓰는 시너에 발암물질이... 지난해 잇따라 혈액암 확진 판정을 받은 현대차 전주공장 노동자 4명이 산재보상을 신청한 겁니다. [""철저한 조사 부탁드리겠습니다. (최선을..."
2023.06.03.,운전자가 가장 많이 찾는 1천만원대 중고차는 현대차 아반떼·기아차 카니발,/현대차 제공 운전자들이 가장 많이 찾는 1천만원대 국산 중고차는 '아반떼'와 '카니발'인 것으로 조사됐다. 3일 중고차 거래 플랫폼 KB차차차가... 아반떼는 현대차의 대표 상품으로 연비가 좋고 유지 관리에 부담이 없어 인기가 높은 것으로 보인다. 같은 가격대에서 수입차 조회 수 1위는 미니...
2023.06.03.,"美서 돈 덜쓰고 더 많이 판 현대차…""제품력 개선, 펀더멘털 달라졌다""",현대차(005380)에 대한 증권가의 호평이 이어지고 있다. 미국 시장에서 현대차그룹이 두자릿수 시장 점유율이 이어지고 있는데 이는 제품경쟁력 개선에 기반한 기업 펀더멘탈(기초체력) 자체가 개선된 효과라고 보고 있다. 급등하던 주가가 최근 소폭 하락했다고 하지만 양호한 실적 개선세가 이어질...
2023.06.03.,"현대차·기아, 누적판매 1억5천만대 돌파",현대차·기아가 자동차 판매 61년만에 지난달 판매 대수 1억5천만대를 넘은 것으로 나타났습니다. 현대차·기아는 자동차 판매를 시작한 1962년 이후 지난달까지 국내를 포함한 글로벌 자동차 시장에서 모두 1억 5천 44만대를 판매했다고 밝혔습니다. 글로벌 완성차 회사 가운데 누적 판매 1억5천만대를 넘은...
2023.06.03.,현대차는 ‘세단’·기아는 ‘SUV’…1~5월 완성차 효자는?,"양사 모두 올해 들어 전년 대비 판매량 상승 곡선을 그린 가운데 현대차는 세단 부문에서, 기아는 스포츠유틸리티차(SUV) 부문에서 뚜렷한 강세를 보이고 있다. 3일 완성차 업계에 따르면 현대차는 5월 한 달 동안 내수 시장에서 전년 동기 대비 8.4% 늘어난 6만8680대를 팔았다. 기아 역시 같은 기간 10.3..."
2023.06.03.,이러다 현대차도 제칠라...‘베트남의 삼성’이 아메리칸 드림 꿈 꿔보지만 [...,"‘베트남이 무슨 전기차를’이라 생각하는 독자분들이 많으시겠지만 글로벌 시가총액만 보자면 빈패스트는 이미 현대차에 근접한 수준까지... 상장 직후 이같은 기업가치를 유지한다면 빈패스트 시총은 5월 26일 기준 현대차 시총(43조 4697억원)과 크게 다를 게 없는 수준입니다. 물론 기아차, 현대모비스 등..."
2023.06.04.,세계적인 건축가가 설계...현대차 2500억원짜리 '정비 공장',"4일 울산시와 현대차에 따르면 잉겔스가 설계하는 해당 공간 정식명칭은 울산하이테크센터다. 현대자동차가 운영하는 곳으로, 전기차나 수소차 같은... 센터는 태화강과 현대차 울산공장, 울산항 등 다양한 울산지역 경관을 어디서든 조망할 수 있도록 건물 곳곳에 투명 유리를 설치했다. 울산시는 통상 1년..."
2023.06.04.,“르·지·케이가 너무 약하니···” 현대차·기아 국산차 점유율 91%,"현대차·기아, 5월 11만8955대 판매 르노·GM·KG모빌리티 내수서 고전 5월 국내 신차 판매량이 13만300대로 지난해 5월보다 8.8% 증가했다. 지난해 말 시작된 판매량 상승세가 이어지는 모양새다. 현대차, 기아, 한국GM, KG모빌리티, 르노코리아 등 5개사는 5월 실적을 각각 발표했다. 현대차는 5월..."
2023.06.04.,현대차 '2024 팰리세이드' 출시,현대차는 2024 팰리세이드에 주요 안전 및 편의 사양을 트림별로 기본화해 상품 경쟁력을 강화했다. 엔트리 트림인 익스클루시브는 △2열 세이프티 파워... 또한 현대차는 최상위 트림 캘리그래피에서 적용 가능한 올 블랙 콘셉트의 디자인 특화 사양 '캘리그래피 블랙 에디션'을 신설하고 추가 비용 없이...
2023.06.04.,[포토] 4중 추돌 사고 처참하게 찌그러진 현대차 그랜저 택시,4일 오후 서울역 서부역 택시승강장 부근에서 급발진한 것으로 추정되는 현대차 그랜저 택시가 차량을 잇달아 들이받으면서 4중 추돌 사고가 발생했다. 중앙선을 넘어 맞은편에 정차 중이던 현대차 아이오닉5 택시를 들이받으면서 카카오택시에서 하차하던 여성 승객이 중상을 입은 것으로 파악됐다. 이 사고로...
2023.06.04.,"현대차 전주공장, 기후위기 멸종 식물 및 생물 복원사업 나서","현대차 전주공장, 기후위기 멸종 식물 및 생물 복원사업 나서 현대자동차 전주공장(공장장 임만규)은 전북지방환경청, 국립공원공단 식물보전센터... 현대차 전주공장, 기후위기 멸종 식물 및 생물 복원사업 나서 현대자동차 전주공장 관계자는 이번 사업과 관련해""전 세계적으로 환경에 대한 관심이 나날이..."
2023.06.04.,"현대차 노조, 소음성난청 집단 산업재해 신청","현대차 노조가 현장 기술직 직원들의 소음성 난청에 대해 집단 산재 신청에 나서기로 했습니다. 노조는 현재까지 조합원 1천5백 명 가량의 최근 건강검진 기록을 조회할 수 있는 위임장을 받았으며, 이후 검사를 통해 소음성난청 조합원들을 모아 올해 안에 집단 산재 신청에 들어갈 계획입니다. 노조는 소재생산..."
2023.06.04.,[현대차 헤리티지] ②경차는 싫고 중형은 부담… 준중형 시장 파고든 ‘아반떼...,이를 위해 현대차는 브랜드 고유의 유·무형 자산과 에피소드를 찾아 나섰다. 전기차 시대를 맞아 새로운 시작점에 선 현대차가 과거 도전정신을 되새길 필요가 있다. 특히 새로운 전기차 브랜드들이 쏟아지는 가운데 현대차의 브랜드 가치를 역사에서 찾아야 했다. 과거를 알면 미래가 보인다....
2023.06.05.,"현대차 월드랠리팀, WRC 이탈리아 랠리서 올해 첫 우승",티에리 누빌 1위…역대 이탈리아 랠리서 여섯번째 우승컵 현대차가 '2023 월드랠리챔피언십(WRC)' 이탈리아 랠리에서 올해 첫 승을 거뒀다. 현대차는 1∼4일(현지시간) 이탈리아 사르데냐에서 열린 WRC의 시즌 여섯 번째 대회에서 현대 월드랠리팀 소속 티에리 누빌이 1위를 차지했다고 5일 밝혔다. 'i20 N...
2023.06.05.,현대차 월드랠리팀 'i20 하이브리드'로 이탈리아서 우승컵,티에리 누빌은 현대차의 'i20 N Rally1 하이브리드'를 타고 출전했다. 현대차가 이탈리아 랠리에서 우승컵을 달성한 것은 이번이 여섯번째다. 하이브리드 경주차의 뛰어난 성능과 내구성을 바탕으로 우승을 차지했다는 것이 현대차 측 설명이다.
2023.06.05.,"현대차, 이케아코리아와 ‘그린 포레스트’ 개최","이번 전시에서는 현대차 대표 친환경 차량과 이케아의 다양한 홈퍼니싱 아이디어가 소개된다. 현대차는 친환경 차량의 이름을 딴 ‘코나 EV 존’, ‘아이오닉6 존’, ‘넥쏘 존’ 등 3가지 주제로 전시 공간을 구성했다. 각각 ‘해변 피크닉’, ‘편안한 업무·휴식을 즐기는 나만의 공간’, ‘푸르른..."
2023.06.05.,"현대차, ""전기차 보러 이케아 오세요""","코나 일렉트릭, 아이오닉 6, 넥쏘 등 현대차의 친환경차와 이케아의 홈퍼니싱 아이디어를 결합해 소비자들에게 지속가능한 아웃도어 활동을 제안하기 위해 기획했다. 현대차는 이케아와 함께 친환경차의 이름을 딴 코나 EV 존, 아이오닉 6 존, 넥쏘 존 등 총 3개의 콘셉트를 주제로 전시 공간을 구성했다...."
2023.06.05.,"(단독) 현대차 비정규직 노조 승소 땐, 개인 상대 손해배상 난항","'현대차 VS 비정규직 노조' 전합 사건은 현대자동차는 ""2013년 7월 전국금속노조 현대차 비정규직지회의 울산3공장 의장 32라인 크래쉬패드 장착 공정의 점거(쟁의행위)로 해당 생산라인의 조업이 63분간 중단돼 이에 상응한 고정비 상당의 손해를 입었다""며 쟁의행위에 참여한 비정규직 일반조합원들을 상대로..."
2023.06.05.,"현대차 ""아이언맨 '자비스'처럼…앱 하나로 차량 상태 살핀다""","현대차는 영화 속 자비스처럼, 사람들이 기대하는 AI 이미지를 구현하고 있다""며 ""예를 들어 당사 블루링크 앱을 통해 행선지를 전송하면 알아서 빠른... 현대차는 이러한 고도화된 앱 서비스를 위해 인공지능 등 기술 연구를 지속해왔다. 특히 명령자의 의도를 정확하게 파악하는 기술 구현을 위해 자연어..."
2023.06.05.,"'친환경·홈퍼니싱 콜라보' 현대차-이케아 코리아, '그린 포레스트' 개최","현대차가 홈퍼니싱 리테일 기업 이케아 코리아(IKEA Korea)와 손잡고 오늘부터 11일 까지 이케아 광명 야외정원에서 신개념 공간 마케팅 '그린 포레스트(Green For-rest)'를 개최한다. 이번 '그린 포레스트'는 '디 올 뉴 코나 EV', '아이오닉 6', '넥쏘' 등 현대차 대표 친환경 차량과 이케아의 다양한 홈퍼니싱..."
2023.06.05.,"현대차 밑에 삼성…외국인, ‘영업익 재계 1위’ 현대차그룹株 순매수 ‘역대...",이미 성적표가 공개된 지난 1분기에 이어 올 한 해 영업이익이 ‘부동의 1위’ 삼성그룹을 넘어설 것이란 전망에 힘이 실리면서 주가 상승에 대한 기대감으로 외국인 투자자들이 현대차그룹 계열사 주식을 적극적으로 사들이고 있는 것이다. 그룹 내 양대 산맥인 완성차 업체 현대차·기아는 물론...
2023.06.05.,"""역시 랠리에 강하다!"" 현대차 월드랠리팀, WRC 이탈리아 랠리 6번째 시즌 첫...","현대차는 6월 1일부터 4일(현지 시각)까지 이탈리아 사르데냐(Sardegna)에서 열린 '2023 월드랠리챔피언십(World Rally Championship, 이하 WRC)' 시즌 여섯... 이로써 현대차는 역대 이탈리아 랠리에서 총 여섯 번의 우승컵(16년, 18~20년, 22~23년 우승)을 들어올리는 대기록을 달성했다. 현대 월드랠리팀..."
2023.06.05.,"현대차-이케아, 광명점 야외정원서 그린 포레스트 개최",코나 EV 존 이번 그린 포레스트는 '디 올 뉴 코나 EV' '아이오닉 6' '넥쏘' 등 현대차 대표 친환경 차량과 이케아의 다양한 홈퍼니싱 아이디어를 결합해 고객들에게 지속가능한 아웃도어 활동을 제안하고자 마련되었다. 현대차는 이케아와 함께 친환경 차량의 이름을 딴 ▲코나 EV 존(KONA EV Zone) ▲아이오닉...
