날짜,기업이름,요약내용
2023.06.10,HD한국조선해양,"부산광역시, 한국무역협회, (사)대한민국해군협회, 부산조선해양기자재공업협동조합, ㈜경연전람, ㈜벡스코가 운영했습니다."
2023.06.07,HD한국조선해양,"대우조선해양(042660)(현 한화오션)은 7.79% 상승했고, HD한국조선해양(009540), 현대미포조선(010620)도 각각 23.11%, 10.63% 오르며 상승기류를 타고 있습니다."
2023.06.06,HD한국조선해양,상장사 지배구조 지표 준수율 SKT만 100%…가장 모범적
2023.06.06,HD한국조선해양,두산퓨얼셀은 글로벌 에너지기업 쉘(Shell)과 조선기업 HD한국조선해양 등과 선박용 연료전지 개발을 진행하고 있습니다.
2023.06.07,HD한국조선해양,"[현장] 한화오션·HD현대, 방산분야 최강기업 격돌 '후끈'"
2023.06.12,HD한국조선해양,정 사장은 가삼현 HD한국조선해양 부회장을 포함한 임원 10여명과 동행했습니다.
2023.06.01,HD한국조선해양,HD한국조선해양은 최근 대만 선사 양밍해운과 1만5500TEU급 LNG추진 초대형 컨테이너선 5척에 대한 건조 계약을 체결했다고 1일 밝혔습니다.
2023.06.06,HD한국조선해양,올들어 흑자전환 잇따라 1일 한국거래소에 따르면 HD한국조선해양은 최근 한 달간(5월2일~6월1일) 15.8% 상승했습니다.
2023.06.05,HD한국조선해양,HD한국조선해양은 독일 드레스덴 공대 등 유럽 소재 14개 기관과 컨소시엄을 구성하고 이번 달부터 대형 액화수소 화물창 기술을 공동 개발한다고 밝혔습니다.
2023.06.05,HD한국조선해양,HD한국조선해양이 올 초부터 빠른 수주몰이로 성장세를 입증하고 있습니다.
2023.06.09,HD한국조선해양,한국선급(KR)은 자율운항전문기업인 아비커스와 HD한국조선해양이 개발한 자율운항시스템 '하이나스 컨트롤 2.0'(HiNas Control 2.0)에 대한 신기술 적격성 평가(NTQ)를 완료하고 증명서를 수여했다고 9일 밝혔습니다.
2023.06.12,HD한국조선해양,12일 한국조선해양플랜트협회 등에 따르면 올해 3분기 국내 조선업계에서 부족한 생산직 인력은 1만3천여 명에 달할 것으로 추산됩니다.
