날짜,기업이름,요약내용
2023.07.28,HD현대일렉트릭,대상은 'TBM의 중요성'이라는 제목으로 해당 사업장 TBM의 과정을 재치있게 소개한 고려아연 온산제련소가 차지했습니다.
2023.08.22,HD현대일렉트릭,"또 울산에 주력사업장을 둔 HD현대일렉트릭 역시 변압기 시장에서 공급자 우위 업황을 유지하며, 선별수주와 원가개선에 따라 수익성을 높이고 있는 것으로 나타났습니다."
2023.08.02,HD현대일렉트릭,"HD현대일렉트릭, LS일렉트릭, 효성중공업 등 전력기기 3사들의 총 수주 잔고가 올해 상반기 10조원을 돌파했습니다."
2023.07.28,HD현대일렉트릭,이를 물려받으려면 최고 세율 60%를 적용했을 때 세금만 7500억원가량을 내야합니다.
2023.06.05,HD현대일렉트릭,하이투자증권은 이에 따라 올해 하반기 G7의 공급망 재편 과정에서 수혜 받을 수 있는 종목으로 ▷LS ▷포스코인터내셔널 ▷SK 네트웍스 ▷HD 현대일렉트릭 ▷효성중공업 ▷HD 현대인프라코어 ▷씨에스베어링 등 일곱종목을 꼽았습니다.
2023.07.26,HD현대일렉트릭,HD현대의 전력기기 및 에너지솔루션 계열사인 HD현대일렉트릭이 글로벌 전력기기 발주 증가로 호실적을 기록했습니다.
2023.08.18,HD현대일렉트릭,"지난 3월 HD한국조선해양과 HD현대중공업, 현대미포조선, 현대삼호중공업, HD현대글로벌서비스, HD현대일렉트릭 등 6개 계열사 56개 직군에서 신입 사원을 뽑았습니다."
2023.08.09,HD현대일렉트릭,"올해 들어서만 HD현대(267250)(A), HD현대오일뱅크(AA-), HD현대중공업(329180)(A, A-/스플릿), HD현대케미칼(A), HD현대일렉트릭(267260)(A-), HD현대인프라코어(042670)(A-), HD현대건설기계(267270)(A-) 등이 모두 공모채를 발행했습니다."
2023.07.27,HD현대일렉트릭,"HD현대일렉트릭은 글로벌 전력기기 수요 증가 등 업황호조로 전 제품 모두 고른 성장세를 보이며 매출 6425억원, 영업이익은 588억원으로 지난해 동기 대비 각각 19%, 116.2% 증가했습니다."
2023.08.12,HD현대일렉트릭,"HD현대그룹의 11개 계열사(HD현대, HD한국조선해양, HD현대일렉트릭, HD현대로보틱스, HD현대글로벌서비스, HD현대중공업, 현대미포조선, 현대삼호중공업, HD현대사이트솔루션, HD현대건설기계, HD현대인프라코어)는 지난 7월 하반기 경력사원을 모집했습니다."
2023.08.21,HD현대일렉트릭,"이 밖에 증권가에서 주목하고 있는 해상풍력 관련 종목인 HD현대일렉트릭과 LS도 연초 대비 각각 72.56%, 59.73% 급등했습니다."
2023.08.20,HD현대일렉트릭,"또 HD현대중공업을 비롯한 HD현대 조선3사, HD현대일렉트릭, HD현대건설기계 등 그룹 5개사 노조가 조속한 임단협 타결을 촉구하며 이달 공동쟁대위를 구성하는 등 공동대응에 나설 것으로 보입니다."
2023.06.04,HD현대일렉트릭,'HD현대중공업가족 초대작품전'이 지난 2일 현대예술관 미술관 로비에서 개막됐습니다.
2023.08.02,HD현대일렉트릭,"[이넷뉴스 브랜드평판] 두산에너빌리티, 전력설비 브랜드평판 1위···대한전..."
2023.06.05,HD현대일렉트릭,지난 4월 총 700억원의 자금을 조달하기 위한 회사채 수요 예측을 진행한 HD현대일렉트릭은 5300억원이 넘는 매수 주문을 받아 발행 규모를 1500억원으로 증액했습니다.
2023.07.28,HD현대일렉트릭,"우수상은 모트라스㈜울산공장이 수상해 상금 30만원, 장려상은 HD현대일렉트릭㈜와 SK에코엔지니어링㈜울산 GPS CCPP Project가 수상해 상금 20만원이 수여됐습니다."
2023.08.07,HD현대일렉트릭,"시가총액 상위 종목 중에서는 한전기술(4.02%), SK바이오사이언스(3.91%), HD현대일렉트릭(3.84%), 한화에어로스페이스(3.60%), NAVER(3.36%) 등이 강세입니다."
2023.08.17,HD현대일렉트릭,"HD현대, HD현대건설기계, HD현대일렉트릭, HD현대중공업, HD현대인프라코어 등이 공모채를 발행했습니다."
2023.08.17,HD현대일렉트릭,울산 '제1호 분산에너지특화지역 지정' 선점 나섰다
2023.08.08,HD현대일렉트릭,"코스피 시가총액 상위 종목 중에서는 포스코인터내셔널(13.87%), POSCO홀딩스(6.42%), HD현대일렉트릭(4.96%), LS(4.63%), CJ제일제당(4.55%) 등이 상승했습니다."
2023.06.06,HD현대일렉트릭,"현대중공업그룹의 경우 2017년 4월 현대중공업을 인적분할해 지주사인 현대중공업지주(현 HD현대)와 현대중공업, 현대건설기계, 현대일렉트릭 등 4개 회사로 나눴습니다."
2023.08.17,HD현대일렉트릭,"임직원 부문에서는 HD현대일렉트릭, JB금융지주, 두산이 각각 1위부터 3위까지 차지했습니다."
2023.08.07,HD현대일렉트릭,"66%), HD현대일렉트릭(+3.42%), 영원무역(+1.68%) 등 주로 반도체, 인터넷, 원전, 정유화학, 게임, 화장품, 증권, 전기설비 업종이 상승 중입니다."
2023.07.27,HD현대일렉트릭,HD현대일렉트릭은 글로벌 전력기기 수요 증가 등 업황호조로 전 제품 모두 고른 성장세를 보이며 전년 동기 대비 19% 증가한 매출 6425억원을 기록했습니다.
2023.07.27,HD현대일렉트릭,신한투자증권은 27일 HD현대일렉트릭에 대해 예상보다 빠른 이익률 증가 속도를 보이고 있다고 분석했습니다.
2023.08.14,HD현대일렉트릭,전기장비 관련주인 효성중공업 비츠로테크 HD현대일렉트릭 이비테크 LS 가온전선 제룡산업 비나텍 선도전기 이화전기 범한퓨얼셀 세명전기 광명전기 일진전기 일질홀딩스 SK시그넷 대원전선우 피앤씨테크 대한전선 보성파워텍 지엔씨에너지 대원전선 서전기전 지투파워 제일전기공업 등도 출렁이고 있습니다.
2023.07.31,HD현대일렉트릭,[박정식의 국내 주식시황] 인플레이션 우려 감소와 양호한 기업실적 등으로 상...
2023.06.02,HD현대일렉트릭,해당 충전소에는 그룹 계열사인 HD현대일렉트릭의 자회사 HD현대플라스포가 개발 중인 초급속 충전기가 탑재됩니다.
2023.07.27,HD현대일렉트릭,HD현대일렉트릭[267260]은 글로벌 전력기기 수요 증가 등 업황호조로 전 제품 모두 고른 성장세를 보이며 전년 동기 대비 19% 증가한 매출 6425억원을 기록했습니다.
2023.07.26,HD현대일렉트릭,아주경제=김성현 기자 minus1@ajunews.com HD현대의 전력기기 및 에너지솔루션 계열사인 HD현대일렉트릭이 올해 2분기 지난해와 비교해 2배 이상의 영업이익 개선에 성공했습니다.
2023.06.05,HD현대일렉트릭,이날 행사에는 HD현대중공업 상생·문화 부문장 최헌 전무와 현대일렉트릭 김인태 기원을 비롯해 초대전에 출품한 40여명의 임직원이 참석해 자기 작품을 소개하는 등의 시간을 가졌습니다.
2023.07.27,HD현대일렉트릭,"두산에너빌리티, LS전선, HD현대일렉트릭, 효성중공업 등 에너지 주요 대기업들이 정부, 공공·중소기업들과 에너지신산업 수출에 힘을 모읍니다."
2023.07.26,HD현대일렉트릭,"HD현대의 전력기기 및 에너지솔루션 계열사인 HD현대일렉트릭이 올해 2분기 매출액 6425억원, 영업이익 588억원을 기록했다고 26일 공시했습니다."
2023.06.08,HD현대일렉트릭,"올해 대신증권은 HD현대와 HD현대인프라코어, HD현대중공업, HD현대일렉트릭, HD현대건설기계 등 HD현대그룹 및 계열사들의 회사채 대표 주관을 맡았고 신세계센트럴시티와 롯데하이마트의 회사채 주관도 따내면서 업계의 주목을 받았습니다."
2023.07.26,HD현대일렉트릭,"HD현대일렉트릭은 26일 열린 2023년 2분기 실적 콘퍼런스콜에서 ""하반기에는 변압기와 고압차단기 등 제품 물량 매출이 더 오르고 미주 법인 수익률이 개선될 것으로 봅니다."
2023.08.21,HD현대일렉트릭,"[21일 투자주체 동향] 외국인·기관, 에코프로 쌍끌이 매수...주가 9.2% 급등"
