날짜,기업이름,요약내용
2023.06.04,HD현대중공업,HD현대중공업이 세계 최고 조선기술로 'K-방산'의 명성을 바다로 확장합니다.
2023.06.08,HD현대중공업,"HD한국조선해양은 지난 7일 영국 로이드선급(LR), 노르웨이 해운사 크누센, HD현대중공업과 17만4천㎥급 액화천연가스(LNG) 운반선의 전 생애주기 탄소 배출량 산출에 관한 업무협약(MOU)을 체결했습니다."
2023.06.08,HD현대중공업,이곳에서 HD현대중공업 또한 부스를 꾸려 정면 대결의 판도 제대로 깔았습니다.
2023.06.02,HD현대중공업,HD현대중공업이 건조해 지난 2022년 인도한 200K LNG운반선의 시운전 모습 ⓒ HD현대 실적개선 사이클에 돌입한 조선업계가 인력난 리스크를 극복하고 순항을 이어갈 수 있을지 이목이 집중됩니다.
2023.06.10,HD현대중공업,"HD현대중공업(대표 한영석, 이상균)은 지난 6월 7일(수)부터 9일(금)까지 부산 벡스코 제1전시장에서 개최된 '제13회 국제해양방위산업전(MADEX 2023)'에 참가했다고 밝혔습니다."
2023.06.07,HD현대중공업,HD현대중공업이 세계 최고 조선기술로 'K-방산'의 명성을 바다로 확장합니다.
2023.06.06,HD현대중공업,"현대중공업그룹의 경우 2017년 4월 현대중공업을 인적분할해 지주사인 현대중공업지주(현 HD현대)와 현대중공업, 현대건설기계, 현대일렉트릭 등 4개 회사로 나눴습니다."
2023.06.07,HD현대중공업,HD현대중공업이 세계적인 방산 기술력을 보유한 영국의 밥콕과 'K-잠수함' 수출을 위한 협력에 나섭니다.
2023.06.05,HD현대중공업,이번 국제해양방위산업전에는 한화오션의 수상함 분야 경쟁사 HD현대중공업도 참가하는 만큼 '수상함 명가'로서 자존심을 건 기술력 경쟁도 치열하게 펼쳐질 것으로 보입니다.
2023.06.01,HD현대중공업,HD현대중공업은 1조2392억원 규모의 컨테이너선 5척 수주 계약을 체결했다고 1일 공시했습니다.
2023.06.08,HD현대중공업,NH투자증권이 8일 HD현대중공업에 대해 하반기부터 실적 개선이 본격적으로 이뤄질 것으로 예상했습니다.
2023.06.09,HD현대중공업,관련업계에 따르면 7일 부산 벡스코에서 개최된 마덱스에서 HD현대중공업과 한화오션 간의 미묘한 신경전이 펼쳐졌습니다.
2023.06.06,HD현대중공업,"지난 5일 장마감을 기준으로 두산에너빌리티, LG에너지솔루션, HD현대중공업 등의 종목이 외국인 순매수 거래가 활발했던 것으로 집계됐습니다."
2023.06.03,HD현대중공업,이곳 센터에서 만들어지는 선박 부품은 울산에 조선소가 있는 HD현대중공업이 사용합니다.
2023.06.04,HD현대중공업,'차세대 한국형 구축함(KDDX)' 비롯해 무인전력지휘통제함·한국형 항함 모형도 수출용 원해경비함(OPV) 개발…해외시장 공략 HD현대중공업이 세계 최고 조선기술로 'K-방산'의 명성을 바다로 확장합니다.
2023.06.13,HD현대중공업,HD현대중공업은 지난해 8월 태국 고용노동부를 공식 방문한 자리에서 장·차관 등 태국 정부 주요 관계자에게 부산엑스포 지지를 요청했습니다.
2023.06.02,HD현대중공업,올 1분기에도 HD한국조선해양·HD현대중공업 등은 전년비 50% 늘어난 연구개발비용을 집행한 것으로 전해졌습니다.
2023.06.04,HD현대중공업,HD현대중공업이 세계 최고 조선기술로 'K-방산'의 명성을 바다로 확장합니다.
2023.06.10,HD현대중공업,"LIG넥스원, 한국항공우주산업(KAI) 등이 대거 참석했습니다."
2023.06.12,HD현대중공업,주요 고객사는 HD현대중공업과 현대미포조선 등으로 이들에게 '데크하우스'를 만들어 공급하고 있습니다.
2023.06.05,HD현대중공업,5일 코스피 시가총액 상위 30개 종목 가운데 HD현대중공업 주가가 종가 기준으로 가장 크게 움직였습니다.
2023.06.01,HD현대중공업,사진=HD현대 HD현대의 조선 중간 지주사인 HD한국조선해양이 총 1조2392억 원 규모의 선박 5척을 수주했습니다.
