날짜,기업이름,요약내용
2023.06.03,HMM,HMM이 유럽과 미주 노선에서 탄소 배출을 가장 적게 한 선사로 꼽혔습니다.
2023.06.02,HMM,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG..."
2023.06.02,HMM,"'옛주인' HMM, 현대LNG해운 인수전 뛰어들었다"
2023.06.02,HMM,"이어 팬오션(39만5901주), 포스코인터내셔널(29만824주), DB하이텍(23만4972주), SK하이닉스(23만4949주), HMM(20만9396주), 포스코퓨처엠(18만915주), 메리츠금융지주(17만8787주), LG디스플레이(16만2261주), 기업은행(14만9076주) 순으로 뒤를 이었습니다."
2023.06.08,HMM,HMM 공매도 거래량이 전거래일 보다 20만202건 증가했습니다.
2023.06.02,HMM,"지중해 노선은 TEU당 1636달러로 13달러, 0.79% 떨어졌습니다."
2023.06.04,HMM,국내 최대 액화천연가스(LNG) 수송 선사인 현대LNG해운이 '옛주인' HMM(011200)의 품에 안길 지 결과가 주목되고 있습니다.
2023.06.08,HMM,HMM은 매각시 의무공개매수제도가 시행되면 수혜를 받을 것이라는 기대감에 주가가 나흘째 상승세를 보이고 있습니다.
2023.06.01,HMM,KOSPI 200 Closing Price List-3
2023.06.01,HMM,생애 김경배는 HMM 대표이사 사장입니다.
2023.06.07,HMM,"이어 기아(41만6067주), HMM(32만6918주), 포스코인터내셔널(28만2365주), HD현대인프라코어(24만3986주), SK하이닉스(20만5557주), 삼성중공업(18만8308주), LG디스플레이(17만7893주), 휠라홀딩스(12만6900주), DB하이텍(12만1804주) 순으로 뒤를 이었습니다."
2023.06.05,HMM,HMM이 해외 매각 반대 여론에 힘입어 현대LNG해운 인수전에 뛰어들었습니다.
2023.06.01,HMM,"HMM, '아시아-유럽 탄소 배출 가장 적은 선사' 꼽혀 HMMDL 지난해 아시아-유럽 구간에서 탄소를 가장 적게 배출한 선사로 선정됐습니다."
2023.06.05,HMM,"해운주에선 HMM(1.99%), 대한해운(2.48%), 팬오션(4.24%) 등이 올랐습니다."
2023.06.02,HMM,옛 주인인 HMM이 국내 최대 LNG 수송 선사인 현대LNG해운 되찾기에 나섰습니까?
2023.06.08,HMM,"특히, HMM은 매출 1위인 미주 노선 장기계약 운임이 올해 대폭 낮아졌을 가능성이 높습니다."
2023.06.05,HMM,삼부토건 공매도 '3일 연속 증가' 거래량 3256건... 주가 '어깨춤 들썩들썩'
2023.06.03,HMM,"HMM, 현대LNG해운 본입찰 참여 HMM이 국내 최대 액화 천연가스(LNG) 수송 선사 현대LNG해운 인수 본입찰에 뛰어듭니다."
2023.06.04,HMM,국내 대표 해운선사인 HMM이 국내 최대 액화천연가스(LNG) 수송 선사인 현대LNG해운 인수전에 뛰어듭니다.
2023.06.08,HMM,김경배 HMM 대표이사 사장이 해운 운임 반등에 수익성 하락을 방어하는 데 한숨 돌릴 수 있을 것으로 보입니다.
2023.06.01,HMM,연합뉴스] 5월 수입액은 543억4000만달러로 작년 동월보다 14% 감소했습니다.
2023.06.01,HMM,HMM、欧州·米州路線で炭素排出量「最優秀」評価
2023.06.05,HMM,"이어 삼성전자(48만8382주), HD현대인프라코어(30만7220주), 삼성중공업(27만6174주), 한화생명(21만7985주), DB하이텍(16만7578주), 우리금융지주(14만2317주), 대우조선해양(13만7976주), HMM(12만6716주), 포스코퓨처엠(12만714주) 순으로 뒤를 이었습니다."
2023.06.01,HMM,그룹사 자금 대여 외 '타법인 주식 취득'에 대한 사외이사 반대의견은 SM상선이 HMM 지분을 집중적으로 취득한 지난해 4월 28일~6월 10일 이후인 2022년 6월 23일 개최한 이사회에서 제기됐습니다.
2023.06.02,HMM,HMM이 유럽과 미주 노선에서 탄소 배출 저감 노력을 인정받으며 친환경 선사로의 위상을 강화하고 있습니다.
2023.06.07,HMM,KOSPI 200 Closing Price List-3
2023.07.05,HMM,"마린머니는 2019년에 HMM의 2만3000TEU(1TEU=20피트 컨테이너 1개)급 컨테이너선 12척, 2020년 HMM의 1만6000TEU급 컨테이너선 8척, 그리고 2022년 카타르 가스와 국내 해운선사 3사 컨소시엄의 액화천연가스(LNG)운반선 15척 등 3건에 대한 공사 지원을 각각 올해의 딜로 선정했습니다."
2023.06.02,HMM,HMM tasked with preventing sale of Hyundai LNG to foreign firm
2023.07.16,HMM,HMM이 연내 매각을 완료하기 위한 단계로 이달 매각 공고를 낼 계획으로 전해지고 있습니다.
2023.06.03,HMM,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
