날짜,기업이름,요약내용
2023.06.01,KB금융,KB금융그룹 차기 회장 선임 시기가 다가오면서 금융권의 시선이 쏠립니다.
2023.06.01,KB금융,"KB금융경영연구소가 발표한 '2021 한국반려동물보고서'에 따르면,반려동물을 키우는 가구는 약 604만 가구로 국내 10가구 중 3가구가 반려동물과 함께 살고 있습니다."
2023.06.01,KB금융,"사진=KB증권 금융위원회가 라임펀드 사태 관련 제재 수위를 놓고 막판 고민 중인 것으로 알려지면서, 박정림 KB증권 사장이 윤종규 KB금융 회장을 이을 차기 회장 후보군에서 제외되는 것 아니냐는 전망이 나오고 있습니다."
2023.06.01,KB금융,<비즈니스포스트> 김 부대표가 KB금융지주 글로벌사업본부장을 맡다가 캄보디아에 온 것도 프라삭과 KBC의 순조로운 합병을 진행하기 위합니다.
2023.06.01,KB금융,"KB부동산신탁 관계자는 ""신뢰를 바탕으로 토지등소유주분들과의 긴밀한 소통이 있어 가능했다""며 ""우수한 재무안정성 및 KB금융그룹 네트워크를 바탕으로 믿고 맡길 수 있는 든든한 파트너로서 역할을 다하겠다""고 말했습니다."
2023.06.01,KB금융,KB손해보험이 이달 'KB'라는 새 간판을 달고 야심차게 출범한 지 8주년을 맞이합니다.
2023.06.01,KB금융,"문제는 ""[삼일절]은 한민족이 일본의 식민통치에 항거하고, 독립선언서를 발표하여 한국의 독립의사를 세계 만방에 알린 날을 기념하는 국경일이다""의 O, X를 묻는 질문으로 정답은 'o였습니다."
2023.06.01,KB금융,"""KB부코핀은행은 단순히 국민은행의 해외 자회사가 아닌 KB금융그룹 글로벌 전략의 핵심입니다."
2023.06.01,KB금융,KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트입니다.
2023.06.01,KB금융,이 과정에서 증권사 최초 여성 대표이사이자 KB금융지주 경영진 임기 전례를 깨고 3연임에 성공한 박정림 KB증권 대표의 역량이 돋보였습니다.
2023.06.02,KB금융,KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트입니다.
2023.06.02,KB금융,"기존 KG캐피탈의 상근감사였던 양재영 전 KB국민은행 경기남지역 영업그룹대표와 기타비상무이사였던 최재원 KB캐피탈 여신운영본부 부사장, 김인환 KB캐피탈 자동차금융본부장 등 KB금융그룹 관련 인사 모두 KG캐피탈 이사회에서 사임했습니다."
2023.06.02,KB금융,KB금융에 따르면 KB라이프생명은 올해 1분기 937억원의 순이익을 기록했습니다.
2023.06.02,KB금융,"KB금융경영연구소가 발표한 '2021 한국반려동물보고서'에 따르면, 반려동물을 키우는 가구는 약 604만 가구로 국내 10가구 중 3가구가 반려동물과 함께 살고 있고, 반려동물을 키우는 인구는 약 1448만 명으로 전체 인구의 28%에 달하는 것으로 추정됩니다."
2023.06.02,KB금융,사진=KB국민은행 KB국민은행은 서울시와 함께 '서울 청년 금융 데이터'를 공동 개발한다고 2일 밝혔습니다.
2023.06.02,KB금융,"문제는 ""[삼일절]은 한민족이 일본의 식민통치에 항거하고, 독립선언서를 발표하여 한국의 독립의사를 세계 만방에 알린 날을 기념하는 국경일이다""의 O, X를 묻는 질문으로 정답은 'o였습니다."
2023.06.02,KB금융,이제 금융업계 관심은 하반기 윤종규 회장의 임기 만료를 앞두고 있는 KB금융에 쏠리고 있습니다.
2023.06.02,KB금융,에프엔가이드가 예측한 올해 가장 많은 이자수익을 거두는 곳은 26조482억원의 이자익을 기록할 것으로 예상된 KB금융입니다.
2023.06.04,KB금융,"KB금융그룹은 반려동물의 첫 맞이 과정부터 양육, 장례까지 전 생애에 걸친 행복한 반려생활을 위한 필수 조건들을 짚어보는 '2023 한국 반려동물 보고서'를 발간했다고 4일 밝혔습니다."
2023.06.02,KB금융,8언더파는 지난해 이예원(20·KB금융그룹) 등이 1라운드에서 기록한 코스레코드 타이기록입니다.
2023.06.04,KB금융,KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트입니다.
2023.06.04,KB금융,이러한 성과를 KB금융지주에서도 성공적 해외 진출 사례로 여겨 그룹 최고 공로상인 KB스타상을 수여하기도 했습니다.
2023.06.04,KB금융,스카이데일리 이건혁기자 = ▲ 4일 KB금융지주 경영연구소가 발표한 '2023한국반려동물 보고서'에 따르면 반려동물에 만족한다는 가구는 전체 반려가구의 67.3이었습니다.
2023.06.04,KB금융,"배용준은 이번 시즌 7개 대회에 출전해 5번 컷 통과했고, 지난주 KB금융 리브챔피언십(공동 4위)과 DB손해보험 프로미오픈(단독 5위), 골프존 오픈(공동 8위)에서 세 차례 톱10에 들었습니다."
2023.06.04,KB금융,4일 KB금융지주경영연구소가 발간한 '223년 한국 반려동물 보고서'에 따르면 한국의 반려견 가구가 가장 선호하는 견종은 몰티즈(25.9%)인 것으로 조사됐습니다.
2023.06.04,KB금융,"문제는 ""[삼일절]은 한민족이 일본의 식민통치에 항거하고, 독립선언서를 발표하여 한국의 독립의사를 세계 만방에 알린 날을 기념하는 국경일이다""의 O, X를 묻는 질문으로 정답은 'o였습니다."
2023.06.05,KB금융,"'KB STAR WM'은 KB금융그룹의 노하우와 네트워크를 기반으로 부동산, 세무, 법률, 은퇴, 상속 등 다양한 비즈니스 영역의 종합금융 컨설팅을 제공하고 있습니다."
2023.06.05,KB금융,이날 가장 큰 상승률을 보인 종목은 KB금융입니다.
2023.06.05,KB금융,KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트입니다.
2023.06.05,KB금융,"AP신문(AP뉴스)/ 이미지 제공 = KB금융지주 ▲한국의 지역별 반려가구 현황 KB금융그룹(회장 윤종규)은 반려동물의 첫 맞이 과정부터 양육, 장례까지 전생애에 걸친 행복한 반려생활을 위한 필수 조건들을 짚어보는 '2023 한국 반려동물 보고서'를 발간했다고 4일 밝혔습니다."
2023.06.06,KB금융,KB페이 오늘의 퀴즈를 풀면 얻을 수 있는 포인트리는 KB금융그룹 통합 포인트입니다.
