날짜,기업이름,요약내용
2023.06.01,KT&G,"KT&G장학재단, 경찰대학 교육진흥재단과 글로벌 인재 양성 위한 MOU 체결 KT&G장학재단은 경찰대학 교육진흥재단과 5월 31일 '글로벌 인재 양성을 위한 업무협약'을 체결했다고 1일 밝혔습니다."
2023.06.11,KT&G,"한편 사천시 공공기관단체장 협의회는 한국농어촌공사, 한국전력공사, 한국수자원공사, 한국공항공사, 한국국토정보공사, 국민건강보험공단, 한국산업단지공단, 국림공원공단, 한국남동발전(주), KT, KT&G, 농협중앙회 사천시지부 등 12개 기관으로 구성됐습니다."
2023.06.07,KT&G,KT&G(케이티앤지)가 인도네시아에 이어 카자흐스탄 최대 도시 알마티에 'KT&G 한국어학당'을 열었다고 7일 밝혔습니다.
2023.06.01,KT&G,"KT&G장학재단, 경찰대학 교육진흥재단과 인재 양성에 맞손 KT&G장학재단이 경찰대학 교육진흥재단과 지난 5월31일 '글로벌 인재 양성을 위한 업무협약(MOU)'을 체결했습니다."
2023.06.11,KT&G,영남통신사 #8 [KT&G 상상마당 부산 라이브홀] 음악 교류 투어 '영남통신사' 8번째 부산 공연은 KT&G 상상마당 부산과 함께합니다.
2023.06.02,KT&G,"KT&G장학재단, 경찰대학 교육진흥재단과 글로벌 인재 양성 위한 MOU 체결 KT&G장학재단이 경찰대학 교육진흥재단과 지난 5월 31일 '글로벌 인재 양성을 위한 업무협약(MOU)'을 체결했습니다."
2023.06.04,KT&G,KT&G 상상마당은 6월부터 11월까지 매월 마지막 주 금요일 19시 30분부터 22시까지 무료 특강 <상상마당 홈커밍데이 : 상상마당 출신 아티스트 토크>를 개최합니다.
2023.06.06,KT&G,"포스코홀딩스를 포함해 네이버, KT&G, LG이노텍, SKC, 한국가스공사 등 총 6개 기업이 준수율 93%를 기록했습니다."
2023.06.02,KT&G,"KT&G,상상마당 홍대,롯데백화점,리얼스,환경 6월 5일은 환경의 날입니다."
2023.06.04,KT&G,"SBS는 안양을 연고지로 KBL리그에 참여했고, 팀명이 KT&G와 KGC로 바뀌었지만 연고지는 옮기지 않았습니다."
2023.06.05,KT&G,이 기간 동안 제품 전환이 잘 이뤄졌을 경우 올해 추가적인 점유율 상승이 기대됩니다.
2023.06.05,KT&G,KOSPI 200 Closing Price List-3
2023.06.01,KT&G,"KT&G 임직원 가족의 모습/KT&G 정부가 돌봄 인프라 확충, 일·가정 양립 지원, 양육비 경감 등 5대 핵심과제를 발표하며 저출산 대응에 총력전을 예고한 가운데 다수의 기업이 사회적 변화에 발맞춰 출산·양육 장려 복지를 실시하고 있습니다."
2023.06.02,KT&G,"이날 내·외빈으로는 주한 미8군 사령관, 한국군지원단 지역대장, KT&G 홍보실장 등이 참석했으며, 가수 스텔라 장과 걸그룹 퀸즈아이 등이 무대에 올라 관객들의 큰 호응을 얻었습니다."
2023.06.01,KT&G,"IBK투자증권은 1일 KT&G에 대해 ""담배 원가 부담이 당분간 이어질 것으로 예상된다""면서도 ""하반기 릴 하이브리드 신제품 출시로 국내 전자담배 시장 지배력을 강화하는 한편 신규 진출 국가 확대 기대감이 유효하다""고 평가했습니다."
2023.06.02,KT&G,"지난 2월 말 기준 삼성전자(17.36%), KT&G(3.98%), 현대차2우B(3.54%), LS(1.91%), HD현대(1.89%) 등 고배당주 및 저평가 가치주에 주로 투자하고 있습니다."
2023.06.04,KT&G,"(560억원), SK이노베이션(520억원), 삼성전기(349억원)등을 순매수한 반면 POSCO홀딩스(1349억원)를 비롯해 LG화학(985억원), 엔씨소프트(574억원), 현대차(563억원), KB금융(479억원), 삼성전자우(420억원), KT&G(334억원), 신세계(317억원), DB하이텍(303억원), 신한지주(262억원)등을 매도했습니다."
2023.06.02,KT&G,"여기에 춘천시립청소년도서관을 비롯해 MBC 춘천방송국, KBS 춘천방송국, KT&G 상상마당 춘천아트센터, 강원국악예술회관, 춘천문화예술회관, 메가박스 남춘천점 등 문화 관련 시설도 가까이에 마련돼 있습니다."
2023.06.04,KT&G,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.02,KT&G,IBK투자증권은 2일 KT&G에 대해 2분기 실적은 시장 기대치에 부합할 전망이라고 전했습니다.
2023.06.06,KT&G,"1개 항목을 제외한 14개를 준수한 기업으로는 네이버, KT&G, LG이노텍, SKC, 한국가스공사 등 5개 기업입니다."
2023.06.02,KT&G,KT&G 상상마당은 6월부터 11월까지 매월 마지막 주 금요일 19시 30분부터 22시까지 무료 특강 '상상마당 홈커밍데이 : 상상마당 출신 아티스트 토크'를 개최한다고 최근 밝혔습니다.
2023.06.07,KT&G,(자료=KT&G) KT&G가 카자흐스탄 알마티에 'KT&G 한국어학당'을 개관해 현지인 대상 한국어 교육과 장학지원 등 글로벌 인재육성에 나섭니다.
2023.06.01,KT&G,KT&G 시절까지 포함한 감독 통산 전적은 805경기 403승 402패 승률 .501입니다.
2023.06.03,KT&G,김상욱 통신원 = 라종억 통일문화연구원 이사장이 3일(현지시간) 카자흐스탄 알마티 KT&G 한국어학당에서 열린 개원식에 참석해 축사하고 있습니다.
2023.06.06,KT&G,국가균형발전위원회 세종시대 출범식이 지난 4월 4일 오후 세종 KT&G타워 균형위 대회의실에서 열렸습니다.
2023.06.05,KT&G,세종시가 오는 7월 어진동 KT&G 건물 6층에 개소할 예정인 '사회적기업 성장지원센터'에 입주할 기업 50곳을 오는 23일까지 모집한다고 5일 밝혔습니다.
2023.06.05,KT&G,Stocks favored by individual investors yield negative returns in May
2023.06.03,KT&G,오늘(3일) 카자흐스탄 알마티시에서 중앙아시아 통일과나눔 아카데미 KT&G 한국어학당 개원식이 열렸습니다.
2023.06.03,KT&G,김상욱 통신원 = 중앙아시아 카자흐스탄에 한국어 교육과 한류 확산 역할을 맡게 될 'KT&G 한국어학당'이 3일(현지시간) 문을 열었습니다.
2023.06.01,KT&G,KOSPI 200 Closing Price List-4
2023.06.07,KT&G,KT&G는 카자흐스탄의 최대도시 알마티에 'KT&G 한국어학당'을 개관했다고 7일 밝혔습니다.
2023.06.04,KT&G,[부산 공연] 이번 주에 뭐 볼까? [2023년 6월 5~11일]
2023.06.05,KT&G,"KT&G의 뷰티 브랜드 동인비가 피부에 촉촉하게 스며들어 3초만에 입체윤기 피부를 완성하는 워터 타입의 오일 에센스, '1899 워터리 오일 에센스'를 출시합니다."
2023.06.03,KT&G,오늘(3일) 카자흐스탄 알마티시에서 중앙아시아 통일과나눔 아카데미 KT&G 한국어학당 개원식이 열렸습니다.
2023.06.01,KT&G,KT&G장학재단이 경찰대학 교육진흥재단과 지난 5월 31일 '글로벌 인재 양성을 위한 업무협약(MOU)'을 체결했습니다.
2023.06.08,KT&G,"KT&G, 인니 이어 카자흐스탄에 두 번째 'KT&G 한국어학당' 개관 KT&G가 중앙아시아 국가인 카자흐스탄의 최대도시 알마티에 'KT&G 한국어학당'을 개관했습니다."
2023.06.11,KT&G,장 신임 대표이사는 MDM·KT&G 부동산사업본부·CJ건설·정림건축 등을 거쳐온 부동산 디벨로퍼로 적극적인 신규사업 추진과 사업 포트폴리오 다각화를 통해 HDC아이앤콘스의 본업 경쟁력을 강화하며 지속 가능한 성장을 이끌 적임자로 평가받습니다.
2023.06.02,KT&G,KOSPI 200 Closing Price List-4
2023.06.03,KT&G,지난해 KT&G에 전자담배 시장 1위 자리를 내어준 한국필립모리스는 11월 들어 일루마 시리즈를 출시 후 올해 1월 서울 지역에서 1위 자리를 탈환했습니다.
2023.06.08,KT&G,"KT&G 남서울본부 왕선규 위원장, (우)KT&G 북서울본부 나균희 위원장 사회적협동조합 돋움발 축구단이 진행하는 '렛츠비 세이프' 캠페인의 1호 2호 기부자인 KT&G 남서울본부 왕선규 위원장과 KT&G 북서울본부 나균희위원장이 동시에 이름을 올렸다고 8일 밝혔습니다."
2023.06.07,KT&G,KT&G는 중앙아시아 국가인 카자흐스탄의 최대도시 알마티에 'KT&G 한국어학당'을 개관했다고 7일 밝혔습니다.
2023.06.02,KT&G,충북 KT&G 상상유니브 '레트로 페스티벌' 성황
2023.06.05,KT&G,"KT&G는 이런 추세에 발맞춰 임직원 출산양육에 따른 지원제도를 마련, 운용 중이라고 5일 밝혔습니다."
2023.06.07,KT&G,"이상학 KT&G 지속경영본부장(오른쪽 세 번째)과 박내천 주알마티 총영사(왼쪽 첫 번째), 라종억 통일문화연구원 이사장(왼쪽 세 번째) 등 관계자들이 알마티 한국어학당 개원식을 가졌습니다."
2023.06.01,KT&G,중부매일 장중식 기자〕KT&G의 인재양성 프로젝트가 빛났습니다.
2023.06.04,KT&G,"KT&G(033780)는 인도네시아에서 소외계층 지원, 미래세대 육성, 긴급 구호 진행 등 활발한 사회공헌 활동을 펼치고 있다고 2일 밝혔습니다."
2023.06.01,KT&G,KT&G의 해외 수출 호조와 주주환원책이 주가 흐름에 긍정적인 영향을 미칠 것이란 전망이 제기됐습니다.
2023.06.04,KT&G,오는 9월 3일까지 KT&G 상상마당 부산 5F 갤러리에서 진행되는 전시는 요시고의 첫 국내 투어 전으로 기획됐습니다.
