날짜,기업이름,요약내용
2023.06.07,KT,"KT가 한국사회가치연대기금, 임팩트스퀘어와 '2023년 KT 따뜻한 기술 더하기 챌린지' 지원 기업 6곳과 업무협약(MOU)을 체결했다고 7일 밝혔습니다."
2023.06.02,KT,"KT, 축제 빅데이터서비스 출시…""이태원참사 경각심 반영"""
2023.06.03,KT,4연패에 빠진 프로야구 최하위 kt wiz가 하루에 1군 선수 5명을 2군으로 내려보내는 특단의 조처를 했습니다.
2023.06.06,KT,KT 위즈가 고영표의 퀄리티스타트+(7이닝 이상 3자책 이하) 호투와 이호연의 결승타에 힘입어 3연승을 달렸습니다.
2023.06.09,KT,"KT가 차기 대표이사(CEO) 자격요건을 기업경영 전문성, 리더십, 커뮤니케이션 역량, 산업 전문성 등 네 가지로 바꾸겠다는 개정안을 내놓았습니다."
2023.06.03,KT,KT 위즈는 수원 KT위즈파크에서 열린 두산 베어스와의 홈경기에서 17안타를 터뜨려 13-3으로 승리했습니다.
2023.06.11,KT,KT는 라온 캐릭터에 대체불가토큰(NFT)을 연계한 'KT민클x라온' NFT 프로젝트의 2차 발행을 추진한다고 11일 밝혔다. 라온(Raon)은 '즐거움'을 뜻하는 순우리말로 일상의 즐거움을 주는 고양이 형태 캐릭터입니다.
2023.06.08,KT,사진 | KT KT는 상명대 창의예술 영재교육원과 함께 초등생 영재를 대상으로 AI 창의융합형 인재 양성에 나선다고 8일 밝혔습니다.
2023.06.06,KT,3번타자 겸 우익수로 선발출전해 KT 선발투수 고영표를 상대합니다.
2023.06.06,KT,KT가 4대1로 승리하며 3연승을 달렸습니다.
2023.06.06,KT,롯데 자이언츠가 리그 최하위 KT 위즈에 또 한 번 발목을 잡혔습니다.
2023.06.07,KT,LS전선이 해상풍력 발전 사업 확장에 속도를 내자 자회사 KT서브마린을 향한 시장 기대치도 한층 높아지는 모습입니다.
2023.06.10,KT,10일 오후 수원 KT위즈파크에서 2023 신한은행 SOL KBO리그 KT 위즈와 키움 히어로즈의 경기가 열렸습니다.
2023.06.02,KT,뉴스토마토 = 이지은 기자 | 지난 2021년 KT그룹으로 편입된 독서 플랫폼 밀리의 서재가 기업공개(IPO) 절차에 돌입합니다.
2023.06.03,KT,13대3 대승을 거둔 KT 선수들이 기쁨을 나누고 있습니다.
2023.06.01,KT,KT그룹의 일감몰아주기 의혹을 수사하고 있는 검찰이 하청업체 KDFS의 황욱정 대표 자녀들이 허위고용된 정황을 파악한 것으로 알려졌습니다.
