날짜,기업이름,요약내용
2023.06.17,LG,최근 조주완 LG전자 사장이 공격적으로 자사주 매입에 나서고 있습니다.
2023.06.23,LG,프로농구 창원 LG는 22일 연고지 사회복지기관 동보원에 600만원 상당의 LG전자 텔레비전과 공기청정기를 기부했다고 23일 밝혔습니다.
2023.06.17,LG,2023 KBO리그 LG 트윈스와 두산 베어스의 경기가 17일 잠실구장에서 열렸습니다.
2023.06.17,LG,사진=LG트윈스 제공 프로야구 LG는 오는 23일부터 25일까지 진행되는 롯데와의 주말 시리즈에서 '2023 땡큐 솔저스데이'를 진행합니다.
2023.06.20,LG,LG생활건강(051900)은 6·25전쟁 정전 70주년인 올해에도 조국을 위해 헌신한 참전용사들에게 생활용품과 건강기능식품을 지원하는 '사랑의 희망박스' 후원을 이어간다고 20일 밝혔습니다.
2023.06.23,LG,23일 오후 서울 송파구 잠실야구장에서 '2023 프로야구' 롯데 자이언츠와 LG 트윈스의 경기가 열렸습니다.
2023.06.14,LG,14일 잠실야구장에서 열린 프로야구 LG와 삼성의 경기가 LG의 3대2 승리로 끝났습니다.
2023.06.17,LG,5위 두산은 17일 서울 잠실구장에서 열린 LG 트윈스 원정 경기를 7-4로 승리했습니다.
2023.06.16,LG,2만5000석 규모의 잠실야구장에서는 두산 베어스와 LG 트윈스의 프로야구 경기도 양일간 이어집니다.
2023.06.24,LG,[프로야구 잠실전적] LG 9-1 롯데
2023.06.23,LG,LG 부스에서 살펴본 전기차 옴니팟의 기능입니다.
2023.06.22,LG,LG에너지솔루션의 첫 회사채 수요예측에서 목표액의 약 10배인 4조7000억원의 자금이 몰렸습니다.
2023.06.15,LG,삼성 라이온즈에 스윕(3연전 전승)을 달성하고 선두를 탈환한 LG 트윈스 염경엽 감독이 승리를 책임진 마운드와 타선의 조화에 박수를 보냈습니다.
2023.06.16,LG,LG(003550)가 2030년 세계박람회(엑스포) 개최지 선정 프레젠테이션을 위한 국제박람회기구(BIE) 총회가 열리는 프랑스 파리에서 부산엑스포 유치전에 나섰습니다.
2023.06.24,LG,LG가 홈 매진 관중 앞에서 롯데 상대로 전날 패배를 설욕했습니다.
2023.06.19,LG,프로농구 창원 LG가 조상현 감독과 2026년까지 동행하기로 했습니다.
2023.06.18,LG,LG 선발투수 플럿코가 18일 잠실야구장에서 열린 2023 KBO리그 두산과 경기 7회 투구 후 덕아웃으로 들어오며 팬들에 인사를 하고 있습니다.
2023.06.18,LG,18일 오후 서울 잠실야구장에서 열린 2023 프로야구 두산 베어스와 LG 트윈스의 경기에서 15-3으로 승리한 LG 선수들이 기뻐하고 있습니다.
2023.06.14,LG,삼성전자와 LG전자가 북미 최대 디스플레이 전시회 '인포콤(Infocomm) 2023'에서 차세대 디스플레이를 공개합니다.
2023.06.24,LG,LG 트윈스 멀티 내야수 손호영이 올해 1군에 처음으로 등록하자마자 선제 결승 3점 홈런을 터뜨리고 팀의 대승을 이끌었습니다.
2023.06.22,LG,프라이버시 강화 기술 스타트업 디사일로(대표 이승명)가 LG전자로부터 전략 투자를 유치했다고 22일 밝혔습니다.
2023.06.23,LG,LG화학이 석유화학 업황 악화로 사업 재편에 속도를 내고 있습니다.
2023.06.15,LG,"우리나라의 삼성전자와 LG디스플레이, 일본의 소니도 공급업체에 이름을 올렸습니다."
2023.06.16,LG,LG유플러스는 탄소 중립 경영을 위해 코로나19 방역 조치 시 사용된 플라스틱 가림막을 회수해 재활용한다고 16일 밝혔습니다.
2023.06.23,LG,23일 오후 서울 송파구 잠실야구장에서 열린 프로야구 '2023 신한은행 SOL KBO리그' 롯데 자이언츠와 LG 트윈스의 경기에서 LG 선발투수 켈리가 역투하고 있습니다.
2023.06.17,LG,17일 오후 서울 송파구 잠실야구장에서 '2023 프로야구' 두산 베어스와 LG 트윈스의 경기가 열렸습니다.
2023.07.14,LG,AI연구원과 특허청은 14일 서울 강서구 마곡 LG사이언스파크에서 '특허 전용 초거대 AI 모델 구축을 위한 업무 협약'을 체결했다고 밝혔습니다.
2023.06.14,LG,14일 오후 서울 잠실야구장에서 열린 2023 프로야구 삼성 라이온즈와 LG 트윈스의 경기에서 3-2로 승리한 LG 선수들이 기뻐하고 있습니다.
2023.06.14,LG,박명근 2위 LG 트윈스가 7명의 투수를 투입하는 '벌떼 작전'을 펼치며 삼성 라이온즈를 꺾고 3연승을 달렸습니다.
2023.06.22,LG,국내서 출시하자마자 완판 행진을 이어가고 있는 'LG 스탠바이미 고(StanbyME GO)'가 이르면 다음달부터 해외 시장에도 선보여질 것으로 보입니다.
2023.06.21,LG,프로야구 LG 트윈스가 어제의 패배를 설욕했습니다.
2023.06.20,LG,"LG유플러스, 냉방 전력 소모량 72% 줄인 ‘ESG 기지국’ 실증"
2023.06.21,LG,LG전자가 영국의 비영리 소비자매체 '위치'가 주관하는 위치 어워드(Which Awards)에서 4년 연속 '올해의 홈 엔터테인먼트 브랜드'로 선정됐다고 21일 밝혔습니다.
2023.06.21,LG,"LGU+, 챗GPT로 서비스 경쟁력↑ LG유플러스(032640)는 기업 솔루션 통합 판매 포털 'U+비즈마켓' 공식 웹사이트와 본인인증 간편인증 서비스 'PASS by U+' 앱에 AI챗봇 서비스 '챗GPT'를 도입합니다."
2023.06.14,LG,LG전자(066570)는 프리미엄 홈 시네마에 적합한 136형부터 8K 해상도 272형에 이르는 다양한 마이크로 LED 사이니지 LG 매그니트 라인업을 선보입니다.
2023.06.24,LG,24일 오후 서울 송파구 잠실야구장에서 '2023 프로야구' 롯데 자이언츠와 LG 트윈스의 경기가 열립니다.
2023.06.16,LG,LG 트윈스가 '잠실 라이벌' 두산 베어스를 꺾고 파죽의 5연승을 달렸습니다.
2023.06.21,LG,9회 말 LG 고우석이 역투하고 있습니다.
2023.06.22,LG,"LGU+, 라이브커머스 개통 건수 전년比 172%↑ LG유플러스(032640)는 올해 1월부터 현재까지 공식 라이브커머스 '유플러스LIVE'를 통해 스마트폰을 개통한 건수가 지난해 같은 기간 대비 172%로 증가했다 밝혔습니다."
2023.06.22,LG,"삼성은 지난해 8월부터 미국에서 자가 수리 프로그램을 운영해왔고 LG전자는 유럽에서 2021년 이후 판매된 TV, 모니터 등 제품을 대상으로 수리 부품 판매 및 수리 매뉴얼을 제공해왔습니다."
2023.06.20,LG,LG전자는 수제맥주 제조기 LG 홈브루로 즐기는 '마일드 IPA(인디아 페일 에일)' 캡슐 패키지를 출시했다고 20일 밝혔습니다.
2023.06.16,LG,"16일 대만 시장조사업체 트렌드포스에 따르면 1분기 글로벌 LCD 모니터 출하량은 2880만대로 전분기 대비 7.4... 3위 삼성전자와 5위 LG전자도 전분기 대비 각각 7.9%, 2.7% 증가했습니다."
2023.06.23,LG,"간담회에는 삼성전자, LG디스플레이, 현대자동차, 효성, 한화에어로스페이스, 하나마이크론, 대우건설, 신한은행, CJ, 율촌 등 12개 업체의 베트남 법인장이 참석했습니다."
2023.06.21,LG,LG유플러스(032640)는 비슷한 관심사를 가진 임직원들이 자발적으로 모여 소통하고 학습하는 커뮤니티 '링커스(Linkers)'를 신설했다고 21일 밝혔습니다.
2023.06.14,LG,1회초 LG 선발 이상영이 역투하고 있습니다.
2023.06.19,LG,LG그룹이 국제학회에서 인공지능(AI)가 이미지를 설명하는 '캡셔닝 AI'를 처음 공개했습니다.
2023.06.17,LG,17일 오후 서울 잠실구장에서 2023 신한은행 SOL KBO리그 LG 트윈스와 두산 베어스의 경기가 진행됐습니다.
2023.06.14,LG,"14일 서울 송파구 잠실야구장에서 열린 2023 KBO리그 삼성 라이온즈와 LG 트윈스의 경기, 3대2로 승리한 LG 마무리투수 백승현, 마무리투수 박동원, 김민성, 오지환, 오스틴 등 선수들이 기쁨을 나누고 있습니다."
2023.06.18,LG,LG유플러스가 서비스 이용 데이터에 기반해 고객들이 원하는 다양한 콘텐츠를 편리하게 이용할 수 있도록 모바일 포털 U+페이지(Page)를 개편했다고 18일 밝혔습니다.
2023.06.15,LG,삼성전자와 LG전자가 북미 최대 디스플레이 전시회에 참가해 자사 기술력을 뽐냅니다.
2023.07.18,LG,NC 다이노스와 LG 트윈스가 1대1 트레이드를 단행했습니다.
2023.06.18,LG,조주완 LG전자 최고경영자(CEO)가 본격적인 무더위를 앞두고 서비스 현장 점검에 나섰습니다.
2023.06.24,LG,프로야구 인기 구단인 롯데 자이언츠와 LG 트윈스의 맞대결에 만원 관중이 입장했습니다.
2023.06.15,LG,김희준 김주희 기자 = 6회에만 8점을 뽑아낸 LG 트윈스가 4연승을 질주하며 선두를 탈환했습니다.
2023.06.14,LG,LG전자가 14일(현지시각)부터 사흘간 미국 올랜도에서 열리는 상업용 디스플레이 전시회 '인포콤 2023'에 참가합니다.
2023.07.13,LG,구광모 LG그룹 회장이 상속세 일부가 과도하게 부과됐다며 과세당국을 대상으로 소송을 제기한 지 10개월여 만에 첫 변론기일이 열립니다.
2023.07.29,LG,LG 김현수가 29일 잠실 두산전에서 호수비를 펼친 후 밝게 웃으며 오지환과 하이파이브를 하고 있습니다.
2023.07.13,LG,삼성전자(005930)와 LG전자(066570)가 약 5000만원에 달하는 초(超)프리미엄 TV를 내놓으며 졍면 승부를 펼칩니다.
2023.07.13,LG,LG전자가 세계 최초 무선 올레드 TV인 'LG 시그니처 올레드 M(LG SIGNATURE OLED M· 97M3)'을 출시한다고 13일 밝혔습니다.
2023.07.15,LG,LG 트윈스에서 한솥밥을 먹었던 옛 동료가 별들의 축제에서 다시 뭉쳤습니다.
2023.07.14,LG,LG AI연구원이 특허청과 함께 '특허 전문가 AI' 개발에 나섰습니다.
2023.07.13,LG,이동통신사 LG유플러스가 SNS(Social Network Service) 플랫폼 베터(BETTER)를 만든 이유는 일상과 뗄 수 없는 통신 사업에 일상 서비스인 SNS를 연계한다면 사업 영역을 보다 쉽게 확장할 수 있을 것이라고 판단했기 때문입니다.
2023.07.20,LG,LG전자가 처음 선보이는 캡슐 커피머신을 50만원가량 저렴한 가격에 선보입니다.
2023.07.14,LG,14일 부산 사직구장에서 2023 신한은행 SOL KBO 퓨처스 올스타전 남부(상무·NC·삼성·롯데·KT·KIA)와 북부(한화·LG·고양(히어로즈)·SSG·두산)리그의 경기가 열렸습니다.
2023.06.26,LG,LG화학이 국내 최초로 하이니켈 단입자 양극재 양산에 돌입합니다.
2023.07.14,LG,11번가는 LG전자(066570)와 CJ제일제당(097950)의 두 번째 이색 협업 프로모션인 'LG X CJ 맛나다'를 오는 15일부터 21일까지 진행합니다.
2023.06.26,LG,LG화학이 국내 최초로 하이니켈 단입자(단결정) 양극재 양산에 돌입합니다.
2023.06.26,LG,구광모 LG그룹 회장이 오는 29일 취임 5주년을 맞습니다.
2023.06.25,LG,사진|LG전자 LG전자가 'LG 스탠바이미 클럽'을 서울 여의도 더현대 서울에 연다고 25일 밝혔습니다.
2023.07.13,LG,하지만 여전히 많은 회사들이 이걸 서류상으로만 만들어 놓고 제대로 운영하지 않고 있는데 최근 고용노동부가 LG전자에 대해서 시정 지시를 내렸습니다.
2023.07.15,LG,김범석(19·LG 트윈스)이 퓨처스리그 올스타전에서 MVP를 수상하며 후반기에 대한 기대감을 키웠습니다.
2023.06.26,LG,(홈)-LG트윈스(원정)전을 대상으로 하는 프로토 승부식 74회차 한경기구매 게임을 26일 오후 2시부터 발매한다고 밝혔습니다.
2023.07.16,LG,사진=LG전자 LG전자가 식물생활가전 LG 틔운과 틔운 미니에서 씨앗을 직접 심고 다 자란 식물은 화분으로 옮겨 즐기는 '모듈형 씨앗키트'를 17일 출시하며 반려식물 고객경험을 업그레이드합니다.
2023.07.16,LG,LG전자가 식물생활가전 LG 틔운과 틔운 미니에서 씨앗을 직접 심고 다 자란 식물은 화분으로 옮겨 즐기는 '모듈형 씨앗키트'를 17일 출시하며 반려식물 고객경험을 업그레이드합니다.
2023.07.14,LG,하지만 구 회장은 지난 5년간 LG그룹의 안정적인 성장을 이끌며 우려가 기우였다는 것을 증명해 냈습니다.
2023.07.17,LG,LG유플러스가 자사 장학금 프로그램에 참여 중인 취약계층 청소년들과 함께 문화체험 캠프를 진행했습니다.
2023.07.29,LG,트레이드를 통해 유니폼을 갈아입은 LG 최원태(26)가 내일(30일) 잠실 라이벌전에 전격 선발 등판합니다.
2023.06.25,LG,"2위 LG, 1위 SSG에 0.5게임 차 추격…꼴찌 삼성은 SSG 발목 잡아 두산, 20안타 몰아치며 키움에 17-2 대승…5위 탈환 김경윤 홍규빈 기자 = 프로야구 2위 LG 트윈스가 롯데 자이언츠에 대역전승을 거두며 1위 SSG 랜더스를 0.5게임 차로 따라붙었습니다."
2023.07.23,LG,LG(003550)는 초거대 AI '엑사원(EXAONE) 2.0'을 공개했습니다.
2023.07.31,LG,LG전자가 글로벌 ESG활동의 일환으로 2023 글로벌장애청소년IT챌린지를 개최했다고 31일 밝혔습니다.
2023.07.29,LG,염경엽 LG 트윈스 감독 국내 선발진 고민으로 밤잠을 자주 설쳤다던 염경엽 LG 감독에게 기쁜 소식이 전해졌습니다.
2023.07.22,LG,SSG 랜더스와 LG 트윈스의 경기는 우천으로 인해 취소됐습니다.
2023.07.20,LG,LG AI연구원이 자체 개발한 생성형 AI(인공지능) '엑사원(EXAONE) 2.0'을 공개했습니다.
2023.07.22,LG,"LG 씽큐 애플리케이션의 온보딩 서비스 UX/UI 업그레이드를 통해 하나의 화면에서 배송현황, 상담원과의 라이브 채팅, 제품/생활 정보를 알려주는 '생활연구소' 콘텐츠 등을 모두 이용할 수 있습니다."
2023.07.16,LG,"이외에도 삼성SDI(006400), LG화학(051910), 한국항공우주(047810)산업(KAI), 한화에어로스페이스(012450)뿐만 아니라 농심(004370), CJ제일제당(097950), 조선내화(000480) 등 고객사를 유치했습니다."
2023.06.27,LG,LG유플러스는 사이버 보안 강화의 일환으로 이기주 김앤장 고문 겸 정보보호연구소장을 초청해 경영진 대상 특강을 진행했다고 27일 발표했습니다.
2023.07.12,LG,LG화학이 LG에너지솔루션 주식으로 전환 가능한 교환사채(EB)를 발행한다는 소식에 LG에너지솔루션 주가가 장 초반 하락하고 있습니다.
2023.07.18,LG,"서울서부지법, 변론준비기일 열어…가족간 대화 녹취록 관건 세모녀 측 ""유언 있다고 속았다""…구 회장 측 ""이미 4년 전에 완료"" 장하나 김기훈 기자 = LG가(家)의 세 모녀가 구광모 LG그룹 회장을 상대로 낸 상속 소송의 첫 재판이 18일 열렸습니다."
2023.07.08,LG,사직에서는 선두 LG 트윈스가 롯데 자이언츠를 상대로 12-3 대승을 거뒀습니다.
2023.07.17,LG,LG유플러스는 여름방학 맞이 대학 캠퍼스 연합 페스티벌 '유쓰 개강-할 페스티벌'(유쓰페)을 개최한다고 17일 밝혔습니다.
2023.07.08,LG,"삼성전자, 매출 60조 원·영업익 6000억 원 LG전자, 매출 19조9988억 원·영업익 8927억 원 국내 전자업계의 쌍두마차로 꼽히는 삼성전자와 LG전자가 올해 2분기 주요 사업의 업황에 따라 희비가 엇갈렸습니다."
2023.07.21,LG,SSG 랜더스가 후반기 첫 경기에서 돌아온 최정의 맹타를 앞세워 LG 트윈스를 제압하고 1위 싸움에 불을 지폈습니다.
2023.06.27,LG,윤석열 대통령의 베트남 국빈 방문을 계기로 LG이노텍의 베트남 하이퐁 생산라인 투자 증설을 발표한 가운데 현금성 자산이 넉넉한 LG 계열사들의 베트남 추가 투자 가능성도 제기됩니다.
2023.07.16,LG,"LG유플러스가 여름철 휴가철을 맞아 네임택, 미니가방 등 업사이클링(새활용) 굿즈를 증정하는 'U+안심로밍 찐환경 이벤트'를 17일~다음달 7일 진행합니다."
2023.07.31,LG,프로야구 LG 트윈스는 오는 8월 1일부터 3일까지 잠실구장에서 키움 히어로즈와 주중 홈 3연전을 치릅니다.
2023.08.04,LG,프로야구 삼성 라이온즈가 선두 LG 트윈스에 일격을 날렸습니다.
2023.07.29,LG,프로야구 선두 LG 트윈스가 두산 베어스를 4연패로 몰아넣었습니다.
2023.06.26,LG,LG이노텍이 베트남 카메라모듈 공장의 생산능력을 2배 이상 확대하기 위한 투자에 나섭니다.
2023.07.23,LG,"LGU+ 아이들나라, '쑥쑥 과학놀이' 교구 패키지 제작"
2023.07.12,LG,"조주완 사장 ""'가전은 LG' 아니다…체질 바꿔 2030년 매출 100조"""
2023.06.29,LG,2018년 6월 ㈜LG 회장에 취임한 구광모 회장이 29일 취임 5주년을 맞습니다.
2023.07.13,LG,LG유플러스는 13일 일상 기록 SNS '베터'(BETTER)를 3년내 월 이용자 100만명을 확보한 국내 대표 SNS 서비스로 성장시킬 것이라고 목표를 밝혔습니다.
2023.07.18,LG,"LG복지재단이 28년간 도움이 필요한 어려운 이웃들을 찾아가 미용 봉사를 이어온 이예분(54)씨, 교통사고 현장에서 불길을 뚫고 시민 4명을 구조한 이은필(37)씨, 물에 빠진 초등학생을 구한 최인찬(62)씨 3명에게 'LG 의인상'을 수여했다고 18일 밝혔습니다."
2023.07.11,LG,LG화학(051910)이 LG에너지솔루션(373220) 주식으로 전환 가능한 교환사채(EB)를 해외에서 발행하는 방식으로 총 2조5900억 원의 자금을 조달합니다.
2023.07.23,LG,LG는 이날까지 선두를 달리고 있습니다.
2023.06.14,LG,창원 LG는 오는 7월 8일부터 9일까지 창원실내체육관 만남의 광장에서 2023 LG 휘센컵 3x3 농구 축제(이하 휘센컵)를 개최합니다.
2023.07.28,LG,김주희 박윤서 기자 = LG 트윈스가 '잠실 라이벌' 두산 베어스와 주말 3연전 첫 경기를 승리로 장식했습니다.
2023.06.27,LG,SSG 랜더스에 14점 차 대승을 거두고 정규리그 1위로 반환점을 돈 염경엽 LG 트윈스 감독이 맹활약을 펼친 토종 에이스 임찬규와 주장 오지환에게 박수를 보냈습니다.
2023.07.02,LG,LG유플러스는 20대 청년 가입자를 위해 데이터 제공량을 늘린 '유쓰(Uth) 청년요금제' 14종을 출시한다고 2일 밝혔습니다.
