날짜,기업이름,요약내용
2023.06.01,LG에너지솔루션,LG에너지솔루션과 스텔란티스가 캐나다 정부로부터 폭스바겐이 받은 보조금 이상의 재정지원을 받을 수 있다는 외신 보도가 나왔습니다.
2023.06.01,LG에너지솔루션,"삼성전자(-0.70%), LG에너지솔루션(-2.50%), LG화학(-0.87%) 등은 하락했지만, SK하이닉스(1.57%), 네이버(2.26%) 등은 상승했습니다."
2023.06.01,LG에너지솔루션,"31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했습니다."
2023.06.01,LG에너지솔루션,LG에너지솔루션(사진=LG에너지솔루션 로고) LG에너지솔루션(LG엔솔) 증권가 주가 전망에 관심이 쏠립니다.
2023.06.01,LG에너지솔루션,"LG에너지솔루션(-0.67%), 삼성바이오로직스(-0.64%), 현대차(-0.40%), 기아(-0.81%), 셀트리온(-0.35%) 등이 하락 거래 중입니다."
2023.06.01,LG에너지솔루션,이들 구성 종목 중 LG에너지솔루션은 전거래일 대비 3.28% 상승해 KRX BBIG K-뉴딜지수 구성 종목 중 주가상승률 1위를 기록했습니다.
2023.06.01,LG에너지솔루션,"시가총액 상위 10개 종목은 NAVER(2.26%), SK하이닉스(1.57%), 삼성전자우(0.85%), 삼성바이오로직스(0.51%)를 제외하고 하락 마감했습니다."
2023.06.01,LG에너지솔루션,LG에너지솔루션이 배터리 생애주기 전 과정에서 발생하는 데이터를 바탕으로 서비스를 제공하는 사업 모델인 BaaS 사업을 확대합니다.
2023.06.02,LG에너지솔루션,포스코퓨처엠과 제너럴모터스(GM)의 합작 공장 사업은 순조롭게 진행되고 있으나 LG에너지솔루션이 완성차 업체 스텔란티스와 함께 짓는 공장은 보조금 문제로 제동이 걸렸습니다.
2023.06.01,LG에너지솔루션,"한국기업평판연구소 빅데이터 분석결과...2위 삼성SDI, 3위 엘앤에프 순 2023년 6월 전기제품 상장기업 브랜드평판 빅데이터 분석결과 1위 LG에너지솔루션, 2위 삼성SDI, 3위 엘앤에프 순으로 분석됐습니다."
2023.06.02,LG에너지솔루션,LG에너지솔루션이 전세계 전기차 배터리 시장 지분 확대에 속도를 내고 있습니다.
2023.06.02,LG에너지솔루션,이는 2020년 12월 사업부에서 자회사로 분할된 LG에너지솔루션의 배터리 사업 이외에 자체 사업에서 확실한 미래 동력을 확보하겠다는 의미로 풀이됩니다.
2023.06.02,LG에너지솔루션,LG화학의 CNT는 LG에너지솔루션을 포함한 배터리업체에 양극 도전재 용도로 공급될 예정입니다.
2023.06.02,LG에너지솔루션,"검토 대상은 LG전자·LG디스플레이·LG이노텍·LG CnS·LG에너지솔루션·LG화학·LG생활건강·LG유플러스·LG헬로비전 등 9개 계열사다.변경 추진을 검토한 색상은 빨강, 녹색, 보라 등 3가지입니다."
2023.06.02,LG에너지솔루션,"시가총액 상위 10개 종목은 삼성바이오로직스(-0.38%), 보합 마감한 SK하이닉스를 제외하고 상승 마감했습니다."
2023.06.03,LG에너지솔루션,LG에너지솔루션은 캐나다 정부로부터 보조금을 받고 미국 완성차 회사 스텔란티스와 함께 온타리오주에 우리 돈 약 5조 2천852억원을 투자해 배터리 공장을 건설하기로 했습니다.
2023.06.02,LG에너지솔루션,"LG에너지솔루션(0.68%), LG화학(4.95%), 삼성SDI(0.99%), 포스코퓨처엠(4.03%), SKC(8.25%), SK아이이테크놀로지(7.62%) 등 2차전지주들이 상승했습니다."
2023.06.03,LG에너지솔루션,"현대차그룹과 LG에너지솔루션은 지난 달 26일 서울 여의도에 위치한 LG에너지솔루션 본사에서 장재훈 현대차 대표이사 사장, 권영수 LG에너지솔루션 대표이사 부회장 등이 참석한 가운데 북미 배터리 합작법인 계약 체결식을 가졌습니다."
2023.06.02,LG에너지솔루션,"LG에너지솔루션(0.68%), LG화학(4.95%), 삼성SDI(0.99%), 현대차(1.01%), 기아(1.19%), 네이버(0.25%), 포스코홀딩스(4.29%), 포스코퓨처엠(4.03%) 등도 상승 마감했습니다."
2023.06.02,LG에너지솔루션,LG에너지솔루션을 제외한 첨단소재 생산 능력(CAPEX)은 2021년 8400억원에서 지난해 1조 890억원으로 29% 이상 늘었습니다.
2023.06.03,LG에너지솔루션,[LG그룹] LG화학 4.95% 올라 계열사 중 상승률 1위
2023.06.03,LG에너지솔루션,"국내 경쟁사인 LG에너지솔루션, SK온 등과 비교하면 상대적으로 북미 투자가 늦어 미국 인플레이션 감축법(IRA) 혜택을 가장 늦게 받을 전망입니다."
2023.06.03,LG에너지솔루션,"그동안 폐배터리 재활용 업체들은 LG에너지솔루션, SK온 등 배터리 제조사의 불량품만 받아 사업을 영위하고 있었습니다."
2023.06.03,LG에너지솔루션,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.04,LG에너지솔루션,동양일보 박은수 기자］청주동부소방서(서장 송정호)가 지난 2일 오창읍 LG에너지솔루션에서 재난대비 긴급구조 종합훈련을 실시했습니다.
2023.06.03,LG에너지솔루션,"또한 올해 넥스트라이즈의 주요 테마인 미래 전략산업 컨퍼런스 세션에서는 AI(LG그룹, 네이버), 반도체(엔비디아), 바이오(SK바이오팜), 이차전지(LG에너지솔루션), 항공우주(항우연) 등 각 핵심 산업의 국내외 최고 권위자들이 참여, 릴레이 특강을 실시했습니다."
2023.06.03,LG에너지솔루션,지난해 LG에너지솔루션 기업공개(IPO)를 맡아 주관 실적 1위에 이름을 올렸던 KB증권이 올해는 0건의 실적을 기록하며 상반기 참담한 성적표를 받아 들었습니다.
2023.06.03,LG에너지솔루션,"리쿠르팅 ZONE에는 코오롱인더스트리㈜, 에이치티솔루션, 니카코리아㈜, ㈜화신 등 17개 업체가 직무컨설팅 ZONE에는 기아자동차, LG에너지솔루션, 에스엘, 원덤 그랜드 부산 등 4개 업체가 참여해 구직자들의 직무 이해 및 취업 상담 등을 진행했습니다."
2023.06.04,LG에너지솔루션,이 회사의 제품은 LG에너지솔루션과 SK온 등 배터리 제조사를 거쳐 GM·리비안·루시드 등 글로벌 전기차에 장착됩니다.
2023.06.04,LG에너지솔루션,이 회사는 현충일 연휴 이후 회사채 발행이 예정돼 있습니다.
2023.06.04,LG에너지솔루션,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.04,LG에너지솔루션,[LG그룹 주간동향] LG전자 한주간 9.23% 상승 '주목'...시총 20조클럽 '안착'
2023.06.04,LG에너지솔루션,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매..."
2023.06.04,LG에너지솔루션,업계에선 합작사 설립은 '필수'라고 평가하며 LG에너지솔루션을 가장 유력한 파트너사로 평가하고 있습니다.
2023.06.05,LG에너지솔루션,"코스피, 기관 매수에 0.5% 상승 마감…외인 두산에너빌리티·LG에너지솔루션·..."
2023.06.05,LG에너지솔루션,"포스코홀딩스(2.92%), 포스코퓨처엠(1.60%) 등은 상승 마감했으나 삼성전자(-0.69%), SK하이닉스(-1.45%), 카카오(-0.17%), 셀트리온(-0.75%) 등은 하락 마감했습니다."
