날짜,기업이름,요약내용
2023.06.03,LG전자,"전 세계적인 TV 불황기를 맞아 중저가 제품을 내세워 프리미엄 제품이 주력인 삼성전자, LG전자 등 한국 업체들을 빠르게 추격하는 모습입니다."
2023.06.03,LG전자,울산과학기술원(UNIST)은 LG전자와 협약을 맺고 산학협력센터를 설립하기로 했다고 2일 밝혔습니다.
2023.06.02,LG전자,LG전자(대표이사 조주완·배두용)은 이동식 스크린 'LG 스탠바이미(StanbyME) Go'(모델명 27LX5)를 7일 출시합니다.
2023.06.07,LG전자,"사우디·인도 찾은 LG전자 조주완 ""성장 기회 확대해야"""
2023.06.07,LG전자,조주완 LG전자 사장이 사우디아라비아와 인도의 현지 법인을 찾아 그동안 프리미엄 가전 위주로 진출했던 중동과 아시아에서 다양한 신규 사업 기회를 찾아나섰습니다.
2023.06.05,LG전자,2025년 완공 목표로 창원 LG스마트파크에 태양광 발전소 구축 美타임스스퀘어 등서 플라스틱 절감 캠페인 영상…중소형 폐가전 수거 캠페인도 LG전자가 2050년까지 국내외 사업장의 사용 전력 100%를 재생에너지로 충당하는 RE100(Renewable Energy 100) 이니셔티브에 가입했다고 5일 밝혔습니다.
2023.06.11,LG전자,"'어린이 교통안전 특화시스템 실증사업' 완료 LG전자가 자율주행 기술 V2X(Vehicle to Everything, 차량-사물간 통신)를 활용하는 교통안전 솔루션 고도화에 속도를 냅니다."
2023.06.09,LG전자,"IT 대형주 중 삼성전기(0.89%)는 올랐고 LG전자(-0.39%), LG디스플레이(-0.49%) 등은 하락했습니다."
2023.06.08,LG전자,LG전자가 공개한 신개념 포터블 스크린 'LG 스탠바이미(StanbyME) Go'가 사전 판매에서 뜨거운 반응을 얻으며 완판됐습니다.
2023.06.10,LG전자,"5월 창문형 에어컨 판매액 지난해 동기 대비 23% 늘어 저렴한 가격, 간편한 설치·해체 강점 ""1인 가구 증가 추세… 실외기 필요 없는 에어컨 출시 늘 것"" 삼성전자와 LG전자가 창문형 에어컨을 들고 1인 가구 공략에 나서고 있습니다."
2023.06.05,LG전자,"핵심요약 6월 5일 세계 환경의 날 맞아 '플로깅', 'EM흙공 던지기' 활동 실시 LG전자가 세계 환경의 날을 맞아 창원지역 대표습지인 주남저수지에서 환경 정화 활동을 실시했습니다."
2023.06.07,LG전자,NH투자증권이 LG전자(066570)에 대해 중장기 인포테인먼트 시장 확대 혜택을 받을 것이라며 목표주가를 기존 15만원에서 17만원으로 13.3% 상향했습니다.
2023.06.02,LG전자,하이투자증권은 2일 LG전자(066570)에 대해 올해 역대 최대 실적을 낼 것으로 전망하며 투자의견 '매수'와 함께 목표가 16만 5000원을 제시했습니다.
2023.06.06,LG전자,LG전자가 세계 환경의 날을 맞아 창원지역 대표습지인 주남저수지에서 환경 정화 활동을 진행했습니다.
2023.06.04,LG전자,LG전자가 미국 유력 소비자매체 컨슈머리포트가 꼽은 '에너지 효율이 가장 높은 냉장고'에 이름을 올렸습니다.
2023.06.06,LG전자,아주대학교(총장 최기주)는 전자공학과 전력전자연구실과 LG전자의 우수 협력 연구실 현판식이 지난 31일 열렸다고 밝혔습니다.
2023.06.11,LG전자,V2X 기술 활용해 위치·이동방향 등 분석…교통위험 알림 알림 받은 보행자 75%·운전자 68% 방향전환·감속 등 반응 LG전자가 자율주행 기술인 차량-사물 간 통신(V2X)을 활용한 교통안전 솔루션 고도화에 속도를 냅니다.
2023.06.08,LG전자,LG전자의 차량용 조명 자회사 ZKW는 볼보의 전기차 전문 자회사 폴스타의 첫 스포츠유틸리티차(SUV) '폴스타 3' 모델에 지능형 헤드램프 모듈을 공급한다고 8일 밝혔습니다.
2023.06.02,LG전자,UNIST(울산과학기술원)과 LG전자가 산학협력센터를 설립하고 공동 연구에 박차를 가합니다.
2023.06.07,LG전자,LG전자는 9일부터 11일까지 서울 성수동 '카페 할아버지공장'에서 'LG 리빙 페어링 하우스'를 운영합니다.
2023.06.04,LG전자,LG전자가 네덜란드 프리미엄 가구 브랜드인 모오이 매장에 LG 올레드 오브제컬렉션을 판매한다고 4일 밝혔습니다.
2023.06.09,LG전자,LG전자 베스트샵 진접오남점은 9일 지역 내 어려운 이웃을 위해 스마트폰 50대를 남양주시복지재단에 전달했습니다.
2023.06.04,LG전자,LG전자는 네덜란드 프리미엄 가구 브랜드 '모오이' 매장에 LG 올레드 오브제컬렉션 포제의 진열을 확대했다고 4일 밝혔습니다.
2023.06.08,LG전자,LG전자의 자동차 전장(VS)사업본부 매출이 꾸준히 늘며 LG전자 매출 비중 11.7%를 돌파했습니다.
2023.06.06,LG전자,그리스 국가재건계획 일환…미래형 교실 조성 LG전자가 그리스 국책 사업을 수주했습니다.
2023.06.06,LG전자,9∼11일 성수동에 'LG 리빙 페어링 하우스' 개설 LG전자가 두 개 이상의 제품 결합이나 연동으로 업그레이드된 프리미엄 가전을 경험할 수 있는 공간을 선보입니다.
2023.06.01,LG전자,LG전자(066570)가 브라질서 'K-오페라'를 앞세워 '2030 부산세계박람회(엑스포)' 유치 지원에 나섰습니다.
2023.06.03,LG전자,이투데이=이다솜 기자 | 주거 변화 맞춰 소형 모듈러 주택 사업화 속도 LG전자 기술ㆍ제품 한 데 묶은 집으로 제작 국내서도 커지는 시장…5년 뒤 3조 원 규모 신사업을 개척 중인 LG전자가 이번엔 집을 짓습니다.
2023.06.10,LG전자,사진=삼성전자 삼성전자와 LG전자가 세탁기에 신기능을 적용해 미세플라스틱 저감에 나섭니다.
2023.06.09,LG전자,삼성전자와 LG전자가 전장사업 가운데서도 '인포테인먼트' 분야를 강화하고 있습니다.
2023.06.05,LG전자,LG전자의 펀더멘털(기초여건)에 대한 증권가의 호평이 제기되는 가운데 5일 주가가 장중 52주 신고가를 기록했습니다.
2023.06.05,LG전자,LG전자가 오는 9월 열리는 아트페어 '프리즈 서울'에 공식 헤드라인 파트너로 참가합니다.
2023.06.04,LG전자,삼성전자의 노트북 '갤럭시 북 시리즈'와 LG전자의 냉장고가 미국 소비자매체 컨슈머리포트에서 호평을 받았습니다.
2023.06.04,LG전자,"""50대 이후라면 누구나 꿈꾸는 것이 세컨드하우스인데, 서울에서 그런 공간을 찾기가 쉽지 않고 구입 비용도 만만치 않아 LG 스마트코티지가 좋은 대안인 것 같아요.""(LG전자 고객 A씨) ""새로운 공간에서 일하면 아이디어도 많이 떠오르고 생각도 정리하기 좋습니다."
