날짜,기업이름,요약내용
2023.06.01,LG화학,"최근 1조2,000억원의 대규모 투자협약을 체결한 ㈜LG화학·화유코발트, GEM뉴에너지머티리얼즈(중국(GEM)+에코프로머티리얼즈+SK온 합작법인) 등은 물론, 이미 에코앤드림(양극소재), 대주전자재료(음극소재), 천보BLS, 덕산테코피아(전해질), 성일하이텍(리싸이클링) 등이 둥지를 틀고 있습니다."
2023.06.01,LG화학,"KB證, 원금비보장 ELS 12종 공모... LG화학株 등 활용"
2023.06.01,LG화학,현재 LG화학 등 이차전지 전구체 생산업체들의 대규모 투자가 이어져 관심이 집중되고 있습니다.
2023.06.01,LG화학,"31일 코스피 시장에서 기관은 LG에너지솔루션, 삼성전자우, LG화학, 하이브를 집중 매수했습니다."
2023.06.01,LG화학,LX판토스도 지난해 LG전자와 LG화학으로부터 거둔 매출이 전체 매출의 56.3% 수준입니다.
2023.06.01,LG화학,이어 에코프로(4283억원)과 LG화학(2702억원) 등이 뒤를 이었습니다.
2023.06.01,LG화학,"LG에너지솔루션(373220) -2.5%, 기아(000270) -1.98%, 삼성SDI(006400) -1.39%, 현대차(005380) -1.25%, LG화학(051910) -0.87%, 삼성전자(005930) -0.7% 등은 하락했습니다."
2023.06.01,LG화학,LG화학이 전기차 시대를 대비해 배터리 소재 사업을 확대합니다.
2023.06.01,LG화학,석유화학·생명과학기업 LG화학이 개발 중인 NASH(비알코올성지방간염) 치료제 3건에 집중합니다.
2023.06.02,LG화학,신학철 LG화학 부회장이 직접 일본에서 3대 성장동력 인재 확보에 나섰습니다.
2023.06.02,LG화학,도쿄서 채용 행사 'BC투어'…주요대학 석박사 40여명 초청 LG화학 신학철 부회장이 직접 일본에서 3대 성장동력을 이끌 인재 확보에 나섰습니다.
2023.06.02,LG화학,LG화학 신학철 부회장이 직접 일본에서 3대 성장동력 인재 확보에 나섰습니다.
2023.06.02,LG화학,일본 도쿄서 글로벌 인재 채용 행사 BC 투어 주관 LG화학은 지난 1일 신학철 부회장이 최고인사책임자(CHO) 김성민 부사장 등 주요 경영진들과 함께 일본 인터컨티넨탈 도쿄 베이 호텔에서 열린 BC(Business & Campus) 투어에 참여했다고 2일 밝혔습니다.
2023.06.02,LG화학,신학철 LG화학 부회장이 지난 1일 일본 인터컨티넨털 도쿄 베이 호텔에서 열린 글로벌 인재 채용 행사 'BC투어'를 주관하며 환영사를 하고 있습니다.
2023.06.02,LG화학,스웨덴 스프린트 NASH 후보물질 최근 반환 진단사업부문 우선협상 대상자 선정 美아베오 8000억 원 인수한 후속 작업 LG화학이 스웨덴 제약사로부터 기술 이전받은 비알코올성지방간염(NASH) 치료제 후보물질을 최근 반환한 것으로 확인됐습니다.
2023.06.02,LG화학,신학철 LG화학 부회장이 일본 인터컨티넨털 도쿄 베이 호텔에서 열린 글로벌 인재 채용 행사 BC투어를 주관하며 환영사를 하고 있습니다.
2023.06.03,LG화학,LG화학 신학철 부회장이 직접 일본에서 3대 성장동력 인재 확보에 나섰습니다.
2023.06.02,LG화학,신학철 LG화학 부회장이 일본 인터컨티넨털 도쿄 베이 호텔에서 열린 글로벌 인재 채용 행사 'BC투어'를 주관하며 환영사를 하고 있습니다.
2023.06.02,LG화학,신학철 LG화학 부회장이 일본 인터컨티넨털 도쿄 베이 호텔에서 열린 글로벌 인재 채용 행사 'BC 투어'를 주관하며 환영사를 하고 있습니다.
2023.06.02,LG화학,LG화학 신학철 부회장이 직접 일본에서 3대 성장동력 인재 확보에 나섰습니다.
2023.06.03,LG화학,LG그룹 계열사 중 LG화학 종목은 전거래일 대비 4.95% 상승해 계열사 중 주가상승률 1위를 기록했습니다.
2023.06.03,LG화학,"2일 코스피 시장에서 외국인은 삼성전자, LG화학, 메리츠금융지주, SK아이테크놀로지를 집중 매수했습니다."
2023.06.03,LG화학,셀트리온은 다양한 기업과 파트너십 계약을 체결하기 위해 바이오USA로 향했습니다.
2023.06.03,LG화학,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.03,LG화학,울산시 보건환경연구원은 6월 2일(금) 오전 9시 엘지(LG)화학 온산공장에서 '2023년 대기 굴뚝 시료채취 교육 및 기술지원'을 실시한다고 밝혔습니다.
2023.06.03,LG화학,"나머지 기업의 ITR은 한국전력 3.2도, GS 3.2도, LG화학 3.2도, 포스코홀딩스 2.4도, SK 2.2도, 삼성전자 2.3도 순으로 높았습니다."
2023.06.03,LG화학,"시장으로 나가려면 두 가지 방법이 있는데 하나는 기술을 삼성이나 현대차, LG화학, SK하이닉스 같은 대기업에 넘기고 기술이 거기서 꽃 피우는 것인데, 한국적인 시스템에서 쉽지가 않습니다."
2023.06.04,LG화학,이 회사는 최근 스웨덴 제약사로부터 기술 이전받은 비알코올성지방간염(NASH) 치료제 후보물질을 반환한 것으로 확인됐습니다.
2023.06.03,LG화학,"신학철 LG화학 부회장, 3대 신성장동력위해 日 인재 발굴 나서 = LG화학(051910)은 신학철 부회장이 1일 CHO(최고인사책임자) 김성민 부사장 등 주요 경영진들과 함께 일본 인터컨티넨탈 도쿄 베이 호텔에서 열린 'BC(Business & Campus)투어'를 진행했다고 밝혔습니다."
2023.06.04,LG화학,"지난 1일 코스피 시장에서 외국인 순매수 상위 종목은 삼성전자, LG화학, 메리츠금융지주, SK아이이테크놀로지, 한화솔루션 등으로 나타났습니다."
2023.06.04,LG화학,"지난달 개인투자자 순매수 상위 10개 종목은 POSCO홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순이었습니다."
2023.06.04,LG화학,전북 녹색기업 전국의 10%...환경 보호 위해 지원·홍보 방안 모색 필요
2023.06.04,LG화학,LG화학도 화유코발트와 함께 1조2천억원을 투자해 새만금에 배터리 전구체 합작공장을 짓기로 했습니다.
2023.06.05,LG화학,"지난 2일 장마감을 기준으로 삼성전자, LG화학, 에코프로 등의 종목이 외국인 순매수 거래가 활발했던 것으로 집계됐습니다."
2023.06.04,LG화학,LG화학은 최근 충남 서산시 대산에 차세대 배터리 소재로 각광받는 탄소나노튜브(CNT)를 생산할 4공장을 착공했습니다.
2023.06.04,LG화학,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이"
2023.06.04,LG화학,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매..."
2023.06.04,LG화학,실제로 새만금의 값싸고 넓은 부지에 LG화학 등 이차전지 전구체 생산업체들의 대규모 투자가 이어지고 있습니다.
2023.06.05,LG화학,LG화학과 LG에너지솔루션이 컨소시엄을 구성해 인도네시아(인니) 니켈 광산 채굴 및 배터리 합작 공장 건설에 나선지 2년이 돼가지만 최근 인니 정부의 엇박자 외교에 니켈 사업의 미래가 진척은 커녕 불투명해진 것으로 보입니다.
2023.06.05,LG화학,"반면 물적분할은 회사의 재산을 분할하는 것으로, 대표적으로 LG화학-LG에너지솔루션의 사례가 바로 여기에 속합니다."
2023.06.05,LG화학,"코스피 시가총액 상위 종목 중 기아(000270) 1.17%, LG에너지솔루션(373220) 1.02%, 현대차(005380) 0.75%, LG화학(051910) 0.28%, 삼성SDI(006400) 0.28% 등은 상승했습니다."
2023.06.06,LG화학,"英 브랜드 파이낸스, 화학기업 평가…LG화학 평가액 작년보다 5.3%↑ LG화학의 브랜드 가치가 5조9천억여원에 달해 글로벌 화학 기업 가운데 3위를 차지했습니다."
2023.06.05,LG화학,"시가총액 상위 종목 중 LG에너지솔루션(1.02%), LG화학(0.28%), 삼성SDI(0.28%), 현대차(0.75%), 기아(1.17%) 등은 강세를 보였으나 삼성전자(-0.69%), SK하이닉스(-1.45%) 등은 하락했습니다."
2023.06.05,LG화학,"실제 실적 부진에 빠져있는 LG화학, 롯데케미칼, SK케미칼, 효성화학, 코오롱인더스트리 등 국내 석유화학사들 입에서는 일제히 ""중국 리오프닝에 따른 반등을 기대한다""는 목소리가 나옵니다."
2023.06.05,LG화학,LG화학은 신학철 부회장이 직접 나서 일본 주요 7개 대학 이공계 석·박사를 초청해 글로벌 인재 확보 활동에 나섰다고 밝혔습니다.
2023.06.06,LG화학,[3초컷 키워드] LG화학 브랜드 가치·삼성家 대출·5G 가입자 수
2023.06.05,LG화학,"LG에너지솔루션은 LG화학, LX인터내셔널, 포스코홀딩스, 중국 화유코발트와 컨소시엄을 꾸리고 인도네시아에 대규모 사업을 추진하고 있습니다."
2023.06.05,LG화학,"이날 간담회에는 헝가리 교민들을 비롯해 삼성전자와 LG전자, 삼성SDI, SK온, LG화학, 대한항공 등 헝가리에서 활동하는 기업인들도 참여했습니다."
2023.06.06,LG화학,대구 달성군청소년센터 비전꿈터(이하 센터)가 LG화학이 주관하는 ESG 리더 양성 맞춤형 교육프로그램인 그린클래스 3기 교육 기관으로 선정됐다고 5일 밝혔습니다.
2023.06.06,LG화학,오는 3분기부터 북미산 리튬 인도에 돌입하며 LG화학의 수혜가 예상됩니다.
2023.06.06,LG화학,LG에너지솔루션의 이번 회사채 발행은 LG화학(051910)에서 물적분할을 단행한 이후로 처음입니다.
2023.06.06,LG화학,[단독] 당진 석문국가산단 잇단 항타공사에 '어민들 분통'
2023.06.06,LG화학,"그린닥터스재단, 우크라이나에 세 번째 의약품 현지 전달"
2023.06.07,LG화학,이투데이=서지희 기자 | LG화학이 장초반 2%대 상승세를 이어가고 있습니다.
2023.06.07,LG화학,"LG에너지솔루션(1.68%), LG화학(3.18%), 삼성SDI(2.51), 포스코퓨처엠(1.32%) 등 2차전지 관련 종목들이 비교적 큰 폭 상승했습니다."
2023.06.07,LG화학,"특히 LG화학, 휴젤 등 중국에 진출한 상태에서 사업 영역을 넓히고 있기 때문에 이들 제약사들에게는 희소식이 아닐 수 없습니다."
2023.06.06,LG화학,"구광모 회장 주재로 열린 이번 전략보고회는 LG전자와 LG화학 등 주요 계열사 최고경영자들이 참석해 고객과 시장 변화에 대한 분석, 미래 사업 포트폴리오 전략 등 중장기 전략 방향과 실행력 제고 방안 등을 논의한 것으로 알려졌습니다."
2023.06.07,LG화학,LG화학 화성품공장 봉사단이 최근 여수시 소라면 봉두1리 경로당에 150만원 상당의 냉장고를 후원했습니다.
2023.06.07,LG화학,시가총액 상위 10개 종목의 희비는 엇갈렸습니다.
2023.06.08,LG화학,14억원 기금 마련해 여수 앞바다에 10ha 규모 서식지 조성 LG화학이 탄소를 흡수하는 해초인 잘피 서식지 복원에 나섭니다.
2023.06.07,LG화학,"LG에너지솔루션(+0.67%), 삼성SDI(+0.84%), LG화학(+1.66%), 현대차(+0.50%), 기아(+1.04%), POSCO홀딩스(+0.39%), 포스코퓨처엠(+1.18%) 등이 상승 거래 중입니다."
2023.06.07,LG화학,LG그룹 계열사 중 LG화학 종목은 이달 들어 4.33% 상승해 계열사 중 6월 기준 주가 상승률 1위를 기록했습니다.
2023.06.08,LG화학,전남 여수국가산단 입주기업인 LG화학이 여수 해저에서 탄소를 흡수하는 해초 서식지 복원에 나섭니다.
2023.06.08,LG화학,LG화학이 탄소를 흡수하는 해초 서식지 복원에 나섭니다.
2023.06.08,LG화학,LG화학이 오는 2026년까지 사업장이 있는 여수 앞바다에 잘피 군락지를 만들고 축구장 14개 크기인 10ha 규모까지 확대하는 '잘피 서식지 복원 및 연구 사업'을 진행한다고 8일 밝혔습니다.
2023.06.08,LG화학,"2026년 축구장 14개 크기 잘피 군락지 잘피는 바닷속 탄소 흡수원으로 주목 LG화학, 4년간 14억원 기금 투입 예정 LG화학이 탄소를 흡수하는 해초 서식지 복원에 나섭니다."
2023.06.08,LG화학,"LG화학, '축구장 14개크기' 여수바다에 탄소흡수 해초 심는다"
2023.06.07,LG화학,"LG에너지솔루션(1.68%), LG화학(3.18%), 삼성SDI(2.51%), 포스코퓨처엠(1.32%), SKC(3.15%) 등 2차전지주들이 상승했습니다."
2023.06.08,LG화학,LG화학이 8일 '잘피(해초의 일종) 서식지 복원 및 연구 사업'을 진행한다고 밝혔습니다.
2023.06.08,LG화학,LG화학이 탄소를 흡수하는 해초 서식지 복원에 나섭니다.
2023.06.08,LG화학,사진=LG화학 LG화학이 탄소를 흡수하는 해초 '잘피'의 서식지 복원에 나섭니다.
2023.06.08,LG화학,LG화학이 탄소를 흡수하는 해초 서식지 복원에 나섭니다.
2023.06.09,LG화학,코스피 시가총액 상위 10개 종목은 모두 상승 마감했습니다.
2023.06.09,LG화학,사진=LG 한화솔루션과 LG화학 등 석유화학업체가 예상 외 제품에서 재미를 보고 있습니다.
2023.06.09,LG화학,"LG에너지솔루션(+1.86%), 삼성바이오로직스(+1.53%), LG화학(+0.27%), 현대차(+0.10%), 기아(+0.37%), POSCO홀딩스(+1.55%), 포스코퓨처엠(+1.82%) 등이 상승 거래 중입니다."
2023.06.09,LG화학,"LG에너지솔루션(3.05%), LG화학(2.04%), 삼성SDI(0.82%), 포스코퓨처엠(0.78%), SKC(1.94%), SK아이이테크놀로지(3.36%) 등 2차전지주들이 상승했습니다."
2023.06.09,LG화학,LG화학(051910)이 유럽에 연산 6만톤 규모의 양극재 공장을 짓기로 했습니다.
2023.06.09,LG화학,LG화학의 주가 그래프가 완연한 W형 모습을 하고 있습니다.
2023.06.09,LG화학,"상위 종목 중 LG화학(2.04%)과 삼성전자(1.55%), SK하이닉스(5.20%), 삼성SDI(0.82%), LG에너지솔루션(3.05%) 등이 상승한 반면 카카오(-0.18%)는 금리 동결 기대감에도 보합권에 그쳤습니다."
2023.06.10,LG화학,"본 행사는 품질개선 우수사례를 공유·확산해 기업의 품질경영 및 경쟁력 강화를 촉진하고자 매년 개최하는 대회로 올해는 (주)LG화학, ㈜코스메카코리아, (주)LG에너지솔루션, 한일시멘트 등 10개사와 24개 분임조 등 100여명이 참여했습니다."
2023.06.10,LG화학,올해 당뇨병 치료제 시장에 대형 품목의 제네릭이 출시되면서 치열한 경쟁이 시작된 가운데 LG화학의 DPP-4 억제제 계열 당뇨병 치료제 '제미글로(성분명 제미글립틴)'에 대한 제네릭 도전이 시작됐습니다.
2023.06.10,LG화학,"우리 증시는 SK하이닉스와 삼성전자가 외인과 기관의 매수 유입으로 강세를 보였고, LG에너지솔루션과 삼성SDI, LG화학을 포함해 현대차와 기아 등 시종 상위주 대부분이 강세를 보여주며 추세적 상승에 대한 기대를 높았습니다."
2023.06.09,LG화학,LG화학은 탄소를 흡수하는 해초 서식지 복원에 나섰습니다.
2023.06.10,LG화학,"LG에너지솔루션 뒤를 이어 LG이노텍, LG화학 종목도 각각 2.64%, 2.04%씩 상승해 상승률 상위권에 이름을 올렸습니다."
2023.06.10,LG화학,LG화학은 지난 2019년 스웨덴 스프린트 바이오사이언스에서 기술 이전받은 NASH 기술을 반환하며 남은 3건의 파이프라인에 개발을 집중하기로 했습니다.
2023.06.10,LG화학,"삼성전자와 SK하이닉스, LG화학 등이 주요 거래처입니다."
2023.06.09,LG화학,"SK하이닉스(000660)(4.01%), LG에너지솔루션(373220)(3.05%), LG화학(051910)(2.31%)이 높은 오름폭을 보이고 삼성바이오로직스(207940)(1.91%), 삼성전자(005930)(1.69%), 기아(000270)(1.35%), 포스코퓨처엠(003670)(1.30%)도 1%대 상승률을 보이고 있습니다."
2023.06.10,LG화학,"SK아이이테크놀로지 뒤를 이어 LG에너지솔루션, LG화학 종목이 각각 3.05%, 2.04%씩 상승해 상승률 상위권에 이름을 올렸습니다."
2023.06.10,LG화학,삼성SDI LG화학 SK이노베이션 웰크론한텍 넥스트아이 솔루스첨단소재 삼아알미늄 신성델타테크 엔시스 씨노텍 포스코퓨처스엠 솔브레인 금양 천보 에코프로비엠 동화기업 대주전자재료 피엔티 서원인텍 에코프로 등이 거론됩니다.
2023.06.10,LG화학,LG화학과 삼성전자의 기업주도형 벤처캐피탈(CVC) 삼성벤처투자(SVIC)도 투자사 명단에 포함됐습니다.
2023.06.11,LG화학,김상민 LG화학 전무(왼쪽 다섯 번째)와 이병만 코스맥스 대표(왼쪽 여섯번째)가 지난 9일 서울 영등포구 여의도 LG트윈타워에서 열린 친환경 소재 기반 화장품 용기 개발 및 마케팅 업무협약식에서 협약 체결 후 참석자들과 기념 촬영하고 있습니다.
2023.06.11,LG화학,"금융정보업체 에프앤가이드 컨센서스(증권사 전망치 평균)에 따르면 LG화학은 올 2분기 매출 15조8420억원, 영업이익 8969억원으로 전망됩니다."
2023.06.10,LG화학,"한국 증시는 SK하이닉스와 삼성전자가 외인과 기관의 매수 유입으로 강세를 보였고, LG에너지솔루션과 삼성SDI, LG화학을 포함해 현대차와 기아 등 시종 상위주 대부분이 강세를 보여주며 추세적 상승에 대한 기대를 높았습니다."
2023.06.11,LG화학,"LG그룹은 IRA와 CRMA의 영향을 받는 LG에너지솔루션의 배터리 사업이나 LG화학의 배터리 소재 사업을 비롯해 전자, 디스플레이 등 그룹 계열사 전반의 글로벌 대응 전략을 강화할 것으로 보입니다."
2023.06.11,LG화학,LG그룹은 배터리 기업인 LG에너지솔루션과 소재를 생산하는 LG화학을 중심으로 공급망 재편이 핵심 경영 과제로 떠오른 상태입니다.
2023.06.11,LG화학,LG화학이 재활용 플라스틱으로 화장품 용기를 만듭니다.
2023.06.11,LG화학,"삼성전자와 LG에너지솔루션, SK하이닉스, 삼성바이오로직스, LG화학, 삼성SDI, 현대차, 기아, 포스코홀딩스, 네이버 등으로 구성됐습니다."
2023.06.11,LG화학,문재인 정부 청와대 사회수석도 지냈습니다.
2023.06.11,LG화학,"이 지수는 시가총액 상위 10개 종목을 모은 지수로 삼성전자, LG에너지솔루션, SK하이닉스, 삼성바이오로직스, LG화학, 삼성SDI, 현대차, 기아, POSCO홀딩스, NAVER(네이버)가 포함돼 있습니다."
2023.06.11,LG화학,LG그룹의 경우 배터리 기업인 LG에너지솔루션과 배터리 소재를 생산하는 LG화학을 중심으로 공급망 재편이 과제로 떠오르고 있습니다.
2023.06.12,LG화학,"최근 LG화학은 '잘피 서식지 복원 및 연구 사업'을 진행, 오는 2026년까지 사업장이 있는 여수 앞바다에 잘피 군락지를 만들고 축구장 14개 크기인 10헥타르(ha) 규모까지 확대하기로 했습니다."
2023.06.13,LG화학,LG화학이 '제1회 커리어 위크'를 연다고 13일 밝혔습니다.
2023.06.12,LG화학,올 1분기 석유화학 '빅4'(LG화학·롯데케미칼·한화솔루션·금호석유화학)가 모두 R&D(연구개발) 투자액을 늘렸습니다.
2023.06.12,LG화학,LG화학이 여수 바다에 탄소를 흡수하는 잘피 군락지를 2026년까지 조성합니다.
2023.06.12,LG화학,"LG에너지솔루션(+0.66%), LG화학(+0.93%), 삼성SDI(+0.95%), 현대차(+0.25%) 등이 상승하는 반면 삼성바이오로직스(-0.12%), 기아(-0.24%) 등은 하락 거래 중입니다."
2023.06.12,LG화학,LG화학(대표이사 신학철)이 오는 12일 홍콩과 싱가포르에서 해외 기관투자자를 대상으로 기업설명회(IR)를 개최합니다.
2023.06.12,LG화학,LG화학이 재활용 플라스틱으로 화장품 용기를 만들어 고객에게 친환경 가치를 전달합니다.
2023.06.12,LG화학,IBK투자증권은 12일 LG화학이 양극재 생산을 대폭 늘리기로 했다며 목표주가 93만원과 투자 의견 매수를 유지했습니다.
2023.06.12,LG화학,이 회사는 최근 이창양 산업통상자원부 장관이 LG에너지솔루션 오창에너지플랜트를 찾는 자리에서 유럽에 양극재 연산 6만톤 규모의 공장을 짓는다고 발표했습니다.
2023.06.12,LG화학,"코스피 시가총액 상위 10개 종목 중 삼성SDI(0.68%), LG에너지솔루션(0.49%), 보합 마감한 NAVER를 제외하고 하락 마감했습니다."
2023.06.13,LG화학,LG화학이 임직원 스스로 다양한 성장 기회를 발굴할 수 있도록 지원하는 조직문화 구축에 나섰습니다.
2023.06.13,LG화학,LG화학이 임직원 스스로 다양한 성장 기회를 발굴할 수 있도록 지원하는 조직문화 구축에 나섰습니다.
2023.06.13,LG화학,LG화학 임직원들이 '제1회 커리어 위크(Career Week)' 경력개발 워크숍에 참석해 개인 경력개발 방안에 대해 논의하고 있습니다.
2023.06.13,LG화학,LG화학은 12일부터 4일간 임직원이 경력개발 계획을 수립하고 성장 기회를 탐색하는 '제1회 커리어 위크'를 개최한다고 13일 밝혔습니다.
2023.06.13,LG화학,LG화학이 임직원 스스로 다양한 성장 기회를 발굴할 수 있도록 지원하는 조직문화 구축에 나섰습니다.
2023.06.13,LG화학,LG화학이 임직원의 경력 개발을 통해 함께 성장할 수 있는 기회를 제공키로 했습니다.
