날짜,기업이름,요약내용
2023.06.01,NAVER,KOSPI 200 Closing Price List-4
2023.06.01,NAVER,"아이티언, F5 NGINX 한국 총판으로서 API Gateway 도입 전문 컨설팅 서비스 제..."
2023.06.01,NAVER,AI(인공지능)가 작성한 네이버(NAVER) 쇼핑라이브 대본 초안입니다.
2023.06.01,NAVER,"Korea’s Naver, Kakao to ban AI use in webtoon contests"
2023.06.01,NAVER,한사랑씨앤씨 삼성전자 온라인 공식 인증점 한사랑씨앤씨는 오는 오는 6월 1일(목요일)부터 6월 11일(일요일)까지 NAVER 쇼핑 `HOT SUMMER 갤럭시북 & 탭` 프로모션을 통해 자사가 유통 중인 `삼성 노트북 플러스2` NT550XDA-K24A를 특가에 진행한다고 밝혔습니다.
2023.06.01,NAVER,현대차증권이 NAVER(네이버)의 인공지능(AI)·로봇 사업에 대한 기대감을 드러냈습니다.
2023.06.01,NAVER,"5월 국내 수출지표가 부진하게 나와 역시 불안했지만 SK하이닉스와 NAVER, 삼성바이오로직스 등이 강세를 보여 염려했던 것 보다는 나름 선전했다고 평가되고 있습니다."
2023.06.01,NAVER,"[오늘의 증시 리포트] “네이버, AI와 로봇에 건 미래”"
2023.06.01,NAVER,"한국정경신문 김명신 기­자 misooya@naver.com LG유플러스는 통신장비 제조업체인 에릭슨엘지와 손잡고 네트워크에 AI·QoS 등 기능을 더한 차세대 코어 기술을 시연하고, 향후 미래 네트워크 기술 개발에 협업하기로 했다고 1일 밝혔습니다."
2023.06.01,NAVER,네이버(NAVER)가 SME(중소상공인) 스케일업을 위한 새로운 성장 지원 프로그램인 'SME 브랜드 런처'를 시작한다고 1일 밝혔습니다.
2023.06.02,NAVER,Naver 'AI Q-sheet Helper' is on
2023.06.02,NAVER,"Samsung, Naver Cloud team up to provide private 5G network at constructi..."
2023.06.02,NAVER,"1일 코스피 시장에서 외국인은 SK하이닉스, 삼성전자, NAVER를 집중 매수했습니다."
2023.06.02,NAVER,네이버 증권사이트에서 'NAVER' 종목을 검색해 종목토론실을 보면 위와 같은 제목의 투자자들의 푸념을 다수 찾아 볼 수 있습니다.
2023.06.02,NAVER,태평양도서 5개국의 장·차관 등 주요관계자들이 지난 1일 네이버(NAVER)의 세계 최초 로봇 친화형 빌딩 1784를 방문했습니다.
2023.06.02,NAVER,경남새일센터는 여성 취·창업 온라인 플랫폼 우먼메이커스(cafe.naver.com/gnwomenwork)를 운영하며 경남도내 여성들에게 다양한 취·창업정보를 온라인상으로 지원하고 있습니다.
2023.06.02,NAVER,한국정경신문 김명신 기­자 misooya@naver.com '기술과 서비스로 고객을 이롭게 하는 AI 컴퍼니'를 표방하고 나선 SKT텔레콤의 인공지능(AI) 사업 확대 행보가 속도를 내고 있습니다.
2023.06.02,NAVER,이들 구성 종목 중 NAVER는 전거래일 대비 2.26% 상승해 KRX 인터넷 K-뉴딜지수 구성 종목 중 주가상승률 1위를 기록했습니다.
2023.06.02,NAVER,멀티클라우드 매니지먼트 기업 디딤365(대표 장민호)는 공공기관과 지자체를 위한 업무용 협업도구 '디딤365 NAVER WORKS for 공공용'이 한국지능정보사회진흥원(NIA) '디지털서비스 이용지원시스템'과 조달청 '디지털서비스몰' 디지털서비스에 등록됐다고 1일 밝혔습니다.
2023.06.02,NAVER,"현대차와 기아도 1%대 상승했고, 네이버(NAVER)와 카카오는 각각 0.25%, 1.96% 올랐습니다."
2023.06.03,NAVER,만듦새와 볼거리 역시 현재 디즈니의 위상과 자본력을 생각하면 아쉬움이 큽니다.
2023.06.03,NAVER,"다음주 우리 증시도 삼성전자와 SK하이닉스가 안정적인 흐름 속에 LG에너지솔루션과 LG화학, 삼성SDI를 비롯해 현대차와 기아, NAVER 등 업종 대표주들이 순환하며 장을 이끌 수 있을 것으로 예상합니다."
2023.06.03,NAVER,양용은 기자 taeji1368@naver.com 반복된 일상에서 잠시 벗어나 일탈을 즐기는 EDM 마니아들의 개성 넘치는 페스티벌 룩이 눈길을 끌었습니다.
2023.06.03,NAVER,양용은 기자 taeji1368@naver.com 지난 2일(금) 경기도 과천시 서울랜드에서 '2023 월드 디제이 페스티벌-서울(이하 월디페 서울)'이 개막했습니다.
