날짜,기업이름,요약내용
2023.06.01,POSCO홀딩스,"최정우 포스코그룹(POSCO홀딩스) 회장은 ""미국 인플레이션 감축법(IRA) 등 최근 새로운 규제 법안에 촉각을 곤두세우고 있다""며 ""포스코가 아르헨티나와 인도네시아 사업을 통해 조달하는 리튬과 니켈이 IRA의 수혜 대상이 될지를 가장 걱정하고 있다""고 말했습니다."
2023.06.01,POSCO홀딩스,"에코프로(086520), 코스모신소재(005070), 오픈엣지테크놀로지(394280), POSCO홀딩스(005490) 등도 순매도 상위권에 이름을 올렸습니다."
2023.06.01,POSCO홀딩스,"네이버(NAVER)(2.26%), SK하이닉스(1.57%), 삼성바이오로직스(0.51%), POSCO홀딩스(0.28%)는 상승했습니다."
2023.06.01,POSCO홀딩스,"POSCO홀딩스(0.83%)와 삼성SDI(1.39%), 현대차(1.85%), 기아(1.98%), 포스코퓨처엠(0.43%), LG화학(1.01%) 등은 내려가고 있습니다."
2023.06.01,POSCO홀딩스,"SK하이닉스(1.57%), 삼성바이오로직스(0.51%), 네이버(2.26%), POSCO홀딩스(0.28%)의 주가는 올랐습니다."
2023.06.01,POSCO홀딩스,"업종별로는 의료정밀(4.03%), 전기가스업(1.59%), 의약품(1.28%), 종이목재(0.62%) 순으로 상승했습니다."
2023.06.01,POSCO홀딩스,[철강株 UP&DOWN] 세아베스틸지주 4.5% 상승…TCC스틸 유에스티 3.9%
2023.06.01,POSCO홀딩스,"KB able ELS 2985호(1스탁, 2인덱스 스텝다운형)는 POSCO홀딩스 보통주(KS. 005490), S&P500지수와 EuroStoxx50지수를 기초자산으로 하며, 3년 만기에 6개월 단위로 조기상환 기회와 조건 충족시 최고 연 12.00%(세전)의 수익을 제공합니다."
2023.06.02,POSCO홀딩스,"이외에 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 강세를 보였습니다."
2023.06.01,POSCO홀딩스,"시가총액 상위종목 중 SK하이닉스(1.57%), 삼성바이오로직스(0.51%), NAVER(2.26%), POSCO홀딩스(0.28%) 등은 상승했고 삼성전자(-0.70%), LG에너지솔루션(-2.5%), 삼성SDI(-1.39%), LG화학(-0.87%), 현대차(-1.25%), 기아(-1.98%) 등은 하락했습니다."
2023.06.02,POSCO홀딩스,"그외 LG화학, POSCO홀딩스, 포스코퓨처엠 등이 각각 4%대 강세를 나타냈고 삼성SDI, 현대차, 기아, 카카오 등이 1~2% 안팎의 상승세를 보였습니다."
2023.06.02,POSCO홀딩스,"이밖에 POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%), 포스코엠텍(3.11%), 포스코스틸리온(3.03%), 포스코인터내셔널(3.84%) 등 포스코그룹주는 제너럴모터스(GM)와 양극재·전구체 북미 합작투자를 확대한다는 소식에 일제히 상승세를 기록했습니다."
2023.06.02,POSCO홀딩스,"LG에너지솔루션(373220)(0.68%), LG화학(051910)(4.95%), 삼성SDI(006400)(0.99%), 현대차(005380)(1.01%), 기아(000270)(1.19%), NAVER(035420)(0.25%), POSCO홀딩스(005490)(4.29%) 역시 상승했습니다."
2023.06.02,POSCO홀딩스,"이외에 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 강세를 보였습니다."
2023.06.02,POSCO홀딩스,"대장주인 삼성전자는 1300원(1.83%) 올라 7만2200원으로 장을 마감했고 LG화학, POSCO홀딩스, 포스코퓨처엠 등은 4%대 상승률을 기록했습니다."
2023.06.02,POSCO홀딩스,시총 상위주 가운데 LG화학과 POSCO홀딩스가 각각 4% 넘는 상승세를 보였습니다.
2023.06.03,POSCO홀딩스,[철강株 UP&DOWN] POSCO홀딩스 4.3% 상승…KISCO홀딩스 3.5% 현대제철 2.3%
2023.06.03,POSCO홀딩스,"2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했습니다."
2023.06.02,POSCO홀딩스,"시가총액 상위 종목 중 LG화학(4.95%), POSCO홀딩스(4.29%), 삼성전자(1.83%), 기아(1.19%), 현대차(1.01%), 삼성SDI(0.99%), LG에너지솔루션(0.68%), NAVER(0.25%) 등 대부분이 상승했고 삼성바이오로직스(-0.38%) 등은 하락했습니다."
2023.06.03,POSCO홀딩스,이번 주(5월29일~6월2일) 마켓PRO에선 호텔신라와 POSCO홀딩스 등에 대한 투자 포인트를 살펴봤습니다.
2023.06.04,POSCO홀딩스,코스피 주간 외국인 순매도 1위 'POSCO홀딩스'
2023.06.04,POSCO홀딩스,[유안타證 주간추천주]삼성전자·두산·POSCO홀딩스
2023.06.03,POSCO홀딩스,POSCO홀딩스에 이어 개인 순매수 상위 2위를 기록했습니다.
2023.06.03,POSCO홀딩스,"대보마그네틱은 16.92%로 강세였고, 지오릿에너지, 어반리튬, 강원에너지, 유일에너테크, LG화학, POSCO홀딩스, 포스코퓨처엠, 매리나노텍, 포스코엠텍, 새빗캠, 하이드로리튬, 세방전지, 에코프로, 후성, 천보, 성일하이텍, 금양, 코스모화학, 이엔플러스도 상승마감했습니다."
2023.06.03,POSCO홀딩스,"세부적으로 POSCO홀딩스 주식을 4647억원 순매수(매수 및 매도 금액을 합한 순수 거래 실적 대금)했고 에코프로와 에코프로비엠 주식도 각각 2064억원, 1018억원 규모로 매집했습니다."
2023.06.03,POSCO홀딩스,"에코프로와 엘앤에프, POSCO홀딩스 등 2차전지 관련주들도 조정이 깊어진 만큼 적정한 수준에서 안정된 흐름을 보여줄 수 있기를 바라는 마음입니다."
2023.06.03,POSCO홀딩스,"이외에도 현대차와 기아가 1%씩 오르고, LG화학(4.95%), POSCO홀딩스(4.29%), 포스코퓨처엠(4.03%) 등이 상승세를 보였습니다."
2023.06.04,POSCO홀딩스,"지난달 개인투자자 순매수 상위 10개 종목은 POSCO홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순이었습니다."
2023.06.04,POSCO홀딩스,"한편 여의도에서는 금주 추천주로 삼성전자,한국전력,삼성전기,POSCO홀딩스,SK이노베이션 등을 제시했는데 모두 업황 개선과 실적 호전의 공통점을 갖고 있습니다."
2023.06.03,POSCO홀딩스,그래서 지금은 현대차보다 POSCO홀딩스가 조금 더 나아 보입니다.
2023.06.04,POSCO홀딩스,"반면, 개인투자자들은 POSCO홀딩스와 현대차를 각각 1000억원 이상 사들이며 외국인들과 엇갈린 모습을 나타냈습니다."
2023.06.04,POSCO홀딩스,"(560억원), SK이노베이션(520억원), 삼성전기(349억원)등을 순매수한 반면 POSCO홀딩스(1349억원)를 비롯해 LG화학(985억원), 엔씨소프트(574억원), 현대차(563억원), KB금융(479억원), 삼성전자우(420억원), KT&G(334억원), 신세계(317억원), DB하이텍(303억원), 신한지주(262억원)등을 매도했습니다."
2023.06.04,POSCO홀딩스,중국 부동산 가격이 안정세를 보이고 있는 데다 제조업 구매관리자지수(PMI) 호조 등으로 철강 전방산업 수요 개선에 대한 기대감이 유효하다는 진단입니다.
2023.06.04,POSCO홀딩스,이 기간 개인이 가장 많이 사들인 종목은 POSCO홀딩스로 4966억 원어치 순매수했습니다.
2023.06.05,POSCO홀딩스,미래에셋증권에서 거래하는 고수익 투자자들이 5일 오전 가장 많이 순매수한 종목은 POSCO홀딩스(005490)로 나타났습니다.
2023.06.05,POSCO홀딩스,"5일 주식시장에서 코스모화학, NPC, 두산에너빌리티, POSCO홀딩스, 디에이테크놀로지는 상승했습니다."
2023.06.04,POSCO홀딩스,"한편 여의도에서는 추천주로는 삼성전자, 한국전력, 삼성전기, POSCO홀딩스, SK이노베이션 등을 제시했는데 업황 개선 기대감과 실적 호전의 공통점을 갖고 있습니다."
2023.06.05,POSCO홀딩스,[철강株 UP&DOWN] 삼현철강 6.2% 상승…화인베스틸 6.1% 동일철강 4.0%
2023.06.05,POSCO홀딩스,"반면 KODEX 200선물인버스 ETF(335억원), SK하이닉스(247억원) 등이 순매도 상위권에 이름을 올렸습니다."
2023.06.05,POSCO홀딩스,"해당 10개 종목은 포스코(POSCO)홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순입니다."
2023.06.05,POSCO홀딩스,"반면 POSCO홀딩스(005490)와 포스코퓨처엠(003670)은 2.12%, 2.14% 오르고 있습니다."
2023.06.05,POSCO홀딩스,"삼성전자와 SK하이닉스 등 시가총액 상위 종목이 대체로 소폭 하락 중이고 POSCO홀딩스, 포스코퓨쳐엠이 1%, 2% 상승 중입니다."
2023.06.05,POSCO홀딩스,"반면, LG전자(3.33%), POSCO홀딩스(2.92%), 기아(1.17%), LG에너지솔루션(1.02%) 등은 상승 마감했습니다."
2023.06.05,POSCO홀딩스,"뒤를 이어 POSCO홀딩스(005490), 현대차(005380), 엔씨소프트(036570)로 나타났습니다."
2023.06.07,POSCO홀딩스,"신영목의 히든밸류 'POSCO홀딩스' - 목표가 500,000원 / 손절가 350,000원 ※ 이 방송은 매일 오전 9시 50분 ~ 10시 50분에 LIVE로 시청하실 수 있습니다."
2023.06.06,POSCO홀딩스,"이외에 어반리튬, 강원에너지, 코스모화학, 천보, 금양, 미래나노텍, 광무, POSCO홀딩스, 성일하이텍, 이브이첨단소재 등 주가가 상승했습니다."
2023.06.06,POSCO홀딩스,"6일 한국거래소와 관련업계 등에 따르면, 개인 투자자들은 POSCO홀딩스 주식을 올해 초부터 6월2일까지 4조6000억원 순매수했습니다."
2023.06.07,POSCO홀딩스,기존에는 중국에서 천연 흑연을 조달해 음극재를 제조했으나 POSCO홀딩스(005490)가 보유한 탄자니아 광산으로부터 천연 흑연을 조달해 음극재를 제조할 것으로 전망했습니다.
2023.06.07,POSCO홀딩스,POSCO홀딩스를 가장 많이 사들인 것으로 나타났습니다.
2023.06.07,POSCO홀딩스,"LG에너지솔루션(373220)(1.68%), 삼성바이오로직스(207940)(0.13%), LG화학(051910)(3.18%), 삼성SDI(006400)(2.51%), NAVER(035420)(0.24%), POSCO홀딩스(005490)(0.26%)는 상승했습니다."
2023.06.07,POSCO홀딩스,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 코스피 순매수 1위(6월..."
2023.06.07,POSCO홀딩스,[철강株 UP&DOWN] 한국주강 6.2% 상승…화인베스틸 3.9% 동국S&C 3.3%
2023.06.07,POSCO홀딩스,"반면 외국인은 삼성전자(899억원), 기아(645억원), POSCO홀딩스(559억원)를, 개인은 LG에너지솔루션(1404억원), 삼성SDI(650억원), LG화학(504억원) 등을 팔았습니다."
2023.06.07,POSCO홀딩스,"시총 상위 종목 중 LG화학, SK이노베이션, 삼성물산 등이 오름세며 포스코퓨처엠, 삼성전자, POSCO홀딩스 등은 내림세입니다."
2023.06.08,POSCO홀딩스,"서울 외환시장에서 원/달러 환율은 전 거래일 종가보다 0.1원 내린 1,303.7원에 종가를 형성했습니다."
2023.06.08,POSCO홀딩스,"현대차증권은 8일 포스코홀딩스(POSCO홀딩스(005490))에 대해 하반기 글로벌 철강 업황이 개선될 것으로 보이고, 2030년까지 리튬 생산능력 30만 톤을 목표로 하는 등 리튬 가치가 추가로 반영될 여지가 있어 성장세가 기대된다고 밝혔습니다."
2023.06.07,POSCO홀딩스,"삼성전자가 0.84% 약세를 보이고 있고 현대차 -0.5%, 기아 -1.16%, POSCO홀딩스 -0.26% 등이 하락세입니다."
2023.06.08,POSCO홀딩스,[철강株 UP&DOWN] 한국주강 12.6% 상승…동일철강 11.5% 제이스코홀딩스 5.7%
2023.06.08,POSCO홀딩스,포스코그룹(POSCO홀딩스)은 공정거래자율준수 프로그램(CP)을 모든 그룹사로 확대 시행하기로 했다고 8일 밝혔습니다.
2023.06.08,POSCO홀딩스,"NAVER(035420) -2.2%, LG에너지솔루션(373220) -2.15%, LG화학(051910) -1.21%, 삼성SDI(006400) -0.82%, 삼성전자(005930) -0.14%, 삼성바이오로직스(207940) -0.13%, POSCO홀딩스(005490) -0.13% 등은 하락했습니다."
2023.06.08,POSCO홀딩스,"67%)등은 증가했으나▲위니아에이드(-60억원, -6.55%)▲박셀바이오(-53억원, -0.88%)등은 감소했습니다."
2023.06.09,POSCO홀딩스,"코스피 시가총액 상위종목 중 삼성전자우(005935) 2.17%, 삼성바이오로직스(207940) 2.04%, 기아(000270) 1.84%, POSCO홀딩스(005490) 1.55%, 삼성SDI(006400) 0.82%, 현대차(005380) 0.2% 등은 상승했습니다."
2023.06.08,POSCO홀딩스,"포스코인터내셔널에 이어 이차전지 양극재와 음극재를 제조하는 포스코퓨처엠과 지주회사 POSCO홀딩스는 각각 1500원(0.39%), 2000원(0.51%) 오른 38만6500원과 39만500원에 거래 중입니다."
2023.06.08,POSCO홀딩스,"LG에너지솔루션(373220)(-2.15%), 삼성바이오로직스(207940)(-0.13%), LG화학(051910)(-1.21%), 삼성SDI(006400)(-0.82%), NAVER(035420)(-2.20%), POSCO홀딩스(005490)(-0.13%), 기아(000270)(-0.73%)도 하락했습니다."
2023.06.08,POSCO홀딩스,다만 POSCO홀딩스 주가는 전 거래일 대비 0.77% 오른 39만1500원을 기록하고 있습니다.
2023.06.08,POSCO홀딩스,"중후장대 시총, 올 들어 28%↑ 8일 헤럴드경제가 에프앤가이드를 통해 대우조선해양, POSCO홀딩스 등 주요 중후장대 12곳의 주가·실적 전망치를 살펴본 결과, 이들의 시가총액 합계는 작년 말 79조2705억원에서 101조7978억원(7일 기준)으로 28.4% 오른 것으로 집계됐습니다."
2023.06.09,POSCO홀딩스,"철강협회, 제24회 철의 날 기념식 개최 최정우 한국철강협회 회장(POSCO홀딩스 회장)은 ""우리 철강산업이 친환경 철강 생산 체계를 조기에 구축해 글로벌 경쟁 우위를 보다 확고히 해 나가야 한다""고 말했습니다."
2023.06.09,POSCO홀딩스,"[데이터로 보는 증시]삼성전자, 기관·외국인 코스피 순매수 1위(6월 9일-최종..."
2023.06.09,POSCO홀딩스,"이 밖에도 삼성전자(1.55%), 삼성바이오로직스(2.04%), LG화학(2.04%), 삼성SDI(0.82%), 삼성전자우(2.17%), 현대차(0.20%), 기아(1.84%), 포스코(POSCO)홀딩스(1.55%) 주가가 모두 올랐습니다."
2023.06.11,POSCO홀딩스,코스피 주간 외국인 순매도 1위 ‘POSCO홀딩스’
2023.06.09,POSCO홀딩스,"그외 삼성바이오로직스, LG화학, 기아, POSCO홀딩스, 현대모비스 등이 1~2% 안팎의 상승세를 나타냈습니다."
2023.06.09,POSCO홀딩스,"LG에너지솔루션(373220)(3.05%), SK하이닉스(000660)(5.20%), 삼성바이오로직스(207940)(2.04%), LG화학(051910)(2.04%), 삼성SDI(006400)(0.82%), 현대차(005380)(0.20%), 기아(000270)(1.84%), POSCO홀딩스(005490)(1.55%) 역시 상승했습니다."
2023.06.09,POSCO홀딩스,"이밖에 LG에너지솔루션(3.05%), LG화학(2.04%), 삼성바이오로직스(2.04%), 기아(1.84%), POSCO홀딩스(1.55%), 삼성SDI(0.82%), 현대차(0.20%) 등이 올랐습니다."
2023.06.09,POSCO홀딩스,"POSCO홀딩스, 삼성바이오로직스, NAVER, LG에너지솔루션이 1%대 강세입니다."
2023.06.09,POSCO홀딩스,"POSCO홀딩스(1.68%), 삼성바이오로직스(1.53%), LG에너지솔루션(1.35%), 네이버(1.25%) 등은 1% 넘게 오르고 있습니다."
2023.06.10,POSCO홀딩스,[철강株 UP&DOWN] NI스틸 3.3% 상승…대동스틸 2.0% 상승원일특강 1.6%
2023.06.10,POSCO홀딩스,"2차 전지인 포스코홀딩스(POSCO홀딩스(005490)·847억 원)와 두산에너빌리티(736억 원), 삼성SDI(006400)(668억 원), 에코프로(086520)(638억 원)를 각각 담았습니다."
2023.06.10,POSCO홀딩스,[하나證 주간추천주]POSCO홀딩스·현대미포조선·쏠리드
2023.06.11,POSCO홀딩스,"[주간 투자주체 매매동향] 기관, 삼성전자·SK하이닉스 집중 매수"
2023.06.11,POSCO홀딩스,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 주간 코스피 순매수 1위..."
2023.06.11,POSCO홀딩스,최근 유안타증권은 포스코(POSCO)홀딩스에 대해 중국 부동산 가격이 안정세를 보이고 있는데다 제조업 구매관리자지수(PMI) 호조 등으로 철강 전방산업 수요 개선의 수혜를 입을 것으로 전망했습니다.
2023.06.11,POSCO홀딩스,"한편 KB증권의 2~5위는 차례로 에코프로, LG에너지솔루션, POSCO홀딩스·카카오, 삼성전자우였습니다."
2023.06.11,POSCO홀딩스,"이어 SK하이닉스(1494억 원), POSCO홀딩스(1073억 원), LG에너지솔루션(860억 원) 순으로 많이 사들였습니다."
2023.06.11,POSCO홀딩스,"미국 5월 CPI와 6월 FOMC가 시장에 우호적인 결과가 기대된다며 증권가는 삼성전자와 LG에너지솔루션, POSCO홀딩스, 현대미포조선 등을 추천주로 제시했습니다."
2023.06.11,POSCO홀딩스,"기관들은 삼성전자,SK하이닉스도 사들였지만 에코프로, POSCO홀딩스, LG에너지솔루션, 에코프로비엠 등 주요 2차전지 종목들도 순매수 상위권에 이름을 올렸습니다."
2023.06.12,POSCO홀딩스,"또한 기초지수 기준 지난 12월 정기변경 이후 주가 상승에 따라 증가했던 종목들의 비중이 지수방법론에 따라 조정돼 6월 12일 시초가 기준 에코프로(086520), 에코프로비엠(247540), 포스코퓨처엠(003670), POSCO홀딩스(005490), LG화학(051910), 엘앤에프가 10%로 조정 됩니다."
2023.06.12,POSCO홀딩스,[철강株 UP&DOWN] TCC스틸 10.5% 상승…동국산업 8.5% 제이스코홀딩스 3.2%
2023.06.12,POSCO홀딩스,"코스피 시가총액 상위 10개 종목 중 POSCO홀딩스(005490) 0.63%, LG화학(051910) 0.53%, 삼성SDI(006400) 0.41%, 현대차(005380) 0.3%, 삼성바이오로직스(207940) 0.25% 등은 상승했습니다."
2023.06.12,POSCO홀딩스,"외국인은 LG에너지솔루션을 2493억원, 기관은 POSCO홀딩스를 786억원을 사들였습니다."
2023.06.12,POSCO홀딩스,"코스피시장 시가총액 상위 10개 종목 가운데 삼성바이오로직스(0.25%), 포스코(POSCO)홀딩스(0.13%), 네이버(0.25%) 등 3개 종목 주가가 오르고 있습니다."
2023.06.12,POSCO홀딩스,"하나증권은 POSCO홀딩스, 현대미포조선, 쏠리드를 6월 셋째 주(6월12일~16일) 주간추천종목으로 선정한다고 12일 밝혔습니다."
2023.06.12,POSCO홀딩스,"현대차(005380)(-0.46%), POSCO홀딩스(005490)(-0.63%), 기아(000270)(-1.57%) 역시 하락했습니다."
2023.06.12,POSCO홀딩스,POSCO홀딩스 주가는 전 거래일과 같았습니다.
2023.06.12,POSCO홀딩스,"이 외에도 삼성바이오로직스[207940](-0.75%), LG화학[051910](-0.80%), POSCO홀딩스[005490](-0.63%) 등이 약세였고 상위 10위권에서는 LG에너지솔루션[373220](0.49%)과 삼성SDI[006400](0.68%)만 올랐습니다."
2023.06.13,POSCO홀딩스,포스코홀딩스(POSCO홀딩스)가 국내 최초로 아르헨티나 염수 기반의 2차전지 소재용 수산화리튬 공장을 짓습니다.
2023.06.13,POSCO홀딩스,포스코홀딩스가 국내 최초로 아르헨티나 염수 기반의 이차전지소재용 수산화리튬 공장을 율촌 산업단지에 착공했습니다.
2023.06.13,POSCO홀딩스,포스코홀딩스는 추가 투자를 통해 아르헨티나 염호 기반으로 '28년 기준 최대 10만 톤까지 리튬 생산을 확대한다는 계획입니다.
2023.06.13,POSCO홀딩스,"(71억원), POSCO홀딩스(70억원), 기아(65억원), 현대차(005380)(64억원), LG전자(066570)(57억원), 엔씨소프트(036570)(49억원) 등은 팔았습니다."
2023.06.13,POSCO홀딩스,"LG에너지솔루션(373220) -0.98%, POSCO홀딩스(005490) -0.38%, 삼성SDI(006400) -0.14%, LG화학(051910) -0.13% 등은 하락했습니다."
2023.06.13,POSCO홀딩스,"POSCO홀딩스, '국내 최초' 아르헨티나 염호 기반 이차전지 리튬 생산 세번째 뉴스픽입니다."
2023.06.13,POSCO홀딩스,"시가총액 상위 종목 중에서는 삼성전자(0.99%), SK하이닉스(3.14%), 삼성바이오로직스(0.13%) 등이 상승 중인 반면 LG에너지솔루션(-0.65%), LG화학(-0.27%), POSCO홀딩스(-0.38%) 등은 하락 중입니다."
