날짜,기업이름,요약내용
2023.06.11,SK,"삼성전자와 SK그룹, LG그룹 등은 미중 무역갈등과 공급망 불안 등이 지속되는 상황에서 잇달아 하반기 경영전략 회의에 나섭니다."
2023.06.06,SK,기업 지배구조 보고서의 핵심지표 준수율이 가장 높은 기업은 SK텔레콤이었습니다.
2023.06.08,SK,SK하이닉스가 양산을 시작한 238단 4차원(D) 낸드플래시 제품을 스마트폰을 생산하는 해외 고객사와 함께 제품 인증 과정을 진행하고 있습니다.
2023.06.10,SK,치킨 프랜차이즈 자담치킨이 SK텔레콤의 MZ세대 고객을 대상으로 진행하는 '0 Day 행사'에 참여합니다.
2023.06.10,SK,"2022년 사회적가치 성과, SK이노…총액 3조383억원 발표 “환경성과 역대 최고..."
2023.06.03,SK,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천"
2023.06.06,SK,사진=SK온 SK이노베이션의 배터리 자회사 SK온이 지난해 초부터 약 10조원의 자금을 끌어모으는 데 성공하면서 그간 공격적으로 금융계 인사를 영입한 행보 덕을 봤다는 평가가 나옵니다.
2023.06.02,SK,기업은행은 SK E&S와 협업해 금융권 최초로 총 3000억원 규모의 'RE 100 펀드' 금융주선을 완료했다고 2일 밝혔습니다.
2023.06.03,SK,'인덕원 자이 SK VIEW' 인근 인덕원 퍼스비엘 흥행 성공하면서 인덕원 아파트...
2023.06.08,SK,SK이노베이션(096770)의 배터리 자회사인 SK온이 4억달러(약 5300억원) 규모의 신규 투자를 유치했습니다.
2023.06.06,SK,SK그룹은 15일 경기도 이천의 SKMS연구소에서 '2023 확대경영회의'를 엽니다.
2023.06.10,SK,"특히, 얼마전 인덕원 퍼스비엘 단지가 흥행을 하면서 인근 주'인덕원 자이 SK VIEW' 또한 인기를 증명하고 있습니다."
2023.06.10,SK,연합뉴스 SK하이닉스 이천캠퍼스 기숙사 주차장 통합 투표에서 논란이 발생해 관련 소식에 관심이 쏠립니다.
2023.06.04,SK,SK텔레콤이 정전협정∙한미동맹 70주년과 6월 호국보훈의 달을 맞아 국내 통신사 최초로 군인 신분 인증 앱 '밀리패스'와 제휴를 맺고 군인 고객을 위한 다양한 혜택을 제공합니다.
2023.06.01,SK,SK쉴더스(대표 박진효)는 모바일 백신 앱 '모바일가드'의 신규 기능 업데이트를 실시했다고 1일 밝혔습니다.
2023.06.03,SK,"이는 삼성전자, SK하이닉스 등 한국 반도체 기업들에게 중국 내 마이크론의 빈자리를 대체하지 말 것을 요구하고 나선 것과는 상당히 대조적인 태도입니다."
2023.06.07,SK,SK플래닛은 OK캐시백 대체불가토큰(NFT) 멤버십 서비스 '로드투리치'를 선보인다고 7일 밝혔습니다.
2023.06.02,SK,올해 들어 SK그룹이 발행한 회사채 규모가 7조원을 넘어섰습니다.
2023.06.01,SK,"프로농구 서울 SK가 김재환, 문형준, 네이트 힉맨 코치를 선임했다고 1일 밝혔습니다."
2023.06.13,SK,"SKC는 13일 폴리우레탄 자회사 SK피유코어의 매각 보도에 대해 ""확정된 사항이 없다""고 공시했습니다."
