날짜,기업이름,요약내용
2023.06.05,SK스퀘어,"컨슈머타임스=전은정 기자 | SK(대표이사 최태원, 장동현) 주가가 SK이노베이션과 SK스퀘어 등 자회사의 실적 악화로 하락세입니다."
2023.06.07,SK스퀘어,올해 SK그룹이 후원사로 참여해 추가된 코리안 아츠 위크(Korean Arts Week)' 프로그램이 흥미로운 관람 포인트입니다.
2023.06.03,SK스퀘어,[리츠 TOP10] 신한알파리츠 0.81% 상승…지수 구성종목 중 상승률 선두
2023.06.01,SK스퀘어,"GTX-B노선, SK바이오사이언스 본사 송도 이전 등 대규모 개발 호재가 있는 인천 송도에서 분양 한 '아크베이 스트리트' 상업시설도 단기간 완판에 성공했습니다."
2023.06.01,SK스퀘어,SK는 작년 말 박정호 부회장이 SK하이닉스와 SK스퀘어 사업에 집중하기 위해 겸임하던 SK텔레콤 대표이사에서 퇴임하면서 신임 구단주를 물색해왔습니다.
2023.06.07,SK스퀘어,SK스토아는 SKT와 손잡고 '불티나마켓'의 첫 번째 상품을 모바일 라이브 커머스 방송으로 판매합니다.
2023.06.01,SK스퀘어,우주용 암호화 키 생성 시스템 개발 참여 SK 정보통신기술(ICT) 투자 회사 SK스퀘어 자회사인 양자 원천 기술업체 IDQ(ID Quantique)가 유럽 최초 양자통신위성 '이글-1(EAGLE-1) 이니셔티브'에 공식적으로 합류했습니다.
2023.06.09,SK스퀘어,"업계에서는 차세대 메모리 개발을 위해 삼성전자는 4F스퀘어, SK하이닉스와 마이크론은 3D D램에 집중하고 있는 것으로 보고 있습니다."
2023.06.06,SK스퀘어,"집중투표제를 채택하고 있는 기업은 강원랜드, 한화오션(옛 대우조선해양), 지역난방공사, 포스코홀딩스, 한국가스공사, 한국전력공사, KT&G, KT 등의 오너가 없는 8개 기업과 SK그룹의 2개 계열사인 SK텔레콤, SK스퀘어와 SBS 등 3개를 합쳐 11개 기업이었습니다."
2023.06.09,SK스퀘어,[리츠 TOP10] 롯데리츠 0.75% 상승…지수 구성종목 중 상승률 선두
2023.06.02,SK스퀘어,"에너지 가격 하락과 반도체 업황 부진으로 SK이노베이션, SK스퀘어 등 관련 자회사의 이익이 큰 폭으로 감소했고 SMP 상한제 및 전방산업 부진으로 비상장 자회사인 SK E&S, SK실트론 등도 이익률이 감소했습니다."
2023.06.09,SK스퀘어,[SK그룹] 인크로스 2.76% 올라 계열사 중 일일 상승률 선두
2023.06.02,SK스퀘어,원스토어와 11번가 출범의 산파 역할을 한 SK플래닛은 SK스퀘어의 자금지원 필요성을 줄이면서 배당도 지급하는 효자로 거듭났습니다.
2023.06.09,SK스퀘어,"01%), SK스퀘어(+2.43%), 아모레퍼시픽(+2%), 두산밥캣(+2.65%), SKC(+1.94%), DB하이텍(+2.58%), 롯데에너지머티리얼즈(+3.04%), 한전기술(+2.52%), 한미반도체(+3.7%) 등이 상승했습니다."
2023.06.08,SK스퀘어,"SK그룹에는 SK㈜ 외에도 투자만을 하고 있는 SK스퀘어, SK디스커버리 등의 지주사가 있는데 이들은 사용료를 내지 않고 있습니다."
2023.06.10,SK스퀘어,켄달스퀘어에서는 주미대한민국대사관과 케임브리지 이노베이션 센터(CIC) 벤처카페가 개최한 '한국 바이오 혁신의 밤'이 개최됐습니다.
2023.06.07,SK스퀘어,"티맵모빌리티의 현재 지배구조를 살펴보면 SK스퀘어가 최대주주로 60.11%의 지분을 보유하고 있고 재무적투자자(FI)인 어쎈타모빌리티투자목적회사, 테라미터홀딩스가 각각 12.69%의 지분을 확보해 공동 2대 주주로 이름을 올리고 있습니다."
2023.06.09,SK스퀘어,"셀트리온(068270)(7.40%→7.99%), SK이노베이션(096770)(8.31%→8.88%), SK스퀘어(402340)(6.59%→7.16%), 기아(000270) (7.46%→7.66%)도 늘렸습니다."
2023.06.09,SK스퀘어,"업계에선 오픈AI가 K반도체와 협업한다면 최우선적으로 삼성전자, SK하이닉스와 같은 메이저 반도체업체가 우선적으로 고려될 것으로 보고 있습니다."
2023.06.01,SK스퀘어,"부산시, 반도체 산업 특화단지 유치 막바지 총력전"
2023.06.12,SK스퀘어,SK하이닉스의 최대주주는 SK스퀘어로 지분 20.07%를 갖고 있습니다.
2023.06.05,SK스퀘어,SK텔레콤에서 출발해 SK스퀘어의 계열사가 된 콘텐츠웨이브는 다른 국산 OTT에 적극적으로 애정 공세를 펼치고 있습니다.
2023.06.07,SK스퀘어,[오늘의 주요 일정] 더불어민주당 송영길 전 대표 검찰 자진 출석
2023.06.01,SK스퀘어,"경기 오산시가 삼성전자, SK하이닉스 등 K-반도체 앵커기업이 위치한 경기남부권의 '중립지대'라는 지리적 이점을 내세워 정부의 '반도체 소재·부품·장비(소부장) 특화단지' 공모에 도전합니다."
2023.06.09,SK스퀘어,기업지배구조보고서는 2019년 자산총액 2조원 이상 기업을 대상으로 공시가 의무화됐으나 작년부터 자산총액 1조원 이상 기업으로 대상이 확대됐습니다.
2023.06.07,SK스퀘어,"해당 프로그램은 창업인구 유입과 지역경제 활성화를 이끌고자 영주시와 SK스페셜티㈜, ㈜임팩트스퀘어가 합작 출범한 것입니다."
2023.06.01,SK스퀘어,SK스퀘어의 1분기 실적이 중단사업 반영과 SK하이닉스 적자 영향으로 부진했습니다.
2023.06.02,SK스퀘어,NFT 활용 사업 활성화 포석…아바 클라우드로 자체 네트워크 구축 용이 SK스퀘어 자회사 SK플래닛이 글로벌 블록체인 아발란체와의 협력 강화를 위한 노력을 기울이고 있습니다.
2023.06.08,SK스퀘어,"[증권소식] SG사태 8종목 CFD 미수채권 2500억 달해/한투운용, 크래프트와 MO..."
2023.06.02,SK스퀘어,2일 투자은행(IB) 업계에 따르면 마스턴투자운용은 최근 용인 원삼 한미물류센터 매각자문사에 알스퀘어-에비슨영 컨소시엄을 선정했습니다.
2023.06.05,SK스퀘어,"[IT이슈] SK하이닉스, 일반 소비자용 외장형 SSD ‘비틀(Beetle) X31’ 출시 ..."
2023.06.08,SK스퀘어,켄달스퀘어에서 진행된 '한국 바이오 혁신의 밤'은 국내외 산업관계자 330명이 참석한 가운데 성공적으로 마무리됐습니다.
